id,name,dialog
32,シルバー,ふむ、次のミッションが終わった後、ここを掃除しておくか……
33,陸遜,先輩、なにやってるのだろう？いつ私を引き当てるのだろう……
34,諸葛亮,この服を着る度、先輩と共に過ごしたあの一時を思い出すよ……
35,諸葛亮,先輩の行動は全て予想済みだと思っていたが……フフッ、ああいう時の先輩の行動力を甘く見すぎていたな……
36,魏延,今日も先輩の為に全力で戦います！
37,千本桜,桜として生まれた以上、華やかに散って見せましょう……！
38,方天,むっ、なぜ私はお留守番なのだ……
39,曹操,むっ、アイツは戦う為に出かけたか……私ももたもたしていられないわ！
40,貂蝉,さて……次の休みはどこへ行こうかしら？
41,鄧艾,温もりは、人を鈍らせる……だが、たまには良いかもしれない……
42,ミカエル,一時の休息は、さらなる試練に立ち向かう為です！
43,ルシファー,ふっ、光も裏返せば闇になる……あの先輩なら、闇のすばらしさを理解してくれるだろう……
44,司馬懿,もう少し暗い方が良いわね。まっ、あなたがこれが良いと言うのなら、私も文句は言わないわ。
45,ドラキュラ,ここの匂い、あの人間を思い出すわ……久しぶりに血を貰いに行こうかしら？
46,諸葛亮,でもまぁ、たまにはサプライズを受ける側になるのも、悪くはないな。
47,ルシファー,ふん、わざわざ教室に行かなくとも、宿舎で勉強でできる！
48,バニラ,龐統さん……もしかして迷子ですか？
49,龐統,ち、違います……冷蔵庫を探しているだけですから！
50,ミカエル,起きてください！朝ですよ～。
51,ルシファー,あと十分……んにゃんにゃ……
52,カーヴェ&バルディ,カーヴェ：ヤコブに愛想でもつかされたか？\nバルディ：カーヴェ～、本当のことを言ったら可哀そうだよ～。
53,イサウ,そんなことないもん！ヤコブ～！
54,黄月英,私のバルは簡単な算数ならできるんだよ！頭いいでしょ！
55,魯班,ふ～ん、私のアシちゃんはロボットを作れるよ～。
56,嫦娥,もち……兎……んにゃ……
57,后羿,寝言も可愛いぞ！録音だ！
58,アンユエ,この女はもしや……余の恋敵か！
59,魏延,くしゅん！うう……なんか嫌な予感が……
60,ウリエル,テレサ殿、神に仕える者として、もう少し言動に注意するべきだと思わないのですか？
61,テレサ,酒！おつまみ！足りな～い！早く持ってきて～！
62,張郃,もう勘弁してよね～、負けっぱなしなのにまだ賭けるつもり？
63,坂本龍馬,次で最後ぜよ！勝てる予感がするき……ほんで、全額返すぜよ！
64,ヘルシング,ドーラーキューラー？
65,ドラキュラ,うわぁ！め、目が怖いんだけど……
66,ヘルシング,ドーラーキューラー！
67,ドラキュラ（原初）,ふふ、悪くない目だわ。久々に楽しめそうね。
68,劉備,今日は何にする？
69,関羽,うむ、生姜焼き定食をお願いしよう。
70,張飛,はいよ！俺様に任せな！
71,ドラキュラ（原初）,この血……毒が混ざっているわ……
72,アパテー,キャハハ！ニンニクを混ぜただけだよ～！
73,呂蒙,いつ見ても格好いい装備だよね！いいなあ～。
74,魏延（青羽）,何故か光に吸い寄せられるのが、困りものですけどね……
75,ぺペロン,ビビアン！今晩ペペが花火を打ち上げたら、捕まっちゃうかな？
76,ビビアン,「今日は大丈夫。明日から謹慎だけど」って、お星さまが言ってますわ～。
77,黄月英,ごめんね、これは犬用のビスケットだから、あげられないの。
78,赤蓮,じゃあ、赤蓮、犬になる、ニャン！
79,陸孫,ハズレか～、残念だね！
80,モニカ,今ここで時を戻せば……
81,ガブリエル,こ、これは……！次の新聞の一面を飾る大スクープです！
82,諸葛亮,ほう？苦情が殺到した場合は助成金を打ち切るから、覚悟したまえ。
83,孫悟空,なあなあ、桃の木にさ、もっと早く実を結べって頼めるか？
84,ミスルト,え、えっと……自然の法則を捻じ曲げるのは……ちょっと……
85,許褚,うん、悪くない。枝も葉も、元気いっぱいみたいだね！
86,ミスルト,はい……！すべて許褚さんのおかげです。
87,ヴェラ,床のお掃除はヴェラに任せて！シルバー先輩は休むの！
88,シルバー,気にするな、掃除は嫌いじゃない。一緒にやろう。
89,ビビアン,これは……お星さまの、警告？
90,司馬昭,あら、ビビアン。最新型の水晶は如何？お安くしとくわよ？
91,ロビー,あなたも……AIなの？アイリーンが……お友達になりたいって……
92,チューリング,おおお！君もAIだったのか！？初めまして、チューリングと友達になるのだ！
93,ロビー,「初めまして、チューリング。彼女はロビー、私はアイリーンです。」
94,フェイズナ,うっ、腹が……痛い……！まさか、敵の攻撃か！？
95,華佗,あらあら、毒キノコを食べちゃったのね。吐き出せば大丈夫よ～。
96,ケーチェ,私たちのペット、仲がいいみたいね。
97,赤蓮,ペット、違う。家族ニャン！
98,ヘルメス,クリス、あたしを世界一の大金持ちにしておくれ！もちろん、タダで！
99,クリス,タダより怖いものなんてありませんよ！というか、そんなの無理です！
100,孫尚香,ふんっ、「大きいやつは優しい」なんて嘘っぱちよ！ただの脂肪の塊じゃない！
101,ロビー,えっ……アイリーンは、大きくて……優しいよ？
102,アンユエ,汝の前で口付けした二人は、永遠に結ばれると聞いたのじゃ……本当か！？
103,ミスルト,（この人、必死すぎて怖い……）しゅ、祝福はさせていただきます……
104,雲母,実に精巧な作りじゃ。妾の泥人形も自由に動ければいいのじゃが……
105,献帝,あの……ずっと私の体を触ってるけど……何か用？
106,貂蟬,先生も悪くないでしょ？よかったら、「調教」の仕方も教えてあ・げ・る♡
107,ウリエル,ええ。この鞭は馬の調教に良さそうですね。ぜひ、お願いします。
108,王異,宿舎で一休みしようかな……ZZZ……ZZZ……
109,魯班,おっ、眠ったな！今のうちに戦闘服の露出を増やしといてやるか！
110,張飛,ヴェラ、一生のお願いだ……今すぐ食堂から出てってくれ！
111,ヴェラ,ご、誤解なの！あの薬草は体にいいって聞いたから入れただけなの！
112,バニラ,曹植さん、本ばかり読んでいないで、ご飯も食べないとダメですよ？
113,曹植,（自分も本の虫のくせに……）はい、これを読み終わったら頂きますね。
114,ディアンヌ,あなたから太陽の香りが……落ち着きますね。
115,后羿,まあ、9つも太陽を打ち落としたからな。
116,アパテー,お姉さま！あたちのライブ、来てくれるわよね！
117,ルシファー,悪いが、shining bandのレッスンだ。
118,ケーチェ,暗殺者に感情は不要。息を潜めて、一撃必殺。それで十分よ。
119,アンユエ,つまらん奴じゃな。だから汝には凄みがないのじゃ。
120,テレサ,龍馬、今晩一杯どう？
121,坂本龍馬,ええぜよ！土佐の地酒をご馳走するき、楽しみに待っちょりや！
122,雲母,汝の強固な盾があれば、大切な者も守れるのじゃろうな。
123,ウリエル,しかし、いくら盾が堅くとも、太陽が沈むのは止められないのです……
124,チューリング,「チュケモン」とは、使い魔を育てて戦わせるシステムなのだ！
125,夏侯淵,えっ？そんなゲーム、他にもあったような……気のせいか！
126,黄月英,人魚だ！でも、人魚ってどうやって飼うのかな～？
127,劉表,お菓子とコーラがあれば大丈夫よ～。あと漫画もお願い！
128,ノーリス,この氷、温かいわね。
129,クリス,これも水晶ですか……？きゃっ、冷たすぎます！
130,イザナミ,全部、全部、カオスのせいよ！
131,マヤ,ちょっ、何よ！あんたなんか怖くないわよ！
132,ノーリス,こちらに騎士の精神に関する伝記小説はあるかしら？
133,曹植,確か三階に……少々お待ちくださいね。
134,董卓,ふふふっ、久しぶりね！
135,献帝,曹操……た、助けて……
136,織田信長,ペペロン、何を隠しているのだ？
137,ぺペロン,べ、別に～？爆弾なんか入ってないよ！
138,ドラキュラ（原初）,この抹茶味の人工血液、まずくて飲めたもんじゃないわね。
139,ドラキュラ,え、そ、そう？アハハ……
140,華佗,お薬って扱ってるかしら？最近、消費量が多いのよ～。
141,ヘルメス,もちろん。頼りにしてもらえて、あたしも光栄さ。
142,于吉,あら～？こんなところに幽霊が～。刈っちゃおうかな～？
143,郭嘉,いや……私に近づかないで……
144,フェイズナ,とびっきりのイタズラを見せてや……あっ、あれ、あたいの道具は！？
145,カーヴェ&バルディ,カーヴェ：今ごろ気付いたか。\nバルディ：ぷぷぷ～。
146,イザナミ,あの人を……イザナギを見なかった……？
147,ディアンヌ,あなたも大切な人と離れ離れに……？大丈夫、きっとまた会えますわ。
148,黄月英,ペンギンだ～！初めて見るよ、どうやって飼ってるの！？
149,魯班,コラッ！私のアシちゃんに向かってなんてことを！
150,千本桜,桜は、散る時が最も美しいの。
151,ぺペロン,花火と一緒だね！お姉ちゃん、一緒に花火しよう！
152,千本桜,ふふっ、楽しそうね。
153,ビビアン,お星さまによると、今日の私はスーパーラッキーだそうですわ！
154,呂蒙,私は！？私は！？
155,ディアンヌ,私の妹は、いったい今どこに……
156,ビビアン,ご安心を。今年は待ち人に会えると、お星さまも言っていますわ。
157,ヘルメス,もう我慢できない！酒だ！酒をくれ！
158,テレサ,それなら、オープンしたばかりのバーに付き合ってくれる？
159,ヘルメス,よし、そっちの奢りだぞ！
160,アンユエ,先輩がデートじゃと？余を差し置いて……許さんぞ！！
161,張郃,今は近づかない方がよさそうね……
162,ノーリス,冬より美しい季節などありません。
163,許褚,お花がかわいそうだよ！冬なんて嫌だ！
164,呂蒙,私もいつかはおばあちゃんになるのかな。そんなの嫌だ～！
165,モニカ,ご、ごめんなさい……時の歩みは私にも止められないので……
166,貂蟬,一人きりは寂しいわ……
167,華佗,生徒を調教しないって約束するなら、宿舎から出してあげるわ。
168,ヘルメス,いいナイフを持っているな。量産すれば、大儲け間違いなしだ。
169,ケーチェ,あんたで切れ味を試してもいいのよ？
170,歩騭,今ごろ海はどうなっているのでしょうか……
171,劉表,ポテチさえあれば、どこにいても幸せよ～。
172,赤蓮,ニャン……
173,ケーチェ,そんなに見つめたって、お年玉はあげないわよ。
174,赤蓮,少しだけ、少しだけニャン……
175,張仲景,怪我してるの！？手術を始めるわよ！
176,フェンリル,大袈裟だな、ただのかすり傷だ！
177,アンユエ,先輩はいつまで余を待たせる気じゃ……
178,フェイズナ,さっきからブツブツうるせえなぁ！
179,アンユエ,なんじゃと！先輩に会わずに正気でいられるはずがなかろう！
