id,name,dialog
109,Sivney,And I'll take this time to improve her gear and design her an embarrassing outfit!
110,Sonya,"Vera, for the mental wellbeing of everyone on campus, please stop trying to cook anymore."
111,Vera,But these herbs are good for their health!
112,Valeera,"Librarian, when's the last time you ate anything?"
113,Librarian,"(Stomach rumbles) Read first, food later."
114,Diana,You remind me of the sun. It feels… nostalgic.
115,Angelica,That's because I shot them down. Probably not what you're looking for.
116,Apate,I have a performance tomorrow! Will you come?
117,Lucifer,"Nah, I'll pass. I have rehearsals with the Shining Band."
118,Kassy,"Emotions are not needed in this line of work; if anything, they can even be hindrances."
119,Blair,"Ugh, you're just so boring and certainly no match for me."
120,Teresa,"You, me, and the bar?"
121,Rogue,Now you're talking!
122,Mika,I envy your skill with a shield. You must have had no problems with protecting whoever you vowed to protect.
123,Uriel,"It doesn't matter now, not when I failed to stop the sun from falling before it should."
124,Turin,Turin's Game is no game at all. It is a tool used to trap and control Servants.
125,Caitlyn,You know what? I've heard of a video game that works exactly that way!
126,Psychic,"Wow, a mermaid! But what do mermaids need to sustain themselves?"
127,Himoto,"Chips, soda, and comic books!"
128,Aurora,This piece of ice feels warmer than others.
129,Krystal,"Oooh, is this some sort of Crystal too…it's freezing my fingers off!!"
130,Izanami,Chaos… Chaos! It was Chaos that ruined me!
131,Maia,"Hey, what do you think you're doing? The Great Maia will not be intimidated by mere mortals!"
132,Aurora,"Good day, I'm searching for any biographies of knights that this library may hold."
133,Librarian,"Of course, I think we have some over on that shelf. Give me a moment to locate them for you."
134,Succuba,"Oh Muppet, when was the last time we've met since Saint tore you away from me?"
135,Muppet,Saint… where are you… please save me again…
136,Nobunaga,"Estel, what are you hiding in your backpack?"
137,Estel,"H-hey! They're just some harmless fireworks, not bombs!"
138,Lord Dracula,Which asinine Vampire decided that Matcha-flavored blood is a good idea?
139,Dracula,"Y-yeah, I totally agree, haha…"
140,Raphael,"Hello, Hermes. I'd like to order some herbs from your Store; the need for them has arisen drastically."
141,Hermes,Of course! It's always a pleasure to do business with you.
142,Scythe,"Now, now, what do we have here? A ghost in the living world, refusing to head to her afterlife!"
143,Wraith,Don't look at me… keep your distance...
144,Frexie,"Heh heh heh, time for my ultimate prank…wait, where are my bag of prank toys?"
145,Gwen & Brigit,Gwen: Finally. \nBrigit: Took her long enough to find out~
146,Izanami,Have you seen my lover…?
147,Diana,I'm afraid I haven't. Have you been separated from a loved one too? Don't give up on them; I hope you will be reunited soon.
148,Psychic,"Woah, a penguin! You don't see much of them in these parts. How do you take care of it?"
149,Sivney,"Who, Bonnie? She's self-sufficient and can take care of herself."
150,Sakura,"The cherry blossoms are breathtaking, even as they pass away…"
151,Estel,No!! I don't want you to die!!
152,Sakura,"Death is inevitable, Estel."
153,Vivian,The stars say that I will be lucky today~
154,Aquaris,What about me? What about me?
155,Diana,"Apollis, my dear sister…"
156,Vivian,"Don't worry. The Stars foretold that you will be reunited with her very soon, didn't they?"
157,Hermes,Up for a drink?
158,Teresa,Tonight?
159,Hermes,Sure. That new bar?
160,Blair,Whoever makes a move on Senpai…will face the consequences.
161,Gambler,Sounds ominous.
162,Aurora,Winter is the purest season of all.
163,Bud Elf,Why do you like winters so much? My plants suffer in the winter!
164,Aquaris,"Hey, Monica! Can you tell me what happens to me in the future?"
165,Monica,…I don't think so.
166,Hottie,I feel so alone in the Dorms…
167,Raphael,"…No matter what you do, just don't mentally scar the students again, please?"
168,Hermes,"Kassy, your daggers are incredibly stylish! Do you think it will be popular if I mass-produced daggers like yours?"
169,Kassy,Don't touch my weapons. I will not take responsibility if you accidentally hurt yourself.
170,Jelly,I wonder if the sea has changed since I left for the land.
171,Himoto,Who cares about the sea? The land is way more fun!
172,Mio,Meow!
173,Kassy,Hm? What do you want?
174,Mio,Good luck meow-ny…I want some…
175,Zoe,"You're injured! Here, I'll patch you up."
176,Fenrir,"It's just a scratch, stop fussing over nothing."
177,Blair,Senpai~Senpai~Where are you~
178,Frexie,"You're acting super creepy now, Blair."
179,Blair,"Creepy? I'll show you creepy, brat."
