id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
51,"Uh-oh, looks like the Doggy is in trouble again... Let's go check it out.",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
52,,buttoncrop_26_h5,0|0,,
53,,buttoncrop_6,0|0,,
54,,buttoncrop_5,0|0,,
55,"Now let's get back to the Campaign, tap here to move to the next Stage",buttoncrop_20,-16|0,,
56,,,,,
57,"Loot accumulates automatically, tap here to claim your loot!",buttoncrop_21,0|2,,
58,Let's start another battle!,buttoncrop_17,0|0,,
59,Tap a Girl's avatar to add them to your lineup.,buttoncrop_3,0|0,,
60,You can [c][d76500]drag[-][/c] a Girl's avatar to change positions with another Girl.,buttoncrop_22,0|-62,,
61,,buttoncrop_5,0|0,,
62,,,,,
63,"Senpai, we've collected more loot!\nTap here to collect it.",buttoncrop_21,0|2,,
64,Great work!\nYou're ready for the next stage!,buttoncrop_20,-16|0,,
65,,,,,
66,"You're doing well, Senpai, but don't forget to collect your auto-loot. After [c][d76500]12 hours[-][/c], Auto-Battle will stop collecting auto-loot.",,,,
67,"Something has happened on the [c][d76500]FrontPage[-][/c].\nLet's go take a look, Senpai~!",buttoncrop_1,0|0,,
68,Tap on [c][d76500]Newbie Benefits[-][/c] to claim [c][d76500]online rewards[-][/c] now~,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
69,Tap here to collect your [c][d76500]online rewards[-][/c]!,buttoncrop_35,0|0,,
70,,buttoncrop_1,0|0,,
71,Tap [c][d76500]Events[-][/c] to collect [c][d76500]Sign-in[-][/c] Rewards.,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
72,,buttoncrop_36,1|1,,
73,The [c][d76500]FrontPage[-][/c] has some items to collect as well~!,buttoncrop_1,0|0,,
74,Come and check out [c][d76500]what is on sale[-][/c] at the [c][d76500]Market[-][/c]~,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
75,Let's go and check out the [c][d76500]Shopping Street[-][/c]~,buttoncrop_16,0|1,,
76,There is a great selection of things to buy at the [c][d76500]Market[-][/c].,buttoncrop_30,-14|-1,,
77,Wow! Looks like there are some [c][d76500]Advanced Capsule Coins[-][/c] for sale! Go ahead and buy some now!,buttoncrop_24,0|60,,
78,,,,,
79,,,,,
80,Now let's try to use your [c][d76500]Advanced Capsule Coin[-][/c].,buttoncrop_1,0|0,,
81,An [c][d76500]Advanced Capsule Coin[-][/c] is used to draw from the Advanced Capsule. Try it out~!,buttoncrop_6,0|1,,
82,,,,,
83,"Oh no! Quick, Senpai, we're running late~!",buttoncrop_1,0|0,,
84,Did you hear that? I think the Doggy is in trouble again!,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
85,Let's go and save the Doggy!,buttoncrop_26_h5,0|0,,
86,,buttoncrop_6,0|0,,
87,,buttoncrop_5,0|0,,
88,,buttoncrop_17,0|0,,
89,,buttoncrop_3,0|0,,
90,,,,,
91,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
92,,,,,
93,,,,,
94,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
95,,,,,
96,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
97,,,,,
98,,,,,
99,Over here~! Tap the [c][d76500]Guild[-][/c] icon to join or create a Guild~!,,,,
100,,,,,
101,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
102,,,,,
103,,,,,
104,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
105,,,,,
106,,,,,
107,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
108,,,,,
109,,,,,
110,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
111,,,,,
112,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,,,,,
114,,,,,
115,,,,,
116,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
117,,,,,
118,,,,,
119,Over here~! Tap the [c][d76500]Guild[-][/c] icon to join or create a Guild~!,,,,
120,"Wow, Senpai! Yuki senses a unique charm in you. You must be the ""Chosen One!""",buttoncrop_26,0|0,,
121,"Lucky for you, the Guilds are recruiting right now. How about creating your own guild. As the ""Chosen One,"" you can create your own Guild for free!",,,,
122,"Hey Senpai, you've collected some [c][d76500]Girl Shards[-][/c]!\nSelect your bag to put them together.",buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
123,"Here, you can [c][d76500]Summon[-][/c] Girls with shards!",buttoncrop_38,0|6,,
124,,,,,
125,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
126,,,,,
127,,old_school_guide_mask,0|0,,
129,Senpai! It's time for [c][d76500]School Excursion[-][/c],buttoncrop_26,0|0,buttoncrop_26_h5,0|0
130,Let's check out the Main Center!,travel_guide_1,18|32,travel_guide_1,18|32
131,Tap the slot!,,,,
132,Set girls to obtain corresponding attribute increase!,,,,
133,Upgrade Main Center to unlock more slots!,,,,
135,Let's check out the Food Truck~,travel_guide_2,-3|-8,travel_guide_2,-3|-8
136,Set girls in production facilities to increase rewards!,travel_guide_3,0|0,travel_guide_3,0|0
138,Upgrade Food Truck to unlock more slots!,,,,
140,"Each facility produces different rewards, tap [c][d76500]Claim All[-][/c] now!",,,,
141,Tap here and explore to get various rewards!,travel_guide_4,0|5,travel_guide_4,0|5
143,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
144,,,,,
145,You can check and adjust your own Outfit here~,,,,
146,,,,,
147,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
148,,,,,
149,,,,,
150,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
151,,,,,
152,,,,,
153,,,,,
154,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
155,,,,,
157,,buttoncrop_37,0|0,buttoncrop_37,0|0
158,,,,,
159,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
160,,,,,
161,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
162,Tap here and get ready to challenge the Stages in Practical Work,,,,
163,,,,,
164,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
165,,,,,
166,Senpai! This is Lineup Preset. You can preset your lineups here~,,,,
167,,,,,
168,,buttoncrop_26,0|0,buttoncrop_26_h5,
169,,,,,
170,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
171,This is the entrance of Galaxy Voyage~,,,,
172,,,,,
173,,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
174,Tap here to check out the Monthly Events,,,,
175,Tap here and get ready to challenge the Stages in Practical Work,,,,
176,,,,,
177,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
