id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5
32002,张三妹,不……不要這樣盯著人家看……人家會……會……會害羞的……主人，需要幫您修花草嗎？,今天她會經過嗎？我就偷偷的看一眼，就一眼,剪成小兔子好呢還是剪成小羊呢？她最近喜歡什麼呢？,我多麼希望能像個普通人一樣，去愛，去被愛……,如果這樣對你比較好，那我會選擇消失,哢擦……哢擦……哢擦……日復一日，年復一年……哢擦……哢擦……哢擦……
32003,风信子,王國第一護衛為您效命！一切為了守護王國的榮譽！,是，公主殿……不，主人。,叫我？隨時為您效勞,唔……即使是主人你，這樣摸是不是也有些失禮呢,一直在這裏發呆，是不是累了？休息也是很重要的喔,今天的下午茶想要配什麼甜點呢……原來如此，馬上為您準備好
32004,神巫女,無論你有多強，也別想獨自背負所有，因為那樣一來，你必然失敗！,只有和我在一起，你才能變得更加強大！,我來為你指明前方的道路，你只管前進即可！,我們的搭配只有勝利，沒有失敗的可能！,我一定會保護你，不會讓你受到太多的苦痛！,你做好和我一起前進的準備了嗎！
32005,泡泡,你就是我的新飼養員嗎？要好好地服侍我哦！,歐尼醬是個笨蛋，就知道砍砍殺殺,火銃真是偉大的發明，用來打獵最合適不過了！,多謝招待！午飯還不錯，那麼，我們晚上吃什麼呢？,可惡，我已經好幾個小時沒吃零食了，飼養員你跑哪去了？,飼養員，飼養員！快抱我出去呼吸新鮮空氣！
33001,堕天使,我的靈魂賣給了鑰匙，我的人格即將被吞噬。擁有了鑰匙，卻無法開啟內心的大門！,隱藏著黑暗力量的鑰匙啊，在我面前顯示你真正的力量！現在以你的主人之名命令你——封印解除！,鑰匙啊鑰匙~你說~只要是能獲得力量，背叛靈魂又怎樣？,無論是什麼門！我的魔法鑰匙都可以打開！,既然你有那麼強大的力量，那我問你，你能打開人們心中的鎖嗎？,要善加保管，不要弄丟了哦，對你們而言是一把鑰匙，對我而言，是我自己。
33002,天使,我聽見了有人在呼喚我~主人，我會讓您每天都開心~這可是我的特長~,走鋼絲，玩球~我無所不能~,紅鼻子，大笑臉，給你們帶來快樂~,我的同桌，卻把我當小丑,幹嘛這麼嚴肅呢！最佳的生存之道就是無法無天！,我是一個小丑，試圖解救別人，卻忘記需要被超度的還有自己。
33003,战神,看~好神奇的魔法呢~雖然我還在研習中，但是我一定會變成非常強大的魔法使的！為了保護主人~,總有一天，要成為主教大人一樣偉大的魔法師！,嘿嘿~這次考試拿了第一，不知道主教大人會不會看到~,欸？書上明明是這樣寫的，為什麼會失敗呢？,魔法-時間凍結！啊，已經晚上了？,遊樂園？那是什麼？可以修習魔法麼？不可以……那為什麼要翹課……
33004,嫦娥,這是新的挑戰嗎？讓我看看通關條件……嗯……守護主人一生……這個關卡，很合我心意呢~,啊勒？這裡是哪裡？好奇怪，明明還有一點經驗就可以升級了！我的怪呢？,主人！情況很奇怪，快點存個檔吧！,不要跟我提索尼子！哼！總是給我設計那麼難的關卡！打不過！,哼~我是從遊戲的世界來的，你又怎麼知道你所在的世界不是遊戲世界。,任務失敗我可是要回到存檔點的呢！存檔點？大概在夏侯淵手上……嗯，那個NDS。
33005,舞倾城,你已經踏入我的陷阱中，再向前一步，小心你的脖子~,沒人能從我的網中逃脫,信長……？我很期待能與你一較高低,主人，善用計謀也是很重要的呢。不過你大概不懂吧。,團結一心才能夠取勝！,說我殘忍也罷，面對敵人我絕不留情
34001,剑魂,您好，我是北方來的射手，請問有什麼能為您效勞的嗎？, 弱點發現，抱歉了！,不好意思，請您稍稍的冷靜一下。,你犯了一個錯誤，那就是欺負了我的朋友！,嘿，集中你的注意力，看看我在哪~,啊……射偏了，你剛剛什麼都沒看見！
34002,云无心,哇，主人，你看起來好美味啊！你願意喂下小鯊嗎？它看起來很喜歡你呢！,人類，真是很美味的生物呢,人類面對死亡時的絕望表情，真是太可愛的了！,那個拿大刀的，切成段好好洗一下，一定很美味！,小鯊，怎麼胖了這麼多？看來最近的食物脂肪含量太高了,又有新鮮的肉了！小鯊！
34003,万圣巫女,家務能力值min，自立能力min，怠惰值max，你要包養這樣的我嗎~~,"emmm,我真的和那位瞌睡蟲阮籍不熟~~~",當賢者真的很累的，你要代替我成為賢者嗎.,那麼，是時候說午安了！,不好意思，一天沒有睡夠30小時，一天都會沒精神的！,我所追求的是:一日三餐外加午睡和零食 包養我的生活
34004,美玲,教會命令我來保護你，不管你是誰，我只是在完成我的任務，直到主教大人召喚我回去為止。,一切……都以主教大人的命令為準……,這是審判的結果……你……無從抵抗……,我只是在執行裁決……只要是主教大人下達的裁決結果，就都是正確的。,有罪還是無罪，由教會來決定，我的職責，就是把你帶回去。,不公平？找上帝說去吧……
34005,人造人,你看起來好像很能喝的樣子，來來來，先陪我喝一杯！,管那麽多幹嘛？不如來陪我喝酒吧！,來把花牌吧，我打賭你這次還會輸給我！,自己開心就好了。,我也不知道明天會是什麽樣，但是衹要今天有酒喝就夠了。,如果你見到我的師妹，就告訴她我一定會砍了她！
35001,小渊,孤高的魔女，那就是世人給予我的稱呼。你還是第一個以能力而不是美貌來評判我的人，所以稍微獎勵你一下吧~,雖然喜歡頹廢而燦爛的東西，倒也不討厭樸素呢。,我並不需要法杖之類的東西，紅薔薇也不過是爲了好看而已。,雖然擅長使用毒，但我真正希冀的東西，也許是最純淨的水也說不定。,魔女就是要住在高高的城堡里，與人世隔絕，這才符合我的身份。,是的，我所使用的都是黑魔法。害怕我嗎？
36001,蔷薇,小兔兔，你說我們什麼時候才能離開這寒冷的月宮呢！,每年中秋節，都好想吃烤肉啊，唉？兔兔？你怎麼跑了？,主人，一個人太孤獨了，你，可以陪著我嗎,月宮真是冷清，主人，你可不要拋下我,只要能離開月宮，我什麼都願意，只要能離開,幾千年，伴隨我的，只有孤冷和悔恨，這樣的日子，不想再繼續下去了
41001,红莲,主人，你想體驗一下死亡的感覺嗎，那就和我一樣，成為僵屍吧,僵屍不用吃飯，不用睡覺，還不會懷孕，主人，你真的不考慮一下？,想和我一樣青春永駐嗎？試試福爾馬林吧,主人，紫陽花，那是我的零食，你要試試看嗎？,啊，好熱，冰箱壞了嗎，我快融化了,哎呀，我的身體，保存期限快到了
41002,心猿,hi~客人，要去烏巢旅遊嗎？有貴族的城堡景點哦~今天打折呢！,全世界的景點都供您選擇哦~主人！,放心放心，有我在，我們是不會迷路的！,唉~那個，那位客人，導航能借我用一下嗎？,我沒有走錯啦！地球是圓的，總會到達目的地的！,主人，不可以的！身為導遊，不能和客人睡在一起的！
41003,小蛮,遠離自然的人類啊，聽從自然之神的呼喚，讓我來指引你通往勝利,本能引領著我的腳步,生死置之度外，讓我來直面危險吧,任何人，都無法抗拒大自然的力量,會使世界滅亡的不會是神魔還是其他，而是人類，人類自己,自然之神終會降臨
41004,圣诞精灵,你知道國際象棋里最強的棋子是什麽嗎？是“后”哦~不受規則限制，想怎麼走就怎麼走~要我選擇，我肯定當后，你的話就當王好了~勉為其難的保護你一下吧~,一切都在我的掌握之中~,軍師？對面會有跟我勢均力敵的對手？怎麼可能~,我不和弱智兒童玩遊戲~那樣會拉低我的智商~,馬走日~象走田~這是規則？哈哈哈我偏不~我的規則就是我自己~,我的智商啊~大概就比你高那麼幾個……~我發現比你高太多了~沒有什麼東西能夠衡量的樣子~
41005,小护士,顏良，奉命而來，主人，以後不光彩的任務，就讓我去做吧！,除了死亡，所有的離開都是背叛。,"任何時候都要戴面具，並保護好面具。因為它，你不需殺了所有人來滅口,也不會引得你的所有家人因你而被殺。",有陽光的地方就會有陰影，我，便是正義之下的暗部,人在為了保護對自己重要的東西的時候，會變得非常堅強。,真正重要的東西，就算失去自己珍貴的生命，也要用雙手保護到底
41006,征服王,並不是妖怪，也不是純粹的人類。與我相遇的人類啊，我到底是什麽，你能告訴我嗎？,與我同有妖之血的人是我唯一的朋友，無論怎樣，我都不會傷害她。,明明只是失敗的作品，爲什麽還會把我撫養長大？,人類什麽的，與妖怪到底有什麽區別呢？我完全不知道啊……,我感受到，妖血在我的身體里沸騰。,好想知道，感情的溫度啊……
41007,傀儡子,噠噠噠噠噠噠~文醜來也~那個~看到我姐姐了嗎？,姐姐大人的胖次，姐姐大人的歐派，姐姐大人的一切，都是我的！,就算是主人！也不可以從我身邊搶走姐姐大人！,姐姐大人~姐姐大人~姐姐大人~讓我和你一起去執行任務吧,醜醜不能沒有姐姐大人~,姐姐大人可是暗部最厲害的了，任務幾乎沒失敗過呢！
41008,剑神,我是如來佛祖玉皇大帝觀音菩薩，指定取西經特派使者，花果山水簾洞美猴王齊天大聖孫悟空啊，帥到掉渣！,失去紫霞，我還有金箍棒,我這個可不是多蘭棍，而是如意金箍棒！,龜~派~氣~功~唉？不對，我為什麼會喊這個！,齊天大聖到此一遊！,曾經，有一份真誠的愛情擺在我面前，我沒有珍惜。
42001,孙小露,這不是cosplay~我可是有護士職業執照的！不過，我只管打針，可不管治病哦~,如果我操作正確 你會有一點痛 如果我操作失誤 你會痛死的,我需要看下你的健保卡，啊，抱歉，這個病屬於保險不支付的類別,我說最後一次，這不是個驚喜脫衣秀喲,唉？主人，你怎麼暈倒了！我立刻給你做人工呼吸~,護士服，貂蟬姐姐，你也是護士嗎？
42002,萌公主,呦~少年~你擋住我的陽光了！,今天的風兒好喧囂~那邊的薯片半價啦！,什麼？一米六？你是瞎了嗎？我明明有一米八！,不許摸我的頭！會長不高的！摸頭殺什麼的，你一定是漫畫看多了吧！,個頭大一定很厲害嗎？恐龍不是照樣滅絕了！,看來得給你點顏色，聽說最有效的管教就是疼痛哦！
42003,文学少女,我的拳頭可以擊破一切阻礙！請一定要多多讓我上場哦！,你看起來就不像是好人,我們去頂樓聊聊！,你最好別惹我，我比你想像中的更厲害,我打賭 你受不了我一拳,不作死就不會死！為什麼你就是不明白！
42004,香香,哎呀~本小姐還想多睡會呢！睡眠不足可是會影響皮膚的！,拿開你的髒手,本小姐要生氣了,戰鬥力只有5的渣渣,你這麼做 真的覺得快樂嗎,你的人生真是無趣
42005,小霹雳,氫氦鋰鈹硼，碳氮氧氟氖，背出下面的元素表，我就承認你為主人哦！,"將溶液A倒入溶液B，再加入溶液C,就會……BOOM……該死，又出事故了",實驗是化學的終極審判，做實驗真是太有趣了,加點木炭，加點硫酸，加點氰化鉀，再加點雞翅？,這是我的新產品，你來喝喝看？我保證，只是蘇打水！,敢和主人作對的人，全部餵硫酸好了~
42006,乔月,主人，你知道嗎？人與人相遇的概率是五千分之一，相知的概率是兩億分之一，能夠與主人相伴，全虧了我精密的計算呢！,質數，多麼完美的存在！,生命，空間，時間！這世上的一切都可以用數字來衡量，真是太美妙了！,最重要的課程！第一是數學，第二是數學，第三是數學！,1000減7等於多少？,啊？你問我？我可是完美的0.618。
42007,斗牛士,主人，看到您真的是太開心了！請問有什麼吃的嗎？放心，我的飯量也就您的幾倍而已！,有兩樣東西是別人搶不走的。一個是你吃進肚子的食物，另一個是你藏在心裡的夢想。做個有夢想的吃貨，你就是無敵的！,吃東西又不累 最適合我了~,什麼 你是想搶我的零食嗎！！,天啊！我的衣服又瘦了！,人之初，性本善，你掏錢，我吃飯！
42008,巫眉,好好聽我的命令！我可不想因為你的愚蠢而戰敗！,你是想成為我斧下的亡魂嗎？！,腐女是什麼…,人被殺就會死！,我？我不是腐女！,不管是過去還是現在，人類都是可愛的生物啊，除了你
43001,皇姐,所有人都是有罪的，十字架，是上帝的恩賜，我要用它，救贖主人！,世界上的一切，都來自上帝的恩賜！,洗淨你的原罪，一起迎來救贖,虔誠的人不再照自己的意志生活，也不行世界的道路，只遵行上帝的旨意,友善，原諒，世間萬事萬物都有它的緣由,主人的痛苦，由我來承受！
43002,特工,我只執行殺戮的命令，沒有執行過守護的命令。小心，你不要被我一不小心殺掉呢……,人的價值是什麼？你只要被殺掉就好了。,性命很重要？與我無關。我只要執行命令就好。,血，和一般的水有什麼區別呢……,我聽不懂，我也不需要聽得懂。告訴我，要殺掉誰。,所有都無關緊要……包括我。
43003,樱花,你就是我的新任務對象嗎？嗯，總有一天我會執行任務的，在這之前請和我好好相處吧。,黑色的衣服便於在黑夜里行動，畢竟我做的事情不能讓別人看見嘛。,自由的時間，要幹什麽好呢？我有很多很多的事情想要嘗試呢。,我一直都只在夜裡出門呢，陽光，原來是這種溫度啊……,你說有任務來了？嗯，我會成功完成的。,跟大家一起上學什麽的，以前的我從來沒有這種經歷呢，我只要完成任務就好了。
43004,运动员,區區人類，居然能夠將我召喚出來？看來你有什麼我不知道的秘密呢？難道你不知道本大人最憎恨的就是人類？,人類，都該死,哼，人類？他們最會的不就是背叛麼？,你以為我只是一個劍魂？,這副身體，看來還能撐很久呢,把身體交給我，我來幫你實現願望
43005,晚晚,快！快說！學長你想揍誰！我已經迫不及待了！,我叫一聲你的名字，你敢答應嗎？,我的機甲葫蘆中，可是大有乾坤哦~！,有不公平的地方，必定會有阻止不公平的人出現。,葫蘆？酒？魔法？正義？哦呵呵呵~,誰也不能欺壓他人，否則，早晚會受到正義遊俠的懲治！
43006,美工刀,背叛者是不可饶恕的！我的后背，就交给你了！,人，必须保持明快的性格，否则就不能出人头地,吾似朝露降人间，来去匆匆瞬即逝。 ,大阪巍巍气势盛，亦如梦中虚幻姿。,为区区小事萎缩不前，怎么能完成大事业呢？,世上的事情，不管什么事，都要干得漂亮
43007,蝶衣,主人，您不嫌棄我嗎？以後我一定會好好努力的！,我其實是非常厲害的 所以請不要欺負我,不許亂碰了 再碰 再碰 再碰我就哭給你看,你們都是壞人 我要告訴老師,嗚嗚嗚 ~~~,求你了，不要碰我好不好
43008,糖果,什麼？是你在喊我嗎？是有什麼bug！？哦，沒有就好，那我繼續寫程式了！,工程師約會秘笈--開玩笑，你認為有人願意和工程師約會嗎？,好困好困，那個破bug，害的我加班24小時,什麼？看電影？我還是先把程式提交了再說吧,我是什麼罩杯？C++,欸？我的手機壞了嗎？怎麼一個月都沒接到任何電話和訊息
44001,韦天,我聽到了馬蹄聲，你是來接我的王子嗎？你會吻我嗎？會為我穿上水晶鞋嗎？,你把我的水晶鞋藏到哪裡了？,在那顆星星上，一定會有一個王子來接本公主~到他的王國~,我讀過《白雪公主》，《豌豆公主》，還有好多好多…我也一定是個公主！,我的蓬蓬裙~我的小陽傘，欸，蕾絲怎麼掉了，快來幫本公主縫起來！,門口那個乞丐，一定是惡毒的皇后派來的！這所有的蘋果，一定都有毒！
44002,文曲,駕！駕！駕！主人快來陪我玩過家家嘛~我是白馬王子，你是灰姑娘~,你要帶我去遊樂園嗎？,我要那個糖果，冰淇淋也要！啊！還有那個甜甜圈！,美少女~變身！小怪獸在哪裡？我要保護地球！,我的小馬跑得比你快~,把你手上的東西！給我吃！
44003,星芒,咕.咕.咕.咕…渴死我了，這邊的溫度太高了，水，水，水！我還要水！,我是幫忙看店的，客人您看上了什麼呢？,歡迎光臨，本店不賣水產品,客人好眼光,您真是大方呢,已經賣光了，客人，下次我一定為您多留點
44004,手电筒,你就是我要幫助的那個人嗎？我還是第一次見到除了師門之外的人呢，那以後就請多多關照了~,左慈是我的師姐哦，她是道家最強的人，沒有之一。我很喜歡她，當然也很喜歡你。,我能夠招魂，你有什麽想見的人嗎？,我的能力與司馬昭的占卜不一樣呢，她是占卜未來，我是看透過去。,山下有很多我不知道的事情呢……很有趣，也很複雜……,真的想一直和你一起啊，你帶著我知道了很多以前的我不知道的事情。可是我，有沒有幫到你呢？
