id,award,special,double_award
137,2#150,0,1
138,36#1,1,0
139,2#30,0,1
140,2#30,0,1
141,930103#10,1,0
142,2#30,0,1
143,2#30,0,1
144,940001#30,1,0
145,2#30,0,1
146,2#30,0,1
147,930103#10,1,0
148,2#30,0,1
149,2#200,0,1
150,36#2,1,0
151,2#30,0,1
152,940001#30,1,0
153,2#30,0,1
154,930109#10,1,0
155,2#30,0,1
156,2#30,0,1
157,36#1,1,0
158,2#30,0,1
159,2#100,0,1
160,930109#10,1,0
161,2#30,0,1
162,940001#30,1,0
163,2#30,0,1
164,2#30,0,1
165,930109#10,1,0
166,2#30,0,1
167,2#150,0,1
168,36#1,1,0
169,2#30,0,1
170,2#30,0,1
171,930109#10,1,0
172,2#30,0,1
173,2#30,0,1
174,940001#30,1,0
175,2#30,0,1
176,2#30,0,1
177,930109#10,1,0
178,2#30,0,1
179,2#200,0,1
180,36#2,1,0
181,2#30,0,1
182,940001#30,1,0
183,2#30,0,1
184,930172#10,1,0
185,2#30,0,1
186,2#30,0,1
187,36#1,1,0
188,2#30,0,1
189,2#100,0,1
190,930172#10,1,0
191,2#30,0,1
192,940001#30,1,0
193,2#30,0,1
194,2#30,0,1
195,930172#10,1,0
196,2#30,0,1
197,2#150,0,1
198,36#1,1,0
199,2#30,0,1
200,2#30,0,1
201,930172#10,1,0
202,2#30,0,1
203,2#30,0,1
204,940001#30,1,0
205,2#30,0,1
206,2#30,0,1
207,930172#10,1,0
208,2#30,0,1
209,2#200,0,1
210,36#2,1,0
211,2#30,0,1
212,940001#30,1,0
213,2#30,0,1
214,930081#10,1,0
215,2#30,0,1
216,2#30,0,1
217,36#1,1,0
218,2#30,0,1
219,2#100,0,1
220,930081#10,1,0
221,2#30,0,1
222,940001#30,1,0
223,2#30,0,1
224,2#30,0,1
225,930081#10,1,0
226,2#30,0,1
227,2#150,0,1
228,36#1,1,0
229,2#30,0,1
230,2#30,0,1
231,930081#10,1,0
232,2#30,0,1
233,2#30,0,1
234,940001#30,1,0
235,2#30,0,1
236,2#30,0,1
237,930081#10,1,0
238,2#30,0,1
239,2#200,0,1
240,36#2,1,0
241,2#30,0,1
242,940001#30,1,0
243,2#30,0,1
244,930095#10,1,0
245,2#30,0,1
246,2#30,0,1
247,36#1,1,0
248,2#30,0,1
249,2#100,0,1
250,930095#10,1,0
251,2#30,0,1
252,940001#30,1,0
253,2#30,0,1
254,2#30,0,1
255,930095#10,1,0
256,2#30,0,1
257,2#150,0,1
258,36#1,1,0
259,2#30,0,1
260,2#30,0,1
261,930095#10,1,0
262,2#30,0,1
263,2#30,0,1
264,940001#30,1,0
265,2#30,0,1
266,2#30,0,1
267,930095#10,1,0
268,2#30,0,1
269,2#200,0,1
270,36#2,1,0
271,2#30,0,1
272,940001#30,1,0
273,2#30,0,1
274,930173#10,1,0
275,2#30,0,1
276,2#30,0,1
277,36#1,1,0
278,2#30,0,1
279,2#100,0,1
280,930173#10,1,0
281,2#30,0,1
282,940001#30,1,0
283,2#30,0,1
284,2#30,0,1
285,930173#10,1,0
286,2#30,0,1
287,2#150,0,1
288,36#1,1,0
289,2#30,0,1
290,2#30,0,1
291,930173#10,1,0
292,2#30,0,1
293,2#30,0,1
294,940001#30,1,0
295,2#30,0,1
296,2#30,0,1
297,930173#10,1,0
298,2#30,0,1
299,2#200,0,1
300,36#2,1,0
301,2#30,0,1
302,940001#30,1,0
303,2#30,0,1
304,930103#10,1,0
305,2#30,0,1
306,2#30,0,1
307,36#1,1,0
308,2#30,0,1
309,2#100,0,1
310,930103#10,1,0
311,2#30,0,1
312,940001#30,1,0
313,2#30,0,1
314,2#30,0,1
315,930103#10,1,0
316,2#30,0,1
317,2#150,0,1
318,36#1,1,0
319,2#30,0,1
320,2#30,0,1
321,930103#10,1,0
322,2#30,0,1
323,2#30,0,1
324,940001#30,1,0
325,2#30,0,1
326,2#30,0,1
327,930103#10,1,0
328,2#30,0,1
329,2#200,0,1
330,36#2,1,0
331,2#30,0,1
332,940001#30,1,0
333,2#30,0,1
334,930109#10,1,0
335,2#30,0,1
336,2#30,0,1
337,36#1,1,0
338,2#30,0,1
339,2#100,0,1
340,930109#10,1,0
341,2#30,0,1
342,940001#30,1,0
343,2#30,0,1
344,2#30,0,1
345,930109#10,1,0
346,2#30,0,1
347,2#150,0,1
348,36#1,1,0
349,2#30,0,1
350,2#30,0,1
351,930109#10,1,0
352,2#30,0,1
353,2#30,0,1
354,940001#30,1,0
355,2#30,0,1
356,2#30,0,1
357,930109#10,1,0
358,2#30,0,1
359,2#200,0,1
360,36#2,1,0
361,2#30,0,1
362,940001#30,1,0
363,2#30,0,1
364,930172#10,1,0
365,2#30,0,1
366,2#30,0,1
367,36#1,1,0
368,2#30,0,1
369,2#100,0,1
370,930172#10,1,0
371,2#30,0,1
372,940001#30,1,0
373,2#30,0,1
374,2#30,0,1
375,930172#10,1,0
376,2#30,0,1
377,2#150,0,1
378,36#1,1,0
379,2#30,0,1
380,2#30,0,1
381,930172#10,1,0
382,2#30,0,1
383,2#30,0,1
384,940001#30,1,0
385,2#30,0,1
386,2#30,0,1
387,930172#10,1,0
388,2#30,0,1
389,2#200,0,1
390,36#2,1,0
