id,name,remark,qlt,group,type2,awards,item_id,is_show
10063,-1,-1,3,,2,123#120,7063,
10064,-1,-1,2,,2,123#80,7064,
10065,-1,-1,2,,2,123#80,7065,
10066,-1,-1,3,,2,123#120,7066,
10067,-1,-1,3,,2,123#120,7067,
10068,-1,-1,2,,2,123#80,7068,
10069,-1,-1,3,,2,123#120,7069,
10070,-1,-1,2,,2,123#80,7070,
10071,-1,-1,3,,2,123#120,7071,
10072,-1,-1,3,,2,123#120,7072,
10073,-1,-1,3,,2,123#120,7073,
10074,-1,-1,2,,2,123#80,7074,
10075,-1,-1,2,,2,123#80,7075,
10076,-1,-1,3,,2,123#120,7076,
10077,-1,-1,3,,2,123#120,7077,
10078,-1,-1,3,,2,123#120,7078,
10079,-1,-1,3,,2,123#120,7079,
10080,-1,-1,2,,2,123#80,7080,
10081,-1,-1,3,,2,123#120,7081,
10082,-1,-1,2,,2,123#80,7082,
10083,-1,-1,3,,2,123#120,7083,
10084,-1,-1,3,,2,123#120,7084,
10085,-1,-1,2,,2,123#80,7085,
10086,-1,-1,3,,2,123#120,7086,
10087,-1,-1,3,,2,123#120,7087,
10088,-1,-1,2,,1,123#80,7088,
10089,-1,-1,3,,2,123#120,7089,
10090,-1,-1,2,,2,123#80,7090,
10091,-1,-1,2,,2,123#80,7091,
10092,-1,-1,3,,2,123#120,7092,
10093,-1,-1,3,,1,123#120,7093,
10094,-1,-1,2,,1,123#80,7094,
10095,-1,-1,3,,2,123#120,7095,
10096,-1,-1,2,,1,123#80,7096,
10097,-1,-1,2,,1,123#80,7097,
10098,-1,-1,3,,2,123#120,7098,
10099,-1,-1,3,,1,123#120,7099,
10100,-1,-1,3,,2,123#120,7100,
10101,-1,-1,2,,2,123#80,7101,
10102,-1,-1,2,,2,123#80,7102,
10103,-1,-1,3,,1,123#120,7103,
10104,-1,-1,3,,2,123#120,7104,
10105,-1,-1,2,,2,123#80,7105,
10106,-1,-1,3,,2,123#120,7106,
10107,-1,-1,3,,2,123#120,7107,
10108,-1,-1,2,,2,123#80,7108,
10109,-1,-1,3,,1,123#120,7109,
10110,-1,-1,3,,1,123#120,7110,
10111,-1,-1,3,,1,123#120,7111,
10112,-1,-1,3,,1,123#120,7112,
10113,-1,-1,3,,1,123#120,7113,
10114,-1,-1,2,,1,123#80,7114,
10115,-1,-1,3,,1,123#120,7115,
10116,-1,-1,3,,1,123#120,7116,
10117,-1,-1,3,,1,123#120,7117,
10118,-1,-1,3,,1,123#120,7118,
10119,-1,-1,3,,2,123#120,7119,
10120,-1,-1,2,,2,123#80,7120,
10121,-1,-1,3,,2,123#120,7121,
10122,-1,-1,3,,2,123#120,7122,
10123,-1,-1,3,,2,123#120,7123,
10124,-1,-1,3,,2,123#120,7124,
10125,-1,-1,3,,2,123#120,7125,
10126,-1,-1,3,,2,123#120,7126,
10127,-1,-1,3,,1,123#120,7127,
10128,-1,-1,2,,1,123#80,7128,
10129,-1,-1,3,,2,123#120,7129,
10130,-1,-1,3,,1,123#120,7130,
10131,-1,-1,2,,2,123#80,7131,
10132,-1,-1,2,,1,123#80,7132,
10133,-1,-1,2,,1,123#80,7133,
10134,-1,-1,3,,1,123#120,7134,
10135,-1,-1,2,,1,123#80,7135,
10136,-1,-1,3,,1,123#120,7136,
10137,-1,-1,3,,1,123#120,7137,
10138,-1,-1,3,,1,123#120,7138,
10139,-1,-1,3,,1,123#120,7139,
10140,-1,-1,3,,1,123#120,7140,
10141,-1,-1,3,,1,123#120,7141,
10142,-1,-1,3,,1,123#120,7142,
10143,-1,-1,2,,1,123#80,7143,
10144,-1,-1,3,,1,123#120,7144,
10145,-1,-1,2,,1,123#80,7145,
10146,-1,-1,3,,1,123#120,7146,
10147,-1,-1,3,,1,123#120,7147,
10148,-1,-1,2,,1,123#80,7148,
10149,-1,-1,3,,1,123#120,7149,
10150,-1,-1,2,,2,123#80,7150,
10151,-1,-1,3,,1,123#120,7151,
10152,-1,-1,3,,1,123#120,7152,
10153,-1,-1,3,,1,123#120,7153,
10154,-1,-1,3,,1,123#120,7154,
10155,-1,-1,2,,1,123#80,7155,
10156,-1,-1,3,,1,123#120,7156,
10157,-1,-1,2,,2,123#80,7157,
10158,-1,-1,3,,1,123#120,7158,
10159,-1,-1,2,,2,123#80,7159,
10160,-1,-1,3,,1,123#120,7160,
10161,-1,-1,2,,2,123#80,7161,
10162,-1,-1,3,,1,123#120,7162,
10163,-1,-1,2,,2,123#80,7163,
10164,-1,-1,3,,1,123#120,7164,
10165,-1,-1,3,,1,123#120,7165,
10166,-1,-1,3,,1,123#120,7166,
10167,-1,-1,2,,1,123#80,7167,
10168,-1,-1,3,,1,123#120,7168,
10169,-1,-1,2,,1,123#80,7169,
10170,-1,-1,3,,1,123#120,7170,
10171,-1,-1,3,,1,123#120,7171,1622160000
10172,-1,-1,3,,1,123#120,7172,
10173,-1,-1,2,,1,123#80,7173,1622160000
10174,-1,-1,3,,1,123#120,7174,1622160000
10175,-1,-1,2,,1,123#80,7175,
10176,-1,-1,3,,1,123#120,7176,1624579200
10177,-1,-1,2,,1,123#80,7177,1623369600
10178,-1,-1,3,,1,123#120,7178,1623369600
10179,-1,-1,3,,1,123#120,7179,1623974400
10180,-1,-1,3,,1,123#120,7180,1625184000
10181,-1,-1,2,,1,123#80,7181,1624579200
10182,-1,-1,3,,1,123#120,7182,1628208000
10183,-1,-1,2,,1,123#80,7183,
10184,-1,-1,2,,1,123#80,7184,1625788800
10185,-1,-1,3,,1,123#120,7185,1625788800
10186,-1,-1,3,,1,123#120,7186,1626393600
10187,-1,-1,3,,1,123#120,7187,1627603200
10188,-1,-1,3,,1,123#120,7188,1628640000
10189,-1,-1,2,,1,123#80,7189,1626998400
10190,-1,-1,3,,1,123#120,7190,1626998400
10191,-1,-1,3,,1,123#120,7191,1626998400
10192,-1,-1,2,,1,123#80,7192,
10193,-1,-1,3,,1,123#120,7193,1627603200
10194,-1,-1,3,,1,123#120,7194,1628208000
10195,-1,-1,3,,1,123#120,7195,1628208000
10196,-1,-1,3,,1,123#120,7196,1628640000
10197,-1,-1,3,,1,123#120,7197,1629072000
10198,-1,-1,3,,1,123#120,7198,1629072000
10199,-1,-1,3,,1,123#120,7199,1628812800
10200,-1,-1,3,,1,123#120,7200,1629417600
10201,-1,-1,3,,1,123#120,7201,1630022400
10202,-1,-1,3,,1,123#120,7202,1630627200
10203,-1,-1,2,,1,123#80,7203,1630627200
10204,-1,-1,3,,1,123#120,7204,1630627200
10205,-1,-1,2,,1,123#80,7205,
10206,-1,-1,3,,1,123#120,7206,1631232000
10207,-1,-1,3,,1,123#120,7207,1631836800
10208,-1,-1,3,,1,123#120,7208,1631836800
10209,-1,-1,3,,1,123#120,7209,1632441600
10210,-1,-1,3,,1,123#120,7210,1633046400
10211,-1,-1,3,,1,123#120,7211,1633046400
10212,-1,-1,3,,1,123#120,7212,1633651200
10213,-1,-1,3,,1,123#120,7213,1634256000
10214,-1,-1,2,,1,123#80,7214,
10215,-1,-1,3,,1,123#120,7215,1634860800
10216,-1,-1,2,,1,123#80,7216,1634860800
10217,-1,-1,3,,1,123#120,7217,1635465600
10218,-1,-1,3,,1,123#120,7218,1635465600
10219,-1,-1,2,,1,123#80,7219,
10220,-1,-1,3,,1,123#120,7220,1636070400
10221,-1,-1,3,,1,123#120,7221,1636675200
10222,-1,-1,3,,1,123#120,7222,1636675200
10223,-1,-1,2,,1,123#80,7223,1637280000
10224,-1,-1,3,,1,123#120,7224,1637280000
10225,-1,-1,3,,1,123#120,7225,1637884800
10226,-1,-1,3,,1,123#120,7226,1638489600
10227,-1,-1,3,,1,123#120,7227,1639094400
10228,-1,-1,2,,1,123#80,7228,
10229,-1,-1,3,,1,123#120,7229,1639699200
10230,-1,-1,3,,1,123#120,7230,1640304000
10231,-1,-1,3,,1,123#120,7231,1640304000
10232,-1,-1,3,,1,123#120,7232,1640304000
10233,-1,-1,3,,1,123#120,7233,1640908800
10234,-1,-1,3,,1,123#120,7234,1640908800
10235,-1,-1,2,,1,123#80,7235,
10236,-1,-1,3,,1,123#120,7236,1641513600
10237,-1,-1,3,,1,123#120,7237,1642118400
10238,-1,-1,3,,1,123#120,7238,1642723200
10239,-1,-1,3,,1,123#120,7239,1643328000
10240,-1,-1,3,,1,123#120,7240,1643328000
10241,-1,-1,3,,1,123#120,7241,1643932800
10242,-1,-1,3,,1,123#120,7242,1643932800
10243,-1,-1,2,,1,123#80,7243,
10244,-1,-1,2,,1,123#80,7244,1644537600
10245,-1,-1,3,,1,123#120,7245,1644537600
10246,-1,-1,3,,1,123#120,7246,1645142400
10247,-1,-1,3,,1,123#120,7247,1645747200
10248,-1,-1,3,,1,123#120,7248,1646352000
10249,-1,-1,2,,1,123#80,7249,
10250,-1,-1,2,,1,123#80,7250,
10251,-1,-1,3,,1,123#120,7251,1647561600
10252,-1,-1,3,,1,123#120,7252,1647561600
10253,-1,-1,3,,1,123#120,7253,1648166400
10254,-1,-1,3,,1,123#120,7254,1648771200
10255,-1,-1,2,,1,123#80,7255,1648771200
10256,-1,-1,3,,1,123#120,7256,1649376000
10257,-1,-1,2,,1,123#80,7257,
10258,-1,-1,3,,1,123#120,7258,1649980800
10259,-1,-1,2,,1,123#80,7259,1650585600
10260,-1,-1,3,,1,123#120,7260,1650585600
10261,-1,-1,3,,1,123#120,7261,1651190400
10262,-1,-1,3,,1,123#120,7262,1651190400
10263,-1,-1,3,,1,123#120,7263,1651766880
10264,-1,-1,2,,1,123#80,7264,
10265,-1,-1,3,,1,123#120,7265,1652400000
10267,-1,-1,3,,1,123#120,7267,1653004800
10268,-1,-1,3,,1,123#120,7268,
10269,-1,-1,2,,1,123#80,7269,
