id,score_ratio,allDmgRate,atkP,hpP,armP,spdP,miss,free,decDmg,hit,crit,critTime,allHarmDec
37,37,1.9,10,19,1,1,350,400,280,350,500,500,0
38,38,1.95,10.25,19.5,1,1,350,400,285,350,500,500,0
39,39,2,10.5,20,1,1,350,400,290,350,500,500,0
40,40,2.05,10.75,20.5,1,1,350,400,295,350,500,500,0
41,41,2.1,11,21,1,1,400,500,300,400,600,600,0
42,42,2.15,11.25,21.5,1,1,400,500,305,400,600,600,0
43,43,2.2,11.5,22,1,1,400,500,310,400,600,600,0
44,44,2.25,11.75,22.5,1,1,400,500,315,400,600,600,0
45,45,2.3,12,23,1,1,400,500,320,400,600,600,0
46,46,2.35,12.25,23.5,1,1,400,500,325,400,600,600,0
47,47,2.4,12.5,24,1,1,400,500,330,400,600,600,0
48,48,2.45,12.75,24.5,1,1,400,500,335,400,600,600,0
49,49,2.5,13,25,1,1,400,500,340,400,600,600,0
50,50,2.55,13.25,25.5,1,1,400,500,345,400,600,600,0
51,51,2.6,13.5,26,1,1,450,500,350,450,800,800,0
52,52,2.65,13.75,26.5,1,1,450,500,355,450,800,800,0
53,53,2.7,14,27,1,1,450,500,360,450,800,800,0
54,54,2.75,14.25,27.5,1,1,450,500,365,450,800,800,0
55,55,2.8,14.5,28,1,1,450,500,370,450,800,800,0
56,56,2.85,14.75,28.5,1,1,450,500,375,450,800,800,0
57,57,2.9,15,29,1,1,450,500,380,450,800,800,0
58,58,2.95,15.25,29.5,1,1,450,500,385,450,800,800,0
59,59,3,15.5,30,1,1,450,500,390,450,800,800,0
60,60,3.02,15.75,30.5,1,1,450,500,395,450,800,800,0
61,61,3.04,16,31,1,1,500,500,400,500,800,800,0
62,62,3.06,16.25,31.5,1,1,500,500,405,500,800,800,0
63,63,3.08,16.5,32,1,1,500,500,410,500,800,800,0
64,64,3.1,16.75,32.5,1,1,500,500,415,500,800,800,0
65,65,3.12,17,33,1,1,500,500,420,500,800,800,0
66,66,3.14,17.25,33.5,1,1,500,500,425,500,800,800,0
67,67,3.16,17.5,34,1,1,500,500,430,500,800,800,0
68,68,3.18,17.75,34.5,1,1,500,500,435,500,800,800,0
69,69,3.2,18,35,1,1,500,500,440,500,800,800,0
70,70,3.22,18.25,35.5,1,1,500,500,445,500,800,800,0
71,71,3.24,18.5,36,1,1,550,500,450,550,800,800,0
72,72,3.26,18.75,36.5,1,1,550,500,455,550,800,800,0
73,73,3.28,19,37,1,1,550,500,460,550,800,800,0
74,74,3.3,19.25,37.5,1,1,550,500,465,550,800,800,0
75,75,3.32,19.5,38,1,1,550,500,470,550,800,800,0
76,76,3.34,19.75,38.5,1,1,550,500,475,550,800,800,0
77,77,3.36,20,39,1,1,550,500,480,550,800,800,0
78,78,3.38,20.25,39.5,1,1,550,500,485,550,800,800,0
79,79,3.4,20.5,40,1,1,550,500,490,550,800,800,0
80,80,3.42,20.75,40.5,1,1,550,500,495,550,800,800,0
81,81,3.44,21,41,1,1,600,500,500,600,800,800,0
82,82,3.46,21.25,41.5,1,1,600,500,505,600,800,800,0
83,83,3.48,21.5,42,1,1,600,500,510,600,800,800,0
84,84,3.5,21.75,42.5,1,1,600,500,515,600,800,800,0
85,85,3.52,22,43,1,1,600,500,520,600,800,800,0
86,86,3.54,22.25,43.5,1,1,600,500,525,600,800,800,0
87,87,3.56,22.5,44,1,1,600,500,530,600,800,800,0
88,88,3.58,22.75,44.5,1,1,600,500,535,600,800,800,0
89,89,3.6,23,45,1,1,600,500,540,600,800,800,0
90,90,3.62,23.25,45.5,1,1,600,500,545,600,800,800,0
91,91,3.64,23.5,46,1,1,650,500,550,650,800,800,0
92,92,3.66,23.75,46.5,1,1,650,500,555,650,800,800,0
93,93,3.68,24,47,1,1,650,500,560,650,800,800,0
94,94,3.7,24.25,47.5,1,1,650,500,565,650,800,800,0
95,95,3.72,24.5,48,1,1,650,500,570,650,800,800,0
96,96,3.74,24.75,48.5,1,1,650,500,575,650,800,800,0
97,97,3.76,25,49,1,1,650,500,580,650,800,800,0
98,98,3.78,25.25,49.5,1,1,650,500,585,650,800,800,0
99,99,3.8,25.5,50,1,1,650,500,590,650,800,800,0
100,100,3.82,25.75,50.5,1,1,650,500,595,650,800,800,0
101,101,3.84,26,51,1,1,700,500,600,700,800,800,0
102,102,3.86,26.25,51.5,1,1,700,500,600,700,800,800,0
103,103,3.88,26.5,52,1,1,700,500,600,700,800,800,0
104,104,3.9,26.75,52.5,1,1,700,500,600,700,800,800,0
105,105,3.92,27,53,1,1,700,500,600,700,800,800,0
106,106,3.94,27.25,53.5,1,1,700,500,600,700,800,800,0
107,107,3.96,27.5,54,1,1,700,500,600,700,800,800,0
108,108,3.98,27.75,54.5,1,1,700,500,600,700,800,800,0
109,109,4,28,55,1,1,700,500,600,700,800,800,0
110,110,4.02,28.25,55.5,1,1,700,500,600,700,800,800,0
111,111,4.04,28.5,56,1,1,750,500,600,750,800,800,0
112,112,4.06,28.75,56.5,1,1,750,500,600,750,800,800,0
113,113,4.08,29,57,1,1,750,500,600,750,800,800,0
114,114,4.1,29.25,57.5,1,1,750,500,600,750,800,800,0
115,115,4.12,29.5,58,1,1,750,500,600,750,800,800,0
116,116,4.14,29.75,58.5,1,1,750,500,600,750,800,800,0
117,117,4.16,30,59,1,1,750,500,600,750,800,800,0
118,118,4.18,30.25,59.5,1,1,750,500,600,750,800,800,0
119,119,4.2,30.5,60,1,1,750,500,600,750,800,800,0
120,120,4.22,30.75,60.5,1,1,750,500,600,750,800,800,0
121,121,4.24,31,61,1,1,800,500,600,800,800,800,0
122,122,4.26,31.25,61.5,1,1,800,500,600,800,800,800,0
123,123,4.28,31.5,62,1,1,800,500,600,800,800,800,0
124,124,4.3,31.75,62.5,1,1,800,500,600,800,800,800,0
125,125,4.32,32,63,1,1,800,500,600,800,800,800,0
126,126,4.34,32.25,63.5,1,1,800,500,600,800,800,800,0
127,127,4.36,32.5,64,1,1,800,500,600,800,800,800,0
128,128,4.38,32.75,64.5,1,1,800,500,600,800,800,800,0
129,129,4.4,33,65,1,1,800,500,600,800,800,800,0
130,130,4.42,33.25,65.5,1,1,800,500,600,800,800,800,0
131,131,4.44,33.5,66,1,1,850,500,600,850,800,800,0
132,132,4.46,33.75,66.5,1,1,850,500,600,850,800,800,0
133,133,4.48,34,67,1,1,850,500,600,850,800,800,0
134,134,4.5,34.25,67.5,1,1,850,500,600,850,800,800,0
135,135,4.52,34.5,68,1,1,850,500,600,850,800,800,0
136,136,4.54,34.75,68.5,1,1,850,500,600,850,800,800,0
137,137,4.56,35,69,1,1,850,500,600,850,800,800,0
138,138,4.58,35.25,69.5,1,1,850,500,600,850,800,800,0
139,139,4.6,35.5,70,1,1,850,500,600,850,800,800,0
140,140,4.62,35.75,70.5,1,1,850,500,600,850,800,800,0
141,141,4.7,36,75,1,1,900,600,600,900,900,900,100
142,142,4.8,36.25,80,1,1,900,600,605,900,900,900,150
143,143,4.9,36.5,85,1,1,900,600,610,900,900,900,200
144,144,5,36.75,90,1,1,900,600,615,900,900,900,250
145,145,5.1,37,95,1,1,900,600,620,900,900,900,300
146,146,5.2,37.25,100,1,1,950,700,625,950,900,900,350
147,147,5.3,37.5,110,1,1,950,700,630,950,900,900,400
148,148,5.4,37.75,120,1,1,950,700,635,950,900,900,450
149,149,5.5,38,130,1,1,950,700,640,950,900,900,500
150,150,5.6,38.25,140,1,1,950,700,645,950,900,900,550
151,151,5.7,38.5,150,1,1,1000,800,650,1000,1000,1000,600
152,152,5.8,38.75,160,1,1,1000,800,655,1000,1000,1000,650
153,153,5.9,39,170,1,1,1000,800,660,1000,1000,1000,700
154,154,6,39.25,180,1,1,1000,800,665,1000,1000,1000,700
155,155,6.1,39.5,190,1,1,1000,800,670,1000,1000,1000,700
156,156,6.2,39.75,200,1,1,1050,900,675,1050,1000,1000,700
157,157,6.3,40,205,1,1,1050,900,680,1050,1000,1000,700
158,158,6.4,40,210,1,1,1050,900,685,1050,1000,1000,700
159,159,6.5,40,215,1,1,1050,900,690,1050,1000,1000,700
160,160,6.6,40,220,1,1,1050,900,695,1050,1000,1000,700
161,161,6.7,40,225,1,1,1100,1000,700,1100,1100,1100,700
162,162,6.8,40,230,1,1,1100,1000,700,1100,1100,1100,700
163,163,6.9,40,235,1,1,1100,1000,700,1100,1100,1100,700
164,164,7,40,240,1,1,1100,1000,700,1100,1100,1100,700
165,165,7.1,40,245,1,1,1100,1000,700,1100,1100,1100,700
166,166,7.2,40,250,1,1,1150,1100,700,1150,1100,1200,700
167,167,7.3,40,255,1,1,1150,1100,700,1150,1100,1200,700
168,168,7.4,40,260,1,1,1150,1100,700,1150,1100,1200,700
169,169,7.5,40,265,1,1,1150,1100,700,1150,1100,1200,700
170,170,7.6,40,270,1,1,1150,1100,700,1150,1100,1200,700
171,171,7.7,40,275,1,1,1200,1200,700,1200,1200,1300,700
172,172,7.8,40,280,1,1,1200,1200,700,1200,1200,1300,700
173,173,7.9,40,285,1,1,1200,1200,700,1200,1200,1300,700
174,174,8,40,290,1,1,1200,1200,700,1200,1200,1300,700
175,175,8.1,40,295,1,1,1200,1200,700,1200,1200,1300,700
176,176,8.2,40,300,1,1,1250,1300,700,1250,1200,1400,700
177,177,8.3,40,305,1,1,1250,1300,700,1250,1200,1400,700
178,178,8.4,40,310,1,1,1250,1300,700,1250,1200,1400,700
179,179,8.5,40,315,1,1,1250,1300,700,1250,1200,1400,700
180,180,8.6,40,320,1,1,1250,1300,700,1250,1200,1400,700
181,181,8.7,40,325,1,1,1300,1400,700,1300,1300,1500,700
182,182,8.8,40,330,1,1,1300,1400,700,1300,1300,1500,700
183,183,8.9,40,335,1,1,1300,1400,700,1300,1300,1500,700
184,184,9,40,340,1,1,1300,1400,700,1300,1300,1500,700
185,185,9.1,40,345,1,1,1300,1400,700,1300,1300,1500,700
186,186,9.2,40,350,1,1,1350,1500,700,1350,1300,1500,700
187,187,9.3,40,355,1,1,1350,1500,700,1350,1300,1500,700
188,188,9.4,40,360,1,1,1350,1500,700,1350,1300,1500,700
189,189,9.5,40,365,1,1,1350,1500,700,1350,1300,1500,700
190,190,9.6,40,370,1,1,1350,1500,700,1350,1300,1500,700
191,191,9.7,40,375,1,1,1400,1500,700,1400,1400,1500,700
192,192,9.8,40,380,1,1,1400,1500,700,1400,1400,1500,700
193,193,9.9,40,385,1,1,1400,1500,700,1400,1400,1500,700
194,194,10,40,390,1,1,1400,1500,700,1400,1400,1500,700
195,195,10.1,40,395,1,1,1400,1500,700,1400,1400,1500,700
196,196,10.2,40,400,1,1,1450,1500,700,1450,1400,1500,700
197,197,10.3,40,405,1,1,1450,1500,700,1450,1400,1500,700
198,198,10.4,40,410,1,1,1450,1500,700,1450,1400,1500,700
199,199,10.5,40,415,1,1,1450,1500,700,1450,1400,1500,700
200,200,10.6,40,420,1,1,1450,1500,700,1450,1400,1500,700
201,201,10.7,40,425,1,1,1500,1500,700,1500,1500,1500,700
202,202,10.8,40,430,1,1,1500,1500,700,1500,1500,1500,700
203,203,10.9,40,435,1,1,1500,1500,700,1500,1500,1500,700
204,204,11,40,440,1,1,1500,1500,700,1500,1500,1500,700
205,205,11.1,40,445,1,1,1500,1500,700,1500,1500,1500,700
206,206,11.2,40,450,1,1,1550,1500,700,1550,1500,1500,700
207,207,11.3,40,455,1,1,1550,1500,700,1550,1500,1500,700
208,208,11.4,40,460,1,1,1550,1500,700,1550,1500,1500,700
209,209,11.5,40,465,1,1,1550,1500,700,1550,1500,1500,700
210,210,11.6,40,470,1,1,1550,1500,700,1550,1500,1500,700
211,211,11.7,40,475,1,1,1600,1500,700,1600,1600,1500,700
212,212,11.8,40,480,1,1,1600,1500,700,1600,1600,1500,700
213,213,11.9,40,485,1,1,1600,1500,700,1600,1600,1500,700
214,214,12,40,490,1,1,1600,1500,700,1600,1600,1500,700
215,215,12.1,40,495,1,1,1600,1500,700,1600,1600,1500,700
216,216,12.2,40,500,1,1,1650,1500,700,1650,1600,1500,700
217,217,12.3,40,505,1,1,1650,1500,700,1650,1600,1500,700
218,218,12.4,40,510,1,1,1650,1500,700,1650,1600,1500,700
219,219,12.5,40,515,1,1,1650,1500,700,1650,1600,1500,700
220,220,12.6,40,520,1,1,1650,1500,700,1650,1600,1500,700
221,221,12.7,40,525,1,1,1700,1500,700,1700,1700,1500,700
222,222,12.8,40,530,1,1,1700,1500,700,1700,1700,1500,700
223,223,12.9,40,535,1,1,1700,1500,700,1700,1700,1500,700
224,224,13,40,540,1,1,1700,1500,700,1700,1700,1500,700
225,225,13.1,40,545,1,1,1700,1500,700,1700,1700,1500,700
226,226,13.2,40,550,1,1,1750,1500,700,1750,1700,1500,700
227,227,13.3,40,555,1,1,1750,1500,700,1750,1700,1500,700
228,228,13.4,40,560,1,1,1750,1500,700,1750,1700,1500,700
229,229,13.5,40,565,1,1,1750,1500,700,1750,1700,1500,700
230,230,13.6,40,570,1,1,1750,1500,700,1750,1700,1500,700
231,231,13.7,40,575,1,1,1800,1500,700,1800,1800,1500,700
232,232,13.8,40,580,1,1,1800,1500,700,1800,1800,1500,700
233,233,13.9,40,585,1,1,1800,1500,700,1800,1800,1500,700
234,234,14,40,590,1,1,1800,1500,700,1800,1800,1500,700
235,235,14.1,40,595,1,1,1800,1500,700,1800,1800,1500,700
236,236,14.2,40,600,1,1,1850,1500,700,1850,1800,1500,700
237,237,14.3,40,605,1,1,1850,1500,700,1850,1800,1500,700
238,238,14.4,40,610,1,1,1850,1500,700,1850,1800,1500,700
239,239,14.5,40,615,1,1,1850,1500,700,1850,1800,1500,700
240,240,14.6,40,620,1,1,1850,1500,700,1850,1800,1500,700
241,241,14.7,40,625,1,1,1900,1500,700,1900,1900,1500,700
242,242,14.8,40,630,1,1,1900,1500,700,1900,1900,1500,700
243,243,14.9,40,635,1,1,1900,1500,700,1900,1900,1500,700
244,244,15,40,640,1,1,1900,1500,700,1900,1900,1500,700
245,245,15.1,40,645,1,1,1900,1500,700,1900,1900,1500,700
246,246,15.2,40,650,1,1,1950,1500,700,1950,1900,1500,700
247,247,15.3,40,655,1,1,1950,1500,700,1950,1900,1500,700
248,248,15.4,40,660,1,1,1950,1500,700,1950,1900,1500,700
249,249,15.5,40,665,1,1,1950,1500,700,1950,1900,1500,700
250,250,15.6,40,670,1,1,1950,1500,700,1950,1900,1500,700
251,251,15.7,40,675,1,1,2000,1500,700,2000,2000,1500,700
252,252,15.8,40,680,1,1,2000,1500,700,2000,2000,1500,700
253,253,15.9,40,685,1,1,2000,1500,700,2000,2000,1500,700
254,254,16,40,690,1,1,2000,1500,700,2000,2000,1500,700
255,255,16.1,40,695,1,1,2000,1500,700,2000,2000,1500,700
256,256,16.2,40,700,1,1,2000,1500,700,1.5,2000,1500,700
257,257,16.3,40,705,1,1,2000,1500,700,1.5,2000,1500,700
258,258,16.4,40,710,1,1,2000,1500,700,1.5,2000,1500,700
259,259,16.5,40,715,1,1,2000,1500,700,1.5,2000,1500,700
260,260,16.6,40,720,1,1,2000,1500,700,1.5,2000,1500,700
261,261,16.7,40,725,1,1,2000,1500,700,1.5,2000,1500,700
262,262,16.8,40,730,1,1,2000,1500,700,1.5,2000,1500,700
263,263,16.9,40,735,1,1,2000,1500,700,1.5,2000,1500,700
264,264,17,40,740,1,1,2000,1500,700,1.5,2000,1500,700
265,265,17.1,40,745,1,1,2000,1500,700,1.5,2000,1500,700
266,266,17.2,40,750,1,1,2000,1500,700,1.5,2000,1500,700
267,267,17.3,40,755,1,1,2000,1500,700,1.5,2000,1500,700
268,268,17.4,40,760,1,1,2000,1500,700,1.5,2000,1500,700
269,269,17.5,40,765,1,1,2000,1500,700,1.5,2000,1500,700
270,270,17.6,40,770,1,1,2000,1500,700,1.5,2000,1500,700
271,271,17.7,40,775,1,1,2000,1500,700,1.5,2000,1500,700
272,272,17.8,40,780,1,1,2000,1500,700,1.5,2000,1500,700
273,273,17.9,40,785,1,1,2000,1500,700,1.5,2000,1500,700
274,274,18,40,790,1,1,2000,1500,700,1.5,2000,1500,700
275,275,18.1,40,795,1,1,2000,1500,700,1.5,2000,1500,700
276,276,18.2,40,800,1,1,2000,1500,700,1.5,2000,1500,700
277,277,18.3,40,805,1,1,2000,1500,700,1.5,2000,1500,700
278,278,18.4,40,810,1,1,2000,1500,700,1.5,2000,1500,700
279,279,18.5,40,815,1,1,2000,1500,700,1.5,2000,1500,700
280,280,18.6,40,820,1,1,2000,1500,700,1.5,2000,1500,700
281,281,18.7,40,825,1,1,2000,1500,700,1.5,2000,1500,700
282,282,18.8,40,830,1,1,2000,1500,700,1.5,2000,1500,700
283,283,18.9,40,835,1,1,2000,1500,700,1.5,2000,1500,700
284,284,19,40,840,1,1,2000,1500,700,1.5,2000,1500,700
285,285,19.1,40,845,1,1,2000,1500,700,1.5,2000,1500,700
286,286,19.2,40,850,1,1,2000,1500,700,1.5,2000,1500,700
287,287,19.3,40,855,1,1,2000,1500,700,1.5,2000,1500,700
288,288,19.4,40,860,1,1,2000,1500,700,1.5,2000,1500,700
289,289,19.5,40,865,1,1,2000,1500,700,1.5,2000,1500,700
290,290,19.6,40,870,1,1,2000,1500,700,1.5,2000,1500,700
291,291,19.7,40,875,1,1,2000,1500,700,1.5,2000,1500,700
292,292,19.8,40,880,1,1,2000,1500,700,1.5,2000,1500,700
293,293,19.9,40,885,1,1,2000,1500,700,1.5,2000,1500,700
294,294,20,40,890,1,1,2000,1500,700,1.5,2000,1500,700
295,295,20.1,40,895,1,1,2000,1500,700,1.5,2000,1500,700
296,296,20.2,40,900,1,1,2000,1500,700,1.5,2000,1500,700
297,297,20.3,40,905,1,1,2000,1500,700,1.5,2000,1500,700
298,298,20.4,40,910,1,1,2000,1500,700,1.5,2000,1500,700
299,299,20.5,40,915,1,1,2000,1500,700,1.5,2000,1500,700
300,300,20.6,40,920,1,1,2000,1500,700,1.5,2000,1500,700
