id,monsters,stands,map,boss_map,boss_map_xy,boss_map_scale
20201124,3002208,1,battle_map_34_1,,,
20201125,3002301,1,battle_map_34_1,,,
20201126,3002302,1,battle_map_34_1,,,
20201127,3002303,1,battle_map_34_1,,,
20201128,3002304,1,battle_map_34_1,,,
20201129,3002305,1,battle_map_34_1,,,
20201130,3002306,1,battle_map_34_1,,,
20201131,3002307,1,battle_map_34_1,,,
20201132,3002308,1,battle_map_34_1,,,
20201133,3002401,1,battle_map_34_1,,,
20201134,3002402,1,battle_map_34_1,,,
20201135,3002403,1,battle_map_34_1,,,
20201136,3002404,1,battle_map_34_1,,,
20201137,3002405,1,battle_map_34_1,,,
20201138,3002406,1,battle_map_34_1,,,
20201139,3002407,1,battle_map_34_1,,,
20201140,3002408,1,battle_map_34_1,,,
20201141,3003001,1,battle_map_22_1,,,
20201142,3003002,1,battle_map_22_1,,,
20201143,3003003,1,battle_map_22_1,,,
20201144,3003004,1,battle_map_22_1,,,
20201145,3003005,1,battle_map_22_1,,,
20201146,3003006,1,battle_map_22_1,,,
20201147,3003007,1,battle_map_22_1,,,
20201148,3003008,1,battle_map_22_1,,,
20201149,3003101,1,battle_map_22_1,,,
20201150,3003102,1,battle_map_22_1,,,
20201151,3003103,1,battle_map_22_1,,,
20201152,3003104,1,battle_map_22_1,,,
20201153,3003105,1,battle_map_22_1,,,
20201154,3003106,1,battle_map_22_1,,,
20201155,3003107,1,battle_map_22_1,,,
20201156,3003108,1,battle_map_22_1,,,
20201157,3003201,1,battle_map_22_1,,,
20201158,3003202,1,battle_map_22_1,,,
20201159,3003203,1,battle_map_22_1,,,
20201160,3003204,1,battle_map_22_1,,,
20201161,3003205,1,battle_map_22_1,,,
20201162,3003206,1,battle_map_22_1,,,
20201163,3003207,1,battle_map_22_1,,,
20201164,3003208,1,battle_map_22_1,,,
20201165,3003301,1,battle_map_22_1,,,
20201166,3003302,1,battle_map_22_1,,,
20201167,3003303,1,battle_map_22_1,,,
20201168,3003304,1,battle_map_22_1,,,
20201169,3003305,1,battle_map_22_1,,,
20201170,3003306,1,battle_map_22_1,,,
20201171,3003307,1,battle_map_22_1,,,
20201172,3003308,1,battle_map_22_1,,,
20201173,3003401,1,battle_map_22_1,,,
20201174,3003402,1,battle_map_22_1,,,
20201175,3003403,1,battle_map_22_1,,,
20201176,3003404,1,battle_map_22_1,,,
20201177,3003405,1,battle_map_22_1,,,
20201178,3003406,1,battle_map_22_1,,,
20201179,3003407,1,battle_map_22_1,,,
20201180,3003408,1,battle_map_22_1,,,
20201181,3003501,1,battle_map_22_1,,,
20201182,3003502,1,battle_map_22_1,,,
20201183,3003503,1,battle_map_22_1,,,
20201184,3003504,1,battle_map_22_1,,,
20201185,3003505,1,battle_map_22_1,,,
20201186,3003506,1,battle_map_22_1,,,
20201187,3003507,1,battle_map_22_1,,,
20201188,3003508,1,battle_map_22_1,,,
20201189,3004001,1,battle_map_22_1,,,
20201190,3004002,1,battle_map_22_1,,,
20201191,3004003,1,battle_map_22_1,,,
20201192,3004004,1,battle_map_22_1,,,
20201193,3004005,1,battle_map_22_1,,,
20201194,3004006,1,battle_map_22_1,,,
20201195,3004007,1,battle_map_22_1,,,
20201196,3004008,1,battle_map_22_1,,,
20201197,3004101,1,battle_map_22_1,,,
20201198,3004102,1,battle_map_22_1,,,
20201199,3004103,1,battle_map_22_1,,,
20201200,3004104,1,battle_map_22_1,,,
20201201,3004105,1,battle_map_22_1,,,
20201202,3004106,1,battle_map_22_1,,,
20201203,3004107,1,battle_map_22_1,,,
20201204,3004108,1,battle_map_22_1,,,
20201205,3004201,1,battle_map_22_1,,,
20201206,3004202,1,battle_map_22_1,,,
20201207,3004203,1,battle_map_22_1,,,
20201208,3004204,1,battle_map_22_1,,,
20201209,3004205,1,battle_map_22_1,,,
20201210,3004206,1,battle_map_22_1,,,
20201211,3004207,1,battle_map_22_1,,,
20201212,3004208,1,battle_map_22_1,,,
20201213,3004301,1,battle_map_22_1,,,
20201214,3004302,1,battle_map_22_1,,,
20201215,3004303,1,battle_map_22_1,,,
20201216,3004304,1,battle_map_22_1,,,
20201217,3004305,1,battle_map_22_1,,,
20201218,3004306,1,battle_map_22_1,,,
20201219,3004307,1,battle_map_22_1,,,
20201220,3004308,1,battle_map_22_1,,,
20201221,3004401,1,battle_map_22_1,,,
20201222,3004402,1,battle_map_22_1,,,
20201223,3004403,1,battle_map_22_1,,,
20201224,3004404,1,battle_map_22_1,,,
20201225,3004405,1,battle_map_22_1,,,
20201226,3004406,1,battle_map_22_1,,,
20201227,3004407,1,battle_map_22_1,,,
20201228,3004408,1,battle_map_22_1,,,
20201229,3004501,1,battle_map_22_1,,,
20201230,3004502,1,battle_map_22_1,,,
20201231,3004503,1,battle_map_22_1,,,
20201232,3004504,1,battle_map_22_1,,,
20201233,3004505,1,battle_map_22_1,,,
20201234,3004506,1,battle_map_22_1,,,
20201235,3004507,1,battle_map_22_1,,,
20201236,3004508,1,battle_map_22_1,,,
202210101,2022101011|2022101012|2022101013|2022101014|2022101015|2022101016,1|2|3|4|5|6,battle_map_bailushamo,,,
202210102,2022101021|2022101022|2022101023|2022101024|2022101025|2022101026,1|2|3|4|5|6,battle_map_bailushamo,,,
202210103,2022101031|2022101032|2022101033|2022101034|2022101035|2022101036,1|2|3|4|5|6,battle_map_bailushamo,,,
202210104,2022101041|2022101042|2022101043|2022101044|2022101045|2022101046,1|2|3|4|5|6,battle_map_bailushamo,,,
202210105,2022101051|2022101052|2022101053|2022101054|2022101055|2022101056,1|2|3|4|5|6,battle_map_bailushamo,,,
202210106,2022101061|2022101062|2022101063|2022101064|2022101065|2022101066,1|2|3|4|5|6,battle_map_bailushamo,,,
202210107,2022101071|2022101072|2022101073|2022101074|2022101075|2022101076,1|2|3|4|5|6,battle_map_bailushamo,,,
202210108,2022101081|2022101082|2022101083|2022101084|2022101085|2022101086,1|2|3|4|5|6,battle_map_bailushamo,,,
202210109,2022101091|2022101092|2022101093|2022101094|2022101095|2022101096,1|2|3|4|5|6,battle_map_bailushamo,,,
202210110,2022101101,1,battle_map_trail_sences_battle1,,,
202210111,2022101111|2022101112|2022101113|2022101114|2022101115|2022101116,1|2|3|4|5|6,battle_map_bailushamo,,,
202210112,2022101121|2022101122|2022101123|2022101124|2022101125|2022101126,1|2|3|4|5|6,battle_map_bailushamo,,,
202210113,2022101131|2022101132|2022101133|2022101134|2022101135|2022101136,1|2|3|4|5|6,battle_map_bailushamo,,,
202210114,2022101141|2022101142|2022101143|2022101144|2022101145|2022101146,1|2|3|4|5|6,battle_map_bailushamo,,,
202210115,2022101151|2022101152|2022101153|2022101154|2022101155|2022101156,1|2|3|4|5|6,battle_map_bailushamo,,,
202210116,2022101161|2022101162|2022101163|2022101164|2022101165|2022101166,1|2|3|4|5|6,battle_map_bailushamo,,,
202210117,2022101171|2022101172|2022101173|2022101174|2022101175|2022101176,1|2|3|4|5|6,battle_map_bailushamo,,,
202210118,2022101181|2022101182|2022101183|2022101184|2022101185|2022101186,1|2|3|4|5|6,battle_map_bailushamo,,,
202210119,2022101191|2022101192|2022101193|2022101194|2022101195|2022101196,1|2|3|4|5|6,battle_map_bailushamo,,,
202210120,2022101201,1,battle_map_trail_sences_battle1,,,
202210121,2022101211|2022101212|2022101213|2022101214|2022101215|2022101216,1|2|3|4|5|6,battle_map_bailushamo,,,
202210122,2022101221|2022101222|2022101223|2022101224|2022101225|2022101226,1|2|3|4|5|6,battle_map_bailushamo,,,
202210123,2022101231|2022101232|2022101233|2022101234|2022101235|2022101236,1|2|3|4|5|6,battle_map_bailushamo,,,
202210124,2022101241|2022101242|2022101243|2022101244|2022101245|2022101246,1|2|3|4|5|6,battle_map_bailushamo,,,
202210125,2022101251|2022101252|2022101253|2022101254|2022101255|2022101256,1|2|3|4|5|6,battle_map_bailushamo,,,
202210126,2022101261|2022101262|2022101263|2022101264|2022101265|2022101266,1|2|3|4|5|6,battle_map_bailushamo,,,
202210127,2022101271|2022101272|2022101273|2022101274|2022101275|2022101276,1|2|3|4|5|6,battle_map_bailushamo,,,
202210128,2022101281|2022101282|2022101283|2022101284|2022101285|2022101286,1|2|3|4|5|6,battle_map_bailushamo,,,
202210129,2022101291|2022101292|2022101293|2022101294|2022101295|2022101296,1|2|3|4|5|6,battle_map_bailushamo,,,
202210130,2022101301,1,battle_map_trail_sences_battle1,,,
202210131,2022101311|2022101312|2022101313|2022101314|2022101315|2022101316,1|2|3|4|5|6,battle_map_bailushamo,,,
202210132,2022101321|2022101322|2022101323|2022101324|2022101325|2022101326,1|2|3|4|5|6,battle_map_bailushamo,,,
202210133,2022101331|2022101332|2022101333|2022101334|2022101335|2022101336,1|2|3|4|5|6,battle_map_bailushamo,,,
202210134,2022101341|2022101342|2022101343|2022101344|2022101345|2022101346,1|2|3|4|5|6,battle_map_bailushamo,,,
202210135,2022101351|2022101352|2022101353|2022101354|2022101355|2022101356,1|2|3|4|5|6,battle_map_bailushamo,,,
202210136,2022101361|2022101362|2022101363|2022101364|2022101365|2022101366,1|2|3|4|5|6,battle_map_bailushamo,,,
202210137,2022101371|2022101372|2022101373|2022101374|2022101375|2022101376,1|2|3|4|5|6,battle_map_bailushamo,,,
202210138,2022101381|2022101382|2022101383|2022101384|2022101385|2022101386,1|2|3|4|5|6,battle_map_bailushamo,,,
202210139,2022101391|2022101392|2022101393|2022101394|2022101395|2022101396,1|2|3|4|5|6,battle_map_bailushamo,,,
202210140,2022101401,1,battle_map_trail_sences_battle1,,,
202210141,2022101411|2022101412|2022101413|2022101414|2022101415|2022101416,1|2|3|4|5|6,battle_map_bailushamo,,,
202210142,2022101421|2022101422|2022101423|2022101424|2022101425|2022101426,1|2|3|4|5|6,battle_map_bailushamo,,,
202210143,2022101431|2022101432|2022101433|2022101434|2022101435|2022101436,1|2|3|4|5|6,battle_map_bailushamo,,,
202210144,2022101441|2022101442|2022101443|2022101444|2022101445|2022101446,1|2|3|4|5|6,battle_map_bailushamo,,,
202210145,2022101451|2022101452|2022101453|2022101454|2022101455|2022101456,1|2|3|4|5|6,battle_map_bailushamo,,,
202210146,2022101461|2022101462|2022101463|2022101464|2022101465|2022101466,1|2|3|4|5|6,battle_map_bailushamo,,,
202210147,2022101471|2022101472|2022101473|2022101474|2022101475|2022101476,1|2|3|4|5|6,battle_map_bailushamo,,,
202210148,2022101481|2022101482|2022101483|2022101484|2022101485|2022101486,1|2|3|4|5|6,battle_map_bailushamo,,,
202210149,2022101491|2022101492|2022101493|2022101494|2022101495|2022101496,1|2|3|4|5|6,battle_map_bailushamo,,,
202210150,2022101501,1,battle_map_trail_sences_battle1,,,
202210201,2022102011|2022102012|2022102013|2022102014|2022102015|2022102016,1|2|3|4|5|6,battle_map_guild,,,
202210202,2022102021|2022102022|2022102023|2022102024|2022102025|2022102026,1|2|3|4|5|6,battle_map_guild,,,
202210203,2022102031|2022102032|2022102033|2022102034|2022102035|2022102036,1|2|3|4|5|6,battle_map_guild,,,
202210204,2022102041|2022102042|2022102043|2022102044|2022102045|2022102046,1|2|3|4|5|6,battle_map_guild,,,
202210205,2022102051|2022102052|2022102053|2022102054|2022102055|2022102056,1|2|3|4|5|6,battle_map_guild,,,
202210206,2022102061|2022102062|2022102063|2022102064|2022102065|2022102066,1|2|3|4|5|6,battle_map_guild,,,
202210207,2022102071|2022102072|2022102073|2022102074|2022102075|2022102076,1|2|3|4|5|6,battle_map_guild,,,
202210208,2022102081|2022102082|2022102083|2022102084|2022102085|2022102086,1|2|3|4|5|6,battle_map_guild,,,
202210209,2022102091|2022102092|2022102093|2022102094|2022102095|2022102096,1|2|3|4|5|6,battle_map_guild,,,
202210210,2022102101,1,battle_map_trail_sences_battle2,,,
202210211,2022102111|2022102112|2022102113|2022102114|2022102115|2022102116,1|2|3|4|5|6,battle_map_guild,,,
202210212,2022102121|2022102122|2022102123|2022102124|2022102125|2022102126,1|2|3|4|5|6,battle_map_guild,,,
202210213,2022102131|2022102132|2022102133|2022102134|2022102135|2022102136,1|2|3|4|5|6,battle_map_guild,,,
202210214,2022102141|2022102142|2022102143|2022102144|2022102145|2022102146,1|2|3|4|5|6,battle_map_guild,,,
202210215,2022102151|2022102152|2022102153|2022102154|2022102155|2022102156,1|2|3|4|5|6,battle_map_guild,,,
202210216,2022102161|2022102162|2022102163|2022102164|2022102165|2022102166,1|2|3|4|5|6,battle_map_guild,,,
202210217,2022102171|2022102172|2022102173|2022102174|2022102175|2022102176,1|2|3|4|5|6,battle_map_guild,,,
202210218,2022102181|2022102182|2022102183|2022102184|2022102185|2022102186,1|2|3|4|5|6,battle_map_guild,,,
202210219,2022102191|2022102192|2022102193|2022102194|2022102195|2022102196,1|2|3|4|5|6,battle_map_guild,,,
202210220,2022102201,1,battle_map_trail_sences_battle2,,,
202210221,2022102211|2022102212|2022102213|2022102214|2022102215|2022102216,1|2|3|4|5|6,battle_map_guild,,,
202210222,2022102221|2022102222|2022102223|2022102224|2022102225|2022102226,1|2|3|4|5|6,battle_map_guild,,,
202210223,2022102231|2022102232|2022102233|2022102234|2022102235|2022102236,1|2|3|4|5|6,battle_map_guild,,,
202210224,2022102241|2022102242|2022102243|2022102244|2022102245|2022102246,1|2|3|4|5|6,battle_map_guild,,,
202210225,2022102251|2022102252|2022102253|2022102254|2022102255|2022102256,1|2|3|4|5|6,battle_map_guild,,,
202210226,2022102261|2022102262|2022102263|2022102264|2022102265|2022102266,1|2|3|4|5|6,battle_map_guild,,,
202210227,2022102271|2022102272|2022102273|2022102274|2022102275|2022102276,1|2|3|4|5|6,battle_map_guild,,,
202210228,2022102281|2022102282|2022102283|2022102284|2022102285|2022102286,1|2|3|4|5|6,battle_map_guild,,,
202210229,2022102291|2022102292|2022102293|2022102294|2022102295|2022102296,1|2|3|4|5|6,battle_map_guild,,,
202210230,2022102301,1,battle_map_trail_sences_battle2,,,
202210231,2022102311|2022102312|2022102313|2022102314|2022102315|2022102316,1|2|3|4|5|6,battle_map_guild,,,
202210232,2022102321|2022102322|2022102323|2022102324|2022102325|2022102326,1|2|3|4|5|6,battle_map_guild,,,
202210233,2022102331|2022102332|2022102333|2022102334|2022102335|2022102336,1|2|3|4|5|6,battle_map_guild,,,
202210234,2022102341|2022102342|2022102343|2022102344|2022102345|2022102346,1|2|3|4|5|6,battle_map_guild,,,
202210235,2022102351|2022102352|2022102353|2022102354|2022102355|2022102356,1|2|3|4|5|6,battle_map_guild,,,
202210236,2022102361|2022102362|2022102363|2022102364|2022102365|2022102366,1|2|3|4|5|6,battle_map_guild,,,
202210237,2022102371|2022102372|2022102373|2022102374|2022102375|2022102376,1|2|3|4|5|6,battle_map_guild,,,
202210238,2022102381|2022102382|2022102383|2022102384|2022102385|2022102386,1|2|3|4|5|6,battle_map_guild,,,
202210239,2022102391|2022102392|2022102393|2022102394|2022102395|2022102396,1|2|3|4|5|6,battle_map_guild,,,
202210240,2022102401,1,battle_map_trail_sences_battle2,,,
202210241,2022102411|2022102412|2022102413|2022102414|2022102415|2022102416,1|2|3|4|5|6,battle_map_guild,,,
202210242,2022102421|2022102422|2022102423|2022102424|2022102425|2022102426,1|2|3|4|5|6,battle_map_guild,,,
202210243,2022102431|2022102432|2022102433|2022102434|2022102435|2022102436,1|2|3|4|5|6,battle_map_guild,,,
202210244,2022102441|2022102442|2022102443|2022102444|2022102445|2022102446,1|2|3|4|5|6,battle_map_guild,,,
202210245,2022102451|2022102452|2022102453|2022102454|2022102455|2022102456,1|2|3|4|5|6,battle_map_guild,,,
202210246,2022102461|2022102462|2022102463|2022102464|2022102465|2022102466,1|2|3|4|5|6,battle_map_guild,,,
202210247,2022102471|2022102472|2022102473|2022102474|2022102475|2022102476,1|2|3|4|5|6,battle_map_guild,,,
202210248,2022102481|2022102482|2022102483|2022102484|2022102485|2022102486,1|2|3|4|5|6,battle_map_guild,,,
202210249,2022102491|2022102492|2022102493|2022102494|2022102495|2022102496,1|2|3|4|5|6,battle_map_guild,,,
202210250,2022102501,1,battle_map_trail_sences_battle2,,,
202210301,2022103011|2022103012|2022103013|2022103014|2022103015|2022103016,1|2|3|4|5|6,battle_map_37_1,,,
202210302,2022103021|2022103022|2022103023|2022103024|2022103025|2022103026,1|2|3|4|5|6,battle_map_37_1,,,
202210303,2022103031|2022103032|2022103033|2022103034|2022103035|2022103036,1|2|3|4|5|6,battle_map_37_1,,,
202210304,2022103041|2022103042|2022103043|2022103044|2022103045|2022103046,1|2|3|4|5|6,battle_map_37_1,,,
202210305,2022103051|2022103052|2022103053|2022103054|2022103055|2022103056,1|2|3|4|5|6,battle_map_37_1,,,
202210306,2022103061|2022103062|2022103063|2022103064|2022103065|2022103066,1|2|3|4|5|6,battle_map_37_1,,,
202210307,2022103071|2022103072|2022103073|2022103074|2022103075|2022103076,1|2|3|4|5|6,battle_map_37_1,,,
202210308,2022103081|2022103082|2022103083|2022103084|2022103085|2022103086,1|2|3|4|5|6,battle_map_37_1,,,
202210309,2022103091|2022103092|2022103093|2022103094|2022103095|2022103096,1|2|3|4|5|6,battle_map_37_1,,,
202210310,2022103101,1,battle_map_trail_sences_battle3,,,
202210311,2022103111|2022103112|2022103113|2022103114|2022103115|2022103116,1|2|3|4|5|6,battle_map_37_1,,,
202210312,2022103121|2022103122|2022103123|2022103124|2022103125|2022103126,1|2|3|4|5|6,battle_map_37_1,,,
202210313,2022103131|2022103132|2022103133|2022103134|2022103135|2022103136,1|2|3|4|5|6,battle_map_37_1,,,
202210314,2022103141|2022103142|2022103143|2022103144|2022103145|2022103146,1|2|3|4|5|6,battle_map_37_1,,,
202210315,2022103151|2022103152|2022103153|2022103154|2022103155|2022103156,1|2|3|4|5|6,battle_map_37_1,,,
202210316,2022103161|2022103162|2022103163|2022103164|2022103165|2022103166,1|2|3|4|5|6,battle_map_37_1,,,
202210317,2022103171|2022103172|2022103173|2022103174|2022103175|2022103176,1|2|3|4|5|6,battle_map_37_1,,,
202210318,2022103181|2022103182|2022103183|2022103184|2022103185|2022103186,1|2|3|4|5|6,battle_map_37_1,,,
202210319,2022103191|2022103192|2022103193|2022103194|2022103195|2022103196,1|2|3|4|5|6,battle_map_37_1,,,
202210320,2022103201,1,battle_map_trail_sences_battle3,,,
202210321,2022103211|2022103212|2022103213|2022103214|2022103215|2022103216,1|2|3|4|5|6,battle_map_37_1,,,
202210322,2022103221|2022103222|2022103223|2022103224|2022103225|2022103226,1|2|3|4|5|6,battle_map_37_1,,,
202210323,2022103231|2022103232|2022103233|2022103234|2022103235|2022103236,1|2|3|4|5|6,battle_map_37_1,,,
202210324,2022103241|2022103242|2022103243|2022103244|2022103245|2022103246,1|2|3|4|5|6,battle_map_37_1,,,
202210325,2022103251|2022103252|2022103253|2022103254|2022103255|2022103256,1|2|3|4|5|6,battle_map_37_1,,,
202210326,2022103261|2022103262|2022103263|2022103264|2022103265|2022103266,1|2|3|4|5|6,battle_map_37_1,,,
202210327,2022103271|2022103272|2022103273|2022103274|2022103275|2022103276,1|2|3|4|5|6,battle_map_37_1,,,
202210328,2022103281|2022103282|2022103283|2022103284|2022103285|2022103286,1|2|3|4|5|6,battle_map_37_1,,,
202210329,2022103291|2022103292|2022103293|2022103294|2022103295|2022103296,1|2|3|4|5|6,battle_map_37_1,,,
202210330,2022103301,1,battle_map_trail_sences_battle3,,,
202210331,2022103311|2022103312|2022103313|2022103314|2022103315|2022103316,1|2|3|4|5|6,battle_map_37_1,,,
202210332,2022103321|2022103322|2022103323|2022103324|2022103325|2022103326,1|2|3|4|5|6,battle_map_37_1,,,
202210333,2022103331|2022103332|2022103333|2022103334|2022103335|2022103336,1|2|3|4|5|6,battle_map_37_1,,,
202210334,2022103341|2022103342|2022103343|2022103344|2022103345|2022103346,1|2|3|4|5|6,battle_map_37_1,,,
202210335,2022103351|2022103352|2022103353|2022103354|2022103355|2022103356,1|2|3|4|5|6,battle_map_37_1,,,
202210336,2022103361|2022103362|2022103363|2022103364|2022103365|2022103366,1|2|3|4|5|6,battle_map_37_1,,,
202210337,2022103371|2022103372|2022103373|2022103374|2022103375|2022103376,1|2|3|4|5|6,battle_map_37_1,,,
202210338,2022103381|2022103382|2022103383|2022103384|2022103385|2022103386,1|2|3|4|5|6,battle_map_37_1,,,
202210339,2022103391|2022103392|2022103393|2022103394|2022103395|2022103396,1|2|3|4|5|6,battle_map_37_1,,,
202210340,2022103401,1,battle_map_trail_sences_battle3,,,
202210341,2022103411|2022103412|2022103413|2022103414|2022103415|2022103416,1|2|3|4|5|6,battle_map_37_1,,,
202210342,2022103421|2022103422|2022103423|2022103424|2022103425|2022103426,1|2|3|4|5|6,battle_map_37_1,,,
202210343,2022103431|2022103432|2022103433|2022103434|2022103435|2022103436,1|2|3|4|5|6,battle_map_37_1,,,
202210344,2022103441|2022103442|2022103443|2022103444|2022103445|2022103446,1|2|3|4|5|6,battle_map_37_1,,,
202210345,2022103451|2022103452|2022103453|2022103454|2022103455|2022103456,1|2|3|4|5|6,battle_map_37_1,,,
202210346,2022103461|2022103462|2022103463|2022103464|2022103465|2022103466,1|2|3|4|5|6,battle_map_37_1,,,
202210347,2022103471|2022103472|2022103473|2022103474|2022103475|2022103476,1|2|3|4|5|6,battle_map_37_1,,,
202210348,2022103481|2022103482|2022103483|2022103484|2022103485|2022103486,1|2|3|4|5|6,battle_map_37_1,,,
202210349,2022103491|2022103492|2022103493|2022103494|2022103495|2022103496,1|2|3|4|5|6,battle_map_37_1,,,
202210350,2022103501,1,battle_map_trail_sences_battle3,,,
