id,next_id,select_next_ids,select,plot,day,activity_plot_list_id,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
25,26,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,,,,,,-1,yanhui_hall,0,partner_picture_51011,,0,,,,,,,,,1,0|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-1,,,,,,-1,yanhui_hall,0,partner_picture_51011,,0,,,,,,,,,1,0|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,,,,2,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,,,,,,-1,yanhui_hall,0,partner_picture_54018,,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,,,,,,-1,yanhui_hall,0,partner_picture_53016,,0,,,,,,,,,1,0|135,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,-1,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,,,,3,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,,,,,,-1,yanhui_hall,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,,,,,,,yanhui_hall,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,,,,,,*,yanhui_hall,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,,,,,,,yanhui_hall,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,112,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,114,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,-1,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,116,,,,4,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,,,,,,,yanhui_hall,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,119,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,120,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,121,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,122,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,129,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,130,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,131,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,133,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,134,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,135,,,,,,,yanhui_hall,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,136,,,,,,-1,yanhui_hall,0,mob_man,,0,,,,,,,,,1.3,-120|-200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,,,,,,-1,yanhui_hall,0,mob_man,,0,,,,,,,,,1.3,-120|-200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,,,,,,-1,yanhui_hall,0,mob_man,,0,,,,,,,,,1.3,-120|-200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,139,,,,,,-1,yanhui_hall,0,mob_woman,,0,,,,,,,,,1.3,-120|-200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,140,,,,,,-1,yanhui_hall,0,mob_man,,0,,,,,,,,,1.3,-120|-200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,141,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,142,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,143,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,144,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,145,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,147,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,148,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,149,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,,,,,,-1,yanhui_hall,0,partner_picture_52018,,0,,,,,,,,,0.85,140|300,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,151,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,152,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,153,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,154,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
