id,name,step,mark,condition,forced,window_name,obj_type,obj_id,no_click,special_func,special_area,record,func_id,mask_type,mask_icon,icon_offset,obj_scale,hand_type,is_transition,is_black,dialog_type,desc,position,flip_x,finger_flip,duration,delay,pause,sound,load_group,load_effect,soft
16,first_battle,1,5,,1,main_window,,btnStory,,,,,,2,buttoncrop_2,0|0,,,1,,2,-1,-385|-70,,,,,,,,,
17,first_battle,1,5,,1,campaign_window,,fightBtn,,,,,,2,buttoncrop_17,0|0,1.1|1.3,,,,1,-1,-408|-48,,,,0.8,,,,,
18,first_battle,1,5,,1,battle_formation_window,1,partnerListWarpContent_|1/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,-1,458|30,1,,,0.1,,,,,
19,first_battle,1,5,,1,battle_formation_window,1,partnerListWarpContent_|2/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,,252|-47,,,,,,,,,
20,first_battle,1,5,,1,battle_formation_window,,battleBtn,,,,1,,2,buttoncrop_5,0|0,,,1,,1,-1,-365|40,,,,,,,,,
21,first_battle,1,5,,1,battle_window,,-1,,,,,,,,,,,,0,2,-1,-326|450,,,,1.5,1|0,,backpack,,
22,first_battle,1,5,,1,battle_window,,btnPause_,,,,,,2,friend_team_boss_crop5,0|0,,,1,0,1,,,,1,,,,,,shenji,
23,first_battle,1,5,,1,battle_tips_window,,,,battleTip,,,,,,,,,,1,1,,,,,,,,,,,
24,first_battle,1,5,,1,battle_win_v2_window,,confirmBtn,,hideGuide,,,,,,,,,,1,1,,,,,,,,,,,
25,compose,1,6,,1,main_window,,MainwinBottomBtn_2,,,,,,0,buttoncrop_1,0|0,1|1.5,,,,1,-1,-176|-176,,,,,,,,,
26,compose,1,6,,1,slot_window,1,nav|tab_3,,,,,,2,buttoncrop_38,0|0,,,,,1,-1,-330|295,,,,,,,,,
27,compose,1,6,,1,slot_window,1,wrapContentDebris_|1/iconPos/advance_icon/hero_icon,,,,,,,,,,,,1,1,-1,460|350,1,,,0.1,,,altar,,
28,compose,1,6,,1,item_tips_window,4,itemTips_|btnBotRight_,,,,,,,,,,,,1,1,,,,,,0.1,,,,,
29,compose,1,6,,1,debris_summon_window,,btnSummon_,,,,1,,,,,,,,1,1,,,,,,,,,,,
30,compose,1,6,,1,alert_award_window,,btnSure_,,,,,,,,,,,,1,1,,,,,,0.2,,,,,
31,compose,1,6,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,458|-55,1,,,,,,,,
32,altar,1,7,,1,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,,,1,-1,420|0,1,,,0.56,,,,,
33,altar,1,7,,1,school_choose_window,1,contentPart2_|btnTransfer/pageIcon,,,,,,0,buttoncrop_9,0|-1,,,,,1,-1,-340|315,,,,0.3,,,partner_info,,
34,altar,1,7,,1,altar_window,,-1,,,,,,,,,,,,,2,-1,-300|420,,,,,,,,,
35,altar,1,7,,1,altar_window,1,heroWarpContent_|1/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,-1,450|280,1,,,,,,,,
36,altar,1,7,,1,altar_window,,btnDisassemble_,,,,1,,2,buttoncrop_19,0|0,,,1,,1,,,,,,,,,,,
37,altar,1,7,,1,alert_item_window,,btn_ok,,,,,,,,,,,,1,1,,,,,,0.3,,,,,
38,hero,1,8,1,1,main_window,,MainwinBottomBtn_2,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,450|-50,1,,,,,,,,
39,hero,1,8,1,1,slot_window,1,wrapContent_|1,,,,,,2,buttoncrop_10,0|0,,,,,1,,,,,,,,,,,
40,hero,1,9,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-420|40,,,,,,,,,
41,hero,2,10,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-420|40,,,,,,,,,
42,hero,3,11,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-420|40,,,,,,,,,
43,hero,4,12,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-420|40,,,,,,,,,
44,hero,5,13,,1,partner_detail_window,1,defaultTabGroup|tab_2,,,,,,2,buttoncrop_11,0|10,,,,,1,-1,-315|38,,,,,,,,,
45,hero,5,13,,1,partner_detail_window,,emptyEquip1,,,,,,2,buttoncrop_12,0|0,,,1,,1,-1,460|20,1,,,,,,,,
46,hero,5,13,,1,choose_equip_window,1,wrapContent_|1/item_icon,,,,,,,,,,,,1,1,,,,,,,,,,,
47,hero,5,13,,1,item_tips_window,4,itemTips_|btnBotMid_,,,,1,,,,,,,,1,1,,,,,,,,,,,
48,hero,5,13,,1,partner_detail_window,,-1,,,,,,,,,,,1,,2,-1,-326|64,,,,,,,,,
49,hero,5,13,,1,partner_detail_window,4,windowTop|closeBtn,,,,,,2,buttoncrop_13,0|0,,,1,,1,,,,,,,,,,,
50,hero,5,13,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,,513|-107,1,,,,,,,,
51,second_battle,1,14,1,1,main_window,,btnStory,,,,,,2,buttoncrop_2,0|0,,,1,,1,-1,-375|-27,,,,0.3,,,,,
52,second_battle,1,14,,1,campaign_window,,dogMiniGameBtn,,,,,,2,buttoncrop_26,0|0,,,1,,2,,,,,,,,,,,
53,second_battle,1,14,,1,dog_mini_game_choice_level_window,,guideItemClick2,,,,,,0,buttoncrop_1,0|0,,,1,,2,,,,,,0.2,,,,,
54,second_battle,1,14,,1,battle_win_window,,dogMiniGameWinGuideBtn,,,,,,2,buttoncrop_5,0|0,,,,1,1,,,,,,0.6,,,,,
55,second_battle,2,15,,1,campaign_window,1,stageListGrid|campaign_stage_2/s_group2,,,,,,2,buttoncrop_20,0|0,,,1,,1,-1,380|15,1,,,1,,,,,
56,second_battle,2,15,,1,campaign_stage_detail_window,,stageHangBtn,,,,1,,,,,,,,1,1,,,,,,,,,,,
57,second_battle,3,16,,1,campaign_window,,getHangResBtn,,,,1,,2,buttoncrop_21,0|2,,,1,,1,-1,-450|292,,,,,,,,,
58,second_battle,4,17,,1,campaign_window,,fightBtn,,,,,,2,buttoncrop_17,-50|-25,1.1|1.3,,,,1,-1,-390|-20,,,,0.8,,,,,
59,second_battle,4,17,,1,battle_formation_window,1,partnerListWarpContent_|3/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,-1,-320|30,,,,0.1,,,,,
60,second_battle,4,17,,1,battle_formation_window,,container1,1,showGuide,,,,2,buttoncrop_22,0|0,,1|-110,,1,2,-1,-240|525,,,,1.5,,,,,
61,second_battle,4,17,,1,battle_formation_window,,battleBtn,,,,1,,2,buttoncrop_5,0|0,,,1,,1,,,,,,,,,,,
62,second_battle,4,17,,1,battle_win_v2_window,,confirmBtn,,hideGuide,,,,,,,,,,1,1,,,,,,,,,,,
63,second_battle,5,18,,1,campaign_window,,getHangResBtn,,,,1,,2,buttoncrop_21,0|2,,,,,1,-1,-450|292,,,,0.5,,,activity_cool_event,,
64,second_battle,6,19,,1,campaign_window,1,stageListGrid|campaign_stage_3/s_group1,,,,,,2,buttoncrop_20,-8|-7,0.8|1,,,,1,-1,-350|15,,,,1,,,,,
65,second_battle,6,19,,1,campaign_stage_detail_window,,stageHangBtn,,,,1,,,,,,,,1,1,,,,,,,,,,,
66,second_battle,6,19,,1,campaign_window,,-1,,,,,,,,,,,,1,2,-1,-326|350,,,,,,,,,
67,second_battle,6,19,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,,,2,-1,600|-87,1,,,,,,,,
68,award,1,23,,1,main_window,4,newbieBtn_|icon,,,,,,2,buttoncrop_15,0|0,,,,,1,-1,460|305,1,,,0.56,,,,,
69,award,1,23,,1,activity_window,7,cur_content_|itemIcon_0|touchField,,,,1,,2,buttoncrop_14,0|0,,,,,1,-1,-300|285,,,,0.56,,,,,
70,award,1,23,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,,514|305,1,,,0.56,,,,,
71,award,2,24,,1,main_window,4,limitBtn_|icon,,,,,,2,buttoncrop_15,0|0,,,1,,1,-1,460|305,1,,,0.9,,,,,
72,award,2,24,,1,activity_window,7,cur_content_|firstItem|icon,,,,1,,2,buttoncrop_23,1|1,,,,,1,,,,,,0.56,,,,,
73,award,2,24,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,458|-55,1,,,1.5,,,,,
74,market,1,20,,1,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,,,1,-1,420|0,1,,,0.6,,,,,
75,market,1,20,,1,school_choose_window,1,contentPart1_|btnMarket/pageIcon,,,,,,0,buttoncrop_16,0|1,,,,,1,-1,346|444,1,,,0.3,,,,,
76,market,1,20,,1,shop_map_window,1,content_|shopMarket,,,,,,2,buttoncrop_30,0|-1,,,,,1,-1,346|356,1,,,0.3,,,,,
77,market,1,20,,1,market_window,1,uiParent_|grid/itemTemp_1/buyBtn,,,,,,2,buttoncrop_24,0|0,,,,,1,-1,438|-83,1,,,0.3,,,,,
78,market,1,20,,1,alert_window,,btnSure_,,,,1,,,,,,,,1,1,,,,,,0.1,,,,,
79,market,1,20,,1,alert_award_window,,btnSure_,,,,,,,,,,,,1,1,,,,,,0.1,,,,,
80,summon_2,1,21,,1,main_window,,MainwinBottomBtn_4,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,-380|-55,,,,,,,,,
81,summon_2,1,21,,1,summon_window,,senior_summon_one,,,,1,,2,buttoncrop_6,0|1,,,,,1,-1,-360|1,,,,0.2,,,,,
82,summon_2,1,21,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,0.8,,,,,
83,summon_2,1,21,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,458|-55,1,,,,,,,,
84,forced_end,1,22,,1,main_window,,btnStory,,,,,,2,buttoncrop_2,0|0,,,1,,1,-1,-386|-17,,,,0.3,,,,,
85,forced_end,1,22,,1,campaign_window,,dogMiniGameBtn,,,,,,2,buttoncrop_26,0|0,,,1,,2,-1,600|280,1,,,,,,,,
86,forced_end,1,22,,1,dog_mini_game_choice_level_window,,guideItemClick3,,,,,,0,buttoncrop_1,0|0,,,1,,2,,,,,,0.2,,,,,
87,forced_end,1,22,,1,battle_win_window,,dogMiniGameWinGuideBtn,,,,,,2,buttoncrop_5,0|0,,,,1,1,,,,,,0.6,,,,,
88,forced_end,1,22,,1,campaign_window,,fightBtn,,,,1,,2,buttoncrop_17,0|0,,,,1,1,,,,,,0.2,,,,,
89,forced_end,1,22,,1,battle_formation_window,1,partnerListWarpContent_|4/hero_icon,,,,,,2,buttoncrop_3,0|0,,,,1,,,,,,,0.1,,,,,
90,gamble,1,25,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
91,gamble,1,25,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
92,gamble,1,25,,,school_choose_window,1,contentPart1_|btnGamble/pageIcon,,,,1,11,0,,,,,,,,,,,,,0.3,,,,,
93,mission,1,26,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
94,mission,1,26,,,main_window,1,transTopR|tr_btn_2,,,,1,13,2,buttoncrop_26,0|0,1.2|1.2,,1,,,,,,2,,0.42,,,,,
95,arena,1,27,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
96,arena,1,27,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
97,arena,1,27,,,battle_choose_window,,gArena,,,,1,14,0,,,,,,,,,,,,,0.3,,,,,
98,guild,1,31,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
99,guild,1,31,,,main_window,,MainwinBottomBtn_5,,,,1,22,0,,,1|1.5,,1,,1,-1,-379|-52,,,,0.2,,,,,
100,tower,1,28,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
101,tower,1,28,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
102,tower,1,28,,,battle_choose_window,,gTower,,,,1,15,0,,,,,,,,,,,,,0.36,,,,,
103,prophet,1,29,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
104,prophet,1,29,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
105,prophet,1,29,,,school_choose_window,1,contentPart2_|btnEnroll/pageIcon,,,,1,16,0,,,,,,,,,,,,,0.3,,,,,
106,pub,1,30,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
107,pub,1,30,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
108,pub,1,30,,,school_choose_window,1,contentPart1_|btnTavern/pageIcon,,,,1,17,0,,,,,,,,,,,,,0.3,,,,,
109,pet,1,33,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
110,pet,1,33,,,main_window,1,transTopR|tr_btn_4,,,,1,28,2,buttoncrop_26,0|0,,,1,,,,,,2,,0.42,,,,,
111,hero challenge,1,34,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,-350|-140,,,,0.5,,,,,
112,hero challenge,1,34,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
113,hero challenge,1,34,,,battle_choose_window,,gHeroChallenge,,,,,,0,,,,,,,,,,,,,,,,,,
114,hero challenge,1,34,,,hero_challenge_window,1,wrapContentNode_|-2/hero_challenge_item,,,,1,31,0,,,,,,,,,,,,,,,,,,
115,friend_team_boss,1,35,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,-350|-140,,,,0.5,,,,,
116,friend_team_boss,1,35,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
117,friend_team_boss,1,35,,,battle_choose_window,,gFriendTeamBoss,,,,1,32,,,0|0,,,,,,,,,,,0.46,,,,,
118,guild_free,1,36,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
119,guild_free,1,36,,,main_window,,MainwinBottomBtn_5,,,,,,0,,,1|1.5,,1,,1,-1,-399|-107,,,,0.2,,,,,
120,guild_free,1,36,,,guild_join_window,,-1,,,,,,,,,,,,,2,-1,-350|-140,,,,0.2,,,,,
121,guild_free,1,36,,,guild_join_window,,-1,,,,1,36,,buttoncrop_31,0|0,,,,,2,-1,-350|240,,,,0.2,,,,,
122,compose_five,1,37,,,main_window,,MainwinBottomBtn_2,,,,,,0,buttoncrop_1,0|0,1|1.5,,,,1,-1,-176|-176,,,,,,,,,1
123,compose_five,1,37,1,,slot_window,1,nav|tab_3,,,,1,,2,buttoncrop_38,0|6,,,,,1,-1,-330|295,,,,,,,,,1
124,old_building,1,42,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
125,old_building,1,42,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
126,old_building,1,42,,,battle_choose_window,,gTower,,,,,,0,,,,,,,,,,,,,0.36,,,,,
127,old_building,1,42,,,tower_window,,oldSchoolBtn,,,,1,39,2,old_school_guide_mask,0|0,,,,,,,,,,,0.2,,,,,
128,travel,1,43,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,-1,,,,,0.2,,,,,
129,travel,1,43,,,main_window,1,transTopR|tr_btn_5,,,,,,2,buttoncrop_26,0|0,,,1,,,-1,-670|230,,2,,0.42,,,,,
130,travel,1,43,,,explore_window,,trainingRoom,,,,,,2,travel_guide_1,18|32,,,,,1,-1,460|360,1,,,0.2,,,,,
131,travel,1,43,,,explore_training_room_window,1,groupPartnerNode|partner_1/touchField,,,,,,,,,,,,,,-1,550|300,1,,,,,,,,
132,travel,1,43,,,explore_training_room_window,1,partnerListWarpContent_|1/hero_icon,,,,,,,,,,,,,,-1,600|-60,1,,,0.62,,,,,
133,travel,1,43,,,explore_training_room_window,1,groupPartnerNode|partner_2/lockImg,,,,,,,,,,,,1,,-1,-340|294,,,,,,,,,
134,travel,1,43,,,explore_training_room_window,,closeBtn,,,,,,,,,1.2|1.2,,,,,-1,,,2,,,,,,,
135,travel,1,43,,,explore_window,,breadHome,,,,,,2,travel_guide_2,-8|-18,,,,,,-1,-420|340,,,,,,,,,
136,travel,1,43,,,explore_bread_home_window,1,groupHero_1|hero_root_1/addImg,,,,,,2,travel_guide_3,0|0,,,,,,-1,540|270,1,,,,,,,,
137,travel,1,43,,,explore_bread_home_window,1,partnerListWarpContent_|1/hero_icon,,,,,,,,,,,,,,-1,,,,,0.62,,,,,
138,travel,1,43,,,explore_bread_home_window,1,groupHero_1|hero_root_2/lockImg,,,,,,,,,,,,1,,,-250|226,,,,,,,,,
139,travel,1,43,,,explore_bread_home_window,,closeBtn,,,,,,,,,1.2|1.2,,,,,,,,,,,,,,,
140,travel,1,43,,,explore_window,,getAllBtn,,,,,,,,,,,,1,,-1,575|-56,1,,,,,,,,
141,travel,1,43,,,explore_window,,adventure,,,,1,40,2,travel_guide_4,30|3,,,,,,,-540|-140,,,,,,,,,
142,senpai_dress,1,44,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
143,senpai_dress,1,44,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
144,senpai_dress,1,44,,,school_choose_window,,tab2,,,,,,,,,,,,,,,,,,,,,,,,
145,senpai_dress,1,44,,,school_choose_window,,btnDress,,,,1,45,,,,,,,,,,466|404,1,,,,,,,,
146,time_cloister,1,45,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,,,,,,
147,time_cloister,1,45,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
148,time_cloister,1,45,,,battle_choose_window,,timeCloister,,,,1,47,0,,,,,,,,,,,,,,,,,,
149,dress_show_window,1,46,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,,,,,,
150,dress_show_window,1,46,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
151,dress_show_window,1,46,,,school_choose_window,,tab2,,,,,,,,,,,,,,,,,,,,,,,,
152,dress_show_window,1,46,,,school_choose_window,,btnDressShow,,,,1,48,,,,,,,,,,466|404,1,,,,,,,,
153,shrine_hurdle,1,47,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,,,,,,
154,shrine_hurdle,1,47,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,0.2,,,,,
155,shrine_hurdle,1,47,,,battle_choose_window,,shrineHurdle,,,,1,49,0,,,,,,,,,,,,,,,,,,
156,game_assistant,1,48,,,func_open_window,,btnGo_,,,,,,0,,,,,,1,,,,,,,,,,,,
157,game_assistant,1,48,,,main_window,,gameAssistantBtn,,,,1,50,2,buttoncrop_37,0|0,,,1,,,,,,2,,0.42,,,,,
158,starry_altar,1,49,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,,,,,,
159,starry_altar,1,49,,,main_window,1,transTopR|tr_btn_6,,,,1,51,2,buttoncrop_26,0|0,,,1,,,,,,2,,0.42,,,,,
160,collection_skin,1,50,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,-1,,,,,,,,,,
161,collection_skin,1,50,,,main_window,,schoolBtn,,,,,,2,buttoncrop_8,-1|-1,1.2|1.2,,1,,,,,,,,0.2,,,,,
162,collection_skin,1,50,,,school_choose_window,,tab2,,,,,,,,,,,,,,,,,,,,,,,,
163,collection_skin,1,50,,,school_choose_window,,btnSkinCollection,,,,1,52,,,,,,,,,,,,,,,,,,,
164,quick_formation,1,51,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,,,,,,
165,quick_formation,1,51,,,main_window,,MainwinBottomBtn_2,,,,,,0,,0|0,1|1.5,,1,,1,-1,450|-50,1,,,,,,,,
166,quick_formation,1,51,,,slot_window,,quickFormationBtn,,,,1,53,0,,0|0,,,1,,1,,640|422,1,,,,,,,,
167,growth_diary,1,52,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.5,,,,,
168,growth_diary,1,52,,,main_window,1,transTopR|tr_btn_7,,,,1,54,2,buttoncrop_26,0|0,1.2|1.2,,1,,,-1,,,2,,0.42,,,,,
169,galaxy_trip,1,53,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,-1,,,,,,,,,,
170,galaxy_trip,1,53,,,main_window,1,transTopR|tr_btn_6,,,,,,2,buttoncrop_26,0|0,,,1,,,,,,2,,0.42,,,,,
171,galaxy_trip,1,53,,,galaxy_start_window,,group2,,,,1,55,,,,,,,,,,-300|300,,,,,,,,,
172,month_practice,1,54,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,-1,,,,,,,,,,
173,month_practice,1,54,,,main_window,4,limitBtn_|icon,,,,,,2,buttoncrop_15,0|0,,,,,,,,1,,,0.42,,,,,
174,month_practice,1,54,,,activity_window,,tab3,,,,,,,,,,,,,,,-505|320,,,,,,,,,
175,month_practice,1,54,,,activity_window,,month_practice_item,,,,1,43,,,,,,1,,,,-180|310,,,,0.42,,,,,
176,soul_land,1,55,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.2,,,,,
177,soul_land,1,55,,,main_window,,arenaBtn,,,,,,2,buttoncrop_27,0|0,1.2|1.2,,1,,,,,,,,,,,,,
178,soul_land,1,55,,,battle_choose_window,,soulLand,,,,1,56,0,,,,,,,,,,,,,,,,,,
