id,day_limit,type,text_type,data_type,label,mission_detail,complete_show,complete_value,award,award2,func_id,go_window,go_params
36,3,8,8,1,2,-1,6,6,1#300000|9#300000,1,,market_window,{'shopType':7}
37,3,8,8,1,2,-1,8,8,1#400000|9#400000,1,,market_window,{'shopType':7}
38,3,8,8,1,2,-1,10,10,1#500000|9#500000,1,,market_window,{'shopType':7}
39,3,8,8,1,2,-1,12,12,1#1000000|9#1000000,1,,market_window,{'shopType':7}
40,3,9,9,1,3,-1,20,20,1#100000|34#5,1,,dates_list_window|dates_window,{'enterType':1}
41,3,9,9,1,3,-1,50,50,1#200000|9#200000,1,,dates_list_window|dates_window,{'enterType':1}
42,3,9,9,1,3,-1,100,100,1#300000|2#500,1,,dates_list_window|dates_window,{'enterType':1}
43,3,10,10,2,3,-1,5,500,1#100000|34#5,1,,dates_list_window|dates_window,{'enterType':1}
44,3,10,10,2,3,-1,10,1000,1#200000|9#200000,1,,dates_list_window|dates_window,{'enterType':1}
45,3,10,10,2,3,-1,20,2000,1#300000|2#500,1,,dates_list_window|dates_window,{'enterType':1}
46,4,1,1,1,1,-1,1,1,2#150|6000#1000,1,,,
47,4,2,2,2,1,-1,40000,40000,6406#1|4065#1,1,,slot_window,
48,4,3,3,1,1,-1,2000,2000,2#7000|4102007#1,1,,vip_window,
49,4,11,11,1,2,-1,3,3,34#10|16#50,1,14,arena_window,
50,4,11,11,1,2,-1,6,6,9#100000|16#50,1,14,arena_window,
51,4,11,11,1,2,-1,10,10,9#200000|16#100,1,14,arena_window,
52,4,11,11,1,2,-1,15,15,9#300000|16#150,1,14,arena_window,
53,4,11,11,1,2,-1,20,20,9#400000|16#200,1,14,arena_window,
54,4,11,11,1,2,-1,30,30,9#500000|16#250,1,14,arena_window,
55,4,12,12,1,3,-1,1,1,1#100000|4#300,1,22,guild_join_window,
56,4,13,13,1,3,-1,2,2,1#200000|4#400,1,22,guild_territory_window,
57,4,13,13,1,3,-1,4,4,1#300000|4#500,1,22,guild_territory_window,
58,4,13,13,1,3,-1,6,6,1#400000|4#600,1,22,guild_territory_window,
59,4,13,13,1,3,-1,8,8,1#800000|4#900,1,22,guild_territory_window,
60,4,13,13,1,3,-1,10,10,1#1200000|4#1200,1,22,guild_territory_window,
61,5,1,1,1,1,-1,1,1,2#200|14#1000,1,,,
62,5,2,2,2,1,-1,45000,45000,940001#300|10#5000,1,,slot_window,
63,5,3,3,1,1,-1,3000,3000,2#10000|73#150,1,,vip_window,
64,5,14,14,1,2,-1,1,1,9#100000|24#10,1,17,tavern_window,
65,5,14,14,1,2,-1,3,3,9#200000|24#10,1,17,tavern_window,
66,5,14,14,1,2,-1,5,5,9#400000|24#20,1,17,tavern_window,
67,5,15,15,1,2,-1,1,1,9#500000|24#20,1,17,tavern_window,
68,5,15,15,1,2,-1,2,2,9#600000|24#20,1,17,tavern_window,
69,5,15,15,1,2,-1,3,3,9#1000000|25#10,1,17,tavern_window,
70,5,17,17,1,3,-1,10,10,1#100000|6#300,1,14,gamble_window,{'type':1}
71,5,17,17,1,3,-1,20,20,1#300000|6#500,1,14,gamble_window,{'type':1}
72,5,17,17,1,3,-1,30,30,1#500000|6#1000,1,14,gamble_window,{'type':1}
73,5,31,31,1,3,-1,3,3,1#200000|35#5,1,,midas_window,
74,5,31,31,1,3,-1,7,7,1#300000|35#10,1,,midas_window,
75,5,31,31,1,3,-1,10,10,1#500000|35#20,1,,midas_window,
76,6,1,1,1,1,-1,1,1,2#200|7#200,1,,,
77,6,2,2,2,1,-1,50000,50000,14#6000|940002#50,1,,slot_window,
78,6,3,3,1,1,-1,5000,5000,2#15000|36#150,1,,vip_window,
79,6,19,19,2,2,-1,1,5201,1#150000|14#500,1,,slot_window|partner_detail_window,{'enterType':2}
80,6,19,20,2,2,-1,1,5209,1#250000|14#750,1,,slot_window|partner_detail_window,{'enterType':2}
81,6,19,21,2,2,-1,1,5301,1#400000|14#1000,1,,slot_window|partner_detail_window,{'enterType':2}
82,6,19,22,2,2,-1,1,5309,1#500000|14#1500,1,,slot_window|partner_detail_window,{'enterType':2}
83,6,19,23,2,2,-1,1,5317,1#600000|14#2000,1,,slot_window|partner_detail_window,{'enterType':2}
84,6,19,24,2,2,-1,1,5401,1#800000|930184#50,1,,slot_window|partner_detail_window,{'enterType':2}
85,6,25,25,1,3,-1,5,5,9#100000|940001#30,1,,backpack_window,
86,6,25,25,1,3,-1,10,10,9#200000|940001#60,1,,backpack_window,
87,6,25,25,1,3,-1,20,20,9#400000|940001#90,1,,backpack_window,
88,6,25,25,1,3,-1,30,30,9#500000|7#500,1,,backpack_window,
89,6,25,25,1,3,-1,40,40,9#600000|7#1000,1,,backpack_window,
90,6,25,25,1,3,-1,50,50,9#1000000|930199#50,1,,backpack_window,
91,7,1,1,1,1,-1,1,1,2#500|36#10,1,,,
92,7,2,2,2,1,-1,60000,60000,93#1|940004#50,1,,slot_window,
93,7,3,3,1,1,-1,10000,10000,2#20000|4402015#1,1,,vip_window,
94,7,26,26,1,2,-1,2,2,26#500|27#200,1,,summon_window,
95,7,26,26,1,2,-1,4,4,26#1000|27#300,1,,summon_window,
96,7,26,26,1,2,-1,6,6,26#1500|27#500,1,,summon_window,
97,7,26,26,1,2,-1,10,10,26#3000|27#1000,1,,summon_window,
98,7,27,27,1,2,-1,1,1,170#20|73#20,1,,slot_window,
99,7,28,28,1,2,-1,1,1,170#40|73#40,1,,slot_window,
100,7,29,29,2,3,-1,50,50,14#1000|25#5,1,,slot_window,
101,7,29,29,2,3,-1,100,100,14#2000|25#10,1,,slot_window,
102,7,29,29,2,3,-1,120,120,14#3000|25#15,1,,slot_window,
103,7,30,30,2,3,-1,200,200,2#200|74#20,1,,collection_window,
104,7,30,30,2,3,-1,300,300,2#400|74#50,1,,collection_window,
105,7,30,30,2,3,-1,400,400,2#600|74#100,1,,collection_window,
