id,next_id,level,card_num,cost,point,skill,img,cloister,type
30020,-1,20,,340#260,110,630320,time_cloister_crystal_card_1_3,3,1
40001,40002,1,1,338#180|339#180,120,630401,time_cloister_crystal_card_1_4,3,1
40002,40003,2,2,338#180|339#180,120,630402,time_cloister_crystal_card_1_4,3,1
40003,40004,3,2,338#180|339#180,120,630403,time_cloister_crystal_card_1_4,3,1
40004,40005,4,3,338#180|339#180,120,630404,time_cloister_crystal_card_1_4,3,1
40005,40006,5,3,338#180|339#180,120,630405,time_cloister_crystal_card_1_4,3,1
40006,40007,6,4,338#180|339#180,120,630406,time_cloister_crystal_card_1_4,3,1
40007,40008,7,4,338#180|339#180,120,630407,time_cloister_crystal_card_1_4,3,1
40008,40009,8,5,338#180|339#180,120,630408,time_cloister_crystal_card_1_4,3,1
40009,40010,9,5,338#180|339#180,120,630409,time_cloister_crystal_card_1_4,3,1
40010,40011,10,6,338#180|339#180,120,630410,time_cloister_crystal_card_1_4,3,1
40011,40012,11,6,338#180|339#180,120,630411,time_cloister_crystal_card_1_4,3,1
40012,40013,12,7,338#180|339#180,120,630412,time_cloister_crystal_card_1_4,3,1
40013,40014,13,7,338#180|339#180,120,630413,time_cloister_crystal_card_1_4,3,1
40014,40015,14,8,338#180|339#180,120,630414,time_cloister_crystal_card_1_4,3,1
40015,40016,15,8,338#180|339#180,120,630415,time_cloister_crystal_card_1_4,3,1
40016,40017,16,9,338#180|339#180,120,630416,time_cloister_crystal_card_1_4,3,1
40017,40018,17,9,338#180|339#180,120,630417,time_cloister_crystal_card_1_4,3,1
40018,40019,18,10,338#180|339#180,120,630418,time_cloister_crystal_card_1_4,3,1
40019,40020,19,10,338#180|339#180,120,630419,time_cloister_crystal_card_1_4,3,1
40020,-1,20,,338#180|339#180,120,630420,time_cloister_crystal_card_1_4,3,1
50001,50002,1,1,338#95|340#120,70,630501,time_cloister_crystal_card_1_5,3,1
50002,50003,2,2,338#95|340#120,70,630502,time_cloister_crystal_card_1_5,3,1
50003,50004,3,2,338#95|340#120,70,630503,time_cloister_crystal_card_1_5,3,1
50004,50005,4,3,338#95|340#120,70,630504,time_cloister_crystal_card_1_5,3,1
50005,50006,5,3,338#95|340#120,70,630505,time_cloister_crystal_card_1_5,3,1
50006,50007,6,4,338#95|340#120,70,630506,time_cloister_crystal_card_1_5,3,1
50007,50008,7,4,338#95|340#120,70,630507,time_cloister_crystal_card_1_5,3,1
50008,50009,8,5,338#95|340#120,70,630508,time_cloister_crystal_card_1_5,3,1
50009,50010,9,5,338#95|340#120,70,630509,time_cloister_crystal_card_1_5,3,1
50010,50011,10,6,338#95|340#120,70,630510,time_cloister_crystal_card_1_5,3,1
50011,50012,11,6,338#95|340#120,70,630511,time_cloister_crystal_card_1_5,3,1
50012,50013,12,7,338#95|340#120,70,630512,time_cloister_crystal_card_1_5,3,1
50013,50014,13,7,338#95|340#120,70,630513,time_cloister_crystal_card_1_5,3,1
50014,50015,14,8,338#95|340#120,70,630514,time_cloister_crystal_card_1_5,3,1
50015,50016,15,8,338#95|340#120,70,630515,time_cloister_crystal_card_1_5,3,1
50016,50017,16,9,338#95|340#120,70,630516,time_cloister_crystal_card_1_5,3,1
50017,50018,17,9,338#95|340#120,70,630517,time_cloister_crystal_card_1_5,3,1
50018,50019,18,10,338#95|340#120,70,630518,time_cloister_crystal_card_1_5,3,1
50019,50020,19,10,338#95|340#120,70,630519,time_cloister_crystal_card_1_5,3,1
50020,-1,20,,338#95|340#120,70,630520,time_cloister_crystal_card_1_5,3,1
60001,60002,1,1,339#105|340#125,90,630601,time_cloister_crystal_card_1_6,3,1
60002,60003,2,2,339#105|340#125,90,630602,time_cloister_crystal_card_1_6,3,1
60003,60004,3,2,339#105|340#125,90,630603,time_cloister_crystal_card_1_6,3,1
60004,60005,4,3,339#105|340#125,90,630604,time_cloister_crystal_card_1_6,3,1
60005,60006,5,3,339#105|340#125,90,630605,time_cloister_crystal_card_1_6,3,1
60006,60007,6,4,339#105|340#125,90,630606,time_cloister_crystal_card_1_6,3,1
60007,60008,7,4,339#105|340#125,90,630607,time_cloister_crystal_card_1_6,3,1
60008,60009,8,5,339#105|340#125,90,630608,time_cloister_crystal_card_1_6,3,1
60009,60010,9,5,339#105|340#125,90,630609,time_cloister_crystal_card_1_6,3,1
60010,60011,10,6,339#105|340#125,90,630610,time_cloister_crystal_card_1_6,3,1
60011,60012,11,6,339#105|340#125,90,630611,time_cloister_crystal_card_1_6,3,1
60012,60013,12,7,339#105|340#125,90,630612,time_cloister_crystal_card_1_6,3,1
60013,60014,13,7,339#105|340#125,90,630613,time_cloister_crystal_card_1_6,3,1
60014,60015,14,8,339#105|340#125,90,630614,time_cloister_crystal_card_1_6,3,1
60015,60016,15,8,339#105|340#125,90,630615,time_cloister_crystal_card_1_6,3,1
60016,60017,16,9,339#105|340#125,90,630616,time_cloister_crystal_card_1_6,3,1
60017,60018,17,9,339#105|340#125,90,630617,time_cloister_crystal_card_1_6,3,1
60018,60019,18,10,339#105|340#125,90,630618,time_cloister_crystal_card_1_6,3,1
60019,60020,19,10,339#105|340#125,90,630619,time_cloister_crystal_card_1_6,3,1
60020,-1,20,,339#105|340#125,90,630620,time_cloister_crystal_card_1_6,3,1
70001,70002,1,1,338#230,100,630701,time_cloister_crystal_card_2_1,3,2
70002,70003,2,2,338#230,100,630702,time_cloister_crystal_card_2_1,3,2
70003,70004,3,2,338#230,100,630703,time_cloister_crystal_card_2_1,3,2
70004,70005,4,3,338#230,100,630704,time_cloister_crystal_card_2_1,3,2
70005,70006,5,3,338#230,100,630705,time_cloister_crystal_card_2_1,3,2
70006,70007,6,4,338#230,100,630706,time_cloister_crystal_card_2_1,3,2
70007,70008,7,4,338#230,100,630707,time_cloister_crystal_card_2_1,3,2
70008,70009,8,5,338#230,100,630708,time_cloister_crystal_card_2_1,3,2
70009,70010,9,5,338#230,100,630709,time_cloister_crystal_card_2_1,3,2
70010,70011,10,6,338#230,100,630710,time_cloister_crystal_card_2_1,3,2
70011,70012,11,6,338#230,100,630711,time_cloister_crystal_card_2_1,3,2
70012,70013,12,7,338#230,100,630712,time_cloister_crystal_card_2_1,3,2
70013,70014,13,7,338#230,100,630713,time_cloister_crystal_card_2_1,3,2
70014,70015,14,8,338#230,100,630714,time_cloister_crystal_card_2_1,3,2
70015,70016,15,8,338#230,100,630715,time_cloister_crystal_card_2_1,3,2
70016,70017,16,9,338#230,100,630716,time_cloister_crystal_card_2_1,3,2
70017,70018,17,9,338#230,100,630717,time_cloister_crystal_card_2_1,3,2
70018,70019,18,10,338#230,100,630718,time_cloister_crystal_card_2_1,3,2
70019,70020,19,10,338#230,100,630719,time_cloister_crystal_card_2_1,3,2
70020,-1,20,,338#230,100,630720,time_cloister_crystal_card_2_1,3,2
80001,80002,1,1,339#220,80,630801,time_cloister_crystal_card_2_2,3,2
80002,80003,2,2,339#220,80,630802,time_cloister_crystal_card_2_2,3,2
80003,80004,3,2,339#220,80,630803,time_cloister_crystal_card_2_2,3,2
80004,80005,4,3,339#220,80,630804,time_cloister_crystal_card_2_2,3,2
80005,80006,5,3,339#220,80,630805,time_cloister_crystal_card_2_2,3,2
80006,80007,6,4,339#220,80,630806,time_cloister_crystal_card_2_2,3,2
80007,80008,7,4,339#220,80,630807,time_cloister_crystal_card_2_2,3,2
80008,80009,8,5,339#220,80,630808,time_cloister_crystal_card_2_2,3,2
80009,80010,9,5,339#220,80,630809,time_cloister_crystal_card_2_2,3,2
80010,80011,10,6,339#220,80,630810,time_cloister_crystal_card_2_2,3,2
80011,80012,11,6,339#220,80,630811,time_cloister_crystal_card_2_2,3,2
80012,80013,12,7,339#220,80,630812,time_cloister_crystal_card_2_2,3,2
80013,80014,13,7,339#220,80,630813,time_cloister_crystal_card_2_2,3,2
80014,80015,14,8,339#220,80,630814,time_cloister_crystal_card_2_2,3,2
80015,80016,15,8,339#220,80,630815,time_cloister_crystal_card_2_2,3,2
80016,80017,16,9,339#220,80,630816,time_cloister_crystal_card_2_2,3,2
80017,80018,17,9,339#220,80,630817,time_cloister_crystal_card_2_2,3,2
80018,80019,18,10,339#220,80,630818,time_cloister_crystal_card_2_2,3,2
80019,80020,19,10,339#220,80,630819,time_cloister_crystal_card_2_2,3,2
80020,-1,20,,339#220,80,630820,time_cloister_crystal_card_2_2,3,2
90001,90002,1,1,340#260,110,630901,time_cloister_crystal_card_2_3,3,2
90002,90003,2,2,340#260,110,630902,time_cloister_crystal_card_2_3,3,2
90003,90004,3,2,340#260,110,630903,time_cloister_crystal_card_2_3,3,2
90004,90005,4,3,340#260,110,630904,time_cloister_crystal_card_2_3,3,2
90005,90006,5,3,340#260,110,630905,time_cloister_crystal_card_2_3,3,2
90006,90007,6,4,340#260,110,630906,time_cloister_crystal_card_2_3,3,2
90007,90008,7,4,340#260,110,630907,time_cloister_crystal_card_2_3,3,2
90008,90009,8,5,340#260,110,630908,time_cloister_crystal_card_2_3,3,2
90009,90010,9,5,340#260,110,630909,time_cloister_crystal_card_2_3,3,2
90010,90011,10,6,340#260,110,630910,time_cloister_crystal_card_2_3,3,2
90011,90012,11,6,340#260,110,630911,time_cloister_crystal_card_2_3,3,2
90012,90013,12,7,340#260,110,630912,time_cloister_crystal_card_2_3,3,2
90013,90014,13,7,340#260,110,630913,time_cloister_crystal_card_2_3,3,2
90014,90015,14,8,340#260,110,630914,time_cloister_crystal_card_2_3,3,2
90015,90016,15,8,340#260,110,630915,time_cloister_crystal_card_2_3,3,2
90016,90017,16,9,340#260,110,630916,time_cloister_crystal_card_2_3,3,2
90017,90018,17,9,340#260,110,630917,time_cloister_crystal_card_2_3,3,2
90018,90019,18,10,340#260,110,630918,time_cloister_crystal_card_2_3,3,2
90019,90020,19,10,340#260,110,630919,time_cloister_crystal_card_2_3,3,2
90020,-1,20,,340#260,110,630920,time_cloister_crystal_card_2_3,3,2
100001,100002,1,1,338#180|339#180,120,631001,time_cloister_crystal_card_2_4,3,2
100002,100003,2,2,338#180|339#180,120,631002,time_cloister_crystal_card_2_4,3,2
100003,100004,3,2,338#180|339#180,120,631003,time_cloister_crystal_card_2_4,3,2
100004,100005,4,3,338#180|339#180,120,631004,time_cloister_crystal_card_2_4,3,2
100005,100006,5,3,338#180|339#180,120,631005,time_cloister_crystal_card_2_4,3,2
100006,100007,6,4,338#180|339#180,120,631006,time_cloister_crystal_card_2_4,3,2
100007,100008,7,4,338#180|339#180,120,631007,time_cloister_crystal_card_2_4,3,2
100008,100009,8,5,338#180|339#180,120,631008,time_cloister_crystal_card_2_4,3,2
100009,100010,9,5,338#180|339#180,120,631009,time_cloister_crystal_card_2_4,3,2
100010,100011,10,6,338#180|339#180,120,631010,time_cloister_crystal_card_2_4,3,2
100011,100012,11,6,338#180|339#180,120,631011,time_cloister_crystal_card_2_4,3,2
100012,100013,12,7,338#180|339#180,120,631012,time_cloister_crystal_card_2_4,3,2
100013,100014,13,7,338#180|339#180,120,631013,time_cloister_crystal_card_2_4,3,2
100014,100015,14,8,338#180|339#180,120,631014,time_cloister_crystal_card_2_4,3,2
100015,100016,15,8,338#180|339#180,120,631015,time_cloister_crystal_card_2_4,3,2
100016,100017,16,9,338#180|339#180,120,631016,time_cloister_crystal_card_2_4,3,2
100017,100018,17,9,338#180|339#180,120,631017,time_cloister_crystal_card_2_4,3,2
100018,100019,18,10,338#180|339#180,120,631018,time_cloister_crystal_card_2_4,3,2
100019,100020,19,10,338#180|339#180,120,631019,time_cloister_crystal_card_2_4,3,2
100020,-1,20,,338#180|339#180,120,631020,time_cloister_crystal_card_2_4,3,2
110001,110002,1,1,338#95|340#120,70,631101,time_cloister_crystal_card_2_5,3,2
110002,110003,2,2,338#95|340#120,70,631102,time_cloister_crystal_card_2_5,3,2
110003,110004,3,2,338#95|340#120,70,631103,time_cloister_crystal_card_2_5,3,2
110004,110005,4,3,338#95|340#120,70,631104,time_cloister_crystal_card_2_5,3,2
110005,110006,5,3,338#95|340#120,70,631105,time_cloister_crystal_card_2_5,3,2
110006,110007,6,4,338#95|340#120,70,631106,time_cloister_crystal_card_2_5,3,2
110007,110008,7,4,338#95|340#120,70,631107,time_cloister_crystal_card_2_5,3,2
110008,110009,8,5,338#95|340#120,70,631108,time_cloister_crystal_card_2_5,3,2
110009,110010,9,5,338#95|340#120,70,631109,time_cloister_crystal_card_2_5,3,2
110010,110011,10,6,338#95|340#120,70,631110,time_cloister_crystal_card_2_5,3,2
110011,110012,11,6,338#95|340#120,70,631111,time_cloister_crystal_card_2_5,3,2
110012,110013,12,7,338#95|340#120,70,631112,time_cloister_crystal_card_2_5,3,2
110013,110014,13,7,338#95|340#120,70,631113,time_cloister_crystal_card_2_5,3,2
110014,110015,14,8,338#95|340#120,70,631114,time_cloister_crystal_card_2_5,3,2
110015,110016,15,8,338#95|340#120,70,631115,time_cloister_crystal_card_2_5,3,2
110016,110017,16,9,338#95|340#120,70,631116,time_cloister_crystal_card_2_5,3,2
110017,110018,17,9,338#95|340#120,70,631117,time_cloister_crystal_card_2_5,3,2
110018,110019,18,10,338#95|340#120,70,631118,time_cloister_crystal_card_2_5,3,2
110019,110020,19,10,338#95|340#120,70,631119,time_cloister_crystal_card_2_5,3,2
110020,-1,20,,338#95|340#120,70,631120,time_cloister_crystal_card_2_5,3,2
120001,120002,1,1,339#105|340#125,90,631201,time_cloister_crystal_card_2_6,3,2
120002,120003,2,2,339#105|340#125,90,631202,time_cloister_crystal_card_2_6,3,2
120003,120004,3,2,339#105|340#125,90,631203,time_cloister_crystal_card_2_6,3,2
120004,120005,4,3,339#105|340#125,90,631204,time_cloister_crystal_card_2_6,3,2
120005,120006,5,3,339#105|340#125,90,631205,time_cloister_crystal_card_2_6,3,2
120006,120007,6,4,339#105|340#125,90,631206,time_cloister_crystal_card_2_6,3,2
120007,120008,7,4,339#105|340#125,90,631207,time_cloister_crystal_card_2_6,3,2
120008,120009,8,5,339#105|340#125,90,631208,time_cloister_crystal_card_2_6,3,2
120009,120010,9,5,339#105|340#125,90,631209,time_cloister_crystal_card_2_6,3,2
120010,120011,10,6,339#105|340#125,90,631210,time_cloister_crystal_card_2_6,3,2
120011,120012,11,6,339#105|340#125,90,631211,time_cloister_crystal_card_2_6,3,2
120012,120013,12,7,339#105|340#125,90,631212,time_cloister_crystal_card_2_6,3,2
120013,120014,13,7,339#105|340#125,90,631213,time_cloister_crystal_card_2_6,3,2
120014,120015,14,8,339#105|340#125,90,631214,time_cloister_crystal_card_2_6,3,2
120015,120016,15,8,339#105|340#125,90,631215,time_cloister_crystal_card_2_6,3,2
120016,120017,16,9,339#105|340#125,90,631216,time_cloister_crystal_card_2_6,3,2
120017,120018,17,9,339#105|340#125,90,631217,time_cloister_crystal_card_2_6,3,2
120018,120019,18,10,339#105|340#125,90,631218,time_cloister_crystal_card_2_6,3,2
120019,120020,19,10,339#105|340#125,90,631219,time_cloister_crystal_card_2_6,3,2
120020,-1,20,,339#105|340#125,90,631220,time_cloister_crystal_card_2_6,3,2
130001,130002,1,1,338#230,100,631301,time_cloister_crystal_card_3_1,3,3
130002,130003,2,2,338#230,100,631302,time_cloister_crystal_card_3_1,3,3
130003,130004,3,2,338#230,100,631303,time_cloister_crystal_card_3_1,3,3
130004,130005,4,3,338#230,100,631304,time_cloister_crystal_card_3_1,3,3
130005,130006,5,3,338#230,100,631305,time_cloister_crystal_card_3_1,3,3
130006,130007,6,4,338#230,100,631306,time_cloister_crystal_card_3_1,3,3
130007,130008,7,4,338#230,100,631307,time_cloister_crystal_card_3_1,3,3
130008,130009,8,5,338#230,100,631308,time_cloister_crystal_card_3_1,3,3
130009,130010,9,5,338#230,100,631309,time_cloister_crystal_card_3_1,3,3
130010,130011,10,6,338#230,100,631310,time_cloister_crystal_card_3_1,3,3
130011,130012,11,6,338#230,100,631311,time_cloister_crystal_card_3_1,3,3
130012,130013,12,7,338#230,100,631312,time_cloister_crystal_card_3_1,3,3
130013,130014,13,7,338#230,100,631313,time_cloister_crystal_card_3_1,3,3
130014,130015,14,8,338#230,100,631314,time_cloister_crystal_card_3_1,3,3
130015,130016,15,8,338#230,100,631315,time_cloister_crystal_card_3_1,3,3
130016,130017,16,9,338#230,100,631316,time_cloister_crystal_card_3_1,3,3
130017,130018,17,9,338#230,100,631317,time_cloister_crystal_card_3_1,3,3
130018,130019,18,10,338#230,100,631318,time_cloister_crystal_card_3_1,3,3
130019,130020,19,10,338#230,100,631319,time_cloister_crystal_card_3_1,3,3
130020,-1,20,,338#230,100,631320,time_cloister_crystal_card_3_1,3,3
140001,140002,1,1,339#220,80,631401,time_cloister_crystal_card_3_2,3,3
140002,140003,2,2,339#220,80,631402,time_cloister_crystal_card_3_2,3,3
140003,140004,3,2,339#220,80,631403,time_cloister_crystal_card_3_2,3,3
140004,140005,4,3,339#220,80,631404,time_cloister_crystal_card_3_2,3,3
140005,140006,5,3,339#220,80,631405,time_cloister_crystal_card_3_2,3,3
140006,140007,6,4,339#220,80,631406,time_cloister_crystal_card_3_2,3,3
140007,140008,7,4,339#220,80,631407,time_cloister_crystal_card_3_2,3,3
140008,140009,8,5,339#220,80,631408,time_cloister_crystal_card_3_2,3,3
140009,140010,9,5,339#220,80,631409,time_cloister_crystal_card_3_2,3,3
140010,140011,10,6,339#220,80,631410,time_cloister_crystal_card_3_2,3,3
140011,140012,11,6,339#220,80,631411,time_cloister_crystal_card_3_2,3,3
140012,140013,12,7,339#220,80,631412,time_cloister_crystal_card_3_2,3,3
140013,140014,13,7,339#220,80,631413,time_cloister_crystal_card_3_2,3,3
140014,140015,14,8,339#220,80,631414,time_cloister_crystal_card_3_2,3,3
140015,140016,15,8,339#220,80,631415,time_cloister_crystal_card_3_2,3,3
140016,140017,16,9,339#220,80,631416,time_cloister_crystal_card_3_2,3,3
140017,140018,17,9,339#220,80,631417,time_cloister_crystal_card_3_2,3,3
140018,140019,18,10,339#220,80,631418,time_cloister_crystal_card_3_2,3,3
140019,140020,19,10,339#220,80,631419,time_cloister_crystal_card_3_2,3,3
140020,-1,20,,339#220,80,631420,time_cloister_crystal_card_3_2,3,3
150001,150002,1,1,340#260,110,631501,time_cloister_crystal_card_3_3,3,3
150002,150003,2,2,340#260,110,631502,time_cloister_crystal_card_3_3,3,3
150003,150004,3,2,340#260,110,631503,time_cloister_crystal_card_3_3,3,3
150004,150005,4,3,340#260,110,631504,time_cloister_crystal_card_3_3,3,3
150005,150006,5,3,340#260,110,631505,time_cloister_crystal_card_3_3,3,3
150006,150007,6,4,340#260,110,631506,time_cloister_crystal_card_3_3,3,3
150007,150008,7,4,340#260,110,631507,time_cloister_crystal_card_3_3,3,3
150008,150009,8,5,340#260,110,631508,time_cloister_crystal_card_3_3,3,3
150009,150010,9,5,340#260,110,631509,time_cloister_crystal_card_3_3,3,3
150010,150011,10,6,340#260,110,631510,time_cloister_crystal_card_3_3,3,3
150011,150012,11,6,340#260,110,631511,time_cloister_crystal_card_3_3,3,3
150012,150013,12,7,340#260,110,631512,time_cloister_crystal_card_3_3,3,3
150013,150014,13,7,340#260,110,631513,time_cloister_crystal_card_3_3,3,3
150014,150015,14,8,340#260,110,631514,time_cloister_crystal_card_3_3,3,3
150015,150016,15,8,340#260,110,631515,time_cloister_crystal_card_3_3,3,3
150016,150017,16,9,340#260,110,631516,time_cloister_crystal_card_3_3,3,3
150017,150018,17,9,340#260,110,631517,time_cloister_crystal_card_3_3,3,3
150018,150019,18,10,340#260,110,631518,time_cloister_crystal_card_3_3,3,3
150019,150020,19,10,340#260,110,631519,time_cloister_crystal_card_3_3,3,3
150020,-1,20,,340#260,110,631520,time_cloister_crystal_card_3_3,3,3
160001,160002,1,1,338#180|339#180,120,631601,time_cloister_crystal_card_3_4,3,3
160002,160003,2,2,338#180|339#180,120,631602,time_cloister_crystal_card_3_4,3,3
160003,160004,3,2,338#180|339#180,120,631603,time_cloister_crystal_card_3_4,3,3
160004,160005,4,3,338#180|339#180,120,631604,time_cloister_crystal_card_3_4,3,3
160005,160006,5,3,338#180|339#180,120,631605,time_cloister_crystal_card_3_4,3,3
160006,160007,6,4,338#180|339#180,120,631606,time_cloister_crystal_card_3_4,3,3
160007,160008,7,4,338#180|339#180,120,631607,time_cloister_crystal_card_3_4,3,3
160008,160009,8,5,338#180|339#180,120,631608,time_cloister_crystal_card_3_4,3,3
160009,160010,9,5,338#180|339#180,120,631609,time_cloister_crystal_card_3_4,3,3
160010,160011,10,6,338#180|339#180,120,631610,time_cloister_crystal_card_3_4,3,3
160011,160012,11,6,338#180|339#180,120,631611,time_cloister_crystal_card_3_4,3,3
160012,160013,12,7,338#180|339#180,120,631612,time_cloister_crystal_card_3_4,3,3
160013,160014,13,7,338#180|339#180,120,631613,time_cloister_crystal_card_3_4,3,3
160014,160015,14,8,338#180|339#180,120,631614,time_cloister_crystal_card_3_4,3,3
160015,160016,15,8,338#180|339#180,120,631615,time_cloister_crystal_card_3_4,3,3
160016,160017,16,9,338#180|339#180,120,631616,time_cloister_crystal_card_3_4,3,3
160017,160018,17,9,338#180|339#180,120,631617,time_cloister_crystal_card_3_4,3,3
160018,160019,18,10,338#180|339#180,120,631618,time_cloister_crystal_card_3_4,3,3
160019,160020,19,10,338#180|339#180,120,631619,time_cloister_crystal_card_3_4,3,3
160020,-1,20,,338#180|339#180,120,631620,time_cloister_crystal_card_3_4,3,3
170001,170002,1,1,338#95|340#120,70,631701,time_cloister_crystal_card_3_5,3,3
170002,170003,2,2,338#95|340#120,70,631702,time_cloister_crystal_card_3_5,3,3
170003,170004,3,2,338#95|340#120,70,631703,time_cloister_crystal_card_3_5,3,3
170004,170005,4,3,338#95|340#120,70,631704,time_cloister_crystal_card_3_5,3,3
170005,170006,5,3,338#95|340#120,70,631705,time_cloister_crystal_card_3_5,3,3
170006,170007,6,4,338#95|340#120,70,631706,time_cloister_crystal_card_3_5,3,3
170007,170008,7,4,338#95|340#120,70,631707,time_cloister_crystal_card_3_5,3,3
170008,170009,8,5,338#95|340#120,70,631708,time_cloister_crystal_card_3_5,3,3
170009,170010,9,5,338#95|340#120,70,631709,time_cloister_crystal_card_3_5,3,3
170010,170011,10,6,338#95|340#120,70,631710,time_cloister_crystal_card_3_5,3,3
170011,170012,11,6,338#95|340#120,70,631711,time_cloister_crystal_card_3_5,3,3
170012,170013,12,7,338#95|340#120,70,631712,time_cloister_crystal_card_3_5,3,3
170013,170014,13,7,338#95|340#120,70,631713,time_cloister_crystal_card_3_5,3,3
170014,170015,14,8,338#95|340#120,70,631714,time_cloister_crystal_card_3_5,3,3
170015,170016,15,8,338#95|340#120,70,631715,time_cloister_crystal_card_3_5,3,3
170016,170017,16,9,338#95|340#120,70,631716,time_cloister_crystal_card_3_5,3,3
170017,170018,17,9,338#95|340#120,70,631717,time_cloister_crystal_card_3_5,3,3
170018,170019,18,10,338#95|340#120,70,631718,time_cloister_crystal_card_3_5,3,3
170019,170020,19,10,338#95|340#120,70,631719,time_cloister_crystal_card_3_5,3,3
170020,-1,20,,338#95|340#120,70,631720,time_cloister_crystal_card_3_5,3,3
180001,180002,1,1,339#105|340#125,90,631801,time_cloister_crystal_card_3_6,3,3
