id,name,pos,max_qlt,star,max_lvl,group,base,base_weight,material,exp
5203106,-1,2,6,6,20,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5203201,-1,3,6,1,5,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5203202,-1,3,6,2,10,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5203203,-1,3,6,3,10,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5203204,-1,3,6,4,15,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5203205,-1,3,6,5,15,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5203206,-1,3,6,6,20,3,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5203301,-1,4,6,1,5,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5203302,-1,4,6,2,10,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5203303,-1,4,6,3,10,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5203304,-1,4,6,4,15,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5203305,-1,4,6,5,15,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5203306,-1,4,6,6,20,3,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5203401,-1,5,6,1,5,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5203402,-1,5,6,2,10,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5203403,-1,5,6,3,10,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5203404,-1,5,6,4,15,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5203405,-1,5,6,5,15,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5203406,-1,5,6,6,20,3,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5204101,-1,2,6,1,5,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5204102,-1,2,6,2,10,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5204103,-1,2,6,3,10,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5204104,-1,2,6,4,15,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5204105,-1,2,6,5,15,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5204106,-1,2,6,6,20,4,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5204201,-1,3,6,1,5,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5204202,-1,3,6,2,10,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5204203,-1,3,6,3,10,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5204204,-1,3,6,4,15,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5204205,-1,3,6,5,15,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5204206,-1,3,6,6,20,4,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5204301,-1,4,6,1,5,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5204302,-1,4,6,2,10,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5204303,-1,4,6,3,10,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5204304,-1,4,6,4,15,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5204305,-1,4,6,5,15,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5204306,-1,4,6,6,20,4,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5204401,-1,5,6,1,5,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5204402,-1,5,6,2,10,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5204403,-1,5,6,3,10,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5204404,-1,5,6,4,15,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5204405,-1,5,6,5,15,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5204406,-1,5,6,6,20,4,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5205101,-1,2,6,1,5,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5205102,-1,2,6,2,10,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5205103,-1,2,6,3,10,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5205104,-1,2,6,4,15,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5205105,-1,2,6,5,15,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5205106,-1,2,6,6,20,5,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5205201,-1,3,6,1,5,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5205202,-1,3,6,2,10,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5205203,-1,3,6,3,10,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5205204,-1,3,6,4,15,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5205205,-1,3,6,5,15,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5205206,-1,3,6,6,20,5,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5205301,-1,4,6,1,5,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5205302,-1,4,6,2,10,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5205303,-1,4,6,3,10,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5205304,-1,4,6,4,15,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5205305,-1,4,6,5,15,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5205306,-1,4,6,6,20,5,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5205401,-1,5,6,1,5,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5205402,-1,5,6,2,10,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5205403,-1,5,6,3,10,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5205404,-1,5,6,4,15,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5205405,-1,5,6,5,15,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5205406,-1,5,6,6,20,5,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5206101,-1,2,6,1,5,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5206102,-1,2,6,2,10,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5206103,-1,2,6,3,10,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5206104,-1,2,6,4,15,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5206105,-1,2,6,5,15,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5206106,-1,2,6,6,20,6,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5206201,-1,3,6,1,5,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5206202,-1,3,6,2,10,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5206203,-1,3,6,3,10,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5206204,-1,3,6,4,15,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5206205,-1,3,6,5,15,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5206206,-1,3,6,6,20,6,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5206301,-1,4,6,1,5,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5206302,-1,4,6,2,10,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5206303,-1,4,6,3,10,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5206304,-1,4,6,4,15,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5206305,-1,4,6,5,15,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5206306,-1,4,6,6,20,6,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5206401,-1,5,6,1,5,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5206402,-1,5,6,2,10,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5206403,-1,5,6,3,10,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5206404,-1,5,6,4,15,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5206405,-1,5,6,5,15,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5206406,-1,5,6,6,20,6,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5207101,-1,2,6,1,5,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5207102,-1,2,6,2,10,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5207103,-1,2,6,3,10,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5207104,-1,2,6,4,15,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5207105,-1,2,6,5,15,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5207106,-1,2,6,6,20,7,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5207201,-1,3,6,1,5,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5207202,-1,3,6,2,10,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5207203,-1,3,6,3,10,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5207204,-1,3,6,4,15,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5207205,-1,3,6,5,15,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5207206,-1,3,6,6,20,7,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5207301,-1,4,6,1,5,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5207302,-1,4,6,2,10,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5207303,-1,4,6,3,10,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5207304,-1,4,6,4,15,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5207305,-1,4,6,5,15,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
