id,num,area,area_line,area_award,final_award,bg,is_repeat
30,5,1#2#3#5#6#7#9#10#11|4#8|12#16|13#14#15#17#18#19#21#22#23|20#24,32#17#20#35|31#21#22#32|21#11#12#22|17#2#5#20|11#1#2#12,2#2500|4203007#8|4203007#8|4201042#40|4203007#8,4201042#25,activity_beach_puzzle_img1,1
31,5,1#2#3#5#6#7#9#10#11#13#14#15|4#8|12#16|17#18#19#21#22#23|20#24,32#12#15#35|31#21#22#32|21#11#12#22|12#2#5#15|11#1#2#12,4202006#3|4201042#12|4201042#12|940059#10|4201042#12,4201042#25,activity_beach_puzzle_img3,1
32,6,1#2#5#6#9#10|3#4#7#8#11#12|13#14#15#17#18#19|16#20|21#22|23#24,33#18#20#35|31#16#18#33|17#7#10#20|16#6#7#17|8#3#5#10|6#1#3#8,4202007#3|2#1750|940059#10|4201042#12|4201042#12|4201042#12,4201042#25,activity_beach_puzzle_img2,1
33,6,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18|15#16|21#22|19#20#23#24,32#17#20#35|31#16#17#32|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,4202004#3|4201042#15|418#5|4201042#10|4201042#10|4203008#5,4201042#25,activity_beach_puzzle_img1,1
34,4,1#2#3#5#6#7#9#10#11#13#14#15|4#8#12|17#18#19#21#22#23|16#20#24,32#12#15#35|31#16#17#32|12#2#5#15|16#1#2#17,4101010#1|2#1250|4201042#25|4201042#12,4201042#25,activity_beach_puzzle_img3,1
35,5,1#2#3#5#6#7|4#8#12|9#10#11#13#14#15|17#18#19#21#22#23|16#20#24,32#22#25#35|31#16#17#32|22#12#15#25|12#2#5#15|16#1#2#17,424#20|4201042#12|2#1750|4201042#25|435#10,4201042#25,activity_beach_puzzle_img2,1
36,4,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18#21#22|15#16|19#20#23#24,31#16#20#35|18#3#5#20|16#11#13#18|11#1#3#13,2#4000|4201042#25|4201042#12|36#10,4201042#25,activity_beach_puzzle_img1,1
37,6,1#2#5#6|3#4#7#8|9#10#13#14|11#12#15#16|17#18#21#22|19#20#23#24,33#23#25#35|31#21#23#33|23#13#15#25|21#11#13#23|13#3#5#15|11#1#3#13,2#1250|418#5|4201042#20|36#10|4203008#5|4201042#20,4201042#25,activity_beach_puzzle_img3,1
38,5,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18#21#22|15#16#19#20|23#24,32#17#20#35|31#16#17#32|18#3#5#20|16#6#8#18|6#1#3#8,2#2500|4201042#10|4201042#20|2#1250|2#1000,4201042#25,activity_beach_puzzle_img2,1
39,5,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18|15#16|21#22|19#20#23#24,31#16#20#35|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,986001#10|4201042#20|4201042#10|4201042#10|418#5,4201042#25,activity_beach_puzzle_img1,1
40,4,1#2#5#6#9#10|3#4#7#8#11#12|13#14#17#18#21#22|15#16#19#20#23#24,33#18#20#35|31#16#18#33|18#3#5#20|16#1#3#18,2#1750|424#20|4201042#40|4202007#3,4201042#25,activity_beach_puzzle_img3,1
41,4,1#2#3#5#6#7#9#10#11|4#8#12|13#17#21|14#15#16#18#19#20#22#23#24,32#17#20#35|31#16#17#32|19#4#5#20|16#1#4#19,170#30|4203006#5|2#1250|4201042#40,4201042#25,activity_beach_puzzle_img2,1
42,5,1#2#3#5#6#7#9#10#11|4#8|12#16|13#14#15#17#18#19#21#22#23|20#24,32#17#20#35|31#21#22#32|21#11#12#22|17#2#5#20|11#1#2#12,2#2500|4203007#8|4203007#8|4201042#40|4203007#8,4201042#25,activity_beach_puzzle_img1,1
43,5,1#2#3#5#6#7#9#10#11#13#14#15|4#8|12#16|17#18#19#21#22#23|20#24,32#12#15#35|31#21#22#32|21#11#12#22|12#2#5#15|11#1#2#12,4202006#3|4201042#12|4201042#12|940059#10|4201042#12,4201042#25,activity_beach_puzzle_img3,1
44,6,1#2#5#6#9#10|3#4#7#8#11#12|13#14#15#17#18#19|16#20|21#22|23#24,33#18#20#35|31#16#18#33|17#7#10#20|16#6#7#17|8#3#5#10|6#1#3#8,4202007#3|2#1500|940059#10|4201042#12|4201042#12|4201042#12,4201042#25,activity_beach_puzzle_img2,1
45,6,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18|15#16|21#22|19#20#23#24,32#17#20#35|31#16#17#32|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,4202004#3|4201042#15|418#5|4201042#10|4201042#10|4203008#5,4201042#25,activity_beach_puzzle_img1,1
46,4,1#2#3#5#6#7#9#10#11#13#14#15|4#8#12|17#18#19#21#22#23|16#20#24,32#12#15#35|31#16#17#32|12#2#5#15|16#1#2#17,4101010#1|2#1250|4201042#25|4201042#12,4201042#25,activity_beach_puzzle_img3,1
47,5,1#2#3#5#6#7|4#8#12|9#10#11#13#14#15|17#18#19#21#22#23|16#20#24,32#22#25#35|31#16#17#32|22#12#15#25|12#2#5#15|16#1#2#17,424#20|4201042#12|2#1500|4201042#25|435#10,4201042#25,activity_beach_puzzle_img2,1
48,4,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18#21#22|15#16|19#20#23#24,31#16#20#35|18#3#5#20|16#11#13#18|11#1#3#13,2#4000|4201042#25|4201042#12|36#10,4201042#25,activity_beach_puzzle_img1,1
49,6,1#2#5#6|3#4#7#8|9#10#13#14|11#12#15#16|17#18#21#22|19#20#23#24,33#23#25#35|31#21#23#33|23#13#15#25|21#11#13#23|13#3#5#15|11#1#3#13,2#1250|418#5|4201042#20|36#10|4203008#5|4201042#20,4201042#25,activity_beach_puzzle_img3,1
50,5,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18#21#22|15#16#19#20|23#24,32#17#20#35|31#16#17#32|18#3#5#20|16#6#8#18|6#1#3#8,2#2500|4201042#10|4201042#20|2#1250|2#1000,4201042#25,activity_beach_puzzle_img2,1
51,5,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18|15#16|21#22|19#20#23#24,31#16#20#35|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,986001#10|4201042#20|4201042#10|4201042#10|418#5,4201042#25,activity_beach_puzzle_img1,1
52,4,1#2#5#6#9#10|3#4#7#8#11#12|13#14#17#18#21#22|15#16#19#20#23#24,33#18#20#35|31#16#18#33|18#3#5#20|16#1#3#18,2#1500|424#20|4201042#40|4202007#3,4201042#25,activity_beach_puzzle_img3,1
53,4,1#2#3#5#6#7#9#10#11|4#8#12|13#17#21|14#15#16#18#19#20#22#23#24,32#17#20#35|31#16#17#32|19#4#5#20|16#1#4#19,170#30|4203006#5|2#1250|4201042#40,4201042#25,activity_beach_puzzle_img2,1
54,5,1#2#3#5#6#7#9#10#11|4#8|12#16|13#14#15#17#18#19#21#22#23|20#24,32#17#20#35|31#21#22#32|21#11#12#22|17#2#5#20|11#1#2#12,2#2500|4203007#8|4203007#8|4201042#40|4203007#8,4201042#25,activity_beach_puzzle_img1,1
55,5,1#2#3#5#6#7#9#10#11#13#14#15|4#8|12#16|17#18#19#21#22#23|20#24,32#12#15#35|31#21#22#32|21#11#12#22|12#2#5#15|11#1#2#12,4202006#3|4201042#12|4201042#12|940059#10|4201042#12,4201042#25,activity_beach_puzzle_img3,1
56,6,1#2#5#6#9#10|3#4#7#8#11#12|13#14#15#17#18#19|16#20|21#22|23#24,33#18#20#35|31#16#18#33|17#7#10#20|16#6#7#17|8#3#5#10|6#1#3#8,4202007#3|2#1500|940059#10|4201042#12|4201042#12|4201042#12,4201042#25,activity_beach_puzzle_img2,1
57,6,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18|15#16|21#22|19#20#23#24,32#17#20#35|31#16#17#32|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,4202004#3|4201042#15|418#5|4201042#10|4201042#10|4203008#5,4201042#25,activity_beach_puzzle_img1,1
58,4,1#2#3#5#6#7#9#10#11#13#14#15|4#8#12|17#18#19#21#22#23|16#20#24,32#12#15#35|31#16#17#32|12#2#5#15|16#1#2#17,4101010#1|2#1250|4201042#25|4201042#12,4201042#25,activity_beach_puzzle_img3,1
59,5,1#2#3#5#6#7|4#8#12|9#10#11#13#14#15|17#18#19#21#22#23|16#20#24,32#22#25#35|31#16#17#32|22#12#15#25|12#2#5#15|16#1#2#17,424#20|4201042#12|2#1500|4201042#25|435#10,4201042#25,activity_beach_puzzle_img2,1
60,4,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18#21#22|15#16|19#20#23#24,31#16#20#35|18#3#5#20|16#11#13#18|11#1#3#13,2#4000|4201042#25|4201042#12|36#10,4201042#25,activity_beach_puzzle_img1,1
61,6,1#2#5#6|3#4#7#8|9#10#13#14|11#12#15#16|17#18#21#22|19#20#23#24,33#23#25#35|31#21#23#33|23#13#15#25|21#11#13#23|13#3#5#15|11#1#3#13,2#1250|418#5|4201042#20|36#10|4203008#5|4201042#20,4201042#25,activity_beach_puzzle_img3,1
62,5,1#2#3#5#6#7#9#10#11|4#8#12|13#14#17#18#21#22|15#16#19#20|23#24,32#17#20#35|31#16#17#32|18#3#5#20|16#6#8#18|6#1#3#8,2#2500|4201042#10|4201042#20|2#1250|2#1000,4201042#25,activity_beach_puzzle_img2,1
63,5,1#2#3#4#5#6#7#8#9#10#11#12|13#14#17#18|15#16|21#22|19#20#23#24,31#16#20#35|18#8#10#20|16#11#13#18|8#3#5#10|11#1#3#13,986001#10|4201042#20|4201042#10|4201042#10|418#5,4201042#25,activity_beach_puzzle_img1,1
64,4,1#2#5#6#9#10|3#4#7#8#11#12|13#14#17#18#21#22|15#16#19#20#23#24,33#18#20#35|31#16#18#33|18#3#5#20|16#1#3#18,2#1500|424#20|4201042#40|4202007#3,4201042#25,activity_beach_puzzle_img3,1
65,4,1#2#3#5#6#7#9#10#11|4#8#12|13#17#21|14#15#16#18#19#20#22#23#24,32#17#20#35|31#16#17#32|19#4#5#20|16#1#4#19,170#30|4203006#5|2#1250|4201042#40,4201042#25,activity_beach_puzzle_img2,1
66,5,1#2#3#5#6#7#9#10#11|4#8|12#16|13#14#15#17#18#19#21#22#23|20#24,32#17#20#35|31#21#22#32|21#11#12#22|17#2#5#20|11#1#2#12,2#2500|4203007#8|4203007#8|4201042#40|4203007#8,4201042#25,activity_beach_puzzle_img1,1
