id,next_id,lv,group,desc,cost,cost_total,effect
100225,100226,25,1,-1,359#61|360#610,359#645|360#6450,atk#2750
100226,100227,26,1,-1,359#65|360#650,359#710|360#7100,atk#2860
100227,100228,27,1,-1,359#69|360#690,359#779|360#7790,atk#2970
100228,100229,28,1,-1,359#73|360#730,359#852|360#8520,atk#3080
100229,100230,29,1,-1,359#77|360#770,359#929|360#9290,atk#3190
100230,100231,30,1,-1,359#81|360#810,359#1010|360#10100,atk#3300
100231,100232,31,1,-1,359#85|360#850,359#1095|360#10950,atk#3410
100232,100233,32,1,-1,359#91|360#910,359#1186|360#11860,atk#3520
100233,100234,33,1,-1,359#97|360#970,359#1283|360#12830,atk#3630
100234,100235,34,1,-1,359#103|360#1030,359#1386|360#13860,atk#3740
100235,100236,35,1,-1,359#109|360#1090,359#1495|360#14950,atk#3850
100236,100237,36,1,-1,359#115|360#1150,359#1610|360#16100,atk#3960
100237,100238,37,1,-1,359#121|360#1210,359#1731|360#17310,atk#4070
100238,100239,38,1,-1,359#127|360#1270,359#1858|360#18580,atk#4180
100239,100240,39,1,-1,359#133|360#1330,359#1991|360#19910,atk#4290
100240,100241,40,1,-1,359#139|360#1390,359#2130|360#21300,atk#4400
100241,100242,41,1,-1,359#145|360#1450,359#2275|360#22750,atk#4510
100242,100243,42,1,-1,359#152|360#1520,359#2427|360#24270,atk#4620
100243,100244,43,1,-1,359#159|360#1590,359#2586|360#25860,atk#4730
100244,100245,44,1,-1,359#166|360#1660,359#2752|360#27520,atk#4840
100245,100246,45,1,-1,359#173|360#1730,359#2925|360#29250,atk#4950
100246,100247,46,1,-1,359#180|360#1800,359#3105|360#31050,atk#5060
100247,100248,47,1,-1,359#187|360#1870,359#3292|360#32920,atk#5170
100248,100249,48,1,-1,359#194|360#1940,359#3486|360#34860,atk#5280
100249,100250,49,1,-1,359#201|360#2010,359#3687|360#36870,atk#5390
100250,100251,50,1,-1,359#208|360#2080,359#3895|360#38950,atk#5500
100251,100252,51,1,-1,359#215|360#2150,359#4110|360#41100,atk#5610
100252,100253,52,1,-1,359#224|360#2240,359#4334|360#43340,atk#5720
100253,100254,53,1,-1,359#233|360#2330,359#4567|360#45670,atk#5830
100254,100255,54,1,-1,359#242|360#2420,359#4809|360#48090,atk#5940
100255,100256,55,1,-1,359#251|360#2510,359#5060|360#50600,atk#6050
100256,100257,56,1,-1,359#260|360#2600,359#5320|360#53200,atk#6160
100257,100258,57,1,-1,359#269|360#2690,359#5589|360#55890,atk#6270
100258,100259,58,1,-1,359#278|360#2780,359#5867|360#58670,atk#6380
100259,100260,59,1,-1,359#287|360#2870,359#6154|360#61540,atk#6490
100260,-1,60,1,-1,359#296|360#2960,359#6450|360#64500,atk#6600
100300,100301,0,1,-1,359#0|360#0,359#0|360#0,
100301,100302,1,1,-1,359#5|360#50,359#5|360#50,hp#15428
100302,100303,2,1,-1,359#6|360#60,359#11|360#110,hp#30856
100303,100304,3,1,-1,359#7|360#70,359#18|360#180,hp#46284
100304,100305,4,1,-1,359#8|360#80,359#26|360#260,hp#61712
100305,100306,5,1,-1,359#9|360#90,359#35|360#350,hp#77140
100306,100307,6,1,-1,359#10|360#100,359#45|360#450,hp#92568
100307,100308,7,1,-1,359#11|360#110,359#56|360#560,hp#107996
100308,100309,8,1,-1,359#12|360#120,359#68|360#680,hp#123424
100309,100310,9,1,-1,359#13|360#130,359#81|360#810,hp#138852
100310,100311,10,1,-1,359#14|360#140,359#95|360#950,hp#154280
100311,100312,11,1,-1,359#15|360#150,359#110|360#1100,hp#169708
100312,100313,12,1,-1,359#18|360#180,359#128|360#1280,hp#185136
100313,100314,13,1,-1,359#21|360#210,359#149|360#1490,hp#200564
100314,100315,14,1,-1,359#24|360#240,359#173|360#1730,hp#215992
100315,100316,15,1,-1,359#27|360#270,359#200|360#2000,hp#231420
100316,100317,16,1,-1,359#30|360#300,359#230|360#2300,hp#246848
100317,100318,17,1,-1,359#33|360#330,359#263|360#2630,hp#262276
100318,100319,18,1,-1,359#36|360#360,359#299|360#2990,hp#277704
100319,100320,19,1,-1,359#39|360#390,359#338|360#3380,hp#293132
100320,100321,20,1,-1,359#42|360#420,359#380|360#3800,hp#308560
100321,100322,21,1,-1,359#45|360#450,359#425|360#4250,hp#323988
100322,100323,22,1,-1,359#49|360#490,359#474|360#4740,hp#339416
100323,100324,23,1,-1,359#53|360#530,359#527|360#5270,hp#354844
100324,100325,24,1,-1,359#57|360#570,359#584|360#5840,hp#370272
100325,100326,25,1,-1,359#61|360#610,359#645|360#6450,hp#385700
100326,100327,26,1,-1,359#65|360#650,359#710|360#7100,hp#401128
100327,100328,27,1,-1,359#69|360#690,359#779|360#7790,hp#416556
100328,100329,28,1,-1,359#73|360#730,359#852|360#8520,hp#431984
100329,100330,29,1,-1,359#77|360#770,359#929|360#9290,hp#447412
100330,100331,30,1,-1,359#81|360#810,359#1010|360#10100,hp#462840
100331,100332,31,1,-1,359#85|360#850,359#1095|360#10950,hp#478268
100332,100333,32,1,-1,359#91|360#910,359#1186|360#11860,hp#493696
100333,100334,33,1,-1,359#97|360#970,359#1283|360#12830,hp#509124
100334,100335,34,1,-1,359#103|360#1030,359#1386|360#13860,hp#524552
100335,100336,35,1,-1,359#109|360#1090,359#1495|360#14950,hp#539980
100336,100337,36,1,-1,359#115|360#1150,359#1610|360#16100,hp#555408
100337,100338,37,1,-1,359#121|360#1210,359#1731|360#17310,hp#570836
100338,100339,38,1,-1,359#127|360#1270,359#1858|360#18580,hp#586264
100339,100340,39,1,-1,359#133|360#1330,359#1991|360#19910,hp#601692
100340,100341,40,1,-1,359#139|360#1390,359#2130|360#21300,hp#617120
100341,100342,41,1,-1,359#145|360#1450,359#2275|360#22750,hp#632548
100342,100343,42,1,-1,359#152|360#1520,359#2427|360#24270,hp#647976
100343,100344,43,1,-1,359#159|360#1590,359#2586|360#25860,hp#663404
100344,100345,44,1,-1,359#166|360#1660,359#2752|360#27520,hp#678832
100345,100346,45,1,-1,359#173|360#1730,359#2925|360#29250,hp#694260
100346,100347,46,1,-1,359#180|360#1800,359#3105|360#31050,hp#709688
100347,100348,47,1,-1,359#187|360#1870,359#3292|360#32920,hp#725116
100348,100349,48,1,-1,359#194|360#1940,359#3486|360#34860,hp#740544
100349,100350,49,1,-1,359#201|360#2010,359#3687|360#36870,hp#755972
100350,100351,50,1,-1,359#208|360#2080,359#3895|360#38950,hp#771400
100351,100352,51,1,-1,359#215|360#2150,359#4110|360#41100,hp#786828
100352,100353,52,1,-1,359#224|360#2240,359#4334|360#43340,hp#802256
100353,100354,53,1,-1,359#233|360#2330,359#4567|360#45670,hp#817684
100354,100355,54,1,-1,359#242|360#2420,359#4809|360#48090,hp#833112
100355,100356,55,1,-1,359#251|360#2510,359#5060|360#50600,hp#848540
100356,100357,56,1,-1,359#260|360#2600,359#5320|360#53200,hp#863968
100357,100358,57,1,-1,359#269|360#2690,359#5589|360#55890,hp#879396
100358,100359,58,1,-1,359#278|360#2780,359#5867|360#58670,hp#894824
100359,100360,59,1,-1,359#287|360#2870,359#6154|360#61540,hp#910252
100360,-1,60,1,-1,359#296|360#2960,359#6450|360#64500,hp#925680
100400,100401,0,1,-1,359#0|360#0,359#0|360#0,
100401,100402,1,1,-1,359#5|360#50,359#5|360#50,spd#1
100402,100403,2,1,-1,359#6|360#60,359#11|360#110,spd#2
100403,100404,3,1,-1,359#7|360#70,359#18|360#180,spd#3
100404,100405,4,1,-1,359#8|360#80,359#26|360#260,spd#4
100405,100406,5,1,-1,359#9|360#90,359#35|360#350,spd#5
100406,100407,6,1,-1,359#10|360#100,359#45|360#450,spd#6
100407,100408,7,1,-1,359#11|360#110,359#56|360#560,spd#7
100408,100409,8,1,-1,359#12|360#120,359#68|360#680,spd#8
100409,100410,9,1,-1,359#13|360#130,359#81|360#810,spd#9
100410,100411,10,1,-1,359#14|360#140,359#95|360#950,spd#10
100411,100412,11,1,-1,359#15|360#150,359#110|360#1100,spd#11
100412,100413,12,1,-1,359#18|360#180,359#128|360#1280,spd#12
100413,100414,13,1,-1,359#21|360#210,359#149|360#1490,spd#13
100414,100415,14,1,-1,359#24|360#240,359#173|360#1730,spd#14
100415,100416,15,1,-1,359#27|360#270,359#200|360#2000,spd#15
100416,100417,16,1,-1,359#30|360#300,359#230|360#2300,spd#16
100417,100418,17,1,-1,359#33|360#330,359#263|360#2630,spd#17
100418,100419,18,1,-1,359#36|360#360,359#299|360#2990,spd#18
100419,100420,19,1,-1,359#39|360#390,359#338|360#3380,spd#19
100420,100421,20,1,-1,359#42|360#420,359#380|360#3800,spd#20
100421,100422,21,1,-1,359#45|360#450,359#425|360#4250,spd#21
100422,100423,22,1,-1,359#49|360#490,359#474|360#4740,spd#22
100423,100424,23,1,-1,359#53|360#530,359#527|360#5270,spd#23
100424,100425,24,1,-1,359#57|360#570,359#584|360#5840,spd#24
100425,100426,25,1,-1,359#61|360#610,359#645|360#6450,spd#25
100426,100427,26,1,-1,359#65|360#650,359#710|360#7100,spd#26
100427,100428,27,1,-1,359#69|360#690,359#779|360#7790,spd#27
100428,100429,28,1,-1,359#73|360#730,359#852|360#8520,spd#28
100429,100430,29,1,-1,359#77|360#770,359#929|360#9290,spd#29
100430,100431,30,1,-1,359#81|360#810,359#1010|360#10100,spd#30
100431,100432,31,1,-1,359#85|360#850,359#1095|360#10950,spd#31
100432,100433,32,1,-1,359#91|360#910,359#1186|360#11860,spd#32
100433,100434,33,1,-1,359#97|360#970,359#1283|360#12830,spd#33
100434,100435,34,1,-1,359#103|360#1030,359#1386|360#13860,spd#34
100435,100436,35,1,-1,359#109|360#1090,359#1495|360#14950,spd#35
100436,100437,36,1,-1,359#115|360#1150,359#1610|360#16100,spd#36
100437,100438,37,1,-1,359#121|360#1210,359#1731|360#17310,spd#37
100438,100439,38,1,-1,359#127|360#1270,359#1858|360#18580,spd#38
100439,100440,39,1,-1,359#133|360#1330,359#1991|360#19910,spd#39
100440,100441,40,1,-1,359#139|360#1390,359#2130|360#21300,spd#40
100441,100442,41,1,-1,359#145|360#1450,359#2275|360#22750,spd#41
100442,100443,42,1,-1,359#152|360#1520,359#2427|360#24270,spd#42
100443,100444,43,1,-1,359#159|360#1590,359#2586|360#25860,spd#43
100444,100445,44,1,-1,359#166|360#1660,359#2752|360#27520,spd#44
100445,100446,45,1,-1,359#173|360#1730,359#2925|360#29250,spd#45
100446,100447,46,1,-1,359#180|360#1800,359#3105|360#31050,spd#46
100447,100448,47,1,-1,359#187|360#1870,359#3292|360#32920,spd#47
100448,100449,48,1,-1,359#194|360#1940,359#3486|360#34860,spd#48
100449,100450,49,1,-1,359#201|360#2010,359#3687|360#36870,spd#49
100450,100451,50,1,-1,359#208|360#2080,359#3895|360#38950,spd#50
100451,100452,51,1,-1,359#215|360#2150,359#4110|360#41100,spd#51
100452,100453,52,1,-1,359#224|360#2240,359#4334|360#43340,spd#52
100453,100454,53,1,-1,359#233|360#2330,359#4567|360#45670,spd#53
100454,100455,54,1,-1,359#242|360#2420,359#4809|360#48090,spd#54
100455,100456,55,1,-1,359#251|360#2510,359#5060|360#50600,spd#55
100456,100457,56,1,-1,359#260|360#2600,359#5320|360#53200,spd#56
100457,100458,57,1,-1,359#269|360#2690,359#5589|360#55890,spd#57
100458,100459,58,1,-1,359#278|360#2780,359#5867|360#58670,spd#58
100459,100460,59,1,-1,359#287|360#2870,359#6154|360#61540,spd#59
100460,-1,60,1,-1,359#296|360#2960,359#6450|360#64500,spd#60
100500,100501,0,1,-1,359#0|360#0,359#0|360#0,
100501,100502,1,1,-1,359#50|360#500,359#50|360#500,unCrit#20|decDmg#6
100502,100503,2,1,-1,359#100|360#1000,359#150|360#1500,unCrit#40|decDmg#12
100503,100504,3,1,-1,359#150|360#1500,359#300|360#3000,unCrit#60|decDmg#18
100504,100505,4,1,-1,359#200|360#2000,359#500|360#5000,unCrit#80|decDmg#24
100505,100506,5,1,-1,359#250|360#2500,359#750|360#7500,unCrit#100|decDmg#30
100506,100507,6,1,-1,359#300|360#3000,359#1050|360#10500,unCrit#120|decDmg#36
100507,100508,7,1,-1,359#350|360#3500,359#1400|360#14000,unCrit#140|decDmg#42
100508,100509,8,1,-1,359#400|360#4000,359#1800|360#18000,unCrit#160|decDmg#48
100509,100510,9,1,-1,359#450|360#4500,359#2250|360#22500,unCrit#180|decDmg#54
100510,-1,10,1,-1,359#500|360#5000,359#2750|360#27500,unCrit#200|decDmg#60
100600,100601,0,1,-1,359#0|360#0,359#0|360#0,
100601,100602,1,1,-1,359#15|360#150,359#15|360#150,atk#130
100602,100603,2,1,-1,359#18|360#180,359#33|360#330,atk#260
100603,100604,3,1,-1,359#21|360#210,359#54|360#540,atk#390
100604,100605,4,1,-1,359#24|360#240,359#78|360#780,atk#520
100605,100606,5,1,-1,359#27|360#270,359#105|360#1050,atk#650
100606,100607,6,1,-1,359#30|360#300,359#135|360#1350,atk#780
100607,100608,7,1,-1,359#33|360#330,359#168|360#1680,atk#910
100608,100609,8,1,-1,359#36|360#360,359#204|360#2040,atk#1040
100609,100610,9,1,-1,359#39|360#390,359#243|360#2430,atk#1170
100610,100611,10,1,-1,359#42|360#420,359#285|360#2850,atk#1300
100611,100612,11,1,-1,359#45|360#450,359#330|360#3300,atk#1430
100612,100613,12,1,-1,359#54|360#540,359#384|360#3840,atk#1560
100613,100614,13,1,-1,359#63|360#630,359#447|360#4470,atk#1690
100614,100615,14,1,-1,359#72|360#720,359#519|360#5190,atk#1820
100615,100616,15,1,-1,359#81|360#810,359#600|360#6000,atk#1950
100616,100617,16,1,-1,359#90|360#900,359#690|360#6900,atk#2080
100617,100618,17,1,-1,359#99|360#990,359#789|360#7890,atk#2210
100618,100619,18,1,-1,359#108|360#1080,359#897|360#8970,atk#2340
100619,100620,19,1,-1,359#117|360#1170,359#1014|360#10140,atk#2470
100620,100621,20,1,-1,359#126|360#1260,359#1140|360#11400,atk#2600
100621,100622,21,1,-1,359#135|360#1350,359#1275|360#12750,atk#2730
100622,100623,22,1,-1,359#147|360#1470,359#1422|360#14220,atk#2860
100623,100624,23,1,-1,359#159|360#1590,359#1581|360#15810,atk#2990
100624,100625,24,1,-1,359#171|360#1710,359#1752|360#17520,atk#3120
100625,100626,25,1,-1,359#183|360#1830,359#1935|360#19350,atk#3250
100626,100627,26,1,-1,359#195|360#1950,359#2130|360#21300,atk#3380
100627,100628,27,1,-1,359#207|360#2070,359#2337|360#23370,atk#3510
100628,100629,28,1,-1,359#219|360#2190,359#2556|360#25560,atk#3640
100629,100630,29,1,-1,359#231|360#2310,359#2787|360#27870,atk#3770
100630,100631,30,1,-1,359#243|360#2430,359#3030|360#30300,atk#3900
100631,100632,31,1,-1,359#255|360#2550,359#3285|360#32850,atk#4030
100632,100633,32,1,-1,359#273|360#2730,359#3558|360#35580,atk#4160
100633,100634,33,1,-1,359#291|360#2910,359#3849|360#38490,atk#4290
100634,100635,34,1,-1,359#309|360#3090,359#4158|360#41580,atk#4420
100635,100636,35,1,-1,359#327|360#3270,359#4485|360#44850,atk#4550
100636,100637,36,1,-1,359#345|360#3450,359#4830|360#48300,atk#4680
100637,100638,37,1,-1,359#363|360#3630,359#5193|360#51930,atk#4810
100638,100639,38,1,-1,359#381|360#3810,359#5574|360#55740,atk#4940
100639,100640,39,1,-1,359#399|360#3990,359#5973|360#59730,atk#5070
100640,100641,40,1,-1,359#417|360#4170,359#6390|360#63900,atk#5200
100641,100642,41,1,-1,359#435|360#4350,359#6825|360#68250,atk#5330
100642,100643,42,1,-1,359#456|360#4560,359#7281|360#72810,atk#5460
100643,100644,43,1,-1,359#477|360#4770,359#7758|360#77580,atk#5590
100644,100645,44,1,-1,359#498|360#4980,359#8256|360#82560,atk#5720
100645,100646,45,1,-1,359#519|360#5190,359#8775|360#87750,atk#5850
100646,100647,46,1,-1,359#540|360#5400,359#9315|360#93150,atk#5980
100647,100648,47,1,-1,359#561|360#5610,359#9876|360#98760,atk#6110
100648,100649,48,1,-1,359#582|360#5820,359#10458|360#104580,atk#6240
100649,100650,49,1,-1,359#603|360#6030,359#11061|360#110610,atk#6370
100650,100651,50,1,-1,359#624|360#6240,359#11685|360#116850,atk#6500
100651,100652,51,1,-1,359#645|360#6450,359#12330|360#123300,atk#6630
100652,100653,52,1,-1,359#672|360#6720,359#13002|360#130020,atk#6760
100653,100654,53,1,-1,359#699|360#6990,359#13701|360#137010,atk#6890
100654,100655,54,1,-1,359#726|360#7260,359#14427|360#144270,atk#7020
100655,100656,55,1,-1,359#753|360#7530,359#15180|360#151800,atk#7150
100656,100657,56,1,-1,359#780|360#7800,359#15960|360#159600,atk#7280
100657,100658,57,1,-1,359#807|360#8070,359#16767|360#167670,atk#7410
100658,100659,58,1,-1,359#834|360#8340,359#17601|360#176010,atk#7540
100659,100660,59,1,-1,359#861|360#8610,359#18462|360#184620,atk#7670
100660,-1,60,1,-1,359#888|360#8880,359#19350|360#193500,atk#7800
100700,100701,0,1,-1,359#0|360#0,359#0|360#0,
100701,100702,1,1,-1,359#15|360#150,359#15|360#150,hp#72000
100702,100703,2,1,-1,359#18|360#180,359#33|360#330,hp#144000
100703,100704,3,1,-1,359#21|360#210,359#54|360#540,hp#216000
100704,100705,4,1,-1,359#24|360#240,359#78|360#780,hp#288000
100705,100706,5,1,-1,359#27|360#270,359#105|360#1050,hp#360000
100706,100707,6,1,-1,359#30|360#300,359#135|360#1350,hp#432000
100707,100708,7,1,-1,359#33|360#330,359#168|360#1680,hp#504000
100708,100709,8,1,-1,359#36|360#360,359#204|360#2040,hp#576000
100709,100710,9,1,-1,359#39|360#390,359#243|360#2430,hp#648000
100710,100711,10,1,-1,359#42|360#420,359#285|360#2850,hp#720000
100711,100712,11,1,-1,359#45|360#450,359#330|360#3300,hp#792000
100712,100713,12,1,-1,359#54|360#540,359#384|360#3840,hp#864000
100713,100714,13,1,-1,359#63|360#630,359#447|360#4470,hp#936000
100714,100715,14,1,-1,359#72|360#720,359#519|360#5190,hp#1008000
100715,100716,15,1,-1,359#81|360#810,359#600|360#6000,hp#1080000
100716,100717,16,1,-1,359#90|360#900,359#690|360#6900,hp#1152000
100717,100718,17,1,-1,359#99|360#990,359#789|360#7890,hp#1224000
100718,100719,18,1,-1,359#108|360#1080,359#897|360#8970,hp#1296000
100719,100720,19,1,-1,359#117|360#1170,359#1014|360#10140,hp#1368000
100720,100721,20,1,-1,359#126|360#1260,359#1140|360#11400,hp#1440000
100721,100722,21,1,-1,359#135|360#1350,359#1275|360#12750,hp#1512000
100722,100723,22,1,-1,359#147|360#1470,359#1422|360#14220,hp#1584000
100723,100724,23,1,-1,359#159|360#1590,359#1581|360#15810,hp#1656000
100724,100725,24,1,-1,359#171|360#1710,359#1752|360#17520,hp#1728000
100725,100726,25,1,-1,359#183|360#1830,359#1935|360#19350,hp#1800000
100726,100727,26,1,-1,359#195|360#1950,359#2130|360#21300,hp#1872000
100727,100728,27,1,-1,359#207|360#2070,359#2337|360#23370,hp#1944000
100728,100729,28,1,-1,359#219|360#2190,359#2556|360#25560,hp#2016000
100729,100730,29,1,-1,359#231|360#2310,359#2787|360#27870,hp#2088000
100730,100731,30,1,-1,359#243|360#2430,359#3030|360#30300,hp#2160000
100731,100732,31,1,-1,359#255|360#2550,359#3285|360#32850,hp#2232000
100732,100733,32,1,-1,359#273|360#2730,359#3558|360#35580,hp#2304000
100733,100734,33,1,-1,359#291|360#2910,359#3849|360#38490,hp#2376000
100734,100735,34,1,-1,359#309|360#3090,359#4158|360#41580,hp#2448000
100735,100736,35,1,-1,359#327|360#3270,359#4485|360#44850,hp#2520000
100736,100737,36,1,-1,359#345|360#3450,359#4830|360#48300,hp#2592000
100737,100738,37,1,-1,359#363|360#3630,359#5193|360#51930,hp#2664000
100738,100739,38,1,-1,359#381|360#3810,359#5574|360#55740,hp#2736000
100739,100740,39,1,-1,359#399|360#3990,359#5973|360#59730,hp#2808000
100740,100741,40,1,-1,359#417|360#4170,359#6390|360#63900,hp#2880000
100741,100742,41,1,-1,359#435|360#4350,359#6825|360#68250,hp#2952000
100742,100743,42,1,-1,359#456|360#4560,359#7281|360#72810,hp#3024000
100743,100744,43,1,-1,359#477|360#4770,359#7758|360#77580,hp#3096000
100744,100745,44,1,-1,359#498|360#4980,359#8256|360#82560,hp#3168000
100745,100746,45,1,-1,359#519|360#5190,359#8775|360#87750,hp#3240000
100746,100747,46,1,-1,359#540|360#5400,359#9315|360#93150,hp#3312000
100747,100748,47,1,-1,359#561|360#5610,359#9876|360#98760,hp#3384000
100748,100749,48,1,-1,359#582|360#5820,359#10458|360#104580,hp#3456000
100749,100750,49,1,-1,359#603|360#6030,359#11061|360#110610,hp#3528000
100750,100751,50,1,-1,359#624|360#6240,359#11685|360#116850,hp#3600000
100751,100752,51,1,-1,359#645|360#6450,359#12330|360#123300,hp#3672000
100752,100753,52,1,-1,359#672|360#6720,359#13002|360#130020,hp#3744000
100753,100754,53,1,-1,359#699|360#6990,359#13701|360#137010,hp#3816000
100754,100755,54,1,-1,359#726|360#7260,359#14427|360#144270,hp#3888000
100755,100756,55,1,-1,359#753|360#7530,359#15180|360#151800,hp#3960000
100756,100757,56,1,-1,359#780|360#7800,359#15960|360#159600,hp#4032000
100757,100758,57,1,-1,359#807|360#8070,359#16767|360#167670,hp#4104000
100758,100759,58,1,-1,359#834|360#8340,359#17601|360#176010,hp#4176000
100759,100760,59,1,-1,359#861|360#8610,359#18462|360#184620,hp#4248000
100760,-1,60,1,-1,359#888|360#8880,359#19350|360#193500,hp#4320000
