id,text,option1,option2,option3
10010017,Im Server-Chat hast du viele interessante Spieler kennengelernt. Kannst du ihnen eine Freundschaftsanfrage senden?,"Erst wenn wir in derselben Gilde sind, kann ich ihm/ihr eine Freundschaftsanfrage senden.",Tippe auf das Profilbild des Spielers und sende ihm/ihr eine Freundschaftsanfrage!,Nein.
10010018,"Wenn du eine bestimmte Menge von Mädchen-Fragmenten gesammelt hast, kannst du neue Mädchen beschwören! Auf welche Weise können die Mädchen-Fragmente NICHT gesammelt werden?",Bei manchen Jobs bekommt man Mädchen-Fragmente als Belohnung,Nach Lv.30 können Mädchen-Fragmente im Quiz gesammelt werden,Durch aktive Interaktion mit den Mädchen im Wohnheim können Mädchen-Fragmente gesammelt werden
10010019,"Eine vernünftige Koorperation gewährt dem Team mit niedrigerer Kraft die Möglichkeit, das Team mit höherer Kraft zu besiegen. Auf welche Weise kann die Fähigkeit der Mädchen NICHT richtig gekannt werden?",Auf der Strategieseite werden Daten und Können eines Mädchens detailliert vorgestellt. Sogar Aufstellungen von den anderen Spielern können versucht werden.,Beobachte das Gesicht eines Mädchens um ihre Fähigkeit zu raten!,Prüfe die Bewertungen von erfahrenen Spielern in der FB Fangruppe
10010020,Du kannst einige Mädchen als Hintergrund einsetzen um mit ihrer Begleitung zu spielen. Wo können neue Mädchen als Hintergrund eingesetzt werden?,Unter Einstellung können Mädchen als Hintergrund eingesetzt werden,"Tippe auf das Mädchen auf der Startseite und dann auf ""Wechseln"" um neue Hintergründe einzusetzen",Zurzei gibt es keine Methode für Einsetzen der Hintergründe
10010021,Babel hat zuletzt einen Glückslottoschein bekommen. Weißt du wofür dieser Lottoschein dient?,Der Lottoschein dient als Eintritt zum Test,Der Lottoschein dient als Item für Ziehen am Glücksautomaten,Der Lottoschein dient als Item für das Ziehen an der Kapselmaschine
10010022,"Es gibt viele Wege, wie man an Super Kapselmünzen herankommt, mit denen seltene Mädchen an der Kapselmaschine gezogen werden können. Auf welche Weise können die Super Kapselmünzen NICHT erhalten werden?",Im Markt auf der Einkaufsstraße können Super Kapselmünzen gekauft werden,Spiele mit den Mädchen im Wohnheim und sie werden dir ein paar Super Kapselmünzen schenken!,Manche Jobs werden mit Super Kapselmünzen belohnt!
10010023,EXP Saft ist ein Muss für die Verbesserung der Mädchen. Auf welche Weise kann der EXP Saft NICHT erhalten werden?,Bei der Alchemie kann EXP Saft gratis gesammelt werden,"Beim Auto. Kampf warten. Je höher das Level der Runde ist, desto mehr EXP Säfte kannst du bekommen.",Im Markt auf der Einkaufsstraße kann der EXP Saft gekauft werden
10010024,Zuletzt hat Historia viele Herzen von ihren Freunden bekommen. Weißt du wofür diese Herzen dienen?,Die Herzen können direkt für Münzen verkauft werden,Mit den Herzen können seltene Mädchen an der BFF Kapselmaschine gezogen werden. Im Vergleich zur Normalen Kapselmaschine ist es hier wahrscheinlicher 5-Sterne Mädchen zu ziehen!,Die Herzen sind nur ein Beweis der Freundschaft und sind zu Nichts zu gebrauchen
10010025,Beim Date hast du eine Geschenkbox bekommen. Weißt du wofür diese Geschenkbox dient?,Verwende die Geschenkboxen um eine zufällige Ausrüstung zu bekommen,Die Geschenkbox kann direkt für Münzen verkauft werden,"Verwende die Geschenkbox, um ein zufälliges Geschenk oder Fragmente eines Geschenks zu bekommen. Das Geschenk kann an die Mädchen gesendet werden."
10010026,"Beim Ziehen an der Kapselmaschine bemerkst du, dass es keine Plätze mehr für neue Mädchen gibt. Auf welche Weise kann dieses Problem NICHT gelöst werden?",Übertrage unter Schule - Übertragen die nutzlosen Mädchen,Verbrauch deine Dias oder level dein VIP Level auf um Kapazität der Mädchen zu erhöhen,"Es bleibt dir nichts anderes übrig, als zu resignieren..."
10010027,Diamant ist eine wertvolle Währung in der Akademie. Auf welche Weise können die Dias NICHT gesammelt werden?,Kaufe die Monatskarte um in 30 Tagen täglich zusätzliche Dias zu erhalten,Kaufe die Dias im Markt auf der Einkaufsstraße,Schließe die täglichen Aufgaben ab oder nimm an den Events teil um Dias zu erhalten
10010028,Iron Fist hat gehört dass viele Events regelmäßig veranstaltet werden und zusätzliche Belohnungen dort angeboten werden. Weißt du wo diese Events gefunden werden können?,Tippe auf【Events】auf der Startseite um die Events zu prüfen,Suche im Abenteuer!,Schreibe was im Chat um an den neuesten Events teilzunehmen
10010029,"Je höher der Komfort im Wohnheim ist, desto mehr Belohnungen bekommst du da. Auf welche Weise kann der Komfort erhöht werden?",Kaufe Möbel im Möbelladen,Spiele mit den Mädchen im Wohnheim,Einfach beim Auto. Kampf warten
10010030,"Wenn die Mädchen vor einem Kampf auf der richtigen Linie aufgestellt werden, können sie ihre Fähigkeit besser entwickeln. Welche von den folgenden Arten findest du am besten?","Solange das Mädchen auf ein hohes Level gelevelt wird, muss sie auf der Frontlinie aufgesetellt werden, egal was für Fertigkeiten sie hat.","Einige Mädchen können großen Schaden verursachen aber sind nicht in der Lage, Schaden standzuhalten. Sie können deswegen auf der Frontlinie aufgestellt werden, wo sie leichter angegriffen werden.","Einige Mädchen können Gegenangriff durchführen, wenn sie Schaden erleiden. Diese Mädchen können bevorzugt auf der Frontlinie aufgestellt werden, wo sie leichter von den Gegner angegriffen werden."
10010031,Der VIP-Status gewährt dir viele Vorteile. Welcher der folgenden ist KEIN VIP-Vorteil?,Vermehrt die Belohnungen beim Auto-Kampf,Du kannst die Level deiner Mädchen direkt erhöhen,"Ermöglicht dir, mehr Mädchen zu haben"
10010032,Der VIP-Status gewährt dir viele Vorteile. Auf welche Weise kann das VIP-Level NICHT erhöht werden?,Erhalte die Münzen bei der Alchemie,Kaufe das Kostümpaket mit einem limitierten Kostüm,Kaufe die Monatskarte
10020001,Worauf weist die Kampfkraft auf der Arena-Rangliste hin?,Gesamtkraft von den stärksten 5 Mädchen des Spielers,Gesamtkraft von der Angriffsaufstellung des Spielers,Gesamtkraft von der Verteidigungsaufstellung des Spielers
10020002,Wie viele Tickets werden für einen Kampf in der Elite Arena benötigt?,1 Ticket,3 Tickets,5 Tickets
10020003,Historia hat ein eigenes Team in der Elite Liga erstellt. Wie kann sie ihre Freunde zu ihrem Team einladen?,"Wenn ihre Freunde die Elite Liga bereits entsperrt haben aber noch keinem Team beigetreten sind, kann sie in der Elite Liga ihre Freunde zum Team einladen.",Sie kann direkt auf der Freundesliste ihre Freunde zum Team einladen,Sie kann direkt im Chat ihre Freunde zum Team einladen
10020004,"Wie kann man sich in der Elite Liga bewerben, einem Team der anderen Spieler beizutreten?",Man kann sich direkt im Chat bewerben um einem Team der anderen Spieler beizutreten,"Solange die Kampfkraft die Anforderung erfüllt hat, kann man sich nach der Aufstellung des Verteidigungsteams bewerben, einem Team der anderen Spieler beizutreten.","Nachdem man sein Verteidigungsteam fertig aufgestellt hat, braucht man nur eine kurze Weile zu warten und danach wird man automatisch einem Team beitreten."
10020005,In der Ultimativen Arena kämpfen die Spieler aller Servern gegeneinander. Wie kann man sich für die Ultimative Liga qualifizieren?,Rangiere einmal unter den TOP10 in der Arena,Rangiere einmal unter den TOP10 in der Elite Arena,Rangiere einmal unter den TOP10 in der Elite Liga
10020006,Ronja verdient die Münzen sehr oft durch Wetten in der Ultimativen Arena. Weißt du was davon?,"Quatch. In der Ultimativen Arena gibt es keine Möglichkeit, Münzen zu verdienen","Tippe auf den Avatar des Spielers in der Ultimativen Arena um auf ihn zu wetten. Nachdem dieser Spieler gewonnen hat, kannst du doppelte Münzen bekommen.","Wette auf den Spieler auf der Wett-Seite in der Ultimativen Arena, den du unterstützen willst. Wenn dieser Spieler den Kampf gewonnen hat, kannst du doppelte Belohnungen bekommen."
10020007,Historia mag Chat Emojis senden um ihr Verhalten auszudrücken. Auf welche Weise können spezielle Chat Emojis erhalten werden?,Besieg den Gildenboss im Gym um Emojis von den erfolglosen Boss zu erhalten,Schließe das letzte Kapitel in einigen Mädchen-Aufgaben ab um limitierte Emojis des entsprechenden Mädchens zu erhalten,Chatte mehr um spezielle Emojis zu erhalten!
10020008,Es werden Diener-Kekse für das Leveln der Diener benötigt. Wo können große Mengen Diener-Kekse erhalten werden?,"Erhalte Diener-Kekse durch ""Praktische Arbeit"" unter ""monatliche Events""",Kaufe Diener-Kekse im Markt auf der Einkaufsstraße,Ziehe die normalen Kapseln
10020009,"Es gibt viele Methoden dafür, deinen Lieblingsmädchen neue Kostüme zuzulegen. Welche von den folgenden zählt NICHT?",Sammle genug Kostümzettel ein um sie gegen Kostüme im Kostümladen umzutauschen,Neue Kostüme werden ab und zu in limitierten Paketen angeboten,Warte beim Autom. Kampf um durch Glück neue Kostüme zu bekommen
12020008,Ronja kann beim Krit. allen Gegnern großen Schaden zufügen. Welche Antiquität passt zu Ronja am Besten?,"Illusions-Klingen (Erhöht Angriff, Speed und Kontrollrate)","Dornenherz (Erhöht Angriff, Krit. Rate und Krit. Schaden)",Wahrnehmungsuhr (Erhöht HP und Blockade)
12020009,Königin Historia kann bei der Verbrennung einen Explosionseffekt erzeugen um großen Schaden zu verursachen. Fertigkeiten von welchem Mädchen passen gut zu Königin Historia?,Anastasia,Kong Ming,Kira
12020010,"Nachdem die Blockade aktiviert wurde, kann Anastiasia beim Freigeben ihrer Ult. die Gegner zusätzlich einmal verfolgen. Welche Antiquität passt am Besten zu Anastasia?",Schweizer Taschenmesser (Erhöht Angriff und Krit. Rate),Schicksalsführer (Erhöht Energie und Skill-Schaden),"Silbermond-Klinge (Erhöht Angriff, Rüstungsbruch und Blockade)"
12020011,"Einige Mädchen können die Fähigkeit ihrer Verbündeten sehr verstärken, wenn ihre HP auf 50% reduziert wird. Welches Mädchen besitzt diese Fähigkeit?",Historia,Hottie,Anastasia
12020012,Mädchen der Frontlinie werden die meisten Angriffe aufnehmen. Welches Mädchen passt für die Frontlinie am Besten?,Königin Historia (Gut für Angriff und Unterstützung),Librarian (Gut für Unterstützung und Angriff),Sonja (Gut für Verteidigung und Gegenangriff)
10020015,In der Akademie gibt es viele spezielle Landschaften. Weißt du wo diese Landschaften als Hintergrund auf der Startseite eingestellt werden?,Unter Menü - Bilder können diese Landschaften gefunden werden,Im Markt auf der Einkaufsstraße können diese Hintergründe gefunden werden,Sie können wohl nicht als Hintergrund eingestellt werden
10020016,"Viele Mädchen haben ihre eigenen Geheimnisse, die nur ihrem engsten Freund verraten werden. Wo kann man etwas über ihre Geschichten erfahren?","Nachdem die Intimität im Date eine bestimmte Zahl erreicht hat, werden spezielle Informationen des entsprechenden Mädchens entsperrt.",Lass die Mädchen eine bestimmte Menge von Jobaufgaben abschließen um ihre speziellen Informationen zu entsperren,Warte beim Auto. Kampf und die speziellen Informationen der Mädchen werden automatisch entsperrt
11020001,Wer ist die Prüferin der Menschen Fraktion?,Sonya,Kong Ming,Historia
11020002,Welches Mädchen wird zum Disziplinarkomitee Mitglied ernannt?,Iron Fist,Historia,Lucifer
11020003,In welche Organisation ist Historia einmal heimlich eingetreten?,Anastasias Fangruppe,DEF,Gilde der Literatur
11020004,"Die Küche der Akademie wird oft von einem Mädchen besitzt, da sie eine Vorliebe für Kochen hat. Wer ist dieses Mädchen?",Historia,Anastasia,Sonja
11020005,Ein Mädchen der Menschen Fraktion wird zur Lehrerin der Akademie ernannt und sie hat sich in dieser Sache voll eingesetzt. Wer ist dieses Mädchen?,Ronja,Hottie,Babel
11020006,Ein Mädchen der Menschen Fraktion hat als die erste Leiterin die Yume Akademie vor Feinden beschützt. Wer ist dieses Mädchen?,Anastasia,Historia,Sonja
11020007,Ein Mädchen der Menschen Fraktion besucht sehr oft das Kasino und betrügt auch sehr oft um Geld zu verdienen. Wer ist dieses Mädchen?,Guan Yin,Ronja,Anastasia
11020008,Ein Mädchen der Menschen Fraktion mag Zuhause bleiben und Spiele spielen. Wer ist dieses Mädchen?,Guan Yin,Historia,Misty
11020009,Ein Mädchen der Menschen Fraktion liebt es von Herzen Bücher zu lesen. Wer ist dieses Mädchen?,Librarian,Ronja,Sonja
11020010,"Was wird Historia in der Haupt Geschichte machen, wenn sie auf der Straße ein schwaches Mädchen trifft, das von der Chaos Kreatur angegriffen wird?",Offen gesprochen wird Historia von diesem schwachen Mädchen für Nichts halten aber eventuell wird sie die Chaos Kreatur besiegen um das Mädchen zu retten.,Historia will sich da nicht einmischen und läuft weg.,"Historia wird sofort die Chaos Kreatur besiegen und dann weggehen, ohne mit dem Mädchen ein Wort zu wechseln."
11020011,"Was wird Anastasia machen, wenn sie auf der Straße ein schwaches Mädchen trifft, das von Chaos Kreatur angegriffen wird?","Anastasia wird sich anstellen, als ob sie nichts gesehen hätte, und direkt weggehen.",Anastasia wird die Chaos Kreatur besiegen ohne zu zögern und etwas dafür im Gegensatz zu fordern.,Anastasia wird zuerst über das schwache Mädchen lachen und dann die Chaos Kreatur besiegen.
11020012,"Was wird Ronja machen, wenn sie auf der Straße ein schwaches Mädchen trifft, das von Chaos Kreatur angegriffen wird?","Ronja wird von Weitem die Chaos Kreatur erschießen und dann weggehen, ohne ihren Namen zu hinterlassen.",Ronja hat Angst dass sie die Chaos Kreatur nicht besiegen kann und ist heimlich davongelaufen.,Ronja wird mit einem Schuss die Chaos Kreatur erledigen und dann Geld von dem Mädchen fordern.
11020013,Wie heißt Babels Haustier?,Jäger,Luvly,Bruno
10010009,"Wenn du Probleme mit dem Spiel oder Vorschläge zum Spiel hast, dann kannst du am schnellsten auf welche Weise den GM Yuki kontaktieren?",Suche Yuki im Server-Chat,Schreib Yuki unter Menü - GM/Support,"Hinterlasse deine Nachricht unter ""Persönliche Informationen"""
10020017,"Wie werden die Mädchen während des Kampfes durch den Verbluten-, Verbrennen- und Vergiften-Zustand beeinflusst?","Von diesen Effekten beeinflusste Mädchen werden einmal einen Schaden erleiden und dann zu Beginn jeder Runde jeweils ein weiteres Mal, bis die Effekte verschwinden.","Die Attribute der Mädchen, die von diesen Effekten beeinflusst werden, werden geschwächt.",Von diesen Effekten beeinflusste Mädchen werden sofort einen großen Schaden erleiden. Anschließend verschwinden die Effekte.
10020018,Wie werden die Mädchen während des Kampfes durch den Schweigen-Zustand beeinflusst?,Alle passiven Fertigkeiten dieser Mädchen sind vorübergehend nicht mehr aktiv.,Von diesem Effekt beeinflusste Mädchen bekommen keine Energie.,Von diesem Effekt beeinflusste Mädchen können ihre aktive Fertigkeiten vorübergehend nicht freisetzen.
10020019,"Wie werden die Mädchen während des Kampfes durch den Betäuben-, Versteinern- und Einfrieren-Zustand beeinflusst?",Von diesen Effekten beeinflusste Mädchen können nicht angegriffen werden.,"Von diesen Effekten beeinflusste Mädchen können ihre aktiven Fertigkeiten nicht freisetzen und keinen Standardangriff, Aufladung oder Gegenangriff durchführen.","Die Attribute der Mädchen, die von diesen Effekten beeinflusst werden, werden geschwächt."
10020010,Die Energie ist sehr wichtig für den Kampf. Welche Aussage über Energie stimmt nicht?,"Sobald die Energie 100 erreicht hat, werden die Mädchen ihre aktiven Fertigkeiten freisetzen.","Wenn die Energie mehr als 100 beträgt, wird der von der aktuellen Fertigkeit verursachte Schaden um die überflüssige Energie erhöht. 1 überflüssige Energie entspricht einer 1%igen Steigerung.","Beim Standardangriff bekommt ein Mädchen Energie. Aber wenn ein Mädchen angegriffen wird, verliert sie 50 Energie."
10020011,Der Speed ist sehr wichtig für den Kampf. Welche Aussage über Speed stimmt nicht?,"Der Speed bestimmt die Aktionsreihenfolge der Mädchen. Je höher der Speed liegt, desto früher greift das Mädchen an.","Wenn 2 Verbündete den gleichen Speed haben, wird das Mädchen, das weiter vorne steht, zuerst angreifen.","Wenn 2 Mädchen aus verschiedenen Teams den gleichen Speed haben, wird das verteidigende Mädchen zuerst angreifen."
10020012,Während der Erkundung des alten Campus stehen viele Erkundungsprojekte zur Wahl. Welche Aussage über die Erkundungsprojekte stimmt nicht?,"Die Erkundungsprojekte erhöhen die Schwierigkeit der Erkundung. Nachdem die Erkundung erfolgreich beendet wurde, bekommen die Spieler gemäß den Projekten mehr Punkte.","Da die Projekte sehr speziell sind, musst du zuerst ein paar Punkte sammeln, um die Projekte zu entsperren.","Nachdem du eine Etage abgeschlossen hast, kannst du sie nicht erneut machen und auch die Projekte nicht mehr erneut wählen."
10020013,"Fertigkeiten von 10-Sterne-Mädchen können weiter auf Elite-Fertigkeiten verbessert werden. Weißt du, wo diese Elite-Fertigkeiten gelevelt werden können?","Sobald das Mädchen auf 10-Sterne gelevelt wurde, kann man auf der Mädchen-Übersichtsseite die Elite-Fertigkeiten leveln.",Im Markt auf der Einkaufsstraße kannst du die Elite-Fertigkeiten mit Dias aufleveln.,"Schließe mit den Mädchen einen Eid, um ihre Elite-Fertigkeiten zu leveln."
10020014,"Durch Teilnahme an der Erkundung des alten Campus kannst du wertvolle Materialien erhalten. Weißt du, wie man an der Erkundung teilnehmen kann?",Auf der Einkaufsstraße findet man den Eingang zur Erkundung des alten Campus.,Unter Test findet man den Eingang zur Erkundung des alten Campus.,"Unter ""Kapsel"" findet man den Eingang zur Erkundung des alten Campus."
11050001,Wer ist die Prüferin des Hauses der Dämonen?,Kratos,Lucifer,Reika
11050002,"Ein Mädchen aus dem Hause der Dämonen sieht sehr kühl und unnahbar aus. Sie bleibt meistens den ganzen Tag nur zu Hause. Um aufzustehen, braucht sie sogar Michaelas Hilfe. Wer ist dieses Mädchen?",Izanami,Kratos,Lucifer
11050003,"Im Haus der Dämonen gibt es eine geheimnisvolle Einzelgängerin, die unzählige Kämpfe bestritten hat und von vielen hintergangen wurde. Als die älteste Kriegerin wird sie von allen sehr hochgeschätzt. Wer ist sie?",Izanami,Reika,Kratos
11050004,"Im Haus der Dämonen gibt es ein ganz besonderes Zwillingspaar. Eine ist ein Engel und die andere ein Dämon. Sie leben in gegenseitiger Abhängigkeit, so wie das Licht und die Dunkelheit. Wer sind sie?",Esau und Jakob,Lucifer und Michaela,Kratos und Izanami
11050005,"Im Haus der Dämonen gibt es eine Dämonin, die gerne ein Idol werden möchte. In ihrer Stimme steckt eine magische Kraft, mit der sie an die Herzen der anderen kommt. Wer ist sie?",Kratos,Apate,Reika
11050006,"Im Haus der Dämonen gibt es ein Mädchen, das einst vom Chaos-Virus angegriffen wurde. Seitdem hat sie einen lilen Kristall im Gesicht. Daher wird sie von den anderen oftmals als böser Engel des Todes bezeichnet. Wer ist sie?",Izanami,Apate,Kratos
11050007,"Nach zahllosen Krisen und Enttäuschungen versank Kratos immer weiter in der Einsamkeit. Aber es gibt ein Mädchen, das ihr gegenüber immer loyal bleibt, egal, was Kratos auch tut. Wer ist sie?",KongMing,Leila,Historia
11050008,"Wenn sie auf dem Campus einer wildgewordenen Fenrir begegnen würde, die gerade wie eine Verrückte herumbrüllt, was würde Kratos dann tun?","Sie wird versuchen Fenrir zu beruhigen, aber wird bei dem Versuch vor Angst weglaufen.","Sie wird ihre Skills nutzen, um Fenrir zu beruhigen oder wird sie zu einem Kampf herausfordern und ihr dadurch die Energie rauben.","Sie wird eine Weile nachdenken und dann mit Fenrir kämpfen, um sie zu beruhigen - mit allem, was sie hat!"
11050009,"Wenn sie auf dem Campus einer wildgewordenen Fenrir begegnen würden, die gerade wie eine Verrückte herumbrüllt, was würden Esau und Jakob dann tun?","Esau würde Jakob nach vorne schupsen, um selbst die Flucht zu ergreifen.","Esau würde Jakob die Augen verdecken, damit sie dieses ""Monster"" nicht sehen muss. Dann würden sie mit viel Abstand an ihr vorbei gehen.","Als sie gerade weitergehen wollten, fällt ihnen plötzlich auf, dass vielleicht Unschuldige verletzt werden könnten. Deshalb vereinen sie sich, um gemeinsam gegen Fenrir zu kämpfen."
11050010,"Auf dem Campus gibt es viele verschiedene Clubs, die mit ihren interessanten Veranstaltungen die Mädchen anlocken. Zu welchem Club würde Lucifer am ehesten gehen?",Zum Frühaufsteher-Club - Carpe Diem!,"Zum Fußball-Club - Sportlich betätigen, so lange man noch jung ist!",Zum Mittagsschlaf-Club - Eingekuschelt in eine Decke das Leben genießen!
11050011,"Auf dem Campus gibt es viele verschiedene Clubs, die mit ihren interessanten Veranstaltungen die Mädchen anlocken. Zu welchem Club würde Izanami am ehesten gehen?","Zum Rehabilitations-Club - Er bietet den vom Chaos Verletzten ein spezielles Training an. Vielleicht kann sie wiederfinden, was sie einst verloren hat.",Zum Theater-Club - Auf der Bühne ihr Talent zeigen und das Publikum zum Weinen bringen!,"Umwelt-Club - Kein Rauchen, kein Alkohol, kein Fleisch!"
11050012,"Auf dem Campus gibt es viele verschiedene Clubs, die mit ihren interessanten Veranstaltungen die Mädchen anlocken. Zu welchem Club würde Apate am ehesten gehen?",Zum Baseball-Club - Komm und trainiere mit deinen Freunden!,Zum Club der Idole - Werde zum Idol und rette die Welt!,"Zum Buch-Club - Galant, liebenswürdig und aufrichtig"
11050013,"Rätsel: Apate trägt immer eine kleine mysteriöse Schlange mit sich herum, die Hydra heißt. Wo haben sich die beiden zum ersten Mal gesehen?","Auf der Bühne, auf der Apate zum ersten Mal die Menschen mit ihrer Stimme verführt hat.","In dem Keller, in den Apate von den anderen eingesperrt wurde, weil sie ihre Lügen nicht länger ertragen konnten.",Unter Apates Bett.
11050014,"Rätsel: Auch wenn Kratos immer mit einem freundlichen Lächeln über den Campus läuft, so wirkt sie doch immer etwas distanziert. Welches Mädchen nimmt einen ganz besonderen Platz in ihrem Herzen ein?","Egal, wie sehr Kratos sie verletzt, sie auf Abstand hält oder ihr droht, sie ist ihr immer true - Leila.","Als sie große Zweifel plagten und sie in einer Notlage war, streckte Kratos ihre Hand zu ihr aus - Izanami.","Beim Kampf gegen das Chaos im letzten Jahrhundert, war sie das Mädchen, das Kratos unbedingt retten musste, koste es, was es wolle - Turin."
12050001,"Izanami kann mit ihrer aktiven Fähigkeit allen Teammitgliedern ein Schutzschild geben, das vor Schaden schützt. Welche Antiquität passt am besten zu Izanami?","Schicksalskristall (Erhöht Energie, Angriff und HP)","Dornenherz (Erhöht Angriff, Krit. Rate, Krit. Schaden)","Illusions-Klingen (Erhöht Angriff, Speed und Kontrollrate)"
12050002,"Apate kann Wiederauferstehen. Es gibt auch Mädchen, die Apates Wiederauferstehung noch beschleunigen können. Welches der folgenden Mädchen passt am besten zu Apate?",Kong Ming (kann HP wiederherstellen),Michaela (hat zwei Leben),Amelia (kann die Energie des Gegners verringern)
12050003,"Jedes Mal, wenn ein Mädchen stirbt, fügen Esau&Jakob dem gesamten gegnerischen Team großen Schaden zu. Welches der folgenden Mädchen passt am besten zu Esau&Jakob, weil es ihnen erlaubt, noch mehr Schaden zu machen?",Fenrir (kann mit einem Block großen Schaden hervorbringen),"Isabella (kann die HP ihrer Teammitglieder wiederherstellen, wenn sie stirbt)",Apate (kann wiederauferstehen)
12050004,"Nur wenige Mädchen haben die außergewöhnliche Fähigkeit, Schaden zu erzeugen, der sich nach dem Prozentsatz der HP des Ziels richtet. Welches der folgenden Mädchen hat diese Fähigkeit?",Esau&Jacob,Lucifer,Reika
12050005,"Wenn die Energie eines Mädchens im Kampf 100 Punkte erreicht, dann wird ihre aktive Fähigkeit ausgelöst. Es gibt ein paar Mädchen, die die Fähigkeit haben, die Energie der Gegner zu senken, sodass deren aktive Fähigkeiten nicht ausgelöst werden können. Wer hat diese Fähigkeit?",Izanami,Apate,Kratos
10010033,"Wenn du im Chat auf Werbung oder Falschnachrichten stößt, was ist die beste Vorgehensweise?",Den Absender kontaktieren und versuchen ihn auch aufs Kreuz zu legen.,"Auf die Nachricht klicken und dann auf ""Melden"" klicken oder dem GM Bescheid geben.","Die Nachrichten glauben und ausprobieren, was die Person sagt. Vielleicht habe ich ja letztendlich doch etwas davon."
10010034,"Unter ""Sammlung"" werden besondere Gegenstände, wie zum Beispiel Dekorationen, aufgelistet. Welche der untenstehenden Gegenstände findet man nicht unter ""Sammlung""?",Kostüme,Antiquitäten,Kampfaufnahmen
10020020,Welche der folgenden ist KEIN Debuff?,Erhöht Schadensreduzierungsrate und Krit. Rate,"Verbluten, verbrennen, vergiften","Betäuben, versteinern, kristallisieren"
