id,desc,title
120,Aufnahmeprüfung,Aufnahme-\nprüfung
121,Herzschlag,Herzschlag
122,Geschenke des Grafen,Geschenke\ndes Grafen
123,SP Energie Beschwören,SP Energie\nBeschwören
125,Glückskarten,Glückskarten
128,Brief an Senpai,Brief an\nSenpai
129,Vervierfachte Dias,Vervierfachte\nDias
130,Glückspakete,Glückspakete
131,Jubiläums- Kuchen,Jubiläums-\nKuchen
126,Campus- Erkundung,Campus-\nErkundung
127,Jubiläums- Puzzle,Jubiläums-\nPuzzle
132,Vorteilskarte,Vorteilskarte
133,Sommerhitze,Sommerhitze
134,Zauberkarte,Zauberkarte
135,Zauberbox,Zauberbox
136,Hinter den Kulissen,Hinter den\nKulissen
137,Willkommen zurück,Willkommen\nzurück
138,Besondere Mädchenbox,Besondere\nMädchenbox
139,Ermäßigte Monatskarte,Ermäßigte\nMonatskarte
140,Wunschkapsel,Wunschkapsel
142,Dynamische Symphonie,Dynamische\nSymphonie
143,Reise zu den Wolken,Reise zu\nden Wolken
144,Rotkäppchens Geschenk,Rotkäppchens\nGeschenk
141,Märchentraumwelt,Märchen-\ntraumwelt
145,Limitiertes Paket zum Valentinstag,Pakete zum\nValentinstag
146,Testfonds,Testfonds
147,Kostümpakete,Kostümpakete
148,Glückspakete,Glückspakete
149,Wahlkampf des Assistenten,Wahlkampf\ndes Assistenten
150,Halloween Kürbisfeld,Halloween\nKürbisfeld
151,Versorgungskristallmeißel,Versorgungs-\nkristallmeißel
152,Versorgungsbrotdosen,Versorgungs-\nbrotdosen
153,Versorgungskekse,Versorgungs-\nkekse
154,Prüfungsversorgung,Prüfungs-\nversorgung
156,7-tägige Aufgaben,7-tägige\nAufgaben
157,Neulingspakete,Neulings-\npakete
155,Schulerkundung,Schul-\nerkundung
158,韓國kakaopay（韓語專用）,韓國kakaopay（韓語專用）
159,Geschenk zum Monatsanfang,Geschenk zum\nMonatsanfang
160,Black Friday Sonderangebote,Black Friday\nSonderangebote
161,Zeitreise,Zeitreise
162,Neulingsprobe,Neulings-\nprobe
163,Belohnungstausch,Belohnungs-\ntausch
164,Erstaufladepaket,Erstauflade-\npaket
165,Anfängerpaket,Anfängerpaket
166,Luvlys Inselreise,Luvlys\nInselreise
167,Reiseversorgung,Reise-\nversorgung
170,Prämien zu Neujahr,Prämien\nzu Neujahr
171,Puppenhaus zu Weihnachten,Puppenhaus\nzu Weihnachten
172,Neujahrs-Login,Neujahrs-\nLogin
169,Black Friday Shop,Black Friday\nShop
168,Willkommenskapseln,Willkommens-\nkapseln
173,Yume-Lernzentrum,Yume-\nLernzentrum
174,Personalisiertes Paket für Turin,Personali-\nsiertes Paket
175,Antiquitätswachstum,Antiquitäts\nwachstum
176,Neulingsfonds,Neulingsfonds
177,Premiumzüge für Anfänger,Premiumzüge\nfür Anfänger
178,Lotto Glücksboni,Lotto\nGlücksboni
179,Kapselpool für Anfänger,Kapselpool\nfür Anfänger
180,Kapselpakete für Anfänger,Kapselpakete\nfür Anfänger
181,Markt zum Frühlingsfest,Markt zum\nFrühlingsfest
182,Frühlingsbeginn,Frühlings-\nbeginn
183,Günstiger Austausch,Günstiger\nAustausch
184,Aufladebonus,Aufladebonus
185,White Day,White Day
186,Diener-Challenge,Diener-\nChallenge
187,Diener-Wachstum,Diener-\nWachstum
188,Einschreibe-Bonus,Einschreibe-\nBonus
189,Puppen-Parade,Puppen-\nParade
190,Pakete zu Ostern,Pakete\nzu Ostern
191,Flaschenpost,Flaschenpost
192,Pakete zur Flaschenpost,Pakete zur\nFlaschenpost
193,Limitierte Aufträge,Limitierte\nAufträge
195,Geschenkcode,Geschenkcode
196,Feuerwerksfabrik,Feuerwerks-\nfabrik
197,Pippis Absolvierungsplan,Pippis Absol-\nvierungsplan
198,Schatzjäger,Schatzjäger
199,Alle antreten!,Alle\nantreten!
202,Neulings-Kursplan,Neulings-\nKursplan
203,Kursplan-Pakete,Kursplan-\nPakete
204,Unterricht,Unterricht
205,Sammlung der Korallenzweige,Sammlung der\nKorallenzweige
206,Rätsel der Zeit,Rätsel der Zeit
207,Auf den Spuren der Zeit,Auf den Spuren\nder Zeit
208,Waldfee,Waldfee
209,Magische Reserven,Magische\nReserven
210,Personalisierte Pakete,Personalisierte\nPakete
211,Sondernachschub,Sondernachschub
212,Einsatz- vorbereitung,Einsatz-\nvorbereitung
213,Rekrutierung,Rekrutierung
214,Einsatz in der Fremde,Einsatz\nin der Fremde
215,Personalisierter Nachschub,Personalisierter\nNachschub
216,Neulings-Kursplan,Neulings-\nKursplan
217,Kursplan-Pakete,Kursplan-\nPakete
218,Unterricht,Unterricht
219,Rückkehrer-Events,Rückkehrer- Events
221,Sage der Glaskugel,Sage der\nGlaskugel
224,Pakete zum 4. Jubiläum 1,Pakete zum\n4. Jubiläum
225,Paket zum 4. Jubiläum 2,Paket zum\n4. Jubiläum
226,Weinfestspiele,Weinfestspiele
227,Geheimer Weinkeller,Geheimer\nWeinkeller
228,Miss Yume,Miss Yume
229,Geschenk der Sterne,Geschenk\nder Sterne
230,Inselhopping,Inselhopping
231,Sandmalerei,Sandmalerei
232,Kostümtausch,Kostümtausch
233,Sommerpakete,Sommerpakete
234,Dschungelerkundung,Dschungel-\nerkundung
239,Antiquitätenforschung,Antiquitäten-\nforschung
240,Monicas Geschichte,Monicas\nGeschichte
241,Personalisierter Nachschub,Personalisierter\nNachschub
242,Outfit Shopping-Festival,Outfit Shopping-\nFestival
235,Limitierter Outfit-Shop,Limitierter\nOutfit-Shop
244,Limitierter Antiquitätentausch,Antiquitäten-\ntausch
243,Teehaus des Engels,Teehaus\ndes Engels
246,Praktische Arbeit,Praktische\nArbeit
245,Angelspaß,Angelspaß
247,Neulingsfonds,Neulingsfonds
248,Süßes oder Saures,Süßes oder\nSaures
249,Magischer Kessel,Magischer\nKessel
250,Pakete zu Halloween,Pakete zu\nHalloween
254,Wunschpakete,Wunschpakete
251,Geheime Welt,Geheime Welt
252,Reiseproviant,Reiseproviant
253,Reisevorbereitung,Reisevorbereitung
255,Pakete zu Ostern,Pakete\nzu Ostern
257,Adventskalender,Advents-\nkalender
259,Sonderausbildung,Sonder-\nausbildung
258,Sonderauslosung,Sonder-\nauslosung
261,Monatspakete (Rabatt),Monatspakete\n(Rabatt)
262,Wochenpakete (Rabatt),Wochenpakete\n(Rabatt)
263,Monatskarte (Rabatt),Monatskarte\n(Rabatt)
264,Mini Monatskarte (Rabatt),Mini Monats-\nkarte (Rabatt)
265,Vorteilskarte (Rabatt),Vorteilskarte\n(Rabatt)
266,Tagespakete (Rabatt),Tagespakete\n(Rabatt)
267,Monatspakete (Rabatt),Monatspakete\n(Rabatt)
268,Wochenpakete (Rabatt),Wochenpakete\n(Rabatt)
269,Tagespakete (Rabatt),Tagespakete\n(Rabatt)
260,Glückslotterie,Glückslotterie
270,Weihnachtsgeschenke,Weihnachts-\ngeschenke
271,Weihnachtsaustausch,Weihnachts-\naustausch
272,Weihnachtselfe,Weihnachtselfe
273,Pakete zur Glückslotterie,Pakete zur\nGlückslotterie
276,Kostümpakete,Kostümpakete
274,Feuerwerksspektakel,Feuerwerks-\nspektakel
275,Feuerwerksbelohnung,Feuerwerks-\nbelohnung
277,Ehrenaufträge,Ehrenaufträge
278,Endlose Reise,Endlose\nreise
279,Luvlys Traumschloss,Luvlys\nTraumschloss
280,Aufstiegszeremonie,Aufstiegs-\nzeremonie
281,Aufstiegsprüfung,Aufstiegs-\nprüfung
282,Superpakete,Superpakete
283,Ringwurfspiel,Ringwurfspiel
284,0€-Investment,0€-Investment
285,Schätze der Sammler,Schätze der\nSammler
286,Glücksrad,Glücksrad
287,Aprilscherz,Aprilscherz
288,Kapselsimulator,Kapsel-\nsimulator
289,Pass zum Buchheiligtum,Pass zum\nBuchheiligtum
290,Ostereier-Fabrik,Ostereier-\nFabrik
291,Paket-Staffellauf,Paket-\nStaffellauf
294,Süße Kindheit,Süße\nKindheit
292,Verlassene Raumstation,Verlassene\nRaumstation
293,Raumstation-Versorgung,Raumstation-\nVersorgung
83,Der erste Sternfall,Der erste\nSternfall
295,Sternschnuppennacht,Sternschnu-\nppennacht
296,Geschenk der Sterne,Geschenk\nder Sterne
297,Pakete unter Sternen,Pakete unter\nSternen
298,Spuren der Kindheit,Spuren der\nKindheit
299,Kindermarkt,Kindermarkt
303,Duft des Beifuß,Duft des\nBeifuß
300,Einsatz ins Manor,Einsatz\nins Manor
301,Einsatzvorbereitung,Einsatz-\nvorbereitung
302,Sondernachschub,Sonder-\nnachschub
307,Login zum 4. Jubiläum,Login zum\n4. Jubiläum
304,Jubiläums-Tanzparty,Jubiläums-\nTanzparty
305,Klänge der Freude,Klänge\nder Freude
306,Tortenherstellung,Torten-\nherstellung
