id,get_chapter,get_url
65,第64話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_064_zh_tw.png?width=720&height=1728
66,特別篇-2,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_sp2_zh_tw.png?width=720&height=1728
67,第65話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_65_zh_tw.png?width=720&height=1728
68,第66話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_066（1）_zh_tw.png?width=720&height=1728
69,第67話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_067_zh_tw.png?width=720&height=1728
70,第68話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_068_zh_tw.png?width=720&height=1728
71,第69話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_069_zh_tw.png?width=720&height=1728
72,第70話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_070_zh_tw.png?width=720&height=1728
73,第71話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_071_zh_tw.png?width=720&height=1728
74,第72話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_072_zh_tw.png?width=720&height=1728
75,第73話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_073_zh_tw.png?width=720&height=1728
76,第74話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_074_zh_tw.png?width=720&height=1728
77,第75話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_075_zh_tw.png?width=720&height=1728
78,第76話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_076_zh_tw.png?width=720&height=1728
79,第77話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_077_zh_tw.png?width=720&height=1728
80,第78話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_078_zh_tw.png?width=720&height=1728
81,第79話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_079_zh_tw.png?width=720&height=1728
82,第80話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_080_zh_tw.png?width=720&height=1728
83,第81話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_081_zh_tw.png?width=720&height=1728
84,第82話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_082_zh_tw.png?width=720&height=1728
85,第83話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_083_zh_tw.png?width=720&height=1728
86,第84話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_084_zh_tw.png?width=720&height=1728
87,第85話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_085_zh_tw.png?width=720&height=1899
88,第86話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_086_zh_tw.png?width=720&height=1728
89,第87話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_087_zh_tw.png?width=720&height=1728
90,第88話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_088_zh_tw.png?width=720&height=1728
