id,fort_id,name,tips_dialog
57,6,Schwarzer Nebel,Was ist auf dem Campus passiert? Lass es uns herausfinden!
58,6,Gefangen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
59,6,Ein entfernter Überfall,Was ist auf dem Campus passiert? Lass es uns herausfinden!
60,6,Das Ende des Komitees,Was ist auf dem Campus passiert? Lass es uns herausfinden!
61,6,Odanna,Was ist auf dem Campus passiert? Lass es uns herausfinden!
62,6,Nachtblume,Was ist auf dem Campus passiert? Lass es uns herausfinden!
63,7,Konflikt,Was ist auf dem Campus passiert? Lass es uns herausfinden!
64,7,Schwarzer Stein,Was ist auf dem Campus passiert? Lass es uns herausfinden!
65,7,Das Lachen der Fledermaus,Was ist auf dem Campus passiert? Lass es uns herausfinden!
66,7,Die wahre Wahrheit,Was ist auf dem Campus passiert? Lass es uns herausfinden!
67,7,Außer Kontrolle,Was ist auf dem Campus passiert? Lass es uns herausfinden!
68,7,Inferno,Was ist auf dem Campus passiert? Lass es uns herausfinden!
69,7,Odanna,Was ist auf dem Campus passiert? Lass es uns herausfinden!
70,7,Das Auge des Gerichts,Was ist auf dem Campus passiert? Lass es uns herausfinden!
71,7,Schwarz oder weiß,Was ist auf dem Campus passiert? Lass es uns herausfinden!
72,7,Verlieren,Was ist auf dem Campus passiert? Lass es uns herausfinden!
73,8,Ein Schnäppchen von D. E. F,Was ist auf dem Campus passiert? Lass es uns herausfinden!
74,8,Ausgetauschter Chip,Was ist auf dem Campus passiert? Lass es uns herausfinden!
75,8,Verhandlung Abgebrochen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
76,8,Zusammenbruch,Was ist auf dem Campus passiert? Lass es uns herausfinden!
77,8,Feuer fangen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
78,8,Kampf des Geistes,Was ist auf dem Campus passiert? Lass es uns herausfinden!
79,8,Ausbruch,Was ist auf dem Campus passiert? Lass es uns herausfinden!
80,8,Stimme des Widerstands,Was ist auf dem Campus passiert? Lass es uns herausfinden!
81,8,Luft,Was ist auf dem Campus passiert? Lass es uns herausfinden!
82,8,Verschwörung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
83,9,Glühen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
84,9,Erinnerung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
85,9,Invasion des Chaos,Was ist auf dem Campus passiert? Lass es uns herausfinden!
86,9,Der Unnachgiebige,Was ist auf dem Campus passiert? Lass es uns herausfinden!
87,9,Traum,Was ist auf dem Campus passiert? Lass es uns herausfinden!
88,9,Der Grund der Welt,Was ist auf dem Campus passiert? Lass es uns herausfinden!
89,9,Gespräch,Was ist auf dem Campus passiert? Lass es uns herausfinden!
90,9,Zwillinge,Was ist auf dem Campus passiert? Lass es uns herausfinden!
91,9,Sackgasse,Was ist auf dem Campus passiert? Lass es uns herausfinden!
92,9,Gebrochenes Siegel,Was ist auf dem Campus passiert? Lass es uns herausfinden!
93,10,Chaos Invasion,Was ist auf dem Campus passiert? Lass es uns herausfinden!
94,10,Alptraum kehrt zurück,Was ist auf dem Campus passiert? Lass es uns herausfinden!
95,10,Legion des Chaos,Was ist auf dem Campus passiert? Lass es uns herausfinden!
96,10,Vereint,Was ist auf dem Campus passiert? Lass es uns herausfinden!
97,10,Gegen alle Widrigkeiten,Was ist auf dem Campus passiert? Lass es uns herausfinden!
98,10,Ruf zu den Waffen,Was ist auf dem Campus passiert? Lass es uns herausfinden!
99,10,Gegenangriff,Was ist auf dem Campus passiert? Lass es uns herausfinden!
100,10,Tag des Jüngsten Gerichts,Was ist auf dem Campus passiert? Lass es uns herausfinden!
101,10,Eine kleine Hoffnung,Was ist auf dem Campus passiert? Lass es uns herausfinden!
102,10,Eine Lebenszeit,Was ist auf dem Campus passiert? Lass es uns herausfinden!
103,11,Willkommen zurück,
104,11,Wachstum,
105,11,Feier,
106,11,Zwischenspiel,
107,11,Encore,
108,11,Neue Gesichter,
109,11,Rückkehr der Legenden,
110,11,Einladung,
111,11,Terror Figur,
112,11,Entschlossenheit,
113,12,Tägliche Praxis,
114,12,Die Herausforderung von Ithil,
115,12,Ulbricht-Bibliothek,
116,12,Labyrinth,
117,12,Die Walküre,
118,12,Stein der Weisen,
119,12,Umgekehrte Strategie,
120,12,Die zweite Verteidigungslinie,
121,12,Der legendäre Elementarmagier,
122,12,"""Ihre"" Geschichte",
123,13,Plötzliche Invasion,
124,13,Die Bienen,
125,13,Verteidigung aktiviert,
126,13,Das Netz schließen,
127,13,Die Hornisse,
128,13,Opposition,
129,13,Eine geniale Idee,
130,13,Streben,
131,13,Auf feindlichen Boden,
132,13,「Sie」,
133,14,Das wahre Auge,
134,14,Terror Figur?,
135,14,Die Mimics,
136,14,Lied der Zeit,
137,14,Kooperation,
138,14,Das zerbrochene Schwert,
139,14,Rückkehr aus der Hölle,
140,14,Flamme der Rache,
141,14,Wahl,
142,14,Divergenz,
143,15,Streben,
144,15,Die Geiseln,
145,15,Glauben,
146,15,Das Ritual,
147,15,Unendliche Flamme,
148,15,Requiem,
149,15,"Derjenige, der die Klinge hält",
150,15,Wiedergeburt,
151,15,Das Opfer,
152,15,Die Zwillinge,
153,16,Es war einmal,
154,16,Wiedererzählte Wahrheit,
155,16,Marionette,
156,16,「Liebe」,
157,16,Verzweiflung,
158,16,Turin,
159,16,Jacob?,
160,16,Ihr Traum,
161,16,Erlösung,
162,16,Der Tag danach,
163,17,,
164,17,,
165,17,,
166,17,,
167,17,,
168,17,,
169,17,,
170,17,,
171,17,,
172,17,,
173,18,,
174,18,,
175,18,,
176,18,,
177,18,,
178,18,,
179,18,,
180,18,,
181,18,,
182,18,,
183,19,,
184,19,,
185,19,,
186,19,,
187,19,,
188,19,,
189,19,,
190,19,,
191,19,,
192,19,,
193,20,,
194,20,,
195,20,,
196,20,,
197,20,,
198,20,,
199,20,,
200,20,,
201,20,,
202,20,,
203,21,,
204,21,,
205,21,,
206,21,,
207,21,,
208,21,,
209,21,,
210,21,,
211,21,,
212,21,,
213,22,,
214,22,,
215,22,,
216,22,,
217,22,,
218,22,,
219,22,,
220,22,,
221,22,,
222,22,,
223,23,,
224,23,,
225,23,,
226,23,,
227,23,,
228,23,,
229,23,,
230,23,,
231,23,,
232,23,,
233,24,,
234,24,,
235,24,,
236,24,,
237,24,,
238,24,,
239,24,,
240,24,,
241,24,,
242,24,,
243,25,,
244,25,,
245,25,,
246,25,,
247,25,,
248,25,,
249,25,,
250,25,,
251,25,,
252,25,,
253,26,,
254,26,,
255,26,,
256,26,,
257,26,,
258,26,,
259,26,,
260,26,,
261,26,,
262,26,,
263,27,,
264,27,,
265,27,,
266,27,,
267,27,,
268,27,,
269,27,,
270,27,,
271,27,,
272,27,,
273,28,,
274,28,,
275,28,,
276,28,,
277,28,,
278,28,,
279,28,,
280,28,,
281,28,,
282,28,,
283,29,,
284,29,,
285,29,,
286,29,,
287,29,,
288,29,,
289,29,,
290,29,,
291,29,,
292,29,,
293,30,,
294,30,,
295,30,,
296,30,,
297,30,,
298,30,,
299,30,,
300,30,,
301,30,,
302,30,,
303,31,,
304,31,,
305,31,,
306,31,,
307,31,,
308,31,,
309,31,,
310,31,,
311,31,,
312,31,,
313,32,,
314,32,,
315,32,,
316,32,,
317,32,,
318,32,,
319,32,,
320,32,,
321,32,,
322,32,,
323,33,,
324,33,,
325,33,,
326,33,,
327,33,,
328,33,,
329,33,,
330,33,,
331,33,,
332,33,,
333,34,,
334,34,,
335,34,,
336,34,,
337,34,,
338,34,,
339,34,,
340,34,,
341,34,,
342,34,,
343,35,,
344,35,,
345,35,,
346,35,,
347,35,,
348,35,,
349,35,,
350,35,,
351,35,,
352,35,,
353,36,,
354,36,,
355,36,,
356,36,,
357,36,,
358,36,,
359,36,,
360,36,,
361,36,,
362,36,,
363,37,,
364,37,,
365,37,,
366,37,,
367,37,,
368,37,,
369,37,,
370,37,,
371,37,,
372,37,,
373,38,,
374,38,,
375,38,,
376,38,,
377,38,,
378,38,,
379,38,,
380,38,,
381,38,,
382,38,,
383,39,,
384,39,,
385,39,,
386,39,,
387,39,,
388,39,,
389,39,,
390,39,,
391,39,,
392,39,,
393,39,,
394,39,,
395,39,,
396,39,,
397,40,,
398,40,,
399,40,,
400,40,,
401,40,,
402,40,,
403,40,,
404,40,,
405,40,,
406,40,,
407,40,,
408,40,,
409,40,,
410,40,,
411,41,,
412,41,,
413,41,,
414,41,,
415,41,,
416,41,,
417,41,,
418,41,,
419,41,,
420,41,,
421,42,,
422,42,,
423,42,,
424,42,,
425,42,,
426,42,,
427,42,,
428,42,,
429,42,,
430,42,,
431,43,,
432,43,,
433,43,,
434,43,,
435,43,,
436,43,,
437,43,,
438,43,,
439,43,,
440,43,,
441,44,,
442,44,,
443,44,,
444,44,,
445,44,,
446,44,,
447,44,,
448,44,,
449,44,,
450,44,,
451,45,,
452,45,,
453,45,,
454,45,,
455,45,,
456,45,,
457,45,,
458,45,,
459,45,,
460,45,,
461,46,,
462,46,,
463,46,,
464,46,,
465,46,,
466,46,,
467,46,,
468,46,,
469,46,,
470,46,,
471,47,,
472,47,,
473,47,,
474,47,,
475,47,,
476,47,,
477,47,,
478,47,,
479,47,,
480,47,,
481,47,,
482,47,,
483,47,,
484,47,,
485,47,,
486,48,,
487,48,,
488,48,,
489,48,,
490,48,,
491,48,,
492,48,,
493,48,,
494,48,,
495,48,,
496,48,,
497,48,,
498,48,,
499,48,,
500,48,,
501,49,,
502,49,,
503,49,,
504,49,,
505,49,,
506,49,,
507,49,,
508,49,,
509,49,,
510,49,,
511,49,,
512,49,,
513,49,,
514,49,,
515,49,,
516,50,,
517,50,,
518,50,,
519,50,,
520,50,,
521,50,,
522,50,,
523,50,,
524,50,,
525,50,,
526,50,,
527,50,,
528,50,,
529,50,,
530,50,,
