id,name,dialog
26,Michaela,"Ist das etwa wieder Gabriel? Wenn ich das früher gewusst hätte, hätte ich ihre Kamera letztes Mal eingesammelt!"
27,Lucifer,Ist das nicht ein Poster von Michaela! Wer hat es hierhin gehängt? Es sieht echt nicht schlecht aus!
28,Fenek,Du interessierst dich also auch für Märchenbücher?
29,Fenek,Was für eine komische Geschichte…Der Hauptcharakter ist Iron Fist sehr ähnlich…
30,Iron Fist,Märchen? Ja…eine sehr interessante Geschichte!
31,Anastasia,Er kann also auch ordentich sein.
32,Anastasia,"Sehr gut. Vielleicht kann ich wenn die nächste Operation vorbei ist, hier vorbei schauen und ihm helfen aufzuräumen."
33,Babel,"Ich weiß nicht, was Senpai gerade macht? Ich hoffe nichts mit meiner Kapselmaschine…"
34,KongMing,"Jedes Mal, wenn ich dieses Kleid trage, lässt es mich an diesen wunderschönen Moment mit Senpai denken…"
35,KongMing,"Auch wenn ich vorher auf alle seine möglichen Aktionen vorbereitet war, habe ich ihn in diesem Moment…wirklich unterschätzt."
36,Iron Fist,Heute werde ich auch alles für Senpai im Kampf geben!
37,Sakura,"Die Kirschblüten gibt es nur in einer begrenzten Zeit. Wenn Senpai sie sehen kann, dann bedauere ich nichts…"
38,Hexa,Alle kämpfen für Gerechtigkeit. Warum hat Senpai mich hier gelassen…
39,Historia,Es scheint es gibt einen weiteren Kampf? Da kann ich wohl kaum einfach hier die Beine hochlegen!
40,Hottie,Wo fahre ich wohl in den nächsten Ferien mit meinem Liebsten hin?
41,Fencer,Wenn es warm ist wird man träge. Aber eine Weile hier zu bleiben ist auch nicht verkehrt…
42,Michaela,"Ich ruhe mich hier einen Moment aus und stelle meine Kräfte wieder her, damit ich noch mehr Aufgaben von Senpai übernehmen kann!"
43,Lucifer,"Sehr wenig Menschen wissen, dass Licht nur an der Seite von Dunkelheit existieren kann. Aber vielleicht versteht Senpai ja die Besonderheit von Dunkelheit…"
44,Minos,"Wenn es noch ein bisschen dunkler wäre, wäre es besser. Aber wenn es Senpai hier gefällt werde ich auch versuchen, dass es mir gefällt."
45,Dracula,"Ah, der Geruch erinnert mich an Menschen. Ich habe schon lange nicht mehr richtig gutes menschliches Blut getrunken."
46,KongMing,Aber ab und zu ein bisschen überrascht zu werden ist auch nicht schlecht.
47,Lucifer,Warum muss ich mit den anderen zusammen zum Unterricht gehen? Allein hier im Wohnheim fühle ich mich sehr wohl!
48,巴妮拉,你在宿舍裡轉來轉去的，不會是迷路了吧？
49,龐統,這麼小的地方才不會迷路呢，我……我只是在找冰箱在哪裡！
50,米迦勒,路西法，起床了，太陽曬屁股了！
51,路西法,再睡……十分鐘……
52,卡雯&伯荻,卡雯：啊啦，雅各厭煩你這個姐姐了嗎？\n伯荻：不像我們，姐妹關係好得很呢~
53,以掃,雅各！快過來！
54,黃月英,我的巴魯可聰明了，會做十以內的算數。
55,魯班,我的助手醬也很聰明，它會製作機器人。
56,嫦娥,香芋糕，栗子糕，甜甜的，還有兔兔……
57,后羿,在說夢話，真可愛……
58,暗月,這個女孩──我感覺到了，是威脅的氣息！
59,魏延,哈啾！怎麼突然後背涼涼的……
60,烏列爾,修女小姐，作為神職人員，你應該約束自己的言行……
61,特蕾莎,酒！麻辣小魚乾！都給我拿上來！
62,張郃,放過我吧，你就沒贏過，別繼續賭了……
63,阪本龍馬,我一定要贏一把！不過能先借我點錢嗎，等我贏了直接帳上劃~
64,凡赫辛,德──古──拉──？
65,德古拉,哇啊，你的眼神好可怕啊！
66,凡赫辛,德──古──拉──！
67,原初·德古拉,呵呵，不錯的眼神，我許久沒有品嘗過血獵的甘露了。
68,劉備,今天吃什麼？
69,關羽,醬汁豬肉定食！
70,張飛,交給我吧！
71,原初·德古拉,這血……有毒……
72,阿帕忒,一點點搗碎的大蒜而已~
73,呂蒙,不管看幾次，都覺得你這身裝備好帥啊！
74,青羽蛻夢·魏延,但莫名其妙地就會向光源靠近，也很令人苦惱呢。
75,皮皮洛,薇薇安姐姐，拜託幫忙問一下星星，今晚皮皮洛放焰火會被抓到嗎？
76,薇薇安,星星說，今晚就放開玩吧，因為你之後三天都要被關禁閉了。
77,黃月英,抱歉，不能給你吃，這個餅乾是根據狗狗的營養需求研發的。
78,赤蓮,那赤蓮，變成狗了，喵！
79,陸遜,非常遺憾，扭蛋結果是謝謝惠顧哦！
80,莫妮卡,如果在這種地方稍微用一下時間倒轉的話……
81,加百列,哇哦，又是一條大新聞，下期報紙的頭條有了！
82,諸葛亮,要是學生會收到的投訴過多，我們會酌情削減新聞社的經費。
83,孫悟空,你能和學園裡的桃樹說說，叫它們快點結桃子嗎？
84,槲寄生,這個……要遵循自然規律才行啊……
85,許褚,長得不錯，枝葉看起來都很健康。
86,槲寄生,是的，多謝您的照顧！
87,薇拉,拖地的工作不用辛苦您，打掃交給我就行了。
88,銀月,不辛苦，打掃是我的嗜好，我們一起吧。
89,薇薇安,星星……在警示我？
90,司馬昭,最新款的水晶球，來看看吧！
91,羅比,你也是AI嗎，艾琳想和你交朋友。
92,圖靈,完全看不出來你是AI呢！你好呀艾琳~我叫圖靈~
93,羅比,「你好，圖靈。她是羅比，我才是艾琳。」
94,菲斯納,肚子……好痛……
95,華佗,哎呀，這個蘑菇是有毒的，快吐出來！
96,凱茜,我們的寵物似乎很合得來。
97,赤蓮,不是寵物，是家人喵。
98,赫爾墨斯,實現願望的水晶少女啊，可以讓我變成首富嗎？
99,克瑞絲,不勞而獲不可以！
100,孫尚香,哼，大有什麼好的，只是一堆脂肪而已！
101,羅比,大？艾琳很大，很好……
102,暗月,只要在你面前和親愛的接吻，親愛的就會和我永遠在一起了~
103,槲寄生,（這位姐姐的表情好可怕……）我，我會祝福你們的……
104,雲母,好精緻的做工，如果泥偶也做成能動的樣式的話……
105,漢獻帝,請問，一直在擺弄我的身體，有什麼事嗎？
106,貂蟬,體驗當老師的感覺如何？調♡教♡學生們很有趣吧~
107,烏列爾,這根鞭子，揮起來相當順手……
108,王異,在宿舍裡睡一會兒，沒關係的……呼……呼……
109,魯班,趁她睡著的時候，把衣服往更羞恥的方向改進一下吧~
110,張飛,薇拉，我張飛平生從不求人，但現在請求你別再進食堂了！
111,薇拉,可是，那些藥材對大家的身體有好處呀……
112,巴妮拉,曹植，你怎麼還在看書，飯吃過了嗎？
113,曹植,（咕嚕嚕……）啊，我看完這本就去。
114,戴安娜,你身上有太陽的味道，讓我感到安心。
115,后羿,是嗎，我可是射落太陽之人。
116,阿帕忒,姐姐大人，你明天會來聽我的演唱會嗎？
117,路西法,才不要，我要和我shining bond的隊員一起排練。
118,凱茜,殺手不需要感情，只需要靜靜蟄伏，然後一擊必殺。
119,暗月,你這副無趣的樣子，看來完全不是威脅呢~
120,特蕾莎,龍馬，酒？
121,阪本龍馬,得嘞，今晚酒館見！
122,雲母,你的盾這麼堅固，一定能保護好重要之人吧。
123,烏列爾,但即使再堅固的盾，也阻止不了太陽的沉沒……
124,圖靈,「圖靈遊戲」不是遊戲，是控制使魔的系統。
125,夏侯淵,聽起來像是某個抓捕小精……不行，寶○○不能說出來。
126,黃月英,是人魚！不過，人魚該怎麼飼養呢？
127,劉表,請給我洋芋片和可樂~還有漫畫~
128,諾麗絲,這塊冰，摸起來暖暖的。
129,克瑞絲,這也是水晶嗎……嗚哇好冷！
130,伊邪那美,混沌！混沌！都是混沌的錯！
131,瑪雅,你……你要幹什麼，本大小姐才不怕你！
132,諾麗絲,請問，這裡是否有與騎士精神有關的傳記小說？
133,曹植,記得是在書架第三層……請等一下，我幫你找找看。
134,董卓,哈哈哈，好久不見了啊，漢獻帝！
135,漢獻帝,救……曹操……救救我……
136,織田信長,皮皮洛，你包裡藏了什麼？
137,皮皮洛,只……只是會砰砰的焰火啦，不是炸彈哦！
138,原初·德古拉,新款人造血漿真難喝，是哪個血族提出了抹茶口味那種鬼主意。
139,德古拉,很……很難喝嗎……哈哈哈……
140,華佗,可以從你這裡訂購一些藥材嗎？最近的消耗量有些過大了。
141,赫爾墨斯,當然可以，滿足客人的需求是我的榮幸。
142,于吉,看看我發現了什麼，一個在現世徘徊的亡靈。
143,郭嘉,別看我……不要靠近我……
144,菲斯納,我要進行一個超級驚喜的惡作劇……咦，我的道具呢？！
145,卡雯&伯荻,卡雯：她終於發現了。\n伯荻：嘻嘻~
146,伊邪那美,請問，你有沒有見過我的愛人？
147,戴安娜,你也和親人失散了嗎……請不要放棄，你們一定會相見的。
148,黃月英,這是企鵝嗎！很少見啊，請問你通常是怎麼養它的？
149,魯班,你問助手醬？放養就可以啦~
150,千本櫻,櫻花落盡又如何，生生死死都是魅力。
151,皮皮洛,哇！我不要你死啊！
152,千本櫻,命運是躲不掉的。
153,薇薇安,星星說我今天會有好運哦~
154,呂蒙,那我呢，我呢？
155,戴安娜,妹妹，妹妹……
156,薇薇安,放心放心，星象說今年宜親人重逢。
157,赫爾墨斯,怎麼，酒癮又犯了？
158,特蕾莎,今晚？
159,赫爾墨斯,去新開的那間酒吧？
160,暗月,勾引？不會的，誰敢勾引學長，我會好好處理掉的。
161,張郃,真……真是個可怕的女人。
162,諾麗絲,沒有比冬天更純淨的季節。
163,許褚,冬天？冬天有什麼好的，害得花花們受苦！
164,呂蒙,能幫我看看，我在將來會是什麼樣的嗎~
165,莫妮卡,抱歉，沒人能探明時光之河的真容。
166,貂蟬,待在宿舍就覺得好寂寞啊……
167,華佗,可以答應我不要體罰學生嗎？
168,赫爾墨斯,凱茜小姐的短刀很有型欸，量產會有市場嗎……
169,凱茜,不要隨便碰我的武器，被劃傷我概不負責。
170,步騭,現在大海還是我離開時的樣子嗎？
171,劉表,大海？沒興趣。陸地上好玩的東西可多了。
172,赤蓮,喵~~
173,凱茜,怎麼，覬覦我的紅包？
174,赤蓮,喵，姐姐分一點給我吧，分一點吧，喵。
175,張仲景,你……你受傷了！別擔心，我會幫你。
176,芬里爾,一點小傷，別大驚小怪的了。
177,暗月,學長~學長~到底什麼時候來找我啊~
178,菲斯納,喂，你碎碎念夠了嗎？看起來像中了邪一樣。
179,暗月,中邪？我看你才像中邪……
