id,desc,skill_name
101048,Angriff der Mädchen der Backline +1%,Backline
101049,Angriff der Mädchen der Backline +2%,Backline
101050,Angriff der Mädchen der Backline +3%,Backline
101051,Angriff der Mädchen der Backline +4% und Präzision +2%,Backline
101052,Angriff der Mädchen der Backline +5% und Präzision +5%,Backline
101053,Krit. Rate der aufgestellten Mädchen +1%,Krit. Rate 1
101054,Krit. Rate der aufgestellten Mädchen +2%,Krit. Rate 1
101055,Krit. Rate der aufgestellten Mädchen +3%,Krit. Rate 1
101056,Krit. Rate der aufgestellten Mädchen +5% und Krit. Widerstand +5%,Krit. Rate 1
101057,Vom Standardangriff der eigenen Mädchen zugefügter Schaden +1%,Standardangriff
101058,Vom Standardangriff der eigenen Mädchen zugefügter Schaden +2%,Standardangriff
101059,Vom Standardangriff der eigenen Mädchen zugefügter Schaden +3%,Standardangriff
101060,Vom Standardangriff der eigenen Mädchen zugefügter Schaden +4% und 20%ige Wahrscheinlichkeit einen zusätzlichen Standardangriff durchzuführen,Standardangriff
101061,Vom Standardangriff der eigenen Mädchen zugefügter Schaden +5% und 50%ige Wahrscheinlichkeit einen zusätzlichen Standardangriff durchzuführen,Standardangriff
101062,Skill-Bonusschaden der eigenen Mädchen +1%,Fertigkeit
101063,Skill-Bonusschaden der eigenen Mädchen +2%,Fertigkeit
101064,Skill-Bonusschaden der eigenen Mädchen +3%,Fertigkeit
101065,Skill-Bonusschaden der eigenen Mädchen +4% und 15%ige Wahrscheinlichkeit die Fertigkeit erneut einzusetzen,Fertigkeit
101066,Skill-Bonusschaden der eigenen Mädchen +5% und 30%ige Wahrscheinlichkeit die Fertigkeit erneut einzusetzen,Fertigkeit
101067,Krit. Rate der aufgestellten Mädchen +1%,Krit. Rate 2
101068,Krit. Rate der aufgestellten Mädchen +2%,Krit. Rate 2
101069,Krit. Rate der aufgestellten Mädchen +3%,Krit. Rate 2
101070,Krit. Rate der aufgestellten Mädchen +5% und Krit. Schaden +10%,Krit. Rate 2
101071,Rüstung aller Gegner -1%,Rüstungsschwächung
101072,Rüstung aller Gegner -2%,Rüstungsschwächung
101073,Rüstung aller Gegner -3%,Rüstungsschwächung
101074,Rüstung aller Gegner -4% und Blockade -2%,Rüstungsschwächung
101075,Rüstung aller Gegner -5% und Blockade -5%,Rüstungsschwächung
101076,Alle Gegner erleiden zu Beginn des Kampfes 1 Runde lang zufälligen kontinuierlichen Schaden (Schadenswert: 100000).,Kontinuierlicher Schaden
101077,Alle Gegner erleiden zu Beginn des Kampfes 2 Runden lang zufälligen kontinuierlichen Schaden (Schadenswert: 300000).,Kontinuierlicher Schaden
101078,Alle Gegner erleiden zu Beginn des Kampfes 3 Runden lang zufälligen kontinuierlichen Schaden (Schadenswert: 500000).,Kontinuierlicher Schaden
101079,Alle Gegner erleiden zu Beginn des Kampfes 4 Runden lang zufälligen kontinuierlichen Schaden (Schadenswert: 700000).,Kontinuierlicher Schaden
101080,Alle Gegner erleiden zu Beginn des Kampfes 5 Runden lang zufälligen kontinuierlichen Schaden (Schadenswert: 1000000).,Kontinuierlicher Schaden
101081,"Zu Beginn des Kampfes besteht für 1 zufälligen Gegner eine 30%ige Wahrscheinlichkeit, dass dieser 1 Runde lang einen Kontrolleffekt erleidet.",Kontrolle
101082,"Zu Beginn des Kampfes besteht für 1 zufälligen Gegner eine 50%ige Wahrscheinlichkeit, dass dieser 1 Runde lang einen Kontrolleffekt erleidet.",Kontrolle
101083,"Zu Beginn des Kampfes besteht für 1 zufälligen Gegner eine 70%ige Wahrscheinlichkeit, dass dieser 1 Runde lang einen Kontrolleffekt erleidet.",Kontrolle
101084,"Zu Beginn des Kampfes besteht für 1 zufälligen Gegner eine 100%ige Wahrscheinlichkeit, dass dieser 1 Runde lang einen Kontrolleffekt erleidet.",Kontrolle
101085,"Zu Beginn des Kampfes besteht für 1 zufälligen Gegner eine 100%ige Wahrscheinlichkeit, dass dieser 1 Runde lang einen Kontrolleffekt erleidet.",Kontrolle
101086,Erhöht alle von den Gegnern erlittenen Schäden um 1%,Schadenssteigerung 1
101087,Erhöht alle von den Gegnern erlittenen Schäden um 3%,Schadenssteigerung 1
101088,Erhöht alle von den Gegnern erlittenen Schäden um 5%,Schadenssteigerung 1
101089,"Erhöht den von den Gegnern erlittenen kontinuierlichen Schaden (Blut-, Gift- und Brennschaden) um 10%.",Schadenssteigerung 2
101090,"Erhöht den von den Gegnern erlittenen kontinuierlichen Schaden (Blut-, Gift- und Brennschaden) um 20%.",Schadenssteigerung 2
101091,"Erhöht den von den Gegnern erlittenen kontinuierlichen Schaden (Blut-, Gift- und Brennschaden) um 30%.",Schadenssteigerung 2
101092,"Erhöht den Schaden gegen kontrollierte (eingefrorene, versteinerte und betäubte) Gegner um 10%.",Schadenssteigerung 3
101093,"Erhöht den Schaden gegen kontrollierte (eingefrorene, versteinerte und betäubte) Gegner um 20%.",Schadenssteigerung 3
101094,"Erhöht den Schaden gegen kontrollierte (eingefrorene, versteinerte und betäubte) Gegner um 30%.",Schadenssteigerung 3
101095,Der von den Mädchen des eigenen Teams erlittene Schaden darf jedes Mal nicht höher als 30% ihrer max. HP sein.,Schadensaufnahme
101096,Der von den Mädchen des eigenen Teams erlittene Schaden darf jedes Mal nicht höher als 28% ihrer max. HP sein.,Schadensaufnahme
101097,Der von den Mädchen des eigenen Teams erlittene Schaden darf jedes Mal nicht höher als 26% ihrer max. HP sein.,Schadensaufnahme
101098,Der von den Mädchen des eigenen Teams erlittene Schaden darf jedes Mal nicht höher als 24% ihrer max. HP sein.,Schadensaufnahme
101099,Der von den Mädchen des eigenen Teams erlittene Schaden darf jedes Mal nicht höher als 20% ihrer max. HP sein.,Schadensaufnahme
101100,Energie der aufgestellten Mädchen zu Beginn des Kampfes +10,Anfangsenergie
101101,Energie der aufgestellten Mädchen zu Beginn des Kampfes +20,Anfangsenergie
101102,Energie der aufgestellten Mädchen zu Beginn des Kampfes +30,Anfangsenergie
101103,Energie der aufgestellten Mädchen zu Beginn des Kampfes +40,Anfangsenergie
101104,Energie der aufgestellten Mädchen zu Beginn des Kampfes +50,Anfangsenergie
101105,"Erhöht die HP der ersten 2 Mädchen, die einen tödlichen Schaden erleiden, um 20% ihrer max. HP.",Regeneration
101106,"Erhöht die HP der ersten 2 Mädchen, die einen tödlichen Schaden erleiden, um 30% ihrer max. HP.",Regeneration
101107,"Erhöht die HP der ersten 2 Mädchen, die einen tödlichen Schaden erleiden, um 40% ihrer max. HP.",Regeneration
101108,"Wird die aktive Fähigkeit eingesetzt, besteht eine 10%ige Wahrscheinlichkeit, die Energie aller Mädchen des eigenen Teams um 10 zu erhöhen.",Energiebonus
101109,"Wird die aktive Fähigkeit eingesetzt, besteht eine 20%ige Wahrscheinlichkeit, die Energie aller Mädchen des eigenen Teams um 10 zu erhöhen.",Energiebonus
101110,"Wird die aktive Fähigkeit eingesetzt, besteht eine 30%ige Wahrscheinlichkeit, die Energie aller Mädchen des eigenen Teams um 10 zu erhöhen.",Energiebonus
