id,name,desc,unlock
19,Seidentuch · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 45% erreicht hat."
20,Seidentuch · V,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 60% erreicht hat."
21,Premium Seidentuch · I,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Premium Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.",
22,Premium Seidentuch · II,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Premium Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 20% erreicht hat."
23,Premium Seidentuch · III,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Premium Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 40% erreicht hat."
24,Premium Seidentuch · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Premium Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 60% erreicht hat."
25,Premium Seidentuch · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Versorgungskarten ""Premium Seidentuch"" um +1 erhöht, wodurch mehr Belohnungen erhalten werden können.","Voraussetzung: Wird freigeschaltet, wenn der Fortschritt in diesem Korridor 80% erreicht hat."
26,Ereigniskarte Upgrade · I,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Luna"" um +1 erhöht.",
27,Ereigniskarte Upgrade · II,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Aurora"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Luna"" in diesem Korridor 50 Mal ausgelöst wird. ({1}/50)"
28,Ereigniskarte Upgrade · III,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Angel"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Aurora"" in diesem Korridor 80 Mal ausgelöst wird. ({1}/80)"
29,Ereigniskarte Upgrade · IV,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Fenrir"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Angel"" in diesem Korridor 90 Mal ausgelöst wird. ({1}/90)"
30,Ereigniskarte Upgrade · V,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Isabella"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Fenrir"" in diesem Korridor 110 Mal ausgelöst wird. ({1}/110)"
31,Ereigniskarte Upgrade · VI,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Teresa"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Isabella"" in diesem Korridor 70 Mal ausgelöst wird. ({1}/70)"
32,Ereigniskarte Upgrade · VII,"Beim Anschauen der Erinnerungen wird in Zukunft das Level der ausgelösten Ereigniskarten ""Knospe"" um +1 erhöht.","Voraussetzung: Wird freigeschaltet, wenn die Ereigniskarte ""Teresa"" in diesem Korridor 60 Mal ausgelöst wird. ({1}/60)"
33,Stufenentsperrung,"Entsperre die nächste Stufe in diesem Korridor (Schließe die aktuelle Stufe ab, um die nächste entsperrte Stufe herauszufordern.)",
34,Mut · I,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Mut um {1} erhöht.",
35,Charme · I,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Charme um {1} erhöht.",
36,Wissen · I,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird das Wissen um {1} erhöht.",
37,Mut · II,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Mut um {1} erhöht.",Voraussetzung: Schließe die 2. Stufe in diesem Korridor ab und sammle die Belohnungen für diesen Erfolg.
38,Charme · II,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Charme um {1} erhöht.","Voraussetzung: ""Mut · II"" oder ""Charme · I"" erreicht Lv.5."
39,Wissen · II,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird das Wissen um {1} erhöht.","Voraussetzung: ""Mut · II"" oder ""Wissen · I"" erreicht Lv.5."
40,Mut · III,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Mut um {1} erhöht.",Voraussetzung: Schließe die 5. Stufe in diesem Korridor ab und sammle die Belohnungen für diesen Erfolg.
41,Charme · III,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Charme um {1} erhöht.","Voraussetzung: ""Mut · III"" oder ""Charme · II"" erreicht Lv.5."
42,Wissen · III,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird das Wissen um {1} erhöht.","Voraussetzung: ""Charme · III"" oder ""Wissen · II"" erreicht Lv.5."
43,Mut · IV,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Mut um {1} erhöht.",Voraussetzung: Schließe die 8. Stufe in diesem Korridor ab und sammle die Belohnungen für diesen Erfolg.
44,Charme · IV,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird der Charme um {1} erhöht.","Voraussetzung: ""Mut · IV"" oder ""Charme · III"" erreicht Lv.5."
45,Wissen · IV,"Forderst du in diesem Korridor eine Stufe heraus oder löst du in Zukunft wieder eine Kampfkarte aus, wird das Wissen um {1} erhöht.","Voraussetzung: ""Charme · IV"" oder ""Wissen · III"" erreicht Lv.5."
46,Speed Up,"Erhalte nach dem Leveln sofort {1}x ""Zeitstaub"", der fürs Beschleunigen des Anschauens verwendet werden kann.",
47,Kartenentsperrung · I,"Entsperrt die wertvolleren ""Punkt""-Ereigniskarten, die mehr Punkte gewähren. Löst du in Zukunft beim Anschauen der Erinnerungen die ""Punkt""-Ereigniskarten aus, bekommst du möglicherweise mehr Punkte.",
48,Kartenentsperrung · II,"Entsperrt die Kampfkarte ""Kampf · Lv.2"". Beim Anschauen der Erinnerungen kann in Zukunft diese Kampfkarte ausgelöst werden.","Voraussetzung: Mut, Charme und Wissen haben jeweils 1000 Punkte erreicht."
49,Kartenentsperrung · III,"Entsperrt die Kampfkarte ""Kampf · Lv.3"". Beim Anschauen der Erinnerungen kann in Zukunft diese Kampfkarte ausgelöst werden.","Voraussetzung: Mut, Charme und Wissen haben jeweils 2000 Punkte erreicht."
