id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
110,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
111,,,,,
112,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,,,,,
114,,,,,
115,,,,,
116,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
117,,,,,
118,,,,,
119,"Hier~ Tippe auf [c][d76500]Gilde[-][/c], um einer Gilde beizutreten oder eine zu erstellen~",,,,
120,"Oh Senpai, ich sehe etwas Besonderes in dir! Du bist sicher der Auserwählte.",buttoncrop_26,0|0,,
121,"Wie passend. Die Gilden rekrutieren gerade ihre Leute. Wie wäre es, wenn du selber eine Gilde gründest? Als ""Auserwählter"" ist das beim ersten Mal umsonst!",,,,
122,"Hey Senpai, du hast einige [c][d76500]Mädchen-Fragmente[-][/c] gesammelt! Gehe auf die Mädchen-Seite, um sie zusammenzusetzen~",buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
123,"Senpai, hier kannst du [c][d76500]Fragmente synthetisieren[-][/c]~",buttoncrop_38,0|6,,
124,,,,,
125,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
126,,,,,
127,,old_school_guide_mask,0|0,,
129,Senpai~ Hier geht's zum [c][d76500]Campusausflug[-][/c],buttoncrop_26,0|0,buttoncrop_26_h5,0|0
130,Gehen wir zuerst zur Basis~,travel_guide_1,18|32,travel_guide_1,18|32
131,Tippe auf den Slot!,,,,
132,"Setze deine Mädchen ein, um ihre Attribute zu verstärken!",,,,
133,"Level deine Basis auf, um mehr Slots zu entsperren!",,,,
135,Nächstes Ziel - die Bäckerei!,travel_guide_2,-3|-8,travel_guide_2,-3|-8
136,"Setze deine Mädchen in die Gebäude ein, um die Produktion zu erhöhen!",travel_guide_3,0|0,travel_guide_3,0|0
138,"Level deine Bäckerei auf, um mehr Slots zu entsperren!",,,,
140,"Die anderen Gebäude gewähren dir andere Ressourcen. Tippe, um [c][d76500]alles einzusammeln[-][/c]!",,,,
141,"Tippe hier, um das Abenteuer zu beginnen und viele Belohnungen zu gewinnen~",travel_guide_4,0|5,travel_guide_4,0|5
143,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
144,,,,,
145,Hier ist der Eingang zum Outfit. Hier kannst du dein Outfit prüfen oder bearbeiten~,,,,
146,,,,,
147,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
148,,,,,
149,,,,,
150,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
151,,,,,
152,,,,,
153,,,,,
154,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
155,,,,,
157,,buttoncrop_37,0|0,buttoncrop_37,0|0
158,,,,,
159,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
160,,,,,
161,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
162,"Starte deine neue Herausforderung unter ""praktischer Arbeit""~",,,,
163,,,,,
164,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
165,,,,,
166,Hier ist der Eingang zum Voraufstellen. Hier kannst du gewünschte Teams vorher aufstellen~,,,,
167,,,,,
168,,buttoncrop_26,0|0,buttoncrop_26_h5,
169,,,,,
170,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
171,Hier ist der Eingang zur Reise durch die Galaxis~,,,,
172,,,,,
173,,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
174,"Tippe hier, um die monatlichen Events zu prüfen.",,,,
175,"Starte deine neue Herausforderung unter ""praktischer Arbeit""~",,,,
176,,,,,
177,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
