id,name,dialog
109,魯班,趁她睡著的時候，把衣服往更羞恥的方向改進一下吧~
110,張飛,薇拉，我張飛平生從不求人，但現在請求你別再進食堂了！
111,薇拉,可是，那些藥材對大家的身體有好處呀……
112,巴妮拉,曹植，你怎麼還在看書，飯吃過了嗎？
113,曹植,（咕嚕嚕……）啊，我看完這本就去。
114,戴安娜,你身上有太陽的味道，讓我感到安心。
115,后羿,是嗎，我可是射落太陽之人。
116,阿帕忒,姐姐大人，你明天會來聽我的演唱會嗎？
117,路西法,才不要，我要和我shining bond的隊員一起排練。
118,凱茜,殺手不需要感情，只需要靜靜蟄伏，然後一擊必殺。
119,暗月,你這副無趣的樣子，看來完全不是威脅呢~
120,特蕾莎,龍馬，酒？
121,阪本龍馬,得嘞，今晚酒館見！
122,雲母,你的盾這麼堅固，一定能保護好重要之人吧。
123,烏列爾,但即使再堅固的盾，也阻止不了太陽的沉沒……
124,圖靈,「圖靈遊戲」不是遊戲，是控制使魔的系統。
125,夏侯淵,聽起來像是某個抓捕小精……不行，寶○○不能說出來。
126,黃月英,是人魚！不過，人魚該怎麼飼養呢？
127,劉表,請給我洋芋片和可樂~還有漫畫~
128,諾麗絲,這塊冰，摸起來暖暖的。
129,克瑞絲,這也是水晶嗎……嗚哇好冷！
130,伊邪那美,混沌！混沌！都是混沌的錯！
131,瑪雅,你……你要幹什麼，本大小姐才不怕你！
132,諾麗絲,請問，這裡是否有與騎士精神有關的傳記小說？
133,曹植,記得是在書架第三層……請等一下，我幫你找找看。
134,董卓,哈哈哈，好久不見了啊，漢獻帝！
135,漢獻帝,救……曹操……救救我……
136,織田信長,皮皮洛，你包裡藏了什麼？
137,皮皮洛,只……只是會砰砰的焰火啦，不是炸彈哦！
138,原初·德古拉,新款人造血漿真難喝，是哪個血族提出了抹茶口味那種鬼主意。
139,德古拉,很……很難喝嗎……哈哈哈……
140,華佗,可以從你這裡訂購一些藥材嗎？最近的消耗量有些過大了。
141,赫爾墨斯,當然可以，滿足客人的需求是我的榮幸。
142,于吉,看看我發現了什麼，一個在現世徘徊的亡靈。
143,郭嘉,別看我……不要靠近我……
144,菲斯納,我要進行一個超級驚喜的惡作劇……咦，我的道具呢？！
145,卡雯&伯荻,卡雯：她終於發現了。\n伯荻：嘻嘻~
146,伊邪那美,請問，你有沒有見過我的愛人？
147,戴安娜,你也和親人失散了嗎……請不要放棄，你們一定會相見的。
148,黃月英,這是企鵝嗎！很少見啊，請問你通常是怎麼養牠的？
149,魯班,你問助手醬？放養就可以啦~
150,千本櫻,櫻花落盡又如何，生生死死都是魅力。
151,皮皮洛,哇！我不要你死啊！
152,千本櫻,命運是躲不掉的。
153,薇薇安,星星說我今天會有好運哦~
154,呂蒙,那我呢，我呢？
155,戴安娜,妹妹，妹妹……
156,薇薇安,放心放心，星象說今年宜親人重逢。
157,赫爾墨斯,怎麼，酒癮又犯了？
158,特蕾莎,今晚？
159,赫爾墨斯,去新開的那間酒吧？
160,暗月,勾引？不會的，誰敢勾引學長，我會好好處理掉的。
161,張郃,真……真是個可怕的女人。
162,諾麗絲,沒有比冬天更純淨的季節。
163,許褚,冬天？冬天有什麼好的，害得花花們受苦！
164,呂蒙,能幫我看看，我在將來會是什麼樣的嗎~
165,莫妮卡,抱歉，沒人能探明時光之河的真容。
166,貂蟬,待在宿舍就覺得好寂寞啊……
167,華佗,可以答應我不要體罰學生嗎？
168,赫爾墨斯,凱茜小姐的短刀很有型欸，量產會有市場嗎……
169,凱茜,不要隨便碰我的武器，被劃傷我概不負責。
170,步騭,現在大海還是我離開時的樣子嗎？
171,劉表,大海？沒興趣。陸地上好玩的東西可多了。
172,赤蓮,喵~~
173,凱茜,怎麼，覬覦我的紅包？
174,赤蓮,喵，姐姐分一點給我吧，分一點吧，喵。
175,張仲景,你……你受傷了！別擔心，我會幫你。
176,芬里爾,一點小傷，別大驚小怪的了。
177,暗月,學長~學長~到底什麼時候來找我啊~
178,菲斯納,喂，你碎碎念夠了嗎？看起來像中了邪一樣。
179,暗月,中邪？我看你才像中邪……
