id,desc,answer_desc,result_desc
14,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
15,"캡슐 머신에 새로운 상품이 추가됬지만, 더 이상 뽑을 자원이 없습니다. 더욱 노력해서 열심히 일해야 해요.",,
16,얼음과 눈의 차이를 알아내려고 등애에게 물어봤고 등애는 시연을 하다가 실수로 얼어버렸습니다.,,
17,파티에서 누군가가 불을 끄고 어둠 속에서 팀을 이루어 의자 뺏기 놀이를 하자고 합니다.,은월 팀에 들어간다.|위연 팀에 들어간다.,"모두들 은월이 특별한 능력을 가지고 있다고 말했고, 이런 게임에 참여하는 것은 다른 사람들에게 불공평하기 때문에 결국 은월은 참여하지 않았고 결국 참가상만 받았습니다.|위연은 어둠 속에서 황급히 기계 팔을 휘두르며 도구 의자를 때려 부셨고 상대편은 뺏을 수 있는 의자가 없어 탈락했습니다. 결국 당신이 속한 팀은 좋은 성적을 거두었지만, 주최자로부터 푸짐한 경품은 반이 공제되었고 의자 복구에 사용되었습니다."
18,요즘 학원에서 무슨 일이 벌어지고 있는지 궁금해서 신문을 한 부 사고 싶습니다.,「유몽 일보」 구매|「극비 100% 」구매,"지난 유몽 체육 대회 경기 후 인터뷰도, 신위 학부 은월을 상대로 한 단독 인터뷰도 너무 공식적이고 지루했고 당신은 가장 좋아하는 「일일 유머 세 가지」 라는 것을 봤습니다.|신문 내용은 모두가 다 아는 구설수라서 당신은 제목만 보고 더 이상 자세히 보지 않았고 도서관으로 달려가 조식을 찾아 이야기를 나누며 즐거운 하루를 보냈습니다."
19,새로 열린 유몽 학원 승마 대회는 서킷에 가까운 근거리 관전을 허락했습니다.,결승점으로 가서 관전한다.|사고 다발 구간으로 가서 관전한다.,"도중에 길을 잘못 든 것을 깨닫고 인적이 드문 곳에 이르렀는데 길가의 돌에서 태극 표시를 하나 발견합니다.|서킷 가까이에 서서 하후돈과 그녀의 상대를 가까이서 지켜보다가, 날아드는 돌멩이에 맞아 식은땀을 흘렸습니다."
20,다도부의 초대를 받아 다도부의 동아리 방에 차를 맛보러 갑니다.,홍차를 마신다.|녹차를 마신다.,"한 번에 마셨더니 머리가 어지러웠고, 의식을 잃기 전에 마지막으로 보였던 것은 손에 크리스탈을 받들고 있는 하얀 그림자였습니다. 깨어났을 때 당신은 이미 기숙사 침대로 돌아왔고 침대 머리맡에 소포가 하나 더 있는 것을 발견했고 거기에는 「시약 감사합니다.」라고 써있습니다.|위연은 당신이 막 마시려고 할 때 갑자기 튀어나와 컵을 빼앗아 갔고 대신 홍차 한 잔을 주었습니다."
21,"우편함에서 설문지를 받았는데, 단 한 가지 질문이 있습니다：다음 중 어느 카드가 마음에 드십니까?",홍도 A|흑도 K,"우편함에 조사 설문지로 덮인 선물 상자가 하나 더 있는데, 상자 안에는 왕관을 쓴 곰돌이 인형이 들어 있습니다.|다음날, 당신은 우편함에서 검은 깃털이 달린 빨간 사과를 발견했습니다."
22,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
23,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
24,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
25,"대교는 최근 그녀가 잘 알지 못하는 악기를 연습하고 있는데, 그녀와 함께 연습하려고 했지만 이틀 동안 소음만 듣고 그만뒀습니다.",,
26,여포의 초대를 받아 그녀의 방으로 갑니다. 거창한 이야기를 늘어놓을 줄 알았는데 이야기책 두 권을 통째로 읽어주다니……,,
27,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
28,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
29,원예부의 후배들은 학원 안의 황무지에서 몇몇 식물들을 재배하고 싶어 당신에게 조언을 구합니다.,민들레를 추천합니다.|은방울 꽃을 추천합니다.,후배들은 아주 큰 민들레 표본을 주었습니다.|후배들은 당신의 말을 따랐지만 그녀들에게 이끌려 일하러 갑니다.
30,"학생회가 구성원을 확대하려고 하자, 제갈량이 이 일을 당신에게 맡겼습니다.",학교 방송으로 모집한다.|신문부에 부탁해 내일 메인 기사로 나가게 한다.,"거대한 무기를 휘두르는 회색 '야수'가 지원하러 와, 당신이 식당의 칠면조 세 마리를 선물로 준 후에야 무작정 싸우려고만 하는 이 불청객을 보낼 수 있었습니다.|가브리엘은 요즘 항상 새로운 곡을 연습하느라 이 일을 잊고 있었고, 오전 내내 아무도 지원한 사람이 없어 매점에 가서 점심으로 도시락을 샀는데, 맛있어서 위안이 되었습니다."
31,커피숍은 최근에 새로운 커피 머신을 사용하기 시작했지만 이 기계는 점원들은 매우 쓰기 불편합니다.,기계를 고치기 위해 허저를 부릅니다.|조운을 부릅니다.,"허저는 커피 머신이 쉽게 멈추는 것을 알고 두 시간 동안 열심히 고쳤습니다. 기계 내부로 인해 멈춤 현상이 괴력 로리에 의해 마모된 것 같으며, 모두 허저가 수리했습니다.|카페 점원과 고객들이 앞다투어 말을 걸어올 정도로 인기를 끌었고, 커피가 맛있는 건지, 커피 머신이 수리됐는지 신경 쓰는 사람은 없었습니다."
32,은신 학부에서 개최한 한 대회는 누가 학원에서 가장 존재감이 없는 학생인지를 가리는 대회입니다.,곽가에게 투표한다. |사마의에게 투표한다.,"곽가는 학원에서 잠적한 수강생이 아니므로 이 표는 무효입니다.|득표수가 가장 적었기 때문에 사마의가 졌습니다. 당신은 쑥스럽게 그녀에게 악마의 쥬스 한 잔을 주었는데, 그녀 옆의 눈알이 몇 번이나 당신을 쳐다봅니다."
33,"지갑을 잃어버렸는데, 지갑에 아직 장비 식당의 식권이 있어 찾고 싶습니다.",침대 밑을 찾는다.|교실의 책상 서랍을 찾는다.,"지갑을 찾지 못했는데 캡슐 코인 몇 개를 찾았습니다. 코인을 들고 캡슐 뽑기를 해 새 상품을 뽑았습니다.|교실의 서랍은 텅 비었지만, 당신은 교실 입구에서 식재료를 나르고 있는 장비를 만나 그녀가 물건을 옮기는 것을 도와주고, 식권 한 장을 사례로 받았습니다."
34,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
35,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
36,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
37,"장합과 조조는 누가 먼저 캡슐 머신의 새 상품을 뽑을지를 시합했으나, 결국 한참 동안 아무도 받지 못했습니다.",,
38,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
39,얼음과 눈의 차이를 알아내려고 등애에게 물어봤고 등애는 시연을 하다가 실수로 얼어버렸습니다.,,
40,"대교는 최근 그녀가 잘 알지 못하는 악기를 연습하고 있는데, 그녀와 함께 연습하려고 했지만 이틀 동안 소음만 듣고 그만뒀습니다.",,
41,기숙사 문 밖에서 급하게 문을 두드리는 소리에 잠에서 깹니다.,문을 열고 누가 문을 두드리는지 본다.|이불을 귀까지 덮고 계속 잠을 잔다.,"문을 열어보니 아무도 없었고 고개를 숙이니 황월영의 브루노가 있었다. 브루노를 다시 황월영에게 돌려보내 줬고  그녀는 매우 감동하여 파란 비스킷 한 상자를 주었습니다.|거의 잠을 못잤고, 보건실에 가서 화티 선생님을 찾아갔는데 파란 비스킷을 채워 넣어 불면증을 치료할 수 있었습니다."
42,바닐라가 우로보로스 대도서관에 당신을 초대해서 놀았습니다. 책꽂이에 먼지가 쌓여 있는 것을 발견합니다.,청소 도구를 찾아 먼지를 청소한다.|이 책꽂이에 어떤 책들이 있는지 먼저 본다.,"도구를 찾는 길에 길을 잃고 금기의 방에 잘못 들어가 미지의 저주를 받아, 3일 동안 기침을 하고 나서야 저주가 풀렸습니다.|책을 펴면서 먼지를 많이 들이마셨고, 미지의 저주를 받아 3일 연속 기침을 했습니다."
43,유몽 체육 대회에서 당신의 학부의 한 선수가 결석을 해 임시로 한 프로그램에 참여해야 합니다.,레이스에 참가한다.|발리볼에 참가한다.,트랙의 여우털을 밟아서 발을 삐끗해 경기를 마치지 못했습니다.|은월의 풀파워에 머리를 맞고 의식을 잃어 한참 있다 깨어났고 경기를 마치지 못했습니다.
44,"유표가 게임을 하자고 초대했는데, 마침 시간이 나서 약속했습니다.",21점을 친다.|바둑을 둔다.,유표의 손이 젖어 포커 카드를 한번 쓰고 다시 쓸 수 없었다.|규칙이 익숙하지 않아 한참 뒤에야 한 판이 끝납니다. 다음에 같이 장기를 두기로 했는데 유표가 물을 묻혀 며칠 지나지 않아 말에는 곰팡이가 피었습니다.
45,모두와 함께 숨바꼭질을 하려면 숨을 곳을 정해야 합니다.,강의동 옥상|기숙사 건물 옆 덤불,"발견되지는 않았지만, 게임 구역을 넘어갔기 때문에 게임에서 진 것으로 판정됐고 이긴 사람들한테 식사를 대접했습니다.|발견되지는 않았지만, 풀에서 나왔을 때 순찰 중인 노부나가를 만나 반성문 한 부를 쓰게 되었습니다."
46,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
47,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
48,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
49,"이사우에게서 선물을 받고 즐거워 뜯어보려 할 때에, 이사우가 한마디 했는데, 당신이 그 선물을 동생인 야곱에게 전달했으면 좋겠고 절대 몰래 뜯지 말라고 했습니다.",,
50,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
51,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
52,"캡슐 머신에 새로운 상품이 추가됬다는 것을 알지만, 더 이상 뽑을 자원이 없습니다. 더욱 노력해서 열심히 일해야 해요.",,
53,도서관의 책상 위에 펼쳐진 책이 놓여져 있다는 것을 발견했습니다. 누가 다 읽지 않고 여기에 놔둔 것일거에요.,이 책을 조식에게 준다.|바닐라에게 준다.,"이 책은 조식이 보고 둔 책은 아니지만, 자신을 가장 먼저 떠올렸다는 것에 기뻐합니다.|이 책이 바로 바닐라가 다 못 읽은 동화책이었기 때문에 책을 어디에 두었는지를 떠올리려던 참이었던 그녀는 매우 기뻐합니다~"
54,길가 공터에 떨어진 파란색 뼈 모양 비스킷 한 조각을 발견했습니다. 주위에는 아무도 없네요.,주워서 재빨리 먹어치운다.|무시하고 지나간다.,꼬리가 아주 큰 고양이가 한 쪽 덤불에서 나와서 발을 움켜잡습니다. 아마도 먹이를 뺏어갔기 때문인 것 같네요.|막 몇 걸음을 걸어가고 뒤돌아 보았을 때 그 떡이 없어진 것을 발견했습니다.
55,유몽 체육 대회에서 당신의 학부의 한 선수가 결석을 해 임시로 한 프로그램에 참여해야 합니다.,레이스에 참가한다.|발리볼에 참가한다.,트랙의 여우털을 밟아서 발을 삐끗해 경기를 마치지 못했습니다.|은월의 풀파워에 머리를 맞고 의식을 잃어 한참 있다 깨어났고 경기를 마치지 못했습니다.
56,"유표가 게임을 하자고 초대했는데, 마침 시간이 나서 약속했습니다.",21점을 친다.|바둑을 둔다.,유표의 손이 젖어 포커 카드를 한번 쓰고 다시 쓸 수 없었다.|규칙이 익숙하지 않아 한참 뒤에야 한 판이 끝납니다. 다음에 같이 장기를 두기로 했는데 유표가 물을 묻혀 며칠 지나지 않아 말에는 곰팡이가 피었습니다.
57,모두와 함께 숨바꼭질을 하려면 숨을 곳을 정해야 합니다.,강의동 옥상|기숙사 건물 옆 덤불,"발견되지는 않았지만, 게임 구역을 넘어갔기 때문에 게임에서 진 것으로 판정됐고 이긴 사람들한테 식사를 대접했습니다.|발견되지는 않았지만, 풀에서 나왔을 때 순찰 중인 노부나가를 만나 반성문 한 부를 쓰게 되었습니다."
58,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
59,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
60,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
61,"초선은 학생들이 최근 시험에 모두 합격했다는 것을 알고 매우 기뻤고, 마침 교실 입구에서 지나가는 당신을 보고 선물을 주었습니다.",,
62,"장합과 조조는 누가 먼저 캡슐 머신의 새 상품을 뽑을지를 시합했으나, 결국 한참 동안 아무도 받지 못했습니다.",,
63,"이사우에게서 선물을 받고 즐거워 뜯어보려 할 때에, 이사우가 한마디 했는데, 당신이 그 선물을 동생인 야곱에게 전달했으면 좋겠고 절대 몰래 뜯지 말라고 했습니다.",,
64,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
65,"목욕을 마쳤는데, 드라이기가 고장나서 머리를 말리지 못했습니다.",젖은 머리로 숙소에 돌아옵니다.|문 앞에 앉아 머리가 저절로 마르기를 기다립니다.,"막 목욕탕을 나서는데 정면으로 마주쳤는데, 누군가와 바로 정면으로 부딪쳤고 급히 그녀에게 드라이기를 빌려 머리를 말렸습니다.|목욕탕 입구에 앉아 잠이 들었고, 머리카락이 젖은 채로 오랫동안 찬바람을 쐬어 감기가 걸렸습니다."
66,"학원 안에는 벚꽃이 피었고, 바람이 불어 많은 꽃잎이 땅에 흩어져 있습니다.",바닥의 꽃잎을 모두 깨끗이 치운다.|학원의 아름다운 경치를 조용히 감상한다.,반쯤 치웠는데 바람이 불어 치웠던 꽃잎들이 여기저기로 다시 흩어졌습니다.|벚꽃 나무 아래에 오랫동안 서 있다가 아주 중요한 아르바이트를 놓치고 말았습니다.
67,새로 열린 유몽 학원 승마 대회는 서킷에 가까운 근거리 관전을 허락했습니다.,결승점으로 가서 관전한다.|사고 다발 구간으로 가서 관전한다.,"도중에 길을 잘못 든 것을 깨닫고 인적이 드문 곳에 이르렀는데 길가의 돌에서 태극 표시를 하나 발견합니다.|서킷 가까이에 서서 하후돈과 그녀의 상대를 가까이서 지켜보다가, 날아드는 돌멩이에 맞아 식은땀을 흘렸습니다."
68,다도부의 초대를 받아 다도부의 동아리 방에 차를 맛보러 갑니다.,홍차를 마신다.|녹차를 마신다.,"한 번에 마셨더니 머리가 어지러웠고, 의식을 잃기 전에 마지막으로 보였던 것은 손에 크리스탈을 받들고 있는 하얀 그림자였습니다. 깨어났을 때 당신은 이미 기숙사 침대로 돌아왔고 침대 머리맡에 소포가 하나 더 있는 것을 발견했고 거기에는 「시약 감사합니다.」라고 써있습니다.|위연은 당신이 막 마시려고 할 때 갑자기 튀어나와 컵을 빼앗아 갔고 대신 홍차 한 잔을 주었습니다."
69,"우편함에서 설문지를 받았는데, 단 한 가지 질문이 있습니다：다음 중 어느 카드가 마음에 드십니까?",홍도 A|흑도 K,"우편함에 조사 설문지로 덮인 선물 상자가 하나 더 있는데, 상자 안에는 왕관을 쓴 곰돌이 인형이 들어 있습니다.|다음날, 당신은 우편함에서 검은 깃털이 달린 빨간 사과를 발견했습니다."
70,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
71,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
72,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
73,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
74,"캡슐 머신에 새로운 상품이 추가됬지만, 더 이상 뽑을 자원이 없습니다. 더욱 노력해서 열심히 일해야 해요.",,
75,얼음과 눈의 차이를 알아내려고 등애에게 물어봤고 등애는 시연을 하다가 실수로 얼어버렸습니다.,,
76,"대교는 최근 그녀가 잘 알지 못하는 악기를 연습하고 있는데, 그녀와 함께 연습하려고 했지만 이틀 동안 소음만 듣고 그만뒀습니다.",,
77,"상점가는 사람들이 많이 오고가는데, 사람들 사이를 걷다가 한 쌍의 하얀 날개가 마주 오는 것을 보았습니다.",손을 내밀어 깃털을 만진다.|한 쪽 옆으로 비킨다.,"날개의 주인은 놀라며, 마치 무의식적인 힘을 쓴 것 같이 당신의 손은 화상을 입었습니다.|방통은 이미  길을 잘못 들었고 당신을 발견해 기뻤습니다. 그녀를 마음에 드는 가게로 데리고 가라고 졸랐고, 보수로 깃털 하나를 주었습니다."
78,파티에서 누군가가 불을 끄고 어둠 속에서 팀을 이루어 의자 뺏기 놀이를 하자고 합니다.,은월 팀에 들어간다.|위연 팀에 들어간다.,"모두들 은월이 특별한 능력을 가지고 있다고 말했고, 이런 게임에 참여하는 것은 다른 사람들에게 불공평하기 때문에 결국 은월은 참여하지 않았고 결국 참가상만 받았습니다.|위연은 어둠 속에서 황급히 기계 팔을 휘두르며 도구 의자를 때려 부셨고 상대편은 뺏을 수 있는 의자가 없어 탈락했습니다. 결국 당신이 속한 팀은 좋은 성적을 거두었지만, 주최자로부터 푸짐한 경품은 반이 공제되었고 의자 복구에 사용되었습니다."
79,커피숍은 최근에 새로운 커피 머신을 사용하기 시작했지만 이 기계는 점원들은 매우 쓰기 불편합니다.,기계를 고치기 위해 허저를 부릅니다.|조운을 부릅니다.,"허저는 커피 머신이 쉽게 멈추는 것을 알고 두 시간 동안 열심히 고쳤습니다. 기계 내부로 인해 멈춤 현상이 괴력 로리에 의해 마모된 것 같으며, 모두 허저가 수리했습니다.|카페 점원과 고객들이 앞다투어 말을 걸어올 정도로 인기를 끌었고, 커피가 맛있는 건지, 커피 머신이 수리됐는지 신경 쓰는 사람은 없었습니다."
80,은신 학부에서 개최한 한 대회는 누가 학원에서 가장 존재감이 없는 학생인지를 가리는 대회입니다.,곽가에게 투표한다. |사마의에게 투표한다.,"곽가는 학원에서 잠적한 수강생이 아니므로 이 표는 무효입니다.|득표수가 가장 적었기 때문에 사마의가 졌습니다. 당신은 쑥스럽게 그녀에게 악마의 쥬스 한 잔을 주었는데, 그녀 옆의 눈알이 몇 번이나 당신을 쳐다봅니다."
81,유몽 체육 대회에서 당신의 학부의 한 선수가 결석을 해 임시로 한 프로그램에 참여해야 합니다.,레이스에 참가한다.|발리볼에 참가한다.,트랙의 여우털을 밟아서 발을 삐끗해 경기를 마치지 못했습니다.|은월의 풀파워에 머리를 맞고 의식을 잃어 한참 있다 깨어났고 경기를 마치지 못했습니다.
82,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
83,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
84,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
85,"장합과 조조는 누가 먼저 캡슐 머신의 새 상품을 뽑을지를 시합했으나, 결국 한참 동안 아무도 받지 못했습니다.",,
86,"이사우에게서 선물을 받고 즐거워 뜯어보려 할 때에, 이사우가 한마디 했는데, 당신이 그 선물을 동생인 야곱에게 전달했으면 좋겠고 절대 몰래 뜯지 말라고 했습니다.",,
87,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
88,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
89,"상점가는 사람들이 많이 오고가는데, 사람들 사이를 걷다가 한 쌍의 하얀 날개가 마주 오는 것을 보았습니다.",손을 내밀어 깃털을 만진다.|한 쪽 옆으로 비킨다.,"날개의 주인은 놀라며, 마치 무의식적인 힘을 쓴 것 같이 당신의 손은 화상을 입었습니다.|방통은 이미  길을 잘못 들었고 당신을 발견해 기뻤습니다. 그녀를 마음에 드는 가게로 데리고 가라고 졸랐고, 보수로 깃털 하나를 주었습니다."
