id,name,brief,desc
25,프리미엄 아르바이트 미션 두루마리,아르바이트 미션 두루마리,아르바이트 중 사용 시 랜덤 미션 1개 추가(4~7성). 미션을 완료하지 않을 경우 아르바이트 미션 리셋 후 소멸.
26,사역마 비스킷,사역마 재료,"사역마 사육, 레벨업 및 강화에 사용"
27,에센스 비스킷,사역마 재료,사역마 후광 레벨업 시 사용
28,실습 지도,과외 활동 참여 아이템,교외 실습 이벤트 참여 시 소모
29,프리미엄 슬롯 머신 사용권,프리미엄 슬롯 머신 사용권,프리미엄 슬롯 머신 1회 사용 시 프리미엄 슬롯 머신 사용권을 1장 소비
30,頭像（無用）,특별 섬네일,填充
31,건설 재료,건설 재료,건설에 필요한 모든 재료
32,戰姬置換材料（無用）,소녀 교환 재료,10성 소녀 교환 시 사용
33,일반 캡슐 뽑기 코인,일반 캡슐 뽑기 화폐,일반 캡슐 뽑기로 소녀 획득 시 사용
34,토너먼트 입장권,토너먼트 출전권,토너먼트 출전 시 사용
35,슬롯 머신 사용권,슬롯 머신 사용권,슬롯 머신 1회 사용 시 사용권 1장 소비
36,프리미엄 캡슐 뽑기 코인,프리미엄 캡슐 뽑기 화폐,프리미엄 캡슐 뽑기로 소녀 획득에 사용
37,하트 쿠키,재료 교환,"특수 아이템, 아이템 교환 시 사용"
38,월병,재료 교환,"특수 아이템, 아이템 교환 시 사용"
39,수제 배터리,이벤트 아이템,"소녀들이 수공예 수업에서 만든 전지, 매우 정교하진 않지만 사용하면 큰 타격을 줄 수 있다."
40,이동 에너지,이벤트 아이템,퍼즐 수집 이벤트에서 퍼즐 이동 시 사용
41,눈사람,이벤트 아이템,"페스티벌에 선물을 교환할 수 있는 전용 아이템. 이벤트 종료 후에는 사용이 불가하므로, 기간 내에 사용해 주세요!"
42,크리스마스 양말,이벤트 아이템,"페스티벌에 선물을 교환할 수 있는 전용 아이템. 이벤트 종료 후에는 사용이 불가하므로, 기간 내에 사용해 주세요!"
43,선물 상자,선물 상자,"수수께끼 상자, 오픈 시 랜덤으로 1개의 선물과 선물 조각 획득"
44,선물 조각,선물 재료,"수수께끼 크리스탈 조각, 수수께끼 상자에서 획득 후 각종 선물 합성 시 사용"
45,서약 반지,서약 아이템,데이트에서 사용 시 호감도 100의 소녀와 계약을 맺는다.
46,새해 폭죽,이벤트 아이템,"특수 아이템, 아이템 교환 시 사용"
47,졸업 증서,특수 아이템,10성 소녀 교환 및 재입학에 사용할 수 있습니다.
48,하트 풍선,재료 교환,"특수 아이템, 아이템 교환 시 사용"
49,뼈 모양 비스킷,이벤트 아이템,희귀 생물에 쓸 수 있으며 친밀도 증가
50,부활절 토끼,이벤트 아이템,특수 아이템 아이템 교환 시 사용
51,투표권,이벤트 아이템,사랑과 맹세의 총선거 이벤트 기간입니다. 당신의 소녀에게 투표하세요!
52,도움 기금,이벤트 아이템,"소녀들의 기숙사 장식 임무 완료 시 사용, 아이템 교환 시 사용"
53,선물 교환권,이벤트 아이템,"입학 선물과 교환할 수 있는 전용 아이템, 이벤트 종료 시 사용이 불가 하므로, 이벤트 기간 내에 사용해 주세요!"
54,장비 보급 카드,이벤트 아이템,장비 보급 이벤트에서 희귀 장비 등과 교환 할 수 있습니다.
1001,첫번째 토너먼트 결전 한정 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 입수하는 특별 섬네일
1002,퍼펙트 샤인 챔피언 아이콘,특별 섬네일,팀 리그 1위 보상 섬네일
1003,빛나는 달 섬네일,특별 섬네일,팀 리그 2위 보상 섬네일
1004,황금 빛살 섬네일,특별 섬네일,팀 리그 3위 보상 섬네일
1005,실버 뱃지 섬네일,특별 섬네일,팀 리그 4-10위 보상 섬네일
1006,브론즈 뱃지 섬네일,특별 섬네일,팀 리그 11-20위 보상 섬네일
1007,할로윈 한정 섬네일,특별 섬네일,할로윈 기간 동안 토너먼트 결전 이벤트의 모든 임무를 마친 후 획득하는 특별 섬네일
1008,퍼즐 수집 한정 섬네일,특별 섬네일,퍼즐 수집 이벤트의 퍼즐을 모두 완성한 후 획득하는 특별 섬네일
1009,새해 한정 섬네일,특별 섬네일,새해 특별 섬네일
1010,눈의 꽃 한정 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 획득하는 특별 섬네일
1013,기간 한정 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 획득하는 특별 섬네일
1014,봄 페스티벌 한정 섬네일,특별 섬네일,봄 페스티벌 한정 특별 섬네일
1015,불운의 부반장,특별 섬네일,연속 200회 프리미엄 캡슐 뽑기에서 5성 소녀가 나오지 않았을 경우
1016,불운의 반장,특별 섬네일,연속 300회 프리미엄 캡슐 뽑기에서 5성 소녀가 나오지 않았을 경우
1017,저주 받은 반장,특별 섬네일,연속 400회 프리미엄 캡슐 뽑기에서 5성 소녀가 나오지 않았을 경우
1018,춘란화개 한정 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 획득하는 특별 섬네일
1019,서약식 꽃다발 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 획득하는 특별 섬네일
1020,부활절 한정 섬네일,특별 섬네일,부활절 한정 특별 섬네일
1023,어버이날 한정 섬네일,특별 섬네일,어버이날 한정 특별 섬네일
1024,입학식 한정 섬네일,특별 섬네일,입학식 한정 특별 섬네일
1025,단오절 한정 섬네일,특별 섬네일,토너먼트 결전 이벤트의 임무를 모두 클리어 한 후 획득하는 특별 섬네일
2001,찹쌀 주먹밥,아이템,체력 최대 20% 회복
2002,대추 주먹밥,아이템,"체력 최대 50% 회복, 에너지 최대 300 포인트 증가"
2003,미역 주먹밥,아이템,체력 최대 100% 회복
2004,연필,아이템,공격력 1.5% 증가
2005,지우개,아이템,치명타 대미지 2% 증가
2006,삼각자,아이템,치명타 2% 증가
930000,1성 유화 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930001,1성 완적 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930002,1성 왕평 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930003,1성 조홍 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930004,1성 기령 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930005,1성 한당 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930006,1성 능통 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930007,1성 마녀 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930008,1성 마운록 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930009,1성 관로 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930010,1성 노식 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930011,1성 전풍 조각,소녀 소환,"조각 5개를 모으면, 소녀를 소환 할 수 있습니다."
930012,2성 하후현 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930013,2성 정보 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930014,2성 한수 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930015,2성 조방 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930016,2성 마량 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930017,2성 방회 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930018,2성 황개 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930019,2성 메이미 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930020,2성 장보 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930021,2성 장량 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930022,2성 사스케 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930023,2성 사마가 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930024,2성 공손찬 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930025,2성 정봉 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930026,2성 화웅 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930027,2성 종요 조각,소녀 소환,"조각 10개를 모으면, 소녀를 소환 할 수 있습니다."
930028,3성 주연 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930029,3성 옥토 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930030,3성 공융 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930031,3성 왕쌍 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930032,3성 손견 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930033,3성 곽도 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930034,3성 에드워드 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930035,3성 하진 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930036,3성 진등 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930037,3성 노부타다 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930038,3성 종회 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930039,3성 장간 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930040,3성 사마사 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930041,3성 하후패 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930042,3성 마리 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930043,3성 조성 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930044,3성 서성 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930045,3성 장흠 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930046,3성 고순 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930047,3성 매영독 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930048,3성 조예 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930049,3성 항아 조각,소녀 소환,"조각 20개를 모으면, 소녀를 소환 할 수 있습니다."
930050,4성 주태 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930051,4성 적토 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930052,4성 마초 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930053,4성 양수 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930054,4성 안량 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930055,4성 예형 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930056,4성 소교 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930057,4성 전위 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930058,4성 손책 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930059,4성 견희 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930060,4성 순유 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930061,4성 조충 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930062,4성 노숙 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930063,4성 조휴 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930064,4성 왕윤 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930065,4성 보부인 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930066,4성 문빙 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930067,4성 장각 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930068,4성 원술 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930069,4성 반봉 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930070,4성 보즐 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930071,4성 왕원희 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930072,4성 마속 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930073,4성 이전 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930074,4성 가후 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930075,4성 왕랑 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930076,4성 정욱의 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930077,4성 장소 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930078,5성 주유 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930079,5성 장합 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930080,5성 동탁 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930081,5성 드라큘라 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930082,5성 오공 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930083,5성 등애 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930084,5성 맹획 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930085,5성 천본앵 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930086,5성 손인 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930087,5성 사마의 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930088,5성 초선 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930089,5성 순욱 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930090,5성 하후돈 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930091,5성 조조 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930092,5성 조운 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930093,5성 대교 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930094,5성 장비 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930095,5성 하후연 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930096,5성 관우 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930097,5성 조식 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930098,5성 좌자 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930099,5성 언월 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930100,5성 유굉 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930101,5성 유협 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930102,5성 노부나가 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930103,5성 강유 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930104,5성 튜린 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930105,5성 토요 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930106,5성 마사무네 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930107,5성 방천 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930108,5성 황충 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930109,5성 허저 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930110,5성 유표 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930111,5성 채문희 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930112,5성 축융 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930113,5성 곽환 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930114,5성 여몽 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930115,5성 제갈량 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930116,5성 손상향 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930117,5성 여령기 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930118,5성 와라사키 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930119,5성 사마소 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930120,5성 곽가 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930121,5성 수경 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930122,5성 가브리엘 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930123,5성 미카엘 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930125,4성 문추 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930126,4성 장춘화 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930127,4성 유선 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930128,4성 서황 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930129,4성 위연 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930130,4성 제갈근 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930131,4성 하태후 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930132,4성 장중경 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930133,5성 주태 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930134,5성 적토 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930135,5성 소교 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930136,5성 전위 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930137,5성 노숙 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930138,5성 조휴 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930139,5성 원술 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930140,5성 반봉 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930141,5성 가후 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930142,5성 왕랑 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930143,5성 정욱 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930144,5성 장소 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930145,5성 손책 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930146,5성 견희 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930147,5성 왕윤 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930148,5성 보즐 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930149,5성 왕원희 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930150,5성 마초 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930151,5성 예형 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930152,5성 순유 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930153,5성 문빙 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930154,5성 양수 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930155,5성 안량 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930156,5성 조충 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930157,5성 보부인 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930158,5성 장각 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930159,5성 마속 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930160,5성 이전 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930161,5성 문추 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930162,5성 장춘화 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930163,5성 유선 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930164,5성 서황 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930165,5성 위연 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930166,5성 제갈근 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930167,5성 하태후 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930168,5성 장중경 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930169,5성 우길 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930170,4성 법정 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930171,4성 이유 조각,소녀 소환,"조각 30개를 모으면, 소녀를 소환 할 수 있습니다."
930172,5성 법정 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930173,5성 이유 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930174,5성 루시퍼 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930175,5성 황월영 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
930176,5성 방통 조각,소녀 소환,"조각 50개를 모으면, 소녀를 소환 할 수 있습니다."
940001,4성 소녀 조각,소녀 소환,"조각 30개를 모으면, 4성 소녀를 소환 할 수 있습니다."
940002,5성 소녀 조각,소녀 소환,"조각 50개를 모으면, 5성 소녀를 소환 할 수 있습니다."
940003,3성 소녀 조각,소녀 소환,"조각 20개를 모으면, 3성 소녀를 소환 할 수 있습니다."
940011,5성 은신 소녀 조각,소녀 소환,"조각 50개를 모으면, 은신 학부의 5성 소녀를 소환 할 수 있습니다."
940012,5성 신위 소녀 조각,소녀 소환,"조각 50개를 모으면, 신위 학부의 5성 소녀를 소환 할 수 있습니다."
940013,5성 풍견 소녀 조각,소녀 소환,"조각 50개를 모으면, 풍견 학부의 5성 소녀를 소환 할 수 있습니다."
940014,5성 담화 소녀 조각,소녀 소환,"조각 50개를 모으면, 담화 학부의 5성 소녀를 소환 할 수 있습니다."
940015,수라 5성 소녀 조각,소녀 소환,"조각 50개를 모으면, 수라 학부의 5성 소녀를 소환 할 수 있습니다."
940016,진성 5성 소녀 조각,소녀 소환,"조각 50개를 모으면, 진성 학부의 5성 소녀를 소환 할 수 있습니다."
940021,4성 은신 소녀 조각,소녀 소환,"조각 30개를 모으면, 은신 학부의 4성 소녀를 소환 할 수 있습니다."
940022,4성 신위 소녀 조각,소녀 소환,"조각 30개를 모으면, 신위 학부의 4성 소녀를 소환 할 수 있습니다."
940023,4성 풍견 소녀 조각,소녀 소환,"조각 30개를 모으면, 풍견 학부의 4성 소녀를 소환 할 수 있습니다."
940024,4성 담화 소녀 조각,소녀 소환,"조각 30개를 모으면, 담화 학부의 4성 소녀를 소환 할 수 있습니다."
940025,수라 4성 소녀 조각,소녀 소환,"조각 30개를 모으면, 수라 학부의 4성 소녀를 소환 할 수 있습니다."
940026,진성 4성 소녀 조각,소녀 소환,"조각 30개를 모으면, 진성 학부의 4성 소녀를 소환 할 수 있습니다."
953001,보라색 혼기 조각,혼기 소환,"조각 20개를 모으면, 보라색 혼기를 소환 할 수 있습니다."
954001,초록색 혼기 조각,혼기 소환,"조각 30개를 모으면, 초록색 혼기를 소환 할 수 있습니다."
955001,빨간색 혼기 조각,혼기 소환,"조각 50개를 모으면, 빨간색 혼기를 소환 할 수 있습니다."
