name,desc,desc1
yxDotBlood,레인저 출혈 대미지,레인저 출혈 대미지
phurt,자신의 HP 보다 낮은 적에게 체력 비율(%)의 대미지를 주는 액티브 스킬 설정.,자신의 HP 보다 낮은 적에게 체력 비율(%)의 대미지를 주는 액티브 스킬 설정.
addHurtd,자신보다 방어력이 낮은 적에게 추가 공격,자신보다 방어력이 낮은 적에게 추가 공격
zsDotFire,전사 상대 시 연소 대미지,전사 상대 시 연소 대미지
yxStun,레인저 기절,레인저 기절
fsForbid,법사 침묵,법사 침묵
ckDotPoison,어쌔신 독 대미지,어쌔신 독 대미지
msStun,목사 기절,목사 기절
msDotFire,목사 상대 시 버닝 대미지,목사 상대 시 버닝 대미지
zsSpdO,전사 속도 증가,전사 속도 증가
fsSpdO,법사 속도 증가,법사 속도 증가
ckSpdO,어쌔신 속도 증가,어쌔신 속도 증가
ckAtkPO,어쌔신 공격력 증가,어쌔신 공격력 증가
yxSpdO,레인저 속도 증가,레인저 속도 증가
msAtkPO,목사 공격력 증가,목사 공격력 증가
iceless,동결 무효,동결 무효
stoneless,석화 무효,석화 무효
stunless,기절 무효,기절 무효
forbidless,침묵 무효,침묵 무효
stunH,生命不低于自己的目标眩晕,生命不低于自己的目标眩晕
hurtH,生命低于自己的目标额外伤害,生命低于自己的目标额外伤害
msHurt,목사 엑스트라 대미지,목사 엑스트라 대미지
forbidH,生命不高于自己的目标禁魔,生命不高于自己的目标禁魔
phurtH,生命高于自己的目标额外造成该目标生命上限x%的伤害,生命高于自己的目标额外造成该目标生命上限x%的伤害
rddot,"랜덤 지속 대미지(독, 연소, 출혈)","랜덤 지속 대미지(독, 연소, 출혈)"
rdcontrol,"랜덤 구속 효과(기절, 동결, 석화)","랜덤 구속 효과(기절, 동결, 석화)"
hurtmaxM,목표물에 대해 아군 최대 체력 한도x%의 대미지,목표물에 대해 아군 최대 체력 한도x%의 대미지
hurtmaxH,목표물에 대해 최대 체력 x%의 대미지,목표물에 대해 최대 체력 x%의 대미지
healB,받는 치료 효과,회복 효과 증가x%
hurtshare,모든 아군 대미지 분담,모든 아군 대미지 분담
exhurt,일반 공격 1회 추가,일반 공격 1회 추가
hurtB,일반 공격 대미지 증가x%,일반 공격 대미지 증가x%
newRound,소녀 처치 시 새 라운드 획득,소녀 처치 시 새 라운드 획득
overflow,대미지 분담,대미지 분담
buffExloded,폭발 buff,폭발 buff
mindControl,마인드 컨트롤,마인드 컨트롤
transformBK,祭献转化成分身,祭献转化成分身
atkPBK,黑骑士攻击buff,黑骑士攻击buff
brkBK,黑骑士破甲buff,黑骑士破甲buff
sw,신위 학부 대미지 증가,신위 학부 대미지 증가
yz,은신 학부 대미지 증가,은신 학부 대미지 증가
th,담화 학부 대미지 증가,담화 학부 대미지 증가
fj,풍견 학부 대미지 증가,풍견 학부 대미지 증가
cx,진성 학부 대미지 증가,진성 학부 대미지 증가
xl,수라 학원 대미지 증가,수라 학원 대미지 증가
critDef,受到暴击伤害,受到暴击伤害
debuffClean,清除减益效果,清除减益效果
surAtkP,存活战姬数*1.2%攻击力,存活战姬数*1.2%攻击力
hurtLhurtP,生命高于自己，额外伤害量x%的伤害,生命高于自己，额外伤害量x%的伤害
healI,치료 효과,造成治疗效果增强x%
healPlose,恢复已损失生命%生命,恢复已损失生命%生命
rowFArmP,앞줄 방어,앞줄 방어
rowFStone,앞줄 석화,앞줄 석화
rowBAtkP,对后排攻,对后排攻击
rowBSpd,对后排速度,对后排速度
dotTwins,双子持续伤害,双子持续伤害
rowFHpP,hpPos-前排,hpPos-前排
rowBHpP,hpPos-后排,hpPos-后排
rowBArmP,armPos-后排,armPos-后排
rowFHit,hitPos-前排,hitPos-前排
rowBMiss,missPos-后排,missPos-后排
rowBCrit,critPos-后排,critPos-后排
hotHuatuo,持续回血（每回合回血）,持续回血（每回合回血）
reviveINF,无限复活（立刻复活）,无限复活（立刻复活）
reviveINFbuff,无限复活累加buff,无限复活累加buff
dotFireMaxHp,生命上限百分比燃烧伤害,生命上限百分比燃烧伤害
atkUnable,无法攻击,无法攻击
free_harm,免死护盾,免死护盾
aggression,杀意buff,杀意buff
aggressionHarm,杀意伤害,杀意伤害
stunSober,对未眩晕敌人眩晕,对未眩晕敌人眩晕
critStun,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）
hurtmaxHLimit15,对目标造成其生命上限x%的伤害（不超過15倍攻擊）,对目标造成其生命上限x%的伤害（不超過15倍攻擊）
unfree,구속 강화율,구속 강화율
incDmg,增伤率,增伤率
incDmgGroupCom,은신/신위/풍견/담화 학부 소녀에게 주는 대미지 증가,增伤率-四系
incDmgGroupSpe,수라/진성 학부 소녀에게 주는 대미지 증가,增伤率-光暗
incDmgGroupChaos,카오스에게 주는 대미지 증가,增伤率-混沌
decDmgGroupCom,은신/신위/풍견/진성 학부 소녀에게 받는 대미지 감소,减伤率-四系
decDmgGroupSpe,수라/진성 학부 소녀에게 받는 대미지 감소,减伤率-光暗
decDmgGroupChaos,카오스로부터 받는 대미지 감소,减伤率-混沌
incDmgSkl,소녀 스킬 대미지 증가,增伤率-技能
decDmgSkl,소녀가 받는 스킬 대미지 감소,减伤率-技能
incDmgNorAtk,일반 공격 대미지 증가,增伤率-普攻
decDmgNorAtk,일반 공격으로 받는 대미지 감소,减伤率-普攻
allHarmDec,받은 모든 대미지 감소,받은 모든 대미지 감소(퍼센티지 대미지 포함)
unCrit,치명타 저항,치명타 저항
resist_zs,받은 전사 대미지 감소,받은 전사 대미지 감소
resist_fs,받은 법사 대미지 감소,받은 법사 대미지 감소
resist_yx,받은 레인저 대미지 감소,받은 레인저 대미지 감소
resist_ck,받은 어쌔신 대미지 감소,받은 어쌔신 대미지 감소
resist_ms,받은 목사 대미지 감소,받은 목사 대미지 감소
