id,title_1,unknown_3,contents_1,contents_4,contents_5,contents_2
11,A message to guild leader,Leader! We need your help of building guild! Reviens !,Leader! We need your help of building guild! Reviens !,"Senpai, la guilde a rencontré un problème de développement et a besoin de toi pour le résoudre !",部長、サークルにちょっと問題があったようです、早く戻って解決しましょう！,Leader! We need your help of building guild! Reviens !
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!,"Senpai, la guilde a besoin de toi, reviens-vite !",部長、サークルには部長の指導が必要です！早く戻ってください！,Leader! Our guild can't move on without you! Please come back!
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,"Senpai, depuis que tu es parti, la guilde part dans tout les sens, viens vite aider à résoudre le problème !",部長がいない間、サークルの発展は上手くできませんでした。早く戻ってください！,Leader! Where are you? We have something serous happened in guild!
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,"Senpai, tu veux vraiment abandonner ta guilde ? Reviens-nous vite !",部長、サークルの皆とクラスメイト達があなたを待っていますよ。,Leader! Do you really want to leave your guild? Please come back!
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,"Senpai, comment s'est passé ta première journée au campus ? S'était facile non ?",先輩、学園生活はどうですか？のんびりしているでしょう！,Senpai! How was your first day in campus? Was it great?
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,"Senpai, toutes les Filles étaient en train de parler de toi ces derniers jours !",先輩、この二日間の付き合いで、戦姫にいい先輩だと褒められました！,Senpai! Girls were all talking about you these days!
17,Regarding to battle girls!,Senpai! You and your girls are working better and better! Fight!,Senpai! You and your girls are working better and better! Fight!,"Senpai, tes filles et toi avez fait d'énorme progrès, continuez de vous battre !",先輩、戦姫達との相性がよくなりましたね！引き続き頑張りましょう！,Senpai! You and your girls are working better and better! Fight!
18,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,Senpai! You are the chosen one to help us defeat demons!,"Senpai, avec ton aide on pourra repousser les démons du campus !",先輩のお陰で、悪魔学園を倒すことができました。さすが選ばれた人は違いますね！,Senpai! You are the chosen one to help us defeat demons!
19,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,"Senpai, beaucoup de Filles t'ont envoyés des messages, viens vite voir !",先輩、あなたのことが好きな戦姫がたくさんいますよ！仲良くしましょう！,Senpai! Many girls are sending your letters! Come and see!
20,Available Canteen Order!,Senpai! Please select your orders in Canteen!,Senpai! Please select your orders in Canteen!,"Senpai, il semblerait que tu as oublié de passer la commande à la cafétéria, vas-y vite !",先輩、今日の食堂の注文を忘れたようですね。早く作りましょう！,Senpai! Please select your orders in Canteen!
21,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,Senpai! You still have boss fight in guild! Come join the fight!,"Senpai, tu as toujours un combat de boss dans la guilde, viens vite te battre !",先輩、今日はまだサークルクエストに挑戦していないようですね。早く参戦しましょう！,Senpai! You still have boss fight in guild! Come join the fight!
