id,fort_name,fort_name2,name,description
27,Iron Fist\nJournal,Iron Fist · Journal,Dernier entraînement~ Adieu,"L'entraînement spécial pendant toute la journée fut un succès. L'entraînement final approche. Iron Fist compris que dans les jours suivants elle devrait faire ses adieux à Kong Ming senpai, car celle-ci ne pourrait pas rester avec elle toute sa vie."
28,Iron Fist\nJournal,Iron Fist · Journal,Dîner pour Un,"Pour la nouvelle année scolaire, Iron Fist entra officiellement l'Académie Yume. Mais elle fait tout de même encore ce cauchemar, mais avec les autres senpais qui s'occupent d'elle, elle n'est plus effrayée."
29,Iron Fist\nJournal,Iron Fist · Journal,Reunion...,"Durant la nuit profonde dans le dortoir, juste quelques lumières sont encore allumés dans le coin, et la plupart de la pièce était plongé dans le noir. Iron Fist qui était endormie fut réveillée par un hurlement. Alertés par l'ennemi inconnu, elle se pencha vers la lumière. A travers la lumière elle vit un visage étrange mais familier juste en face de ses yeux..."
30,Iron Fist\nJournal,Iron Fist · Journal,"Adieu, plus de confusion","Dans la chambre entièrement détruite pendant la bataille, Iron Fest tomba au sol, son corps était recouvert de sang, les warnings du bras robotique se mirent à flasher, et faisant des 『bips』frénétique..."
31,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Jour de repêche de l'examen,"Le Festival de l'Ecole est un jour important pour l'académie Yume, mais pas tous peuvent apprécier ce jour. Par exemple, les élèves qui n'ont pas des bons résultats et doivent passer les repêches."
32,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Professeur du campus,"Après avoir laissé les élèves pendant les repêches, la strict mais responsable professeur marcha vers le brouillard noir. Elle ne voulait pas que les élèves ratait un examen aussi important à cause de circonstance non-expecté"
33,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Comité de Discipline,"Près de l'endroit du Festival de l'Ecole, le brouillard noir ne s'est pas dispersé. Le comité de discipline a établi une zone de quarantaine afin de résister à ceux infecté par la Figure du Chaos. Hottie est finalement arrivée, et trouva un visage familier parmis les membres du Comité de Discipline."
34,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Rond point,"Même avec l'aide des membres du Comité de Discipline, ce fut très difficile d'avancer dans le chaos du champ de bataille de la zone du Festival de l'Ecole, mais le professeur ayant pris cette décision ne fera pas demi-tour"
35,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Commando DEF,"L'équipe de secours essaya d'éviter tous les problèmes et les pièges sur la route vers le centre du champ de bataille. Dans une bataille récente, Hottie a été séparé de l'équipe de secours et se retrouva encerclé par les infectés..."
36,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Traverser la Zone Rouge,La professeur qui a risqué sa vie pour aller sauver ses élèves et celle qui a conduit l'attaque du Commando DEF vers la zone rouge. L'information qu'Hottie a récupéré d'un élève caché prouva la prédiction d'Hottie correcte. L'élève sur le point d'arriver en retard à l'examen est juste devant elle.
37,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Bataille Intense,"Reconnaissant vaguement la Fille parmis les autres élèves et les infectés sur le front, elle accélèra le pas, elle calcula rapidement le temps afin de voir si l'élève sera ou non en retard. L'élève peut toujours participer à l'examen !"
38,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Zone Chaotique,"Les camarades qui étaient avec encerclés avec Jade se firent capturés les uns après les autres, et le pire est qu'ils joignèrent rapidement les lignes ennemis en étant recouvert d'un brouillard rose..."
39,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Faire une percée,"C'est une longue route pour retourner à la salle de classe, mais avec la protection d'Hottie, Jade n'est pas du tout effrayée, et la route ne sembla pas longue pour elle. Inspirée par Hottie, elle trouva un moyen de forcée les barricades afin de pouvoir passer l'examen avant qu'il ne soit trop tard."
40,Hottie\nLeave No Girl Behind,Hottie · Leave No Girl Behind,Examen de rattrapage,"Le travail périlleux de la professeur ne fut pas en vain, l'élève arriva dans la salle d'examen à temps pour passer ses repêches. Mais pour les élèves c'est une autre histoire, après avoir fini un examen, elles savent qu'il y en a toujours plus à faire derrière..."
41,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,La lettre,"Bien qu'ayant assisté Senpai et Michael avec succès pendant le chaos, Iron Fist était toujours déprimé d'avoir été attaqué par Kong Ming. Après avoir décidé de ramener Kong Ming du chaos, Iron Fist s'était souvenue de quelque chose..."
42,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,Rapport d'Enquête I,"L'épidémie des figures du chaos n'était pas une coïncidence, elle avait besoin de plus de détails, et Kong Ming n'avait pas peur du danger"
43,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,Rapport d'Enquête II,"Pour approfondir l'enquête, Kong Ming devait se rapprocher des personnes infectées, mais Kong Ming avait vite remarqué les effets du chaos sur elle-même... Dans le noir, quelqu'un s'approchait d'elle..."
44,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,À Iron Fist I,"Après avoir constaté la situation, Kong Ming estima qu'il était nécessaire d'avertir Iron Fist du danger, afin d'éviter que le danger ne s'aggrave sur le campus"
45,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,À Iron Fist II,"Après avoir préparé toutes les contre-mesures pour les problèmes qu'Iron Fist encontrerait, Kong Ming essaya de l'encourager à la fin de la lettre, en lui promettant qu'elle reviendrait"
46,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,Message,"Les choses s'améliorent, pas seulement les Filles que Kong Ming connaissait, même toutes les associations s'étaient unis sous une même bannière afin de faire face au chaos."
47,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,À Sapphire I,La lettre qui lui est adressée commence par le souvenir de leur première rencontre. Mais les mots seuls ne peuvent pas exprimer l'émotion de Kong Ming.
48,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,À Sapphire II,"Même s'il y a des choses dont il est inutile de préciser, mais en cas de malentendus inutiles, Kong Ming n'a pas choisi de raccourcir cette longue histoire"
49,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,Epilogue : Le Dernier Contact,"Après avoir envoyé tout le nécessaire, Kong Ming tentait toujours de faire plus pour son amie, mais le danger était déjà à sa porte..."
50,Kong Ming\nDossier Secret,Kong Ming · Dossier Secret,Enregistrement,Tout le message était écrit dans un code secret que seuls les amis les plus proches pouvaient connaître. Kong Ming pensait que celle en qui elle avait confiance pourrait comprendre.
51,Aquaris\nSuiveuse,Aquaris · Suiveuse,Ce jour-là,"Ce jour-là, l'Académie Yume était plongée dans le chaos, avec l'absence de Senpai, toutes les Filles étaient en danger."
52,Aquaris\nSuiveuse,Aquaris · Suiveuse,Situation,"Dans la situation actuelle, vous devez faire attention à toutes les menaces possible, vous devez faire de votre mieux pour survivre !"
53,Aquaris\nSuiveuse,Aquaris · Suiveuse,Espoir,"Les ennemis semblaient sans fin, mais les Filles n'abandonnèrent, elles gardaient espoir."
54,Aquaris\nSuiveuse,Aquaris · Suiveuse,Avant la contre-attaque,"Ayant entendu quelque chose d'important, Aquaris se porta volontaire pour aller au front, mais celles qui étaient en charge étaient inquiètes..."
55,Aquaris\nSuiveuse,Aquaris · Suiveuse,La volonté,Devrais-je rester et ne rien faire ? Se demandait Aquaris...
56,Aquaris\nSuiveuse,Aquaris · Suiveuse,Je dois y aller,"Personne ne pouvait être protéger toute sa vie, je devrais au moins tenter ma chance ! Elle essaya de convaincre ses amies."
57,Aquaris\nSuiveuse,Aquaris · Suiveuse,En avant,"Avec l'aide d'Elfe Bourgeon, Aquaris pu passer la majeur partie des ennemis sur son chemin vers son objectif"
58,Aquaris\nSuiveuse,Aquaris · Suiveuse,La plus longue distance,"Il était très dur pour Aquaris d'avancer, mais elle ne s'arrêta pas, elle avait quelque chose à dire à tout prix"
59,Aquaris\nSuiveuse,Aquaris · Suiveuse,Entraînement Spécial,Ce n'était qu'en faisant des efforts que les faibles pouvait vaincre les forts. C'est ce que Guan Yin avait enseigné à Aquaris
60,Aquaris\nSuiveuse,Aquaris · Suiveuse,Offensé,C'est le moment de vérité. Aquaris est certaine qu'elle ne ratera pas sa chance.
61,Hexa\nJusticière,Hexa · Justicière,Justice Céleste,"Après que le chaos s'était manifesté pour la première fois lors de la cérémonie d'ouverture, des étudiants infectés commencèrent à apparaître sur le campus. Saint fut malchanceuse et se retrouva encerclée."
62,Hexa\nJusticière,Hexa · Justicière,Appel à l'aide,"Comme une machine en panne, la Fille est tombée par terre. Saint remarqua ses équipements de haute technologie et la ramena au Club de Tech."
63,Hexa\nJusticière,Hexa · Justicière,Laboratoire,"En voyant Saint venir avec Hexa dans ses bras, Kong Ming décida d'ouvrir les portes du laboratoire secret."
64,Hexa\nJusticière,Hexa · Justicière,Hexa ?,"Les équipements du laboratoire pouvaient parfaitement se connecter avec les équipements d'Hexa, il semblait que ces équipements ont été construits spécialement pour cela !"
65,Hexa\nJusticière,Hexa · Justicière,Diagnostique,"Après que le diagnostique fut terminé, Saint et Kong Ming découvrirent quelque chose..."
66,Hexa\nJusticière,Hexa · Justicière,La vérité,"Le coma d'Hexa semblait provenir de l'infection des figures du chaos, même si la vérité reste toujours cachée, Saint pense qu'elle fait partie de la conspiration de quelqu'un..."
67,Hexa\nJusticière,Hexa · Justicière,Le chemin,"Saint avait encore quelque chose à faire, après avoir laissé Hexa avec Kong Ming, elle retourna au DEF"
68,Hexa\nJusticière,Hexa · Justicière,Fragment de mémoire,"Les données ayant été transmises par l'instrument auxiliaire ont finalement été analysées avec succès, la scène qui se déroulait à l'écran choqua Kong Ming."
69,Hexa\nJusticière,Hexa · Justicière,Songes,"Hexa faisait un long rêve qui était le rassemblement de différentes histoires, tout semblait réel tout comme si elle y était vraiment..."
70,Hexa\nJusticière,Hexa · Justicière,Epilogue,"Hexa commença à douter et à questionner son passé, mais personne n'était capable de lui donner une réponse."
71,Valeera\nMystique,Valeera · Mystique,Le S.O.S de la Librairie,"L'histoire se passe après la construction de l'Académie Yume, Ithil avait reçu un S.O.S d'un ami."
72,Valeera\nMystique,Valeera · Mystique,Rendez-vous,"Après qu'Ithil soit entrée dans la bibliothèque, elle trouva Valeera en train de combattre des monstres étranges, même si elle n'avait pas compris pourquoi Valeera avait du mal a repoussé des ennemis aussi faible, elle partie sans hésiter à son secours."
73,Valeera\nMystique,Valeera · Mystique,Confirmer la cible,"Après avoir obtenue plus d'information au sujet de cette émeute, Ithil décida d'aider Valeera à vaincre l'Esprit du Livre au dernier étage."
74,Valeera\nMystique,Valeera · Mystique,Nettoyage,"Sur son chemin pour le dernier étage, Ithil ne pouvait plus supporter le bazard dans la libraire et demanda a Valeera de commencer à nettoyer après l'émeute."
75,Valeera\nMystique,Valeera · Mystique,Perception,"Le chuchotement de l'Esprit du Livre est difficile à entendre pour les gens normaux, mais pas pour Ithil..."
76,Valeera\nMystique,Valeera · Mystique,Solitude,"Ithil était inquiète de la soif de connaissance de Valeera, mais elle découvrit que cette soif était juste du à sa solitude."
77,Valeera\nMystique,Valeera · Mystique,Ombre du Passé,"Quand Ithil lui posa des questions sur ce sujet, Valeera ne pouvait s'empêcher d'exprimer sa tristesse, elle était trop émotionnelle pour se rendre compte du danger approchant."
78,Valeera\nMystique,Valeera · Mystique,Dernière étape,"L'Esprit du Livre avait créé un labyrinthe pour se protéger, mais cela ne ralenti pas Valeera et Ithil."
79,Valeera\nMystique,Valeera · Mystique,Danger,L'Esprit du Livre était trop puissant pour le vaincre sans le détruire. Mais Valeera voulait tenter le coup.
80,Valeera\nMystique,Valeera · Mystique,Recherche de Valeera,"La bataille était enfin terminé, Ithil découvrit la raison pour laquelle l'Esprit du Livre était aussi difficile à vaincre—— Il contient des connaissances sur la Pierre Philosophale."
81,Turin\nPremier Superviseur,Turin · Première Superviseur,Redémarrage,"Dans un entrepôt abandonné, un moteur tente toujours de redémarrer le système qu'il prend en charge après des centaines d'échecs."
82,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：Phénix,"Après avoir vérifié le dossier, le système a finalement trouvé un résultat qui pourrait expliquer les dégâts subis par le corps——Champ de bataille, Forces Unies, Phénix..."
83,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：Guerre du Chaos,La motivation de Phénix est enfin comprise：L'alerte de ce corps au sujet de l'annihilation totale des Forces Unies...
84,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：Assemblement,"Mot-clé：…\nAlerte, personnel des Forces Unies détecté...\nLe système a découvert un élément anormal：Paradoxe…"
85,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：Kratos,"La source du facteur anormal appelé 「Emotion」--- Kratos...\n Elle a montré une anomalie il y a longtemps, mais Turin n'avait pas compris ce qu'elle avait dit au début."
86,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：「Cœur」,"Les IA font des décisions correctes, mais les décisions peuvent être froides et cruelles. Mais Turin fait preuve d'un désir de conscience en soi..."
87,Turin\nPremier Superviseur,Turin · Première Superviseur,Mot-clé：Fichier Principaux,"Après une longue procédure, la Fille atteignit finalement le dossier qu'elle cherchait, mais elle fut surprise par la date, car cela faisait déjà plus de cent ans."
88,Turin\nPremier Superviseur,Turin · Première Superviseur,「Cœur」 brisé,"Le système était trop défaillant pour aider la jeune Fille à atteindre le bas du fichier, mais l'aventure avait toujours un sens-- C'est ce que croyait Turin. Après avoir obtenu ce dont elle avait besoin, Turin ferma les yeux et se prépara à accepter son destin..."
89,Turin\nPremier Superviseur,Turin · Première Superviseur,Renaissance,Redémarrage réussi\nLa Fille retourna dans la pénombre. Elle atteignit la fin du commencement.
90,Turin\nPremier Superviseur,Turin · Première Superviseur,Redémarrage,"
Redémarrage-- Redémarrage échoué
Redémarrage-- Redémarrage échoué
Redémarrage-- Redémarrage-- Redémarrage--
La Fille continua de redémarrer ignorant les alertes du système. Cette fois elle avait un but..."
91,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Evader,"Depuis que le problème s'est produit sur les terres du commencement il y a 3 ans, Jacob devint de plus en plus faible.\nAfin de s'échapper de la légion du chaos, Ésaü prit Jacob et s'enfuirent.\nMais, ce voyage ne se fit pas sans péripéties..."
92,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Sauvetage,"Elles étaient attaquées sans cesse par les soldats de la légion et Ésaü était épuisée de toutes ces batailles.\nLorqu'elles pensèrent que la fin était proche, elles tombèrent nez à nez avec une équipe des Forces Unies..."
93,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Pièger,"Elles firent face à une force ennemie sans précédent.\nDans le chaos de la bataille, Ésaü et Jacob furent séparées par les troupes ennemies..."
94,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Contre attaque,"Sortie du coma, Ésaü savait que sa soeur avait des problèmes.\nAprès avoir discuté avec la Valkyrie Ithil, Ésaü rejoignit son équipe."
95,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Confrontation,"Le mal caché à l'intérieur de Jacob montra enfin sa vraie forme.\nÉsaü, étant partie dans la forêt afin de sauver sa soeur, avait un choix à faire...."
96,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,L'histoire continue,"An 98 du calendrier du Chaos, les Forces Unies s'apprêtaient à affronter le Chaos dans une bataille finale.\n Ésaü et Jacob étaient toutes deux devenues des Valkyries tout en cachant le mal présent à l'intérieur de Jacob.\nAlors que la bataille approche, les Forces Unies furent attaquées."
97,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Séparation,Ésaü et Jacob furent séparées à cause des incessantes vagues magiques.\nÉsaü était occupée à chercher un autre chemin pendant que Jacob regroupait ses coéquipières afin de faire face aux ennemis.
98,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Retour,"Pendant que Jacob se reposait, Cauchemar profita de l'opportunité et brisa le sceau.\nJacob absorba toutes les émotions négatives et nourrit directement Cauchemar qui se trouvait à l'intérieur d'elle.\nMaintenant, Cauchemar était au meilleur de sa forme…"
99,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Carnage,Ésaü trouva enfin un chemin et retourna aux côtés de Jacob.\nCependant elle ne put que constater que sa soeur avait massacré toutes ses coéquipières et que cette dernière était contrôlée par Cauchemar.
100,Ésaü et Jacob\nJumelles de la Destinée,Ésaü et Jacob · Jumelles de la Destinée,Sommeil,"Jacob, sous le contrôle de Cauchemar, absorba le pouvoir d'Ésaü, afin de pouvoir fabriquer la Pierre Philosophale.\nAfin de pouvoir arrêter Cauchemar, Jacob utilisa le peu de force qu'elle avait afin de détruire son propre corps et emporter Cauchemar avec elle dans la mort.\nAfin de sauver sa soeur, Ésaü se sacrifia afin de préserver l'âme de sa soeur. Sans corps pour les contenir, les jumelles entrèrent dans un sommeil éternel..."
101,Ithil\nSous la Lune,Ithil · Sous la Lune,La lumière de la lune,Quand les forces principales de Yume se battent durement contre les forces du chaos.\nIl existe une unité secrète prennant des risques considérables afin d'infiltrer le territoire ennemi afin d'apporter des informations à leurs alliés.\nCette unité est sous le commandement d'Ithil.
102,Ithil\nSous la Lune,Ithil · Sous la Lune,Magie agréable,"Dans la vie quotidienne, l'ensemble de servante d'Ithil est comme son armure, cet ensemble la protège des nuisances du monde extérieur.\nElle a toujours enduré cette souffrance, sans jamais parler à qui que ce soit des troubles que lui procure sa capacité.\nCependant quelqu'un a ressenti sa douleur ce jour-là."
103,Ithil\nSous la Lune,Ithil · Sous la Lune,Le plan d'avenir,"La guerre est sur le point de s'achever. \nMais Valeera et Ithil, ayant trouvé la victoire trop facile, ne baisse pas leur garde pour autant. \nElles discutent cependant de leurs plans pour l'après-guerre."
104,Ithil\nSous la Lune,Ithil · Sous la Lune,Étrange,"Ce fut une autre mission difficile, mais Ithil a déjà connu des dangers bien pires. \nD'autant plus qu'une chose l'inquiétait bien plus que la mission en elle-même."
105,Ithil\nSous la Lune,Ithil · Sous la Lune,Graine perturbée,"Après avoir appris la vérité sur l'étrange pouvoir du Chaos concernant Jacob, \nIthil a décidé de garder le secret dû à sa compassion. Mais elle se méfie toujours de cette menace."
106,Ithil\nSous la Lune,Ithil · Sous la Lune,La guerre est terminée ?,"Après avoir pris le contrôle de la dernière base ennemie, tout le monde pense que la guerre est enfin terminée.\nMais avant qu'Ithil n'ait le temps de se reposer..."
107,Ithil\nSous la Lune,Ithil · Sous la Lune,Lucioles,"Après avoir payé un lourd tribut, Ithil est de retour à la base. \nMais il est déjà trop tard."
108,Ithil\nSous la Lune,Ithil · Sous la Lune,Nouvelle ère,"Bien que choqué par le fait cruel, Ithil savait que ce n'était pas le bon moment pour faire son deuil. Elle devait continuer ce qu'elle avait à faire. C'est pour cette raison qu'elle accepta l'offre du Li, elle devait commencer une nouvelle ère."
109,Ithil\nSous la Lune,Ithil · Sous la Lune,Voyage,"Après avoir tout terminé, Ithil était toujours inquiète pour l'avenir. Elle pris donc la décision de protéger l'académie contre les menaces cachées."
110,Ithil\nSous la Lune,Ithil · Sous la Lune,Lucioles sous la lune,"Après un siècle, Ithil retourna enfin à Yume."
111,Chris\nMiracle de Cristal,Chris · Miracle de Cristal,Cristal et Fille,"Près des terres désolées de Foehn, au bord du désert de Bailu. \nLe soleil se lève et un nouveau jour commence. Une jeune Fille se réveille dans la grotte de cristal…"
112,Chris\nMiracle de Cristal,Chris · Miracle de Cristal,Jeune Fille avec une longue queue,"Les amas de cristaux font partie du paysage de ce désert. L'énergie condensée dans les cristaux attirent d'innombrables formes de vie avides de pouvoir, telles que des créatures du chaos. La jeune Fille s'approche des amas de cristaux et, bien sûr, de nombreuses créatures du Chaos s'y regroupent également…"
113,Chris\nMiracle de Cristal,Chris · Miracle de Cristal,Matinée étrange,"Un nouveau jour, après son réveil, sous les yeux de Chris, un environnement étrange.\n……Maman ? Chris semble n'avoir jamais entendu de mots aussi chaleureux."
114,Chris\nMiracle de Cristal,Chris · Miracle de Cristal,Longue barbe,"En errant dans le village, l'homme à la longue barbe est soudainement apparu dans la matinée pour proposer à Chris un duel. \nEn tant que simple être humain, cet homme n'est-il pas un peu trop arrogant ?"
115,Chris\nMiracle de Cristal,Chris · Miracle de Cristal,L'épée du barbu,"Comme prévu, l'homme à la longue barbe se fait battre.\nLors du deuxième défi, ce dernier, expérimenté, arrive finalement à prévoir la trajectoire du cristal. Cependant, le cristal que Chris a envoyé était beaucoup plus gros qu'il ne s'y attendait…"
