1,title,name,dialog,select_text
60,,Sapphire,"De plus, je te le confie également parce que tes oreilles et celles de mon renard Ahri se ressemblent vraiment~",
61,,Ithil,"Ah, c'est parce que… Valeera de base est…",
62,,Valeera,Ithil ! Tu ne dois pas en parler !,
63,Match de Baseball,Valeera,Le terrain de baseball est très animé comme l'a dit Aquaris~,
64,,Valeera,"Comparé aux autres compétitions, le public ici est 2 fois, non, 3 fois plus important !",
65,,Aquaris,"Je ne t'ai pas menti Valeera, tout le monde est venu voir le match uniquement pour voir Guan Yin.",
66,,Valeera,"C'est l'étudiante qui porte le nom de 「Déesse de la Guerre」, elle semble très populaire.",
67,,Aquaris,"Grâce à sa puissance et ses capacités de combat, Guan Yin est admirée par de nombreuses personnes.",
68,,Valeera,Tu dois également en faire partie.,
69,,Aquaris,Bien sûr ! Tout le monde à l'Académie l'adore.,
70,,Aquaris,"J'ai entendu qu'après la fin du match, Guan Yin se rendra sur le terrain de volley-ball pour enseigner des techniques de baseball à ceux qui le souhaitent.",
71,,Aquaris,Tout le monde est excité car on pourra s'approcher d'elle de très près et prendre des photos.,
72,,Valeera,À ce moment il y aura beaucoup de monde dans le stade. Après avoir terminé d'arbitrer il va falloir se dépêcher d'y aller.,
73,,Aquaris,C'est une excellente occasion pour moi de rencontrer Guan Yin et d'obtenir sa photo dédicacée.,
74,,Valeera,Je ne m'attendais pas à ce que tu sois une fan aussi passionnée…,
75,,Valeera,"Permettez-moi de vérifier les informations de l'arbitre… la liste des joueurs, le récapitulatif des résultats, eh bien, c'est bon, tout est prêt.",
76,,Valeera,Le match de baseball commence dès maintenant !,
77,,,Le match se déroula sous les applaudissements du public et Guan Yin répondit aux attentes en conduisant l'équipe Humain en finale.,
78,,,"Avec l'annonce「HOMERUN」de Valeera et les applaudissements du public, le match prit fin.",
79,,,"Après que Guan Yin et ses coéquipières atteignirent tranquillement la quatrième base, elles retournèrent dans la zone arrière et commencèrent à se préparer pour le prochain match d'enseignement à leurs fans.",
80,,Valeera,"Comme l'a prédit Aquaris, Guan Yin a complètement dominé le jeu et a facilement gagné.",
81,,Valeera,"Il semble que le travail est bientôt terminé, haaa, je ferais bien tout noter une fois rentrée à la Bibliothèque.",
82,,,Le bruit sur le terrain de volley-ball s'intensifia et tout le monde voulait se rapprocher de leur idole.,
83,,Étudiante inactive,Guan Yin ! Regarde par ici !,
84,,Étudiante bien informée,"Aujourd'hui ta performance était vraiment trop géniale Guan Yin, tu es la fierté de la Maison Humain !",
85,,Valeera,"Le match d'enseignement commence bientôt, je ferais mieux de m'en aller.",
86,,Valeera,"Un instant, il me semble avoir oublié quelque chose…",
87,,Valeera,Oups ! Les fiches d'enregistrement ! Il faut que je les fasse signer à toutes les joueuses !,
88,,Valeera,"Mince, comment ai-je pu oublier une chose si importante, maintenant…comment vais-je obtenir la signature de Guan Yin ?",
89,,,Valeera vit la foule autour de Guan Yin et commença à avoir un mal de tête.,
90,,Valeera,La feuille d'enregistrement doit être signée par les joueuses dans l'heure suivant la fin de la partie.,
91,,Valeera,Il semble que je n'ai pas d'autres choix… Allez ! Je peux le faire !,
92,,,"Après s'être auto-encouragée, Valeera se faufila à travers la foule de gens.",
93,,Valeera,"Pardon… Han, Han, Pardon… j'ai quelque chose de très important… à donner à Guan Yin.",
94,,Étudiante inactive,"Hé, quelque chose est coincé entre mes jambes ? C'est tout moelleux, ce n'est quand même pas un animal…",
95,,Étudiante bien informée,Ne te préoccupe pas de choses si futiles ! Je viens tout juste d'apercevoir Guan Yin~,
96,,Étudiante inactive,Hein ? Je l'ai raté ?,
97,,Valeera,Han Han… enfin… je vois un rayon de lumière…,
98,,Valeera,Je vais bientôt arriver à côté de Guan Yin…,
99,,Valeera,"Guan Yin, s'il te plaît, peux-tu signer cette feuille, c'est la…",
100,,,"Valeera, tout en parlant, saisit dans sa main une fiche d'enregistrement déjà pré-remplie.",
101,,,Il fallait juste que Guan Yin signe au bas de la fiche et Valeera aurait pu s'enfuir par la voie qu'elle avait planifié intérieurement.,
102,,Guan Yin,"Valeera, en tant qu'arbitre, tu n'as pas à te donner toute cette peine pour obtenir ma photo dédicacée.",
103,,Valeera,Hein ? Photo dédicacée ? Qu'est-ce que tu racontes ? Je veux juste que tu…,
104,,,Valeera n'eut pas le temps de finir ce qu'elle voulait dire que Guan Yin avait déjà saisi une photo d'elle du dossier de Valeera.,
105,,Étudiante inactive,Je ne m'attendais pas à ce que Valeera soit également une fan de Guan Yin ! Le charme de Guan Yin n'a donc aucune limite !,
106,,Valeera,Quoi ? Comment se fait-il que la fiche d'enregistrement… que j'avais mis dans mon dossier se soit transformé en une photo…,
107,,,Valeera ne termina pas sa phrase et se souvint alors de sa conversation avec Aquaris avant le début du match.,
108,,Aquaris,"Valeera ! J'avais une photo haute définition de Guan Yin que je voulais lui demander de signer, est-ce qu'elle ne serait pas dans ton dossier ?",
109,,Valeera,C'est à ce moment…,
110,,Valeera,"Guan Yin, je… je suis venue pour te demander de signer ta fiche d'enregistrement, non…",
111,,Guan Yin,Non ?,
112,,Guan Yin,"La photo ainsi que la fiche d'enregistrement ont été signées, tu peux vérifier~",
113,,Valeera,Rien… merci Guan Yin.,
114,,Valeera,"Ha, Aquaris, je garderai la photo dédicacée pour toi.",
115,Match de Volley-Ball,Valeera,Le match de volley-ball va bientôt commencer…,
116,,Valeera,Han… Han… Plus vite !,
117,,Valeera,"Han, Han… ouf, il semble que j'ai pu rattrapé mon retard, ce serait ridicule si l'arbitre du match était en retard.",
118,,Valeera,"Hum Hum, il semble que toutes les athlètes sont là, je commence donc à faire les présentations~",
119,,Étudiantes,Oui !,
120,,Valeera,"Tout d'abord, la première équipe est la Maison Fantôme, Sapphire, Ennmaya… Hum Hum, il semble que les étudiantes sont prêtes~",
121,,Sapphire,Même s'il est encore un peu tôt pour le dire mais Valeera tu vas être contente de notre performance~,
122,,Gambler,"Pour ce match, Sapphire nous a toutes entraînées pendant longtemps après la fin des cours…",
123,,Sapphire,Tu n'as pas besoin de dire ce genre de choses à Valeera…,
124,,Valeera,"Je suis sûre que tout le monde obtiendra de très bons résultats, bonne chance~",
125,,Ithil,Je pense qu'il est encore trop tôt pour dire quoi que ce soit.,
126,,Valeera,"Quoi, Ithil tu es venue encourager la Maison Humain ?",
127,,Valeera,Le visage d'Ithil… suffit à faire trembler les joueurses adverses…,
128,,Valeera,"Hein, c'est bizarre, Ithil tu portes… l'uniforme de l'équipe ! !",
129,,Ithil,"Hum, en tant que doyenne de la Maison Humain, bien sûr que je dois vous montrer l'exemple pour qu'ensuite vous puissez montrer l'exemple.",
130,,Valeera,"Ithil si tu fais cela, c'est injuste pour les membres des autres Maisons !",
131,,Ithil,"Valeera, toi aussi tu devrais le faire~",
132,,Valeera,"Non, je suis ici en tant qu'arbitre ! Je dois être impartiale peu importe l'équipe gagnante !",
133,,Ithil,"C'est toi qui as décidé cela~ De plus, si tu n'es pas impartiale, quelle est l'utilité de jouer ce match ?",
134,,Valeera,"Bon sang, Ithil tu sais très bien ce que je voulais dire.",
135,,Ithil,"Alors, arbitre Valeera, la présentation est-elle terminée ?",
136,,Valeera,Oui… joueuses de la Maison Humain veuillez rentrer sur le terrain.,
137,,,"Voyant Ithil conduire les joueuses de la Maison Humain sur le terrain, Valeera soupira fortement et l'expression sur son visage devint plus solennelle.",
138,,Sapphire,Valeera ? Ça va ?,
139,,Valeera,"Ah… ne t'inquiète pas pour moi, dépêche-toi le match va commencer.",
140,,Valeera,Je suis sûre que vous obtiendrez de bons résultats~ Du moment que… vous ne tombez pas sur l'équipe d'Ithil.,
141,,Gambler,Elle est si forte que ça ?,
142,,Gambler,"Je sais qu'Ithil est bonne aux tirs de fléchettes, quand il s'agit de jeux de balle Sapphire devrait être meilleure.",
143,,Valeera,Je pense qu'on va le savoir très vite…,
144,,Valeera,"Souvenez-vous, si c'est une balle venant d'Ithil il ne faut absolument pas vous surestimez ! Votre sécurité passe avant tout !",
145,,Sapphire,"D'accord, ne t'inquiète pas.",
146,,,On ne sait pas si les prières de Valeera furent entendues mais les joueuses de la Maison Fantôme et celles de la Maison Humain ne se rencontrèrent pas avant la finale.,
147,,,Les joueuses de la Maison Fantôme menées par Sapphire se sont qualifiées pour la finale sans problèmes.,
148,,,"De l'autre côté, l'équipe de la Maison Humain devrait plutôt s'appeler 「Ithil」…",
149,,Gambler,"Bon sang, il ne manquait pas grand chose pour la réceptionner…",
150,,Sapphire,"Effectivement Ithil est aussi forte que Valeera, mais la prochaine fois si tu es un peu plus rapide, je suis sûre que tu pourras l'avoir.",
151,,Ithil,"Vous pouvez faire une croix dessus, car aucune personne ordinaire ne peut renvoyer mes balles.",
152,,,"Les acclamations retombèrent, Ithil lança la balle vers le haut, s'élança dans les airs avec son pied droit pour frapper la balle fortement de sa paume de la main droite.",
153,,Valeera,"Bon sang, si Sapphire se prend cette 「Balle de la Mort」elle se blessera !",
154,,Valeera,Attention !,
155,,,Un coup de sifflet retentit.,
156,,,"Suite au coup de sifflet, Sapphire laissa passer la 「Balle de la Mort」envoyée par Ithil.",
157,,,La balle envoyée par Ithil se déchira à cause des fortes frictions et commença à se dégonfler tout en sortant lentement du terrain.,
158,,Gambler,"Si… il n'y avait pas eu le coup de sifflet de Valeera, le bras de Sapphire serait probablement cassé…",
159,,Valeera,Le temps est écoulé et le match est terminé.,
160,,Valeera,Je déclare que l'équipe de la Maison Humain a gagné 25:0 et devient donc la nouvelle équipe championne de volley-ball.,
161,,Ithil,"Huh, c'était trop facile. La prochaine fois j'espère te rencontrer sur le terrain Valeera~",
162,,Valeera,Je pense que le poste d'arbitre me convient mieux…,
163,,Valeera,"Et même si je participe en tant que joueuse, je perdrais sûrement contre toi Ithil.",
164,,Ithil,"Comment peux-tu le savoir sans avoir essayé ? Si c'était toi en face, cette balle ne se serait pas déchirée~",
165,,Valeera,Hein ? ?,
166,Match de Football,,"「Di Di Di」, le réveil fut impitoyablement écrasé après 3 sonneries.",
167,,Valeera,"Pfff, c'est déjà le matin…",
168,,Valeera,Allez Valeera ! Tu peux encore survivre aujourd'hui ! Allez ! Courage !,
169,,Ésaü,C'est bizarre… Valeera n'est pas encore prête pour aller au stade de foot ? Le match doit bientôt commencer~,
170,,Valeera,Ah ! Pourquoi je dois entendre ce mot si effrayant…,
171,,Valeera,"Évidemment, c'est trop compliqué pour moi d'être arbitre de foot.",
172,,Ésaü,Hein ? En quoi un match de foot est différent des autres ?,
173,,Jacob,La plus grande différence c'est qu'un terrain de foot est beaucoup plus grand que les autres terrains~,
174,,Valeera,Rien que de penser à l'immense terrain de foot fait trembler mes jambes…,
175,,Valeera,"Les joueuses qui participent au match sont toutes fortes physiquement, même si elles font 5 tours de terrain cela ne changera rien pour elles.",
176,,Valeera,Et je dois courir avec elles avec ma petite paire de jambes…,
177,,Valeera,Ahhhh ! C'est impossible !,
178,,Jacob,"En t'écoutant parler, tu n'as pas du tout changé malgré les années qui se sont écoulées Valeera…",
179,,Valeera,Tu dois vraiment retourner le couteau dans la plaie ? Jacob tu es vraiment méchante…,
180,,Ésaü,"Valeera détends toi, Jacob et moi sommes là pour ça.",
181,,Ésaü,"L'association des arbitres a pris en compte le fait que tu ne pouvais pas gérer à toi toute seule un match de foot, c'est pour cela que nous avons été envoyées.",
182,,Ésaü,"Lorsque tu es fatiguée, nous pouvons prendre ta place.",
183,,Valeera,"Vraiment ? Ouf, tout d'un coup la pression diminue de moitié~",
184,,Valeera,"Cependant un match de foot est vraiment trop vite, ne vous réjouissez pas trop vite Ésaü et Jacob~",
185,,Jacob,J'ai des ailes… de plus je ne me suis pas plainte quand j'ai passé 3 jours à laver les assiettes de Sonya…,
186,,Valeera,"Oh Oh, je t'écoute ! Avoir des ailes est vraiment enviable…",
187,,Ésaü,"Ne vous souciez pas de ce genre de détails, dépêchons-nous, il ne reste que 30 minutes avant le début du match…",
188,,,"La première mi-temps du match se déroula très bien, les joueuses étaient en pleine forme.",
189,,,À l'exception de… la petite Valeera.,
190,,Valeera,"Han… Han… Finalement c'est la mi-temps, je peux me reposer…",
191,,Valeera,"Ésaü… Han… À ton tour, s'il-te-plaît prends ma place en tant qu'arbitre !",
192,,Ésaü&Jacob,Ne t'inquiète pas~,
193,,,"En dépit d'un engagement sérieux, les choses tournèrent mal.",
194,,Jacob,"Ésaü, le numéro 11 de l'équipe vient juste de sortir un maillet de sa poche…",
195,,Ésaü,"Il n'est pas autorisé d'avoir un maillet dans ta poche, Jacob ne l'a sûrement pas vu car elle est trop stressée.",
196,,Jacob,"Ésaü, maitenant le numéro 11 de l'équipe bleue se prépare à frapper le numéro 7 de l'équipe rouge…",
197,,Ésaü,Nous vous avons dit que c'est interdit…,
198,,Jacob,"Ésaü, le numéro 7 de l'équipe rouge va très bientôt se faire frapper…",
199,,Ésaü,"Hein ? Mais c'est une faute… Un instant, laisse moi vérifier ce que dit le manuel de l'arbitre.",
200,,Jacob,"Manuel de l'arbitre, chapitre 8, article 6, stipule que toute atteinte malveillante à autrui sur le terrain nécessite une sanction.",
201,,Ésaü,"! ! Numéro 11 de l'équipe bleue, arrêtez immédiatement, sinon… sinon…",
202,,Ésaü,"sinon… Jacob, répète ce que tu viens de dire s'il-te-plaît…",
203,,,"Ésaü ne prenant aucune mesure, un coup de sifflet retentit de l'autre bout du terrain, Valeera revint sur le terrain en tenant un carton rouge dans sa main.",
204,,Valeera,"Numéro 11 de l'équipe bleue, expulsée.",
205,,Ésaü,"Ouf, Valeera…",
206,,Jacob,"Ésaü, ce n'est pas si simple d'arbitrer un match.",
207,,Valeera,"Han, c'est vrai, Han, finissons d'abord ce match.",
208,,Valeera,"Est-ce que… est-ce que ça vous dérangerait de me tirer s'il vous plaît? Han, je n'ai vraiment plus de force…",
209,,Ésaü&Jacob,"Pas de problèmes, laisse-nous te faire profiter de nos ailes~",
210,,,"Ainsi, avec l'aide des ailes de Ésaü et Jacob, Valeera n'eut plus à traverser d'elle-même l'immense terrain.",
211,,Valeera,"Heureusement que vous êtiez là, le match a pu se terminer tranquillement.",
212,,Valeera,Mais… il semblerait que je ne sois pas une bonne arbitre…,
213,,Ésaü,"Si même toi tu ne penses pas être qualifiée, je crains que les prochains jeux ne pourront pas avoir lieu dans ce cas.",
214,,Jacob,"Ésaü… cette chose, on devrait la remettre à Valeera…",
215,,Ésaü,"Oh j'avais presque oublié ! Valeera prends ça vite, le Comité d'Arbitrage nous a demandé de le remettre.",
216,,Valeera,"Hein ? C'est… un certificat d'arbitre principal, c'est pour moi ?",
217,,Jacob,"Le Comité d'Arbitrage a estimé que tu étais impartiale, juste et sérieusement responsable, c'est pour cela que le Comité a tenu à te promouvoir immédiatement en tant qu'arbitre principal et t'a délivré ce certificat.",
218,,Valeera,"Wow, c'est tellement excitant de savoir que mes efforts sont reconnus par les autres !",
219,,Ésaü&Jacob,"Valeera, bon courage pour la suite de ta carrière d'arbitre !",
220,,Valeera,Oui !,
221,Concours de Plongeon,Aquaris,Oh ! Bonjour Valeera !,
222,,Valeera,"Bonjour Aquaris ! Il me semble que tu participes à plusieurs projets, comment as-tu encore le temps de venir me voir ?",
223,,Valeera,Est-ce…que tu es venue me demander de modifier les résultats de la chasse au trésor d'hier ? !,
224,,Aquaris,Hein ? Qu'est ce que j'ai fait pour te laisser penser ça ?,
225,,Aquaris,"La raison pour laquelle je suis venue, c'est juste parce que…",
226,,Valeera,Parce que ?,
227,,Aquaris,Parce qu'aujourd'hui il y a la compétition de plongeon ! ! J'ai entendu dire que même Michael y participe…,
228,,Aquaris,Juste imaginer Michael faire son apparition en maillot de bain me met dans tous mes états !,
229,,Aquaris,"Comme c'est l'arbitre qui a le meilleur angle de vue, j'aimerais que tu me laisses t'accompagner.",
230,,Valeera,"Il devrait y avoir une place de libre, mais…Aquaris, est-ce que tu es vraiment une fille ?",
231,,Aquaris,"Désirer de belles choses est un instinct humain, arrête de me regarder avec des yeux comme ça !",
232,,Valeera,"Huh, c'est parce que ton expression peut laisser sous entendre facilement des choses étranges…",
233,,Valeera,"Le concours va bientôt commencer, si nous vous pouvoir entrer il faut que nous nous dépêchions.",
234,,Aquaris,"D'accord, mais tu es sûre de vouloir apporter ton livre à la piscine ? Il va se faire mouiller…",
235,,Valeera,"Ah, c'est parce que je ne veux pas m'ennuyer pendant le concours…",
236,,Valeera,"En plus, depuis hier soir, Canari n'arrête pas de me supplier d'aller à la piscine.",
237,,Valeera,"De base, ce livre est juste un conte de fée comme les autres, mais récemment, il a commencé à me donner des idées pour ma magie.",
238,,Aquaris,Hé… le nom Canari sonne inhabituellement harmonieux…,
239,,Aquaris,"Dans ce cas Valeera, tu devrais me confier ton livre, je pourrais le protéger avec mon parapluie~",
240,,,"En arrivant à la piscine, les Filles découvrirent qu'il y avait déjà beaucoup de spectateurs.",
241,,Aquaris,"Ouf, heureusement qu'en étant avec toi je vais pouvoir m'asseoir confortablement.",
242,,Valeera,Il semble qu'il y a vraiment beaucoup de monde intéressé par le concours de plongeon…,
243,,Aquaris,Oui ! Même Canari te suppliait de venir !,
244,,,"La compétition, contre toute attente, fut très féroce entre les participantes, leurs mouvements étaient non seulement clairs et nets mais également agréables à regarder.",
245,,,"Lorsque le tour de Michael arriva, l'atmosphère atteignit son apogée et même Aquaris ne put sempêcher de se lever.",
246,,Valeera,"Aquaris calme-toi ! Tu es avec les arbitres, tu ne peux pas te lever comme ça !",
247,,Aquaris,"C'est vrai…mais le corps de Michael était tellement parfait, si je pouvais me rapprocher un peu plus…",
248,,Valeera,Une fois le concours terminé tu pourras aller la voir.,
249,,Valeera,"Mais maintenant, tu dois prendre le concours au sérieux !",
250,,Valeera,Hé ? Où est passé Canari ?,
251,,Aquaris,"Valeera, on dirait que Canara est là-bas…",
252,,,"Aquaris pointa du doigt le siège d'arbitre le plus proche de la plateforme de plongeon, permettant ainsi à Canari d'observer de plus près.",
253,,,"À ce moment, Michael atterit dans l'eau après avoir parfaitement exécuté sa figure.",
254,,,"Alors que tout le public était en train d'applaudir la performance de Michael, Valeera essayait de son mieux pour sauver Canari.",
255,,Valeera,Canari… si tu continues comme ça tu vas te faire tremper !,
256,,Valeera,"… même si c'est pour observer Michael de plus près, tu ne peux pas sauter dans l'eau…",
257,,,Valeera n'eut pas fini de parler que son livre de conte de fée Canari plongea en avant et se retrouva dans la piscine.,
258,,Aquaris,"Effectivement, Canari est un fan de Michael…",
259,,Aquaris,C'est vraiment impressionnant ! La prochaine fois je ferais pareil pour exprimer mon admiration !,
260,,Valeera,"Wow, est-ce que parce qu'il est magique qu'il a autant de force ?",
261,,Valeera,"Peut-être que Canari renferme d'autres secrets, je devrais l'étudier attentivement…",
262,,Aquaris,"Valeera, si personne ne récupère Canari il va se noyer… On en parlera plus tard…",
263,,Valeera,Ah… je l'avais presque oublié…,
264,Compétition de Tir,Étudiante bien informée,Tu as entendu la nouvelle ? Amazon va participer à la compétition de tir.,
265,,Étudiante inactive,Cela fait… longtemps qu'on ne l'a pas vu non…,
266,,Étudiante bien informée,"C'est parce qu'elle reçoit toujours le titre de Tireuse d'Élite, donc elle est toujours le centre d'attention, j'ai entendu dire que…",
267,,Étudiante inactive,Qu'est-ce que tu as entendu ? Vite dis le moi~,
268,,Étudiante bien informée,J'ai entendu dire qu'elle a commencé à s'entraîner sécrètement depuis longtemps pour cette compétition. Certains étudiantes ont vu des tas de flèches cassées ainsi qu'un tas de trognons de pommes en face de sa chambre.,
269,,Étudiante inactive,"Étrange… les flèches ne sont pas étranges, mais les trognons de pommes…",
270,,Valeera,"En tant que tireuse d'élite soigneusement sélectionnée par votre Maison, je pense que vous connaissez très bien les règles de la compétition de tir.",
271,,Valeera,"Cependant, cette compétition est légèrement différente des années précédentes.",
272,,Valeera,"Afin de mieux tester la vitesse de réaction et la précision de chacune, cette fois-ci les cibles seront mobiles.",
273,,Valeera,"Une fois la compétition commencé, gardez un oeil dans les airs ainsi qu'au sol car la cible peut être aérienne ou terrestre. Utilisez vos propres munitions ou flèches pour toucher la cible et ainsi marquer des points.",
274,,Valeera,"Alors, que la compétition commence, bonne chance à toutes.",
275,,Aquaris,Hein? Des cibles mobiles ? La difficulté a soudainement grandement augmenté !,
276,,Iron Fist,"Oui… il semble que ce soit pour vérifier la force réelle de chacune, c'est pour cela que ce n'est que maintenant qu'elle l'annonce.",
277,,Aquaris,"Mais… mais, ce n'est pas juste…",
278,,Aquaris,De plus… à l'origine j'y participe pour pouvoir collecter des points !,
279,,Iron Fist,"D'accord, d'abord ne soit pas pessimiste, ta Maison n'a-t-elle pas déjà une tireuse d'Élite ?",
280,,Iron Fist,"Regarde, Amazon n'est pas aussi bruyante que toi.",
281,,Aquaris,"C'est parce que… parce qu'elle ne fait que s'entraîner sur des cibles mobiles, cela ne change rien pour elle.",
282,,Iron Fist,Hein ? Des cibles mobiles ? Qu'est-ce qu'elle utilise ? Est-ce qu'elles utilisent les animaux de l'Académie ?,
283,,Iron Fist,"De plus, comment le sais-tu Aquaris ?",
284,,Aquaris,"Ce ne sont pas des animaux, ce sont… des pommes…",
285,,Aquaris,"Et tu veux savoir comment je le sais ? C'est parce que c'est moi qui l'aide, c'est moi qui lui lance les pommes une par une.",
286,,Iron Fist,Hein ? Des pommes ? L'entraînement doit vraiment être très dur.,
287,,Aquaris,C'est vraiment épuisant ! Je dois même manger les pommes pour ne pas les gaspiller…,
288,,Aquaris,"Maintenant, dès que je vois une pomme, j'ai la nausée…",
289,,Iron Fist,"D'accord, d'accord, n'en parlons plus, concentrons-nous, la cible va bientôt apparaître.",
290,,,Iron First Et Aquaris n'eurent pas le temps de finir de parler qu'Amazon avait déjà armé son arc avec une flèche qu'elle tira sur la cible qui venait d'apparaître. La flèche atteignit la cible en bois qui se brisa.,
