id,name,brief,desc
44,Fragment de Cadeau,Matériel de Cadeau,Fragments fabriqués à partir de cristaux mystérieux. Ils peuvent être obtenus dans des Paquet Cadeau et peuvent être utilisés comme des matériaux pour faire différentes sortes de cadeaux
45,Bague de Serment,Objet de Serment,À utiliser dans Rendez-vous afin de faire un Serment à une Fille lorsque la Faveur d'une Fille atteint 100
46,Feu d'Artifice du Nouvel An Chinois,Matériel d'Evenement,"Matériel Spécial, à utiliser pour obtenir des objets"
47,Diplôme,Matériel Spécial,À utiliser pour échanger et inverser une Fille au moins 10 étoiles
48,Ballon en Cœur,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
49,Biscuit en forme d'Os,Matériel d'Evenement,À utiliser pour améliorer l'intimité du Serviteur Mystique
50,Lapin de Pâques,Matériel d'Evènement,"Matériel Spécial, à utiliser pour obtenir des objets"
51,Billet de Vote,Matériel d'Evènement,"Matériel d'Événement, à utiliser pour voter dans l'événement - Gagnez leurs Cœurs"
52,Budget de Décoration,Matériel d'Evenement,"Objet utilisé pour aider les Filles à finir la mission de décoration, objet échangeable"
53,Coupon d'Orientation,Matériel d'Evènement,"Objet exclusif pour échanger des récompenses dans l'événement de Cadeaux de la Rentrée. L'échange sera fermé après la fin de l'événement, utilisez-le avant la fin de l'événement"
54,Carte d'Approvisionnement d'Equipement,Matériel d'Evènement,Echangeable durant l'événement pour obtenir des équipements rares
1001,Avatar Limité de la Première Bataille en Arène,Avatar Spécial,Avatar Exclusif de l'Arène
1002,Avatar Solaire,Avatar Spécial,Avatar du Champion de l'Arène 3v3
1003,Avatar Lunaire,Avatar Spécial,Avatar du Finaliste de l'Arène 3v3
1004,Avatar d'Or,Avatar Spécial,Avatar d'Or de l'Arène 3v3
1005,Avatar Argent,Avatar Spécial,Avatar pour rang 4-10 Arène 3v3
1006,Avatar Bronze,Avatar Spécial,Avatar pour rang 11-20 Arène 3v3
1007,Avatar de Halloween,Avatar Spécial,Avatar Exclusif de Halloween
1008,Avatar de Puzzle,Avatar Spécial,Avatar Exclusif de l'événement - Puzzle
1009,Avatar du Nouvel An,Avatar Spécial,Avatar Exclusif du Nouvel An
1010,Avatar de Flocons de Neige,Avatar Spécial,Avatar Exclusif de l'Arène
1013,Avatar Limité,Avatar Spécial,Avatar Exclusif de l'Arène
1014,Avatar du Nouvel An Chinois,Avatar Spécial,Avatar Exclusif du Nouvel An Chinois
1015,Infortuné,Avatar Spécial,Aucune Fille 5 étoiles obtenues après 200 essais consécutifs dans la Capsule Avancée
1016,Très Infortuné,Avatar Spécial,Aucune Fille 5 étoiles obtenues après 300 essais consécutifs dans la Capsule Avancée
1017,Extrêmement Infortuné,Avatar Spécial,Aucune Fille 5 étoiles obtenues après 400 essais consécutifs dans la Capsule Avancée
1018,Avatar du Printemps,Avatar Spécial,Avatar Exclusif de l'Arène
1019,Avatar de la Promesse,Avatar Spécial,Avatar Exclusif de l'Arène
1020,Avatar de Pâques,Avatar Spécial,Avatar Exclusif de Pâques
1023,Avatar de la Fête des Mères,Avatar Spécial,Avatar Exclusif de la Fête des Mères
1024,Avatar de la Cérémonie d'Ouverture,Avatar Spécial,Avatar Exclusif de la Cérémonie d'Ouverture
1025,Avatar de la Fête des Bateaux Dragons,Avatar Spécial,Avatar Exclusif de l'Arène
2001,Balle de Riz,Objet,Soigne 20% des PV
2002,Boulette de riz au Jujube,Objet,Soigne 50% des PV et ajoute 300 d'Énergie
2003,Boulette de riz au Saumon,Objet,Soigne 100% des PV
2004,Stylo,Objet,Augmente l'Attaque de 1.5%
2005,Gomme,Objet,Augmente les Dégâts Critiques de 2%
2006,Equerre,Objet,Augmente les Critiques de 2%
930000,Skarivine 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930001,Cayla 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930002,Vanees 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930003,Maidam 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930004,Aegis 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930005,Handana 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930006,Lin AI 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930007,Sorcière 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930008,Stella 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930009,Elloi 5 étoiles,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930010,Veila 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930011,Yuri 1 étoile,Invoquer une Fille,Collectez 5 Fragments pour invoquer une Fille
930012,Talia 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930013,Nasha 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930014,Hancer 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930015,Nono 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930016,Roselle 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930017,Hynel 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930018,Fleur 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930019,Meimi 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930020,Boro 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930021,Lana 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930022,Sasuke 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930023,Shamoke 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930024,Pyra 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930025,Octagirl 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930026,Aeris 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930027,Puny 2 étoiles,Invoquer une Fille,Collectez 10 Fragments pour invoquer une Fille
930028,Poppi 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930029,Jade 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930030,Ursula 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930031,Kitty 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930032,Samurai 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930033,Tula 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930034,Edward 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930035,King 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930036,Donna 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930037,Nobuna 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930038,Annabelle 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930039,Harley 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930040,Magicien 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930041,Caitlin 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930042,Marynari 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930043,Robin 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930044,Sisha 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930045,Mythra 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930046,Athena 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930047,Kenshin 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930048,Reo 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930049,Luna 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille
930050,Zombia 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930051,Flash 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930052,Werewolf 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930053,Nona 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930054,Assassin 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930055,Ashely 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930056,Miya 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930057,Bidenty 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930058,Boxer 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930059,Lily 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930060,Nagia 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930061,Hypatia 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930062,Nun 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930063,Diva 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930064,Liz 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930065,Anna 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930066,Oméga 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930067,Lightin 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930068,Beary 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930069,Litana 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930070,Jelly 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930071,Wandy 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930072,Elvis 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930073,Chainsaw 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930074,Toy Girl 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930075,Lisa 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930076,Androi 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930077,Calista 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930078,Sapphire 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930079,Gambler 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930080,Succuba 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930081,Dracula 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930082,Wu Kong 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930083,Fencer 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930084,Wildtress 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930085,Sakura 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930086,Giana 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930087,Ennmaya 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930088,Hottie 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930089,Blowie 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930090,Chevalir 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930091,Saint 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930092,Javelin 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930093,Geisha 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930094,Sonya 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930095,Caitlyn 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930096,Guan Yin 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930097,Libraria 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930098,Prêtresse 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930099,Alice 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930100,Nia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930101,Muppy 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930102,Nobunaga 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930103,Silvia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930104,Turin 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930105,Toyo 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930106,Masamune 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930107,Hexa 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930108,Amazon 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930109,Elfe Bourgeon 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930110,Himoto 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930111,Nani 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930112,Lavia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930113,Susan 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930114,Aquaris 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930115,Kong Ming 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930116,Pandaria 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930117,Linky 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930118,Valasaki 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930119,Amelia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930120,Wraith 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930121,Angel 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930122,Gabriel 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930123,Michael 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930125,Ninja 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930126,Cynthia 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930127,Quinie 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930128,Haxie 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930129,Iron Fist 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930130,Ada 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930131,Medusa 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930132,Zoe 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930133,Zombia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930134,Flash 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930135,Miya 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930136,Bidenty 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930137,Nun 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930138,Diva 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930139,Beary 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930140,Litana 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930141,Toy Girl 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930142,Lisa 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930143,Androi 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930144,Calista 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930145,Boxer 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930146,Lily 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930147,Liz 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930148,Jelly 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930149,Wandy 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930150,Werewolf 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930151,Ashely 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930152,Nagia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930153,Oméga 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930154,Nona 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930155,Assassin 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930156,Hypatia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930157,Anna 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930158,Lightin 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930159,Elvis 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930160,Chainsaw 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930161,Ninja 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930162,Cynthia 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930163,Quinie 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930164,Haxie 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930165,Iron Fist 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930166,Ada 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930167,Medusa 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930168,Zoe 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930169,Scythe 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930170,Selene 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930171,Annie 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille
930172,Selene 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930173,Annie 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930174,Lucifer 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930175,Psychic 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
930176,Phénix 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer cette Fille
940001,Fragment de Fille 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille 4 étoiles
940002,Fragment de Fille 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille 5 étoiles
940003,Fragment de Fille 3 étoiles,Invoquer une Fille,Collectez 20 Fragments pour invoquer une Fille 3 étoiles
940011,Fragment de Fantôme 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Fantôme 5 étoiles
940012,Fragment d'Humain 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Humain 5 étoiles
940013,Fragment de Monstre 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Monstre 5 étoiles
940014,Fragment de Fée 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Fée 5 étoiles
940015,Fragment de Démon 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Démon 5 étoiles
940016,Fragment d'Ange 5 étoiles,Invoquer une Fille,Collectez 50 Fragments pour invoquer une Fille Ange 5 étoiles
940021,Fragment de Fantôme 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Fantôme 4 étoiles
940022,Fragment d'Humain 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Humain 4 étoiles
940023,Fragment de Monstre 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Monstre 4 étoiles
940024,Fragment de Fée 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Fée 4 étoiles
940025,Fragment de Démon 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Démon 4 étoiles
940026,Fragment d'Ange 4 étoiles,Invoquer une Fille,Collectez 30 Fragments pour invoquer une Fille Ange 4 étoiles
953001,Fragment d'Antiquité Violette,Recruter Antiquité,Collectez 20 Fragments pour obtenir une Antiquité Violette
954001,Fragment d'Antiquité Verte,Recruter Antiquité,Collectez 30 Fragments pour obtenir une Antiquité Verte
955001,Fragment d'Antiquité Rouge,Recruter Antiquité,Collectez 50 Fragments pour obtenir une Antiquité Rouge
955099,Fragment d'Antiquité Rouge Exclusif,Recruter Antiquité,Collectez 50 Fragments pour obtenir une Antiquité Rouge Exclusive
956001,Fragment d'Antiquité Orange,Recruter Antiquité,Collectez 50 Fragments pour obtenir une Antiquité Orange
956099,Fragment d'Antiquité Orange Exclusif,Recruter Antiquité,Collectez 50 Fragments pour obtenir une Antiquité Orange Exclusive
960001,Fragment de Skin aléatoire,Assembler un Skin,Collectez 10 Fragments pour obtenir le Skin
1011,Epée de Chevalier,Arme,
2011,Armure de Chevalier,Vêtements,
3011,Bouclier de Chevalier,Accessoire,
4011,Chaussures de Chevalier,Bas,
1012,Epée Divine de Chevalier,Arme,
2012,Armure Divine de Chevalier,Vêtements,
3012,Bouclier Divin de Chevalier,Accessoire,
4012,Chaussures Divines de Chevalier,Bas,
1021,Ballon de Volley,Arme,
2021,T-shirt d'Athlète,Vêtements,
3021,Noeud de Cheveux d'Athlète,Accessoire,
4021,Pantalon d'Athlète,Bas,
