id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
47,"Continuons notre aventure, Senpai !\nDirigeons nous dans la Campagne~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
48,Appuyez ici pour aller à l'Étape suivante~,buttoncrop_20,-16|0,,
49,,,,,
50,Le butin s'accumule automatiquement. Récupérez-le !,buttoncrop_21,0|2,,
51,Commençons une nouvelle bataille !,buttoncrop_17,0|0,,
52,Appuyez sur l'avatar de la Fille que vous voulez ajouter dans votre Équipe.,buttoncrop_3,0|0,,
53,[c][d76500]Glissez[-][/c] l'avatar de la Fille pour la changer de position.,buttoncrop_22,0|-62,,
54,,buttoncrop_5,0|0,,
55,,,,,
56,Senpai vous avez déjà un nouveau butin de disponible.\nVenez le récupérer !,buttoncrop_21,0|2,,
57,Félicitations !\nVous êtes prêt pour l'Étape suivante !,buttoncrop_20,-16|0,,
58,,,,,
59,Senpai~ N'oubliez pas de souvent venir récupérer votre butin. Le butin Auto-Bataille a une limite de stockage de [c][d76500]10 heures[-][/c]. Les récompenses du butin ne seront pas cumulées au-delà de cette durée !,,,,
60,Il semble qu'il se passe quelque chose à l'[c][d76500]Accueil[-][/c]~\nAllons y jeter un œil !,buttoncrop_1,0|0,,
61,Appuyez [c][d76500]ici[-][/c] pour récupérer les [c][d76500]Récompenses en ligne[-][/c].,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
62,Appuyez ici pour les récupérer !,buttoncrop_35,0|0,,
63,,buttoncrop_1,0|0,,
64,Appuyez sur [c][d76500]Activités[-][/c] pour récupérer les [c][d76500] Récompenses de Connexion[-][/c] !,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
65,,buttoncrop_36,1|1,,
66,"Dans l'[c][d76500]Accueil[-][/c], vous y trouverez différentes fonctionnalités !",buttoncrop_1,0|0,,
67,Venez jeter un œil à ce que vous pouvez obtenir dans le [c][d76500]Campus[-][/c] !,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
68,Allons jeter un œil au [c][d76500]Marché[-][/c]~,buttoncrop_16,0|1,,
69,"Dans le [c][d76500]Marché[-][/c], vous y trouverez tous les [c][d76500]Objets[-][/c] dont vous aurez besoin~",buttoncrop_30,-14|-1,,
70,"Regardez ! Il y a même des Jetons de [c][d76500]Capsule Avancée[-][/c].\nJe suis sûre que vous en avez besoin, Senpai !",buttoncrop_24,0|60,,
71,,,,,
72,,,,,
73,Allons de ce pas tirer ce Jeton de [c][d76500]Capsule Avancée[-][/c] !,buttoncrop_1,0|0,,
74,Un Jeton de [c][d76500]Capsule Avancée[-][/c] vous permet d'obtenir une Fille !,buttoncrop_6,0|1,,
75,,,,,
76,"Nous sommes en retard, Senpai ! Dépêchons-nous~",buttoncrop_1,0|0,,
77,"Allons vite à la Cérémonie d'Ouverture, si nous arrivons en retard Michael sera très en colère !",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
78,,buttoncrop_17,0|0,,
79,,buttoncrop_3,0|0,,
80,,,,,
81,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
82,,,,,
83,,,,,
84,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
85,,,,,
86,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
87,,,,,
88,,,,,
89,Venez voir ! Appuyez sur [c][d76500]Guilde[-][/c] pour rejoindre ou créer une Guilde !,,,,
90,,,,,
91,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
92,,,,,
93,,,,,
94,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
95,,,,,
96,,,,,
97,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
98,,,,,
99,,,,,
100,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
101,,,,,
102,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
103,,,,,
104,,,,,
105,,,,,
106,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
107,,,,,
108,,,,,
109,Venez voir ! Appuyez sur [c][d76500]Guilde[-][/c] pour rejoindre ou créer une Guilde !,,,,
110,"Senpai, je sens quelque chose de particulier chez toi, tu dois être... ""l'Élu"" !",buttoncrop_26,0|0,,
111,"En ce moment, c'est la période de Recrutement des Guildes. Que dirais-tu de créer ta propre guilde? Tu peux créer ta propre Guilde gratuitement la première fois !",,,,
112,"Senpai, vous avez obtenu des Fragments !\nAppuyez ici pour les [c][d76500]invoquer[-][/c] !",buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,"Senpai, ici vous pouvez [c][d76500]invoquer[-][/c] une Fille avec des Fragments !",buttoncrop_11,0|6,,
114,,,,,
115,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
116,,,,,
117,,old_school_guide_mask,0|0,,
119,"Senpai, voici l'entrée de l'[c][d76500]Excursion Scolaire[-][/c] !",buttoncrop_26,0|0,buttoncrop_26_h5,0|0
120,Allons tout d'abord au Gîte !,travel_guide_1,18|32,travel_guide_1,18|32
121,"Senpai, appuyez ici !",,,,
122,Sélectionnez une Fille pour obtenir un bonus d'Attribut !,,,,
123,Montez le niveau du Gîte pour débloquer plus d'emplacements !,,,,
125,Allez à la Boulangerie !,travel_guide_2,-3|-8,travel_guide_2,-3|-8
126,Mettez vos Filles dans les Bâtiments pour obtenir plus de ressources !,travel_guide_3,0|0,travel_guide_3,0|0
128,Montez le niveau de la Boulangerie pour débloquer plus d'emplacements !,,,,
130,"Les différents Bâtiments produisent différents matériaux, appuyez ici pour [c][d76500]Tout Collecter[-][/c] !",,,,
131,Appuyez ici pour participer à l'Aventure et obtenir plus de récompenses !,travel_guide_4,0|5,travel_guide_4,0|5
133,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
134,,,,,
135,"Senpai, voici l'entrée de votre Cabine d'Essayage, ici vous pourrez personnaliser votre Tenue~",,,,
136,,,,,
137,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
138,,,,,
139,,,,,
140,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
141,,,,,
142,,,,,
