id,name,desc,unlock
12,Bouton Bois II,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
13,Bouton Bois III,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
14,Bouton Bois IV,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
15,Bouton Bois V,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 80%.
16,Soie Ordinaire I,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
17,Soie Ordinaire II,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 15%.
18,Soie Ordinaire III,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 30%.
19,Soie Ordinaire IV,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 45%.
20,Soie Ordinaire V,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
21,Soie Colorée I,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
22,Soie Colorée II,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
23,Soie Colorée III,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
24,Soie Colorée IV,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
25,Soie Colorée V,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 80%.
26,Souvenir I,"Lorsqu'une Carte d'Événements「Luna」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
27,Souvenir II,"Lorsqu'une Carte d'Événements「Blowie」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Luna」50 fois dans ce Corridor Temporel. ({1}/50)
28,Souvenir III,"Lorsqu'une Carte d'Événements「Angel」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Blowie」80 fois dans ce Corridor Temporel. ({1}/80)
29,Souvenir IV,"Lorsqu'une Carte d'Événements「Fenrir」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Angel」90 fois dans ce Corridor Temporel. ({1}/90)
30,Souvenir V,"Lorsqu'une Carte d'Événements「Isabelle」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Fenrir」110 fois dans ce Corridor Temporel. ({1}/110)
31,Souvenir VI,"Lorsqu'une Carte d'Événements「Térèsa」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Isabelle」70 fois dans ce Corridor Temporel. ({1}/70)
32,Souvenir VII,"Lorsqu'une Carte d'Événements「Elfe Bourgeon」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Térèsa」60 fois dans ce Corridor Temporel. ({1}/60)
33,Déverrouillage d'Étape,Débloque l'Étape suivante de ce Corridor Temporel. (Nécessite de passer l'Étape actuelle pour accéder à la suivante),
34,Audace I,Augmente votre Audace de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,
35,Charme I,Augmente votre Charme de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace I」à 5.
36,Génie I,Augmente votre Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Charme I」à 5.
37,Audace II,Augmente votre Audace de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace I」à 5 et après avoir récupéré les récompenses de la tâche dans le Succès「Passer la 2e Étape de ce Corridor Temporel」.
38,Charme II,Augmente votre Charme de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace II」ou「Charme I」à 5.
39,Génie II,Augmente votre Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Charme II」ou「Génie I」à 5.
40,Audace III,Augmente votre Audace de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace II」à 5 et après avoir récupéré les récompenses de la tâche dans le Succès「Passer la 5e Étape de ce Corridor Temporel」.
41,Charme III,Augmente votre Charme de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace III」ou「Charme II」à 5.
42,Génie III,Augmente votre Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Charme III」ou「Génie II」à 5.
43,Audace IV,Augmente votre Audace de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace III」à 5 et après avoir récupéré les récompenses de la tâche dans le Succès「Passer la 8e Étape de ce Corridor Temporel」.
44,Charme IV,Augmente votre Charme de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Audace IV」ou「Charme III」à 5.
45,Génie IV,Augmente votre Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,Condition：Débloqué après avoir amélioré le niveau de「Charme IV」ou「Génie III」à 5.
46,Accélération de l'Exploration,"Après avoir amélioré cette technique, vous obtiendrez immédiatement Poussières Temporelles*{1} , utilisées pour accélérer l'Exploration.",
47,Déverrouillage de Carte I,"Surcroît de Point lorsque vous déclenchez une Carte d'Événements「Point」. Si cette Carte est déclenchée, vous aurez des chances d'obtenir plus de Points lors des prochaines Explorations.",
48,Déverrouillage de Carte II,Débloque la Carte de Défis「Défi II」et vous permettra de déclencher cette Carte lors des prochaines Explorations.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 1000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
49,Déverrouillage de Carte III,Débloque la Carte de Défis「Défi III」et vous permettra de déclencher cette Carte lors des prochaines Explorations.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 2000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
50,Durée de l'Exploration I,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,
51,Durée de l'Exploration II,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration I」à 2 et après que votre Audace ait atteint 500 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
52,Durée de l'Exploration III,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration II」à 3 et après que votre Charme ait atteint 1000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
53,Durée de l'Exploration IV,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration III」à 3 et après que votre Génie ait atteint 1500 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
54,Durée de l'Exploration V,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 1700 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
55,Ressources I,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
56,Ressources II,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 10%.
57,Ressources III,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
58,Ressources IV,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 30%.
59,Ressources V,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
60,Bouton Bois I,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
61,Bouton Bois II,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
62,Bouton Bois III,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
63,Bouton Bois IV,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
64,Bouton Bois V,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 80%.
65,Soie Ordinaire I,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
66,Soie Ordinaire II,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 15%.
67,Soie Ordinaire III,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 30%.
68,Soie Ordinaire IV,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 45%.
69,Soie Ordinaire V,"Lorsqu'une Carte de Ressources「Soie Ordinaire」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
70,Soie Colorée I,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
71,Soie Colorée II,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
72,Soie Colorée III,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
73,Soie Colorée IV,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 60%.
74,Soie Colorée V,"Lorsqu'une Carte de Ressources「Soie Colorée」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 80%.
75,Montrer sa Tenue · Tête,Débloque la Carte de Ressources「Montre sa Tenue ·Tête」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
76,Montrer sa Tenue · Haut,Débloque la Carte de Ressources「Montre sa Tenue · Haut」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
77,Montrer sa Tenue · Bas,Débloque la Carte de Ressources「Montre sa Tenue · Bas」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
78,Montrer sa Tenue · Accessoire,Débloque la Carte de Ressources「Montre sa Tenue · Accessoire」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
79,Montrer sa Tenue · Objet,Débloque la Carte de Ressources「Montre sa Tenue · Objet」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
80,Montrer sa Tenue · Attribut,Débloque la Carte de Ressources「Montre sa Tenue · Attribut」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
81,Souvenir I,"Lorsqu'une Carte d'Événements「Vera」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
82,Souvenir II,"Lorsqu'une Carte d'Événements「Caitlyn」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Vera」50 fois dans ce Corridor Temporel. ({1}/50)
83,Souvenir III,"Lorsqu'une Carte d'Événements「Boxer」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Caitlyn」50 fois dans ce Corridor Temporel. ({1}/50)
84,Souvenir IV,"Lorsqu'une Carte d'Événements「Nobunaga」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Boxer」50 fois dans ce Corridor Temporel. ({1}/50)
85,Souvenir V,"Lorsqu'une Carte d'Événements「Diana」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Nobunaga」50 fois dans ce Corridor Temporel. ({1}/50)
86,Souvenir VI,"Lorsqu'une Carte d'Événements「Sakura」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Diana」50 fois dans ce Corridor Temporel. ({1}/50)
87,Souvenir VII,"Lorsqu'une Carte d'Événements「Hottie」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après avoir déclenché une Carte d'Événements「Sakura」50 fois dans ce Corridor Temporel. ({1}/50)
88,Déverrouillage d'Étape,Débloque l'Étape suivante de ce Corridor Temporel. (Nécessite de passer l'Étape actuelle pour accéder à la suivante),
89,Accélération de l'Exploration,"Après avoir amélioré cette technique, vous obtiendrez immédiatement Poussières Temporelles*{1} , utilisées pour accélérer l'Exploration.",
90,Déverrouillage de Carte (Point),"Surcroît de Point lorsque vous déclenchez une Carte d'Événements「Point」. Si cette Carte est déclenchée, vous aurez des chances d'obtenir plus de Points lors des prochaines Explorations.",
91,Déverrouillage de Carte (Combat I),Débloque la Carte de Défis「Défi II」et vous permettra de déclencher cette Carte lors des prochaines Explorations.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 1000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
92,Déverrouillage de Carte (Combat II),Débloque la Carte de Défis「Défi III」et vous permettra de déclencher cette Carte lors des prochaines Explorations.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 2000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
93,Déverrouillage de Carte (Combat III),Débloque la Carte de Défis「Duel」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,Condition：Débloqué après avoir défié une Carte de Défis「Duel I」10 fois dans ce Corridor Temporel. ({1}/10)
94,Déverrouillage de Carte (Cauchemar),Débloque la Carte de Ressources「Cauchemar」du niveau supérieur et vous permettra de déclencher cette Carte lors des prochaines Explorations.,
95,Fille Suppléante · Amélioration,Améliore le niveau de la Fille Suppléante de ce Corridor Temporel,
96,Fille Suppléante · Compétence Avancée I,Augmente votre Audace de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,
97,Fille Suppléante · Compétence Avancée II,Augmente votre Charme de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,
98,Fille Suppléante · Compétence Avancée III,Augmente votre Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.,
99,Fille Suppléante · Compétence Avancée IV,"Augmente votre Audace, Charme et Génie de {1} dans les Étapes et les Cartes de Défis lors des prochaines Explorations.",
