id,desc,skill_name
101032,Augmente l'Attaque de toutes les Filles déployées de 2%,Attaque
101033,Augmente l'Attaque de toutes les Filles déployées de 3%,Attaque
101034,Augmente l'Attaque de toutes les Filles déployées de 5%,Attaque
101035,Augmente les PV de toutes les Filles déployées de 1%,PV
101036,Augmente les PV de toutes les Filles déployées de 2%,PV
101037,Augmente les PV de toutes les Filles déployées de 3%,PV
101038,Augmente les PV de toutes les Filles déployées de 5%,PV
101039,Augmente la Résistance Totale de toutes les Filles déployées de 1%,Résistance
101040,Augmente la Résistance Totale de toutes les Filles déployées de 2%,Résistance
101041,Augmente la Résistance Totale de toutes les Filles déployées de 3%,Résistance
101042,Augmente la Résistance Totale de toutes les Filles déployées de 4% et les Dégâts infligés aux ennemis de 2%,Résistance
101043,Augmente l'Armure des Filles de la ligne avant de 1%,Ligne Avant
101044,Augmente l'Armure des Filles de la ligne avant de 2%,Ligne Avant
101045,Augmente l'Armure des Filles de la ligne avant de 3%,Ligne Avant
101046,Augmente l'Armure des Filles de la ligne avant de 4% et la Résistance aux Dégâts de 2%,Ligne Avant
101047,Augmente l'Armure des Filles de la ligne avant de 5% et la Résistance aux Dégâts de 5%,Ligne Avant
101048,Augmente l'Attaque des Filles de la ligne arrière de 1%,Ligne Arrière
101049,Augmente l'Attaque des Filles de la ligne arrière de 2%,Ligne Arrière
101050,Augmente l'Attaque des Filles de la ligne arrière de 3%,Ligne Arrière
101051,Augmente l'Attaque des Filles de la ligne arrière de 4% et la Précision de 2%,Ligne Arrière
101052,Augmente l'Attaque des Filles de la ligne arrière de 5% et la Précision de 5%,Ligne Arrière
101053,Augmente les Critiques de toutes les Filles déployées de 1%,Critique I
101054,Augmente les Critiques de toutes les Filles déployées de 2%,Critique I
101055,Augmente les Critiques de toutes les Filles déployées de 3%,Critique I
101056,Augmente les Critiques de toutes les Filles déployées de 5% et la Résistance aux Dégâts de 5%,Critique I
101057,Augmente l'Attaque Basique de toutes les Filles déployées de 1%,Attaque Basique
101058,Augmente l'Attaque Basique de toutes les Filles déployées de 2%,Attaque Basique
101059,Augmente l'Attaque Basique de toutes les Filles déployées de 3%,Attaque Basique
101060,Augmente l'Attaque Basique de toutes les Filles déployées de 4% et a 20% de chance de relancer l'Attaque Basique 1 fois,Attaque Basique
101061,Augmente l'Attaque Basique de toutes les Filles déployées de 5% et a 50% de chance de relancer l'Attaque Basique 1 fois,Attaque Basique
101062,Augmente les Dégâts des Compétences de toutes les Filles déployées de 1%,Compétence
101063,Augmente les Dégâts des Compétences de toutes les Filles déployées de 2%,Compétence
101064,Augmente les Dégâts des Compétences de toutes les Filles déployées de 3%,Compétence
101065,Augmente les Dégâts des Compétences de toutes les Filles déployées de 4% et a 15% de chance de relancer la Compétence Active 1 fois,Compétence
101066,Augmente les Dégâts des Compétences de toutes les Filles déployées de 5% et a 30% de chance de relancer la Compétence Active 1 fois,Compétence
101067,Augmente les Critiques de toutes les Filles déployées de 1%,Critique II
101068,Augmente les Critiques de toutes les Filles déployées de 2%,Critique II
101069,Augmente les Critiques de toutes les Filles déployées de 3%,Critique II
101070,"Augmente les Critiques de toutes les Filles déployées de 5%, et les Dégâts Critiques de 10%",Critique II
101071,Réduit l'Armure de tous les ennemis de 1%,Affaiblissement
101072,Réduit l'Armure de tous les ennemis de 2%,Affaiblissement
101073,Réduit l'Armure de tous les ennemis de 3%,Affaiblissement
101074,Réduit l'Armure de tous les ennemis de 4% et le Blocage de 2%,Affaiblissement
101075,Réduit l'Armure de tous les ennemis de 5% et le Blocage de 5%,Affaiblissement
101076,"Au début de la bataille, tous les ennemis reçoivent aléatoirement un type de Dégâts sur la durée (équivalent à 100 000) pendant 1 tour",Dégâts sur la durée
101077,"Au début de la bataille, tous les ennemis reçoivent aléatoirement un type de Dégâts sur la durée (équivalent à 300 000) pendant 2 tours",Dégâts sur la durée
101078,"Au début de la bataille, tous les ennemis reçoivent aléatoirement un type de Dégâts sur la durée (équivalent à 500 000) pendant 3 tours",Dégâts sur la durée
101079,"Au début de la bataille, tous les ennemis reçoivent aléatoirement un type de Dégâts sur la durée (équivalent à 700 000) pendant 4 tours",Dégâts sur la durée
101080,"Au début de la bataille, tous les ennemis reçoivent aléatoirement un type de Dégâts sur la durée (équivalent à 1 000 000) pendant 5 tours",Dégâts sur la durée
101081,"Au début de la bataille, 1 ennemi a 30% de chance de recevoir un type d'Effet de Contrôle pendant 1 tour",Contrôle
101082,"Au début de la bataille, 1 ennemi a 50% de chance de recevoir un type d'Effet de Contrôle pendant 1 tour",Contrôle
101083,"Au début de la bataille, 1 ennemi a 70% de chance de recevoir un type d'Effet de Contrôle pendant 1 tour",Contrôle
101084,"Au début de la bataille, 1 ennemi a 100% de chance de recevoir un type d'Effet de Contrôle pendant 1 tour",Contrôle
101085,"Au début de la bataille, 1 ennemi a 100% de chance de recevoir un type d'Effet de Contrôle pendant 2 tours",Contrôle
101086,Augmente les Dégâts Subis par l'ennemi de 1%,Renforcement I
101087,Augmente les Dégâts Subis par l'ennemi de 3%,Renforcement I
101088,Augmente les Dégâts Subis par l'ennemi de 5%,Renforcement I
101089,"Augmente les Dégâts sur la Durée (Saignement, Empoisonnement, Brûlure) infligés aux ennemis de 10%",Renforcement II
101090,"Augmente les Dégâts sur la Durée (Saignement, Empoisonnement, Brûlure) infligés aux ennemis de 20%",Renforcement II
101091,"Augmente les Dégâts sur la Durée (Saignement, Empoisonnement, Brûlure) infligés aux ennemis de 30%",Renforcement II
101092,"Augmente les Dégâts infligés aux ennemis contrôlés (Gêlé, Pétrifié, Étourdi) de 10%",Renforcement III
101093,"Augmente les Dégâts infligés aux ennemis contrôlés (Gêlé, Pétrifié, Étourdi) de 20%",Renforcement III
101094,"Augmente les Dégâts infligés aux ennemis contrôlés (Gêlé, Pétrifié, Étourdi) de 30%",Renforcement III
101095,"Lorsqu'une alliée subit des dégâts d'un ennemi, ces dégâts ne peuvent pas dépasser 30% des PV Max de cette alliée",Bouclier
101096,"Lorsqu'une alliée subit des dégâts d'un ennemi, ces dégâts ne peuvent pas dépasser 28% des PV Max de cette alliée",Bouclier
101097,"Lorsqu'une alliée subit des dégâts d'un ennemi, ces dégâts ne peuvent pas dépasser 26% des PV Max de cette alliée",Bouclier
101098,"Lorsqu'une alliée subit des dégâts d'un ennemi, ces dégâts ne peuvent pas dépasser 24% des PV Max de cette alliée",Bouclier
101099,"Lorsqu'une alliée subit des dégâts d'un ennemi, ces dégâts ne peuvent pas dépasser 20% des PV Max de cette alliée",Bouclier
101100,Augmente l'Énergie de toutes les Filles déployées de 10,Énergie Initiale
101101,Augmente l'Énergie de toutes les Filles déployées de 20,Énergie Initiale
101102,Augmente l'Énergie de toutes les Filles déployées de 30,Énergie Initiale
101103,Augmente l'Énergie de toutes les Filles déployées de 40,Énergie Initiale
101104,Augmente l'Énergie de toutes les Filles déployées de 50,Énergie Initiale
101105,"Les 2 premières alliées à recevoir un coup mortel, elles récupéreront 20% de ses PV",Régénération
101106,"Les 2 premières alliées à recevoir un coup mortel, elles récupéreront 30% de ses PV",Régénération
101107,"Les 2 premières alliées à recevoir un coup mortel, elles récupéreront 40% de ses PV",Régénération
101108,"Lorsqu'une alliée lance sa Compétence Active, elle a 10% de chance d'augmenter l'Énergie de toutes les alliées de 10",Bonus d'Énergie
101109,"Lorsqu'une alliée lance sa Compétence Active, elle a 20% de chance d'augmenter l'Énergie de toutes les alliées de 10",Bonus d'Énergie
101110,"Lorsqu'une alliée lance sa Compétence Active, elle a 30% de chance d'augmenter l'Énergie de toutes les alliées de 10",Bonus d'Énergie
