id,artifact_name,artifact_desc
6350,Chapeau Magique Noir,"Augmente considérablement la Réduction aux Dégâts et les PV, augmentant considérablement la survie."
6351,Guide du Destin,"Augmente l'Énergie, permettant d'utiliser plus rapidement la Compétence Active, infligeant ainsi plus de dégâts.\nAugmente les dégâts des compétences."
6352,Épée Scellée · Fantôme,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Guerrier.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus considérable de Pénétration d'Armure."
6353,Menottes du Mal · Fantôme,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus considérable de PV."
6354,Bouclier Épineux · Fantôme,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus considérable d'Attaque."
6355,Cœur Scellé · Humain,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Mage.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable de PV."
6356,Sang Démoniaque · Humain,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Prêtre.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable d'Attaque."
6357,Arc d'Elfe des Neiges,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Prêtre.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable de dégâts des compétences."
6358,Épée Scellée · Monstre,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Guerrier.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus considérable de PV."
6359,Menottes du Mal · Monstre,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus considérable d'Attaque."
6360,Bouclier Épineux · Monstre,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Éclaireur.\nSi la Fille possédant cette Antiquitéest de la Maison Monstre, octroie aussi un bonus considérable de Critiques."
6361,Cœur Scellé · Fée,"Augmente considérablement l'Attaque et les dégâts infligés aux Filles de Classe Mage.\nSi la Fille possédant cette Antiquitéest de la Maison Fée, octroie aussi un bonus considérable de Dégâts Critiques."
6362,Couronne de la Reine,"Augmente considérablement la Réduction aux Dégâts.\nSi la Fille possédant cette Antiquitéest de la Maison Fée, octroie aussi un bonus de PV."
6363,Ailes Démoniaques,"Augmente considérablement la Vitesse et augmente les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Fée, octroie aussi un bonus considérable de Critiques."
6364,Miroir du Destin,"Augmente considérablement l'Énergie et les dégâts des compétences.\nSi la Fille possédant cette Antiquitéest de la Maison Démon, octroie aussi un bonus considérable de dégâts des compétences."
6365,Cape d'Invisibilité,"Augmente considérablement la Réduction aux Dégâts et les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Ange, octroie aussi un bonus de Dégâts Divins."
6376,Brique Magique,Augmente les Critiques et l'Attaque.
6382,Sable du Temps,"Augmente les PV et le Blocage, augmentant les chances de survie."
6388,Chevalier Élégant,"Augmente considérablement les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable de Blocage."
6394,Contraire,"Augmente considérablement l'Attaque et les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Démon, octroie aussi un bonus d'Immunité contre Contrôles."
6400,Clé de l'Esprit,"Augmente l'Attaque et les Dégâts Divins.\nSi la Fille possédant cette Antiquitéest de la Maison Ange, octroie aussi un bonus considérable de Critiques."
6406,Couteau Suisse,Augmente les Critiques et l'Attaque.
6412,Montre de Perception,Augmente considérablement le Blocage et les PV.
6418,Epée du Jugement,"Augmente considérablement les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable de Blocage."
6424,Balance,"Augmente considérablement l'Attaque et les PV.\nSi la Fille possédant cette Antiquitéest de la Maison Démon, octroie aussi un bonus d'Immunité contre Contrôles."
6430,Clé du Paradis,"Augmente l'Attaque et les Dégâts Divins.\nSi la Fille possédant cette Antiquitéest de la Maison Ange, octroie aussi un bonus considérable de Critiques."
6436,Cristal du Destin,"Augmente considérablement l'Énergie et l'Attaque, permettant d'utiliser plus rapidement votre Compétence Active et d'infliger plus de dégâts."
6442,Ailes d'Icare,"Augmente considérablement la Précision, les Dégâts des Compétences et l'Attaque."
6448,Cœur d'Épine,"Augmente l'Attaque, les Critiques et les Dégâts Critiques, augmentant incroyablement les dégâts de la Fille portant cet objet."
6454,Ombrelle de Fusion,"Augmente l'Attaque, la Réduction aux Dégâts, et l'Immunité contre Contrôles, réduisant ainsi les dégâts que la porteuse reçoit."
6460,Bâton des Jumelles,"Augmente considérablement la Vitesse, permettant d'attaquer en premier.\nAugmente le Blocage, augmentant les chances de survie.\nAugmente l'Attaque, augmentant ainsi les dégâts infligés."
6466,Lame Enflammée,"Augmente considérablement l'Attaque et les PV.\nLorsque la porteuse est censée recevoir des dégâts mortels, elle obtient un bouclier. Au niveau maximum elle peut survivre à 3 Attaques, augmentant considérablement son endurance."
6472,Mirage d'Argent,"Augmente l'Attaque et la Pénétration d'Armure, ainsi que l'habilité à infliger des dégâts. \nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable de Blocage. Il fonctionne très bien avec certaines Filles qui utilisent le Blocage comme compétence principale."
6478,Lame d'Imagination,Augmente considérablement l'Attaque et la vitesse permettant d'attaquer en premier; \nAugmente considérablement le taux de Contrôle. Cet objet convient parfaitement aux Filles utilisant des compétences de Contrôle.
6484,Masse Dentelée,"Augmente l'Attaque et le Blocage.\nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus de Critique."
6490,Hache Crénelée,Augmente considérablement l'Attaque et les PV. \nAugmente la Pénétration d'Armure de 100%.
6496,Tingyue,"Augmente l'Attaque et la Vitesse considérablement, la Fille fera plus de dégâts une fois équipé grâce à sa Vitesse.\nSi la Fille possédant cette Antiquité est de la Maison Humain, octroie aussi un bonus supplémentaire et augmente considérablement la Réduction aux Dégâts."
6502,Canne d'Anniversaire,"Augmente considérablement l'Attaque et les PV. \nImmunise contre Étourdissement, très utile contre les Filles ayant des compétences d'étourdissement."
6706,Hikari,"Augmente considérablement l'Attaque et la Précision.\n Augmente les Dégâts Critiques de 50%, très utile avec les Filles ayant des probabilités de Coups Critiques élevées."
6712,Fiole Sacrée,Augmente considérablement les PV et la Précision.\nRéduit les Dégâts sur la Durée.
6724,Micro d'Idole,Augmente considérablement les PV. \nLa Fille fera plus de dégâts une fois équipé grâce à sa Vitesse.\nAugmente l'Immunité des alliées.
6664,Saint Graal,"Augmente considérablement les PV. \nLa Fille fera plus de dégâts une fois équipé grâce à sa Vitesse.\nSi la Fille possédant cette Antiquitéest de la Maison Humain, octroie aussi un bonus considérable d'Attaque."
6634,Arbalète-X,"Augmente considérablement l'Attaque et la Critique. \nSi la Fille possédant cette Antiquitéest de la Maison Fantôme, octroie aussi un bonus supplémentaire et augmente considérablement les PV."
6718,Aube Éternelle,"Augmente considérablement les PV, la Résistance Totale et les chances de survie.\nAugmente considérablement l'Attaque et les dégâts infligés."
6730,Faux Mortelle,"Augmente considérablement l'Énergie, ce qui permet de lancer les Compétences Actives plus rapidement.\nAugmente considérablement l'Immunité pour survivre plus longtemps."
6736,Fumée Amère,"Après que la porteuse de cette Antiquité soit vaincue, elle se ressuscite et obtient des Énergies."
6742,Revolver Trouble,"Augmente l'Attaque, les Dégâts Critiques et la Vitesse.\nPermet à la porteuse de lancer son Attaque plus rapidement.\nAprès avoir amélioré l'Antiquité au Rose, plus le Critique de la porteuse est élevé, plus elle infligera de dégâts."
6748,Clochette de Givre,"Augmente considérablement l'Énergie lorsque la porteuse et ses alliés de la ligne avant sont attaquées, tout en augmentant leurs Soins Reçus et leurs Résistances Totales.\nPermet à la porteuse d'aider son alliée ayant le moins de PV à subir des dégâts.\nAprès que la porteuse ait lancé sa Compétence Active, son alliée ayant le moins de PV et elle récupéreront des PV."
6754,Sceptre Corvidé,"Augmente considérablement les Dégâts sur la Durée infligés.\nLorsque la porteuse inflige des Dégâts sur la Durée aux ennemis, a de la chance d'infliger 1 couche de ces Dégâts sur la Durée à 1 ennemi aléatoire, cet ennemi subira alors immédiatement des dégâts en fonction du nombre de couche marqué sur lui."
