id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,false_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
34001,Robin,Salut. Je suis une chasseuse du Nord. La nuit ne m'affecte pas. Que puis-je faire pour toi ? Tiens moi au courant !,"J'ai trouvé ton point faible, désolé !","Je suis désolée, calme toi un peu...","La plus grosse erreur de ta vie, c'est de t'être mis sur mon chemin",Tais-toi et écoute ! J'entend les bruits de pas d'un cerf !,"Je ne râte jamais, même la nuit !",La chasse commence...,Vise...,Okada Eimi,"Excuse-moi, mais nous ne sommes pas si proche l'un de l'autre que ça...",C'est pour moi ? Quelle surprise !,Il semble que tu me connaisses bien Maître !,Je ne pense pas souvent à autre chose qu'à chasser. Mais je ne peux m'empêcher d'ignorer mes sentiments pour toi...,Tu es de retour ! M'as-tu apporté des pommes ?,Personne ne peut se cacher !,Vise... Et tire !,填充,填充,J'ai juste besoin d'un arc.,Tu peux aussi traquer ta proie avec tes oreilles~,Ces flèches devraient suffir pour éliminer tous mes ennemis~,La chasse est terminée.,Tu veux venir tirer sur les pommes avec moi ?,"Tu peux mettre ta pomme ici, mais fait attention à ne pas faire trop de bruit... Haha !! Joli tir !","Si tu ne veux pas aller travailler, tu peux venir t'entraîner avec moi~",Est-ce qu'il y a des pommes dans les récompenses du jour ? Va vite voir !,Des ennemis sont sur le campus ? Utilise mes flèches pour tous les éliminer~ C'est super facile.,Vous avez trop de points faibles !,Mes flèches ne peuvent pas pénétrer leur armure !,填充,填充,填充,填充
34002,Sisha,"Wow ! Maître tu as l'air vraiment apétissant ! Devrais-je laisser les requins te manger ? Ce petit semble beaucoup aimer le Maître ! Ah ah ! Je rigole Maître, viens nage avec moi !",La mer est vraiment relaxante aujourd'hui. C'est le meilleur jour pour nager ! C'est pas vrai p'tit requin ?,"Ah ah, p'tit requin ! Tu as encore une fois laissé l'ennemi fuir les nageoires entre les jambes. Les requins sont trop forts !","Ah ! P'tit requin ! Ce n'est pas comestible ! Si tu manges les méchants, tu auras une diarhée !","P'tit requin, t'es pas un petit peu gros ? Après tout, la nourriture que tu manges en ce moment est un peu grasse...",J'ai toujours vécu dans la mer. La dernière fois que je suis revenue sur la terre ferme c'était il y a un an et demie.,Le Tsunami arrive !,P'tit requin... Met toi en position défensive !,Minagawa Junko,Maître... Tu veux mourir ?,Merci beaucoup,"Merci pour le cadeau, merci le petit requin l'aime beaucoup","Maître, tu es vraiment quelqu'un de doux, c'est difficile à croire que mon requin t'accepte... Ma réponse ? J'accepte~","Bienvenue, Maître~","P'tit requin, c'est toi qui a volé ma boisson ?",Il semble que mon requin vient d'aiguiser ses dents~,填充,填充,"Je suis déjà habitué à utiliser mon trident, je n'ai pas besoin d'autre arme.",Je protégerai mes amis !,"Même si me battre sur le sol n'est pas ma spécialité, je gagnerai tout de même le combat.","P'tit requin, tu ne peux pas faire de folie dans le dortoir !","Maître, mon requin dort, ne le réveille pas.",Est-ce que c'est vraiment agréable de dormir contre mon requin ?,"Regarde l'heure, même si nous installions trois moteurs sur mon requin, tu serais toujours en retard pour le travail, non ?",Ta récompense n'attend que toi !,"Mon requin s'entraîne pour s'en prendre à mes ennemis, c'est le moment parfait pour voir si cela a porté ses fruits !",Mon requin suffit pour s'occuper d'eux !,Mon requin doit encore apprendre à savoir battre en retraite...,填充,填充,填充,填充
34003,Mythra,"Ah ? Un Humain ? Je n'en vois pas souvent... Si tu veux voir ton futur je peux te le faire voir. En échange de ça, j'ai juste besoin d'une chose... Que tu me laisses en paix !","Cette semaine en commançant à partir d'aujourd'hui, tu rencontreras des personnes qui traiteront avec toi à l'avenir. Comment je le sais ? Je te le dirai plus tard",Sage... C'est un joli nom. Quoi ? C'est moi ?,Je suis ici tous les jours. C'est ma maison. Tous ces livres sont mes professeurs,(Baille)... Je suis fatiguée. Je n'ai pas dormi depuis longtemps...,"Comment vas-tu ? Je suis en train de livre un livre, tu peux attendre ?","C'est bizarre, je ne peux pas voir ton futur.",Non j'ai pas la tête dans les nuages !,ōno Yūko,"Pour faire court, je déteste ça !","Bonjour, un cadeau pour moi ? Merci !",Ce cadeau me fait passer pour une personne très cultivé ! C'est super !,"Je pense que nous devons communiquer un peu plus, alors j'accepte de faire un Serment avec toi~",Ah~ Tu es de retour~ Quel livre devrions-nous lire aujourd'hui ?,Lire me fera aussi dépenser de l'énergie.,"La lecture est peut être mon hobby, mais je ne suis pas sage pour autant...",填充,填充,Ma baguette magique ? C'est juste pour tourner les pages...,"Je ne vais pas avoir besoin de ça, mais je ne dis pas non à quelques livres.","Encore ? Quel est le problème cette fois ? Dis-le moi vite que je le résolve, je n'ai pas encore fini ce livre.",Est-ce que je peux fermer cette fenêtre ? Le vent gêne ma lecture.,"(En train de lire) Oh, bonjour.","Ne dors pas avec ton visage posé sur le livre ! Ta bave va le salire ! Senpai, réveille-toi !","Tu peux partir maintenant, tu as sûrement du travail à faire. Je trouverai le livre toute seule.",Voici votre récompense pour la dernière fois. Il est normal d'avoir une récompense après avoir terminé un travail. Acceptez-la s'il vous plaît.,"Des choses étranges se passent sur le campus récemment, faites attention lorsque vous marchez seul.",Ma victoire n'a rien de surprenant.,J'ai juste manqué d'attention.,填充,填充,填充,填充
34004,Athena,"Le Seigneur Kratos a ordonné que je sois ton escorte ! Peu importe qui tu es, je ne fais qu'obéir aux ordres. Jusqu'à ce que le Seigneur Kratos change mes ordres !",Tout... Je fais tout pour Kratos...,C'est mon verdict... Tu n'es pas autorisé à résister...,"Je ne fais qu'obéir au verdict... Ce que Kratos dit, je le fais.","Coupable ou innocent, c'est Kratos qui le décide. Je ne décide pas, j'agis.",Ce n'est pas juste ? Quelle absurdité...,C'est le moment d'exécuter les ordres !,Attaque !,Kanako Yanagihara,"Si je n'avais pas de mission actuellement, je serais déjà repartie !","Merci, mais cela ne changera rien entre nous !",Je dois admettre que j'aime vraiment beaucoup ce cadeau. Tu n'es pas si mal que ça finalement...,Ce n'est pas un ordre que j'ai l'habitude de recevoir... Mais je ne vois pas de raison pour laquelle je devrai refuser.,Tu es de retour~,Augmentation de puissance !,"N'ayez pas peur, la douleur ne durera qu'un instant.",填充,填充,Je ne serai pas un fardeau.,Ma seule priorité est de terminer les tâches demandées.,Êtes-vous ceux qui ont désobéit aux ordres ?,Je ferai comme vous dites.,Que puis-je faire ?,Je ne poserai aucune question et executerai vos demandes.,"Vous avez promis de terminer vos jobs, tenez vos promesses !","Une dernière chose, n'oubliez pas de récupérer vos récompenses.","Des envahisseurs? Laissez-les moi, je vais m'occuper d'eux.",Tous ceux qui veulent se rebeller contre les règles finiront comme ça !,Est-ce que je fais toujours le mauvais choix ?,填充,填充,填充,填充
34005,Kenshin,Il semble que tu es plutôt capable de supporter cette liqueur. Prenons un verre ensemble !,Je ne veux pas les détails. Ce monde est rempli de ressentiment et de contrariété. Buvons et oublions ça !,Tu sais jouer au poker ? Je vais te plumer !,Combien de personnes y a t'il dans ce monde ne pouvant pas être heureux ? Quoi ? Je ne fais que ce que j'aime !,Personne ne sait ce qu'il se passera demain. Alors buvons !,"Si tu vois cette stupide Fille, dis lui que quand je la vois, je lui couperai quelques membres.",Je ne vais pas refuser,Je suis saoul...,Hirota Yuumi,Je ne veux pas savoir tout ça...,Un cadeau ? Merci !,"Merci pour ton cadeau, je n'oublierais jamais ta générosité","Je ne crois pas à ceux qui disent pouvoir voir l'avenir, je ne veux que vivre dans le moment présent. Maintenant que j'ai attrapé ta main, je ne la lacherai plus !","Tu es de retour, tu veux venir prendre un verre ?",C'est une boisson non-alcoolisée ? Il manque un peu de piquant !,"J'ai juste l'air d'être saoule, mais en vérité, je consomme avec modération !",填充,填充,Il faut toujours éviter les mélanges~,Est-ce que tu peux me donner de l'alcool pour que je puisse nettoyer ma plaie ?,Tu es parti marcher avec un verre à la main ?,Je voudrai ouvrir une cave à vin.,As-tu suivi le doux fumet de ce bon vin jusqu'ici ?,"Tu ne tiens pas beaucoup à l'alcool, tu es saoul avec un verre... C'est le moment parfait pour moi de dessiner sur ton visage~",Tu vas travailler ? Tu sens vraiment l'alcool...,C'est important de récupérer les récompenses.,"Ces ennemis ont renversé mon verre, c'est le moment de leur donner une bonne leçon !",Vous êtes déjà saouls ? Cela ne va pas du tout~,"Ce n'est qu'une petite erreur, ne t'en fais pas Senpai~",填充,填充,填充,填充
35001,Reo,Le monde me voit comme une fière sorcière. Tu es la première personne à me connaître réellement. Quelle récompense voudrais-tu avoir pour cet effort ?,"Bien que j'adore la beauté du dépérissement, je ne déteste pas attendre la prochaine floraison",Qui a dit que les sorcières doivent utiliser une baguette ? Cette rose ? Cette rose c'est juste une déco ! C'est beau à regarder. Ma magie n'a pas besoin d'instrument,"Je suis habile avec les différents poisons. Inutile de dire que l'Empoisonnement produit des substances nocives, mais que l'eau propre peut être utilisée comme poison !","Les sorcières devraient vivre dans un château en hauteur, loin de la vie mondaine. Cela me conviendrait, et correspondrait aussi à mes sombres désirs.","Oui, j'utilise la magie noire. Il n'y a que quand je vois la vie disparaître que je me sens vivante. Tu trouves ça bizarre ?",Je ne me salis pas souvent les mains,Liage de Roses !,Chihara Minori,"Ne pense pas que parce que je t'accepte, que tu peux faire ce que tu as envie !",Merci pour le cadeau,"Il semble que tu as réfléchit longtemps pour ce cadeau, merci beaucoup, maintenant je dois réfléchir à comment te rendre la pareille","Nous avons tous une fin, mais avant que celle-ci n'arrive, laisse-moi t'accompagner~","Reviens, Senpai !",Tu penses que je ne suis pas assez forte ?,Grandir est une sensation que j'adore~,填充,填充,Une vraie sorcière ne dépend jamais trop de ces équipements~,Je peux ressentir le pouvoir qui coule dans cet objet~,Où allons-nous ?,C'est une chambre sympa~,Nous nous revoyons~,"La mort ne me rend pas triste~ Bien au contraire, je suis fasciné par ce moment-là~",Tu n'as pas de jobs aujourd'hui ? C'est presque l'heure~,N'oublie pas ta récompense~,"Je n'ai rien à voir avec le chaos sur le campus, peut-être que tu devrais y jeter un oeil, je t'attendrai ici~",Ne me cherchez pas !,La vengeance d'une sorcière est un plat qui se mange froid !,填充,填充,填充,填充
36001,Luna,"Tu es mon maître, pourrions-nous avoir une discussion ?","Suis-je toujours seule pour la Fête de la Lune ? Lapinou, tu veux des biscuits ?","Des raviolis, des patates douces et des marrons ! Que manger aujourd'hui ? Tiens ! Ce ravioli ressemble à une tête de lapin !","J'aime les endroits plein de monde. Si tu restes dans la foule sans bouger, tu as l'impression que tu es invisible.",Le son de la hache sur le bois... C'est le son qui marque le début d'une belle journée...,"Tout ce que j'ai, c'est la solitude et le regret... Des milliers d'années ont passé. Je commence vraiment à en avoir marre.",Laisse moi t'aider,Clair de lune ! Guide moi !,Hata Sawako,"Je suis désolée, je n'aime pas beaucoup ça~",Merci,"Merci pour le cadeau, les lapins l'aiment beaucoup aussi","Tu es devenu une constante dans ma vie, tout comme le son de la hâche coupant le bois... Ne me déçois pas, ok ?",Tu es de retour~ Tu veux qu'on discute ?,Il va y avoir de l'action ~,Rien de mieux que de passer ses jours de libre avec ses amis !,填充,填充,"Merci, j'en ferai bon usage.",Lapinou aime beaucoup ~,"Même si je m'attendais à autre chose, cet endroit n'est pas mal du tout ~",Est-ce que je peux avoir un coloc ? Je n'en peux plus de la solitude...,"Senpai, merci de me rendre visite comme vous l'aviez promis ~","Senpai a sûrement du avoir une journée épuisante, mais je n'ai personne a qui parler...laissons-le quand même dormir...","Veuillez ne pas vous occupez de moi, vous avez d'autres travaux plus importants à faire.",J'adore vraiment ces moments où les gens viennent récupérer leurs récompenses et avoir une discussion avec eux.,"Bien que j'aime les endroits vivants, je ne tolérerai pas que des ennemis viennent faire du grabuge !","Ah, est-ce que tu me félicites pour cette victoire ?","Désolée, cela fait trop longtemps que je ne m'étais pas battu…",填充,填充,填充,填充
41001,Zombia,Tu veux vraiment être mon ami ? Tu ne trouves pas ça un peu malheureux ? Tu pourrais mourir. Personne n'accepte d'être mon ami... Tu es donc surement un menteur comme tous les autres...,"Le seul avantage d'être un zombie, c'est que tu n'as pas besoin de manger, dormir, rêver. Il n'y a rien de plus confortable que ça !",Ne me regarde pas ! Je ne suis pas agréable à voir...,Non ! Ne t'approche pas de moi ! Ma mauvaise fortune risque de te contaminer !,"Dès ma naissance, j'ai décidé de mourir seule",Ne ne mens plus jamais ! Je ne fais plus confiance à personne !,Disparais !,Ne me touche pas !,Moriya Satomi,Comment oses-tu me mentir ?,"Merci, donc on est ami maintenant ?",J'apprécie beaucoup ce cadeau,"Durant cette vie, si tu prends soin de moi, je serais satisfaite~",Tu... Tu es venu ici pour me voir ?,Merci...,Je suis devenue un peu plus forte...,Est-ce que cette fois-ci je réussirais à me faire un ami ?,"Comme ça, les gens voudront aussi de moi~",Tu es vraiment une personne extra~,C'est vraiment pour moi ? Merci~,Nous pouvons aller à l'endroit que tu souhaites~,Laisse-moi tranquille~,Tu es ici pour me voir ?,Ce n'est pas facile d'être seul avec toi~ Laisse moi profiter de ce moment~,Tu n'as pas un job à faire ? Rentre tôt~,Hmm... Tu as encore oublié de récupérer ta récompense...,Quelque chose vient de se produire sur le campus... Mais ça n'a aucun rapport avec moi.,"Oh, nous avons gagné~",Laissez-moi tranquille…,填充,填充,填充,填充
41002,Flash,"Flash, rejoins ! Je suis allé au quatre coins du monde. Je t'emmènerai partout où tu veux aller !","Ah ! C'est un endroit où je ne suis encore jamais allé, marque-le !","Rassure-toi ! Maître, tu ne perdras jamais tant que je suis là !",GPS ? Ce genre de truc est inutile ! Fais confiance à mon instinct !,"C'est la bonne route. De toute façon la Terre est ronde, on y arrivera bien un jour ou l'autre","Maître, le monde extérieur est sublime !",Tu veux te battre ?,Je vais te faire voler !,Park Romi,"Tu me fais une blague, n'est-ce pas ?","Cela n'aidera pas beaucoup, mais merci quand même",C'est le plus beau cadeau que j'ai reçu de ma vie !,"Peu importe l'endroit, si tu ne t'arrêtes pas, tu trouveras ce que tu cherches~","Bienvenue, Maître !","Après avoir bu ce Jus d'EXP, je suis pleine d'énergie !",Faisons la course !,Je me demande bien s'il y a des gens qui court encore plus vite que moi !,Qui peut m'arrêter ? Haha !,Cet équipement ne me dérange pas quand je cours ! J'adore !,La meilleure selle pour la meilleure jument !,"Maître, tu veux venir courir avec moi ? C'est vraiment relaxant de courir !","C'est ta chambre, Maître ?",Maître ! As-tu ramené une carotte ?,Maître s'est endormi... C'est le moment pour moi de me reposer également~~,C'est l'heure d'aller travailler !,Maître ! Tes récompenses débordent !,Il se passe quelque chose ? Je reviens tout de suite~,YES~,Ah... j'ai mal à la tête…,填充,填充,填充,填充
41003,Werewolf,"Humain, je viens t'aider au nom de la nature. Si tu veux devenir plus fort, tu ne dois faire qu'un avec la nature",Mon instinct me dit de rester avec les miens et de devenir plus puissante,Tu ne peux pas devenir plus puissant si tu ne fais pas face au danger et à tes peurs !,Personne ne peut résister les forces de la nature. La nature est la chose la plus puissante au monde !,Ceux sont les humains qui détruise l'humanité,"Si nous ne pouvons pas coéxister avec la nature, nous nous détruirons nous même",Concentration,(Hurle),Takeuchi Junko,Je ne peux pas comprendre comment ce genre de chose peut être réelle !,C'est pour moi ? Merci !,La vraie force de la nature ! Je suis heureuse d'avoir pu faire équipe avec toi l'humain !,"Nous sommes poussière, et nous retournerons en poussière. Durant la période entre deux, nous appartenons l'un à l'autre~","Reviens, Senpai !",C'est quelque chose que tu ne peux pas trouver dans la plaine... L'odeur est vraiment très agréable.,Les faibles ne devraient pas être capable de survivre.,"Dans ma terre natale, les connaissances sont transmises par les anciens. C'est pour cette raison que je n'ai pas l'habitude d'apprendre en lisant... Mais je ferai de mon mieux.","Si tu ne veux pas te faire éliminer, fais de ton mieux pour survivre.",Ces habits sont étranges... Peut-être que je devrais essayer quelque chose de nouveau.,Je peux ressentir le pouvoir dans ces équipements~,"Retourne à la nature, c'est bon pour toi~",Je peux sentir l'odeur de Senpai dans cette pièce...,Ah ! Tu es enfin de retour~,C'est très calme dehors~,"Si tu veux survivre, tu n'as pas d'autre choix que de prendre un job !","Senpai, tu as des récompenses~","C'est le bruit du chaos... Senpai, tu n'entends pas ? Je suis certaine que quelque chose est en train de se produire sur le campus !",La nature a pris le dessus !,J'avoue ma défaite…,填充,填充,填充,填充
41004,Nona,Quelle est la pièce la plus puissante aux échecs ? La Reine. Elle fait ce qu'elle veut. Je voudrais pouvoir être la Reine. Je te laisse avec toutes les corvées.,Tout est en mon contrôle !,"D'un point de vue mental, personne ne peut me dépasser !","Je n'ai pas le temps pour ces questions triviales. Sinon, cela affectera mon QI !",La façon dont les pièces d'échecs bougent est trop fixe ! Je ne bouge pas comme ça ! Je peux faire tout ce que je veux! Je ne suis pas les règles !,Disons l'écart entre mon QI et le tiens... Attends. Mauvais exemple. L'écart est trop énorme.,Hmph! Voyons la différence de connaissances...,Échec et mat !,Kugimiya Rie,Hey ~ Serais-tu en train de me taquiner ?,Tu devrais même être reconnaissant que je l'accepte,"Un cadeau du Roi pour sa Reine ? Je suis impressionnée, merci !","Est-ce que tu veux mettre ton serment au défi ? Je ne suis pas aussi facile que ça à duper... Hehehe~ C'est très amusant de te voir stresser~ J'accepte, tu peux te calmer~","Bienvenue, humain~",Ce n'est pas suffisant. Ne sais-tu donc pas à quel point je suis importante ?!,Je suis de plus en plus puissante que le commun des mortels~ Hahaha~,"C'est juste..., une part de gâteau~",Tout est comme prévu~,"Tu m'apportes ça, c'est pour te moquer de moi ?","Le meilleur équipement, tout juste pour moi !",Je ne veux pas rester avec cette bande d'idiote~,Sors ! Je veux me reposer~,Tu es venu pile au bon moment ! Je commençais à m'ennuyer !,Tu devrais bouger un peu plus... Même si tu n'es qu'un simple humain~,"Tu n'es encore qu'un simple mortel, tu ne peux pas vivre sans jobs, alors fonce~","Si tu ne prends pas ta récompense, est-ce que je peux la garder ?",Je m'ennuie~ Ah ? Il semblerait que quelque chose est en train de se passer sur le campus !,Vous ne m'intéressez plus~,"Urgh, tu n'es qu'une brute…",填充,填充,填充,填充
41005,Assassin,"Assassin a reçu l'ordre d'y assister. Si le Maître a une tâche gênante, n'hésitez pas à me la donner.","Je connais la douleur de la trahison. Jusqu'ici, je ne sais pas combien de fois j'ai été trahi. Mais cela m'a aussi rendu fort.","Pour m'échapper, je dois vivre avec un masque. Pour survivre, nous devons anéantir notre existence. Pour notre famille, pour ma sœur.","Là où il y a de la lumière, il doit y avoir de l'ombre. Je suis cette ombre.",Je suis fort parce que j'ai les personnes les plus importantes autour de moi.,"Même si je perds tout, je protégerai ma sœur jusqu'au bout.","Mission, compris.",Confirmer la cible !,Hayami Saori,Maître... Je n'ai vraiment pas d'autre choix que d'accepter ?,"Merci, je n'ai fait que mon devoir","Merci de ta confiance, c'est un honneur de l'avoir mérité ~","Maître, promettre à quelqu'un comme moi, de rester avec moi toute la vie... Je ferais tout ce qu'il faut pour te repayer cette dette !","Maître, tu dois te reposer !",Merci beaucoup~,Plus de pouvoir ! J'espère que je serais capable de t'apporter beaucoup de bénéfices !,Je serais toujours à tes côtés.,"Pour mon Maître, je n'arrêterai jamais !",Ma soeur a besoin de plus de protection que moi~,Merci pour ce don ! Tu ne le regretteras pas !,A vos ordres !,C'est ta chambre ? Puis-je entrer ?,Repose toi un instant~,Si seulement je pouvais être plus puissante... Je pourrais t'aider à faire plus de choses...,"Maître, tu es parti travailler ? Fais attention sur la route~","Maître, n'oublie pas de récupérer ta récompense.","Maître, il y a quelque chose sur le campus, laisse moi aller voir ce qu'il se passe !",Vite fait bien fait !,Désolée Senpai… je t'ai sûrement déçu…,填充,填充,填充,填充
41006,Ashely,Pas complètement une bête mais pas totalement humain. Qu'est-ce que je fais maintenant? Peux tu me dire?,"L'humaine-animale est mon amie spéciale. Quoi qu'il arrive, je la protégerais",Aucune quantité de mots ne peut exprimer mes remerciements aux monstres qui m'ont élevé.,Quelle est la différence entre l'homme et la bête ? Je ne sais pas du tout…,Le sang dans mon corps est chauffé.,Je veux connaître la chaleur et l'amour des êtres humains.,Je vais te montrer mes pouvoirs.,Sang... Monte...,Yoshida Seiko,"Pourquoi me forces-tu à accepter quelque chose que je n'aime pas, quel genre de personne es-tu ?","Merci pour ton cadeau, humain. Pourquoi veux-tu donner un cadeau à quelqu'un comme moi ?","Je te remercie, j'aime beaucoup ce cadeau, mais... Je ne savais pas que nous étions amis... Maintenant j'ai donc deux amis~",Je n'avais jamais imaginé que je puisse aussi être heureuse que ce jour soit arrivé... Je t'accompagnerai jusqu'à la fin de ta vie.,Bien le bonjour !,"Merci, Senpai~","C'est peut-être parce que j'ai du sang de monstre, c'est pour ça que je grandis plus vite que les autres...","Je dois admettre, les humains sont plus intelligents que les autres créatures.",Je suis un peu plus puissante que les autres~,Cet équipement est vraiment léger...,"Après tout, moi aussi je suis mortelle.",Laisse moi aller dans les endroits que tu ne peux pas atteindre~,C'est ta chambre ?,Bienvenue~,Va dormir~,Il est l'heure d'aller travailler ! Tu viens avec moi ?,N'oublie pas de récupérer ta récompense~,Quelque chose est en train de se passer ! Je peux le sentir !,Aucune difficulté.,C'est de ma faute...,填充,填充,填充,填充
41007,Ninja,"Ta Da ~ Ninja est là ! Je suis ici pour ma sœur aînée, pas pour toi ! Euh où est-elle ?",Ma sœur aînée n'appartient qu'à moi !,Même le Maître n'est pas autorisé à me voler ma sœur.,Sœur ~ Sœur ~ Sœur ... Allons-y ensemble.,Qui se soucie de toi? Je veux juste ma sœur! Il est impossible de faire quoi que ce soit sans ma sœur !,Ma sœur est la plus forte de la famille ! La mission n'échouera pas !,Éloigne-toi de ma grande sœur !,Éloigne-toi de ma grande sœur !,Yuuki Aoi,Je n'ai aucune utilité pour cela !,Qu'est-ce que tu veux ? Je le dirai à ma sœur si tu t'approche !,C'est vraiment génial ! Puis-je le donner à ma sœur ?,Ah ?! Moi ? Je pensais que tu aimais ma soeur plus que moi...,Salut ! As-tu vu ma soeur ?,N'oublie pas d'en prendre un aussi pour ma soeur !,Vite ! Je dois devenir plus puissante !,"Je vais bientôt être dans la même classe que ma soeur, je suis super heureuse !",Je dois devenir plus fort pour ma soeur !,"Avec cette armure, je vais pouvoir aider ma soeur !",Regarde ! J'aime beaucoup le design ! Tu n'as pas oublié de prendre le même pour ma soeur n'est-ce pas ?,"Si ma soeur n'était pas ici, je ne serais pas sortie pour toi !",Ouah ! Cette chambre est immense !,Laisse moi encore m'amuser un instant~,"Tu es en train de dormir ? Super, je peux enfin aller m'amuser !","Toi aussi tu vas aller travailler ? La vie n'est pas si facile, n'est-ce pas ?",Tu as oublié ta récompense !,Ah ? Qu'est-ce que... ? Pourquoi tout le monde crie ?,YES ! Je suis géniale !,Ahhh ! À l'aide !,填充,填充,填充,填充
41008,Cynthia,"Ah, c'est toi qui recrutes des papillons ? Hmm ~ OK ~ Alors faisons quelque chose ensemble.",Oh non. Je ne peux pas m'empêcher d'élever mes enfants ~,Euh ~ non ~ OK ~ Ce genre de chose doit être fait à un endroit où il n'y a personne. ~,Détend-toi ~ Je suis là. Je t'aime ~,Les papillons peuvent m'emmener n'importe où je veux.,"Chut! Calme-toi ~ Regarde, quelqu'un nous remarquera ~","Papillons, amènez-moi à la victoire.",Sois mon appât !,Tanaka Rie,Qu'est-ce que c'est ça ? Tu ne m'aimes plus ?,"Ouah, quelle surprise ! Un cadeau pour moi, merci !",J'aime beaucoup ~ Laisse-moi penser à un cadeau pour toi ...,"Les papillons dansent avec le vent, à la fin, ils peuvent aussi trouver leur endroit~",Bien le bonjour !,J'en veux plus~,Est-ce que tu pourras me supporter ?,"Senpai, prends bien soin de moi~",Tu veux pas voir mes récents changements ?,"Les vêtements sont censés être enlevés, non ?",C'est tout ce que tu veux ?,Trouvons un endroit calme~,Si seulement le lit pouvait être plus grand~,Tu m'as fait attendre pendant assez longtemps~,Je ne m'attendais pas à juste dormir à tes côtés...,"Va vite travailler, j'attendrai ton retour sur le lit~",N'oublie pas ta récompense~,Les nouvelles sont elles plus importantes que moi ?,"Pfff, vous êtes inutiles~",Hééé~Relax ! Vous êtes trop violents~,填充,填充,填充,填充
42001,Miya,"Ce n'est pas un cosplay. Je suis une vraie infirmière. J'ai un certificat d'infirmière, mais je ne suis pas très doué pour l'injection...","Si j'opère correctement, cela ne fera qu'un petit peu mal. Si j'opère ... correctement ... Euh.","Laissez-moi voir votre carte d'assurance maladie. Ah, désolé, cette maladie n'est pas couverte.","Si tu ressens de la douleur, fais le moi savoir ... Même si tu t'apprêtes à tomber dans les pommes...",Oh non ! Maître s'est évanoui ! Vite ! Il faut que je lui fasse un CPR....! Ou a-t-il besoin d'une injection ?,"Sapphire et Boxer viennent souvent voir le médecin, mais ne paient jamais les frais de traitement...",Ne bouge surtout pas ! Cela va faire très mal !,Je vais vite te soigner !,Noto Mamiko,Tu ne demandes pas aux gens ce qu'ils aiment avant de donner des cadeaux?,"Hmmm, c'est pas très utile, mais merci","Merci pour ton cadeau, je l'aime beaucoup","A partir d'aujourd'hui. Je serais comme toutes les Filles du campus, et je marcherai avec toi~",Tu es de retour ! Senpai !,Une boisson pour moi ? Merci~,"La prochaine fois, je ne laisserai pas l'aiguille de la seringue à l'intérieur de toi~","Prends bien soin de toi, même si quand tu as beaucoup de devoirs~",Je suis déjà une infirmière expérimentée désormais ! N'aie pas peur cette fois-ci !,Pourquoi me donnes-tu toujours des habits bizarres ?,"Je suis toujours une infirmière, même dans le mauvais uniforme !",Quelqu'un a besoin de mes soins ?,"N'oublie pas de nettoyer ton dortoir, Senpai. Autrement tu risques de tomber malade !",Chut ! Je suis occupée avec un patient~,Ferme tes yeux~ Profite du calme~,"Senpai, c'est l'heure pour toi d'aller travailler~","N'oublie pas ta récompense, j'ai encore des choses à faire !",Ah ? Qu'est-ce qu'il se passe ici ? J'ai déjà une tonne de patients aujourd'hui~,Vous avez tous besoin d'un traitement médical~,Hé~Attaquer un personnel médical est puni par la loi~,填充,填充,填充,填充
42002,Bidenty,"Tu as ce que je n'ai pas... Montre-moi ton pouvoir. Ensuite, je pourrais te suivre.",Il est temps de pratiquer avec Amazon.,"Je n'aime pas gaspiller mon temps, je ne trouve pas non plus que cela me rendra heureuse.",Seule la force me rend enthousiaste...,Les forts peuvent ne pas tout obtenir. Mais les faibles ne reçoivent rien.,Tu as demandé quelle est la raison pour devenir plus fort ? Avons-nous besoin d'une raison ?,Cela fait 10 ans que je me prépare pour ce moment !,Disparaissez !,Satō Azusa,Pourquoi tu me donnes ça ?,"Merci, je l'accepte","Je n'ai jamais rien vu de pareille, ça a l'air pas mal. Tu veux que je devienne plus forte ? Merci, je ferais de mon mieux",Nous devons devenir plus forts afin de pouvoir surmonter tous les obstacles !,"Reviens, Senpai !",Je peux ressentir la puissance monter ! Merci !,"Amazon devient plus forte de jour en jour, je ne peux pas perdre face à elle !",Je ne peux pas ralentir lors de mes études et de mon entraînement !,"Miroir, miroir, qui est la plus forte ?!",Donne moi cet équipement ! Tu ne le regretteras pas !,C'est l'ensemble de rêve !,Où est Amazon ? Je veux me mesurer à elle !,C'est une bonne chambre~,"Tu es venu au bon moment, nous pouvons nous entraîner ensemble désormais !",Ce n'est pas le moment de bailler !,Va vite travailler ! Rien n'est plus important que l'expérience !,N'oublie pas de récupérer ta récompense~,"Il se passe quelque chose sur le campus, voyons voir si l'entraînement a porté ses fruits !",C'est le résultat de mon entraînement intensif !,C'est inacceptable de laisser les gens me voir dans cet état...,填充,填充,填充,填充
