id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
44,C'est maintenant le moment de mettre des [c][d76500]Équipements[-][/c].,buttoncrop_11,0|0,,
45,Appuyez ici pour choisir un Équipement pour votre Fille.,buttoncrop_12,0|0,,
46,,,,,
47,,,,,
48,Génial !\nVotre Fille est devenue beaucoup plus forte qu'avant !,,,,
49,,buttoncrop_13,0|0,,
50,,buttoncrop_1,0|0,,
51,"On dirait bien que Hatchi a encore besoin de votre aide, allons à sa rescousse !",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
52,,buttoncrop_26_h5,0|0,,
53,,buttoncrop_6,0|0,,
54,,buttoncrop_5,0|0,,
55,"Senpai, Touchez ici pour aller à l'étape suivante.",buttoncrop_20,-16|0,,
56,,,,,
57,Le butin s'accumule automatiquement. Récupérez-le !,buttoncrop_21,0|2,,
58,Commençons une nouvelle bataille !,buttoncrop_17,0|0,,
59,Appuyez sur l'avatar de la Fille que vous voulez ajouter dans votre Équipe.,buttoncrop_3,0|0,,
60,[c][d76500]Glissez[-][/c] l'avatar de la Fille pour la changer de position.,buttoncrop_22,0|-62,,
61,,buttoncrop_5,0|0,,
62,,,,,
63,Senpai vous avez déjà un nouveau butin de disponible.\nVenez le récupérer !,buttoncrop_21,0|2,,
64,Félicitations !\nVous êtes prêt pour l'Étape suivante !,buttoncrop_20,-16|0,,
65,,,,,
66,Senpai ! Vous êtes vraiment né pour ça ! N'oubliez pas de récupérer votre butin. La Bataille Auto a une limite de collecte de [c][d76500]12 heures[-][/c] après cette durée vous ne recevrez plus de récompenses !,,,,
67,Il semble qu'il se passe quelque chose à l'[c][d76500]Accueil[-][/c]~\nAllons y jeter un œil !,buttoncrop_1,0|0,,
68,Appuyez [c][d76500]ici[-][/c] pour récupérer les [c][d76500]Récompenses en ligne[-][/c].,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
69,Appuyez ici pour les récupérer !,buttoncrop_35,0|0,,
70,,buttoncrop_1,0|0,,
71,Appuyez sur [c][d76500]Événements[-][/c] pour\nrécupérer les [c][d76500]Récompenses de Connexion[-][/c] !,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
72,,buttoncrop_36,1|1,,
73,"Dans l'[c][d76500]Accueil[-][/c], vous y trouverez différentes fonctionnalités !",buttoncrop_1,0|0,,
74,Venez jeter un œil à ce que vous pouvez obtenir dans le [c][d76500]Campus[-][/c] !,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
75,Allons faire du shopping dans le [c][d76500]Marché[-][/c]~,buttoncrop_16,0|1,,
76,"Dans le [c][d76500]Marché[-][/c], vous y trouverez tous les [c][d76500]Objets[-][/c] dont vous aurez besoin~",buttoncrop_30,-14|-1,,
77,"Regardez ! Il y a même des Jetons de [c][d76500]Capsule Avancée[-][/c].\nJe suis sûre que vous en avez besoin, Senpai !",buttoncrop_24,0|60,,
78,,,,,
79,,,,,
80,Allons de ce pas tirer ce Jeton de [c][d76500]Capsule Avancée[-][/c] !,buttoncrop_1,0|0,,
81,Un Jeton de [c][d76500]Capsule Avancée[-][/c] vous permet d'obtenir une Fille !,buttoncrop_6,0|1,,
82,,,,,
83,"Nous sommes en retard, Senpai ! Dépêchons-nous~",buttoncrop_1,0|0,,
84,Tu as entendu ça ? Hatchi a besoin de vous !,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
85,Allons vite sauver Hatchi !,buttoncrop_26_h5,0|0,,
86,,buttoncrop_6,0|0,,
87,,buttoncrop_5,0|0,,
88,,buttoncrop_17,0|0,,
89,,buttoncrop_3,0|0,,
90,,,,,
91,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
92,,,,,
93,,,,,
94,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
95,,,,,
96,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
97,,,,,
98,,,,,
99,Venez voir ! Appuyez sur [c][d76500]Guilde[-][/c] pour rejoindre ou créer une Guilde !,,,,
100,,,,,
101,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
102,,,,,
103,,,,,
104,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
105,,,,,
106,,,,,
107,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
108,,,,,
109,,,,,
110,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
111,,,,,
112,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,,,,,
114,,,,,
115,,,,,
116,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
117,,,,,
118,,,,,
119,Venez voir ! Appuyez sur [c][d76500]Guilde[-][/c] pour rejoindre ou créer une Guilde !,,,,
120,"Senpai, je sens quelque chose de particulier chez toi, tu dois être... ""l'Élu"" !",buttoncrop_26,0|0,,
121,"En ce moment, c'est la période de Recrutement des Guildes. Que dirais-tu de créer ta propre guilde? Tu peux créer ta propre Guilde gratuitement la première fois !",,,,
122,"Senpai, vous avez obtenu des [c][d76500]Fragments[-][/c] !\nAppuyez ici pour les utiliser !",buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
123,"Senpai, ici vous pouvez [c][d76500]invoquer[-][/c] une Fille avec vos Fragments !",buttoncrop_38,0|6,,
124,,,,,
125,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
126,,,,,
127,,old_school_guide_mask,0|0,,
129,"Senpai, voici l'entrée de l'[c][d76500]Excursion Scolaire[-][/c] !",buttoncrop_26,0|0,buttoncrop_26_h5,0|0
130,Allons tout d'abord au Gîte !,travel_guide_1,18|32,travel_guide_1,18|32
131,"Senpai, appuyez ici !",,,,
132,Sélectionnez une Fille pour obtenir un bonus d'Attribut !,,,,
133,Montez le niveau du Gîte pour débloquer plus d'emplacements !,,,,
135,Allez à la Boulangerie !,travel_guide_2,-3|-8,travel_guide_2,-3|-8
136,Mettez vos Filles dans les Bâtiments pour obtenir plus de ressources !,travel_guide_3,0|0,travel_guide_3,0|0
138,Montez le niveau de la Boulangerie pour débloquer plus d'emplacements !,,,,
140,"Les différents Bâtiments produisent différents matériaux, appuyez ici pour [c][d76500]Tout Collecter[-][/c] !",,,,
141,Appuyez ici pour participer à l'Aventure et obtenir plus de récompenses !,travel_guide_4,0|5,travel_guide_4,0|5
143,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
144,,,,,
145,"Senpai, voici l'entrée de votre Cabine d'Essayage, ici vous pourrez personnaliser votre Tenue~",,,,
146,,,,,
147,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
148,,,,,
149,,,,,
150,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
151,,,,,
152,,,,,
153,,,,,
154,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
155,,,,,
157,,buttoncrop_37,0|0,buttoncrop_37,0|0
158,,,,,
159,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
160,,,,,
161,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
162,Toucher ici pour combattre les ennemis dans Pratique Extra-Scolaire~,,,,
163,,,,,
164,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
165,,,,,
166,"Voici l'accès à la Configuration d'Équipe, appuyez pour prédéfinir vos équipes, Senpai~",,,,
167,,,,,
168,,buttoncrop_26,0|0,buttoncrop_26_h5,
169,,,,,
170,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
171,Entrons par ici pour débuter ce Voyage Galactique~,,,,
172,,,,,
173,,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
174,Toucher ici pour accéder aux Événements Mensuels !,,,,
175,Toucher ici pour combattre les ennemis dans Pratique Extra-Scolaire~,,,,
176,,,,,
177,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
